step K U E temp
0 1.225493e-19 4.771723e-17 4.783978e-17 1.775242e+04
1000 8.329393e-18 3.950513e-17 4.783452e-17 1.206591e+06
2000 2.510470e-17 2.271906e-17 4.782376e-17 3.636652e+06
3000 4.121979e-17 6.593628e-18 4.781342e-17 5.971075e+06
4000 4.780918e-17 8.665144e-24 4.780919e-17 6.925610e+06
5000 4.124782e-17 6.565579e-18 4.781340e-17 5.975135e+06
6000 2.514534e-17 2.267839e-17 4.782373e-17 3.642540e+06
7000 8.360286e-18 3.947421e-17 4.783450e-17 1.211066e+06
8000 1.266991e-19 4.771308e-17 4.783978e-17 1.835356e+04
9000 4.974168e-18 4.286250e-17 4.783667e-17 7.205551e+05
10000 2.023593e-17 2.759095e-17 4.782688e-17 2.931365e+06
11000 3.751595e-17 1.029984e-17 4.781580e-17 5.434539e+06
12000 4.730789e-17 5.016214e-19 4.780951e-17 6.852993e+06
13000 4.422485e-17 3.586637e-18 4.781149e-17 6.406386e+06
14000 2.996293e-17 1.785771e-17 4.782064e-17 4.340412e+06
15000 1.236810e-17 3.546383e-17 4.783193e-17 1.791636e+06
16000 1.119905e-18 4.671924e-17 4.783914e-17 1.622288e+05
17000 2.406367e-18 4.543195e-17 4.783832e-17 3.485849e+05
18000 1.551976e-17 3.231015e-17 4.782991e-17 2.248183e+06
19000 3.324595e-17 1.457259e-17 4.781853e-17 4.815988e+06
20000 4.583313e-17 1.977333e-18 4.781046e-17 6.639360e+06
21000 4.635665e-17 1.453471e-18 4.781012e-17 6.715197e+06
22000 3.452851e-17 1.328920e-17 4.781771e-17 5.001780e+06
23000 1.685579e-17 3.097326e-17 4.782905e-17 2.441719e+06
24000 3.060855e-18 4.477704e-17 4.783790e-17 4.433936e+05
25000 7.327978e-19 4.710659e-17 4.783939e-17 1.061527e+05
26000 1.115236e-17 3.668035e-17 4.783271e-17 1.615524e+06
27000 2.858738e-17 1.923415e-17 4.782152e-17 4.141151e+06
28000 4.344623e-17 4.365761e-18 4.781199e-17 6.293595e+06
29000 4.755454e-17 2.548109e-19 4.780936e-17 6.888723e+06
30000 3.865219e-17 9.162875e-18 4.781507e-17 5.599134e+06
31000 2.163667e-17 2.618931e-17 4.782598e-17 3.134275e+06
32000 5.868812e-18 4.196729e-17 4.783610e-17 8.501527e+05
33000 2.307364e-20 4.781677e-17 4.783985e-17 3.342434e+03
34000 7.315399e-18 4.051977e-17 4.783517e-17 1.059704e+06
35000 2.373402e-17 2.409061e-17 4.782464e-17 3.438097e+06
36000 4.024649e-17 7.567556e-18 4.781404e-17 5.830082e+06
37000 4.776870e-17 4.051634e-20 4.780922e-17 6.919746e+06
38000 4.216243e-17 5.650381e-18 4.781281e-17 6.107625e+06
39000 2.651189e-17 2.131097e-17 4.782285e-17 3.840496e+06
40000 9.426979e-18 3.840684e-17 4.783381e-17 1.365587e+06
41000 3.067161e-19 4.753295e-17 4.783967e-17 4.443072e+04
42000 4.168476e-18 4.366871e-17 4.783719e-17 6.038429e+05
43000 1.888777e-17 2.893998e-17 4.782775e-17 2.736071e+06
44000 3.636699e-17 1.144954e-17 4.781653e-17 5.268101e+06
45000 4.699022e-17 8.195007e-19 4.780972e-17 6.806975e+06
46000 4.491323e-17 2.897821e-18 4.781105e-17 6.506104e+06
47000 3.127865e-17 1.654114e-17 4.781980e-17 4.531007e+06
48000 1.358735e-17 3.424379e-17 4.783115e-17 1.968256e+06
49000 1.571927e-18 4.626693e-17 4.783885e-17 2.277084e+05
50000 1.842488e-18 4.599619e-17 4.783868e-17 2.669017e+05
51000 1.425019e-17 3.358053e-17 4.783072e-17 2.064274e+06
52000 3.196912e-17 1.585023e-17 4.781935e-17 4.631028e+06
53000 4.525147e-17 2.559362e-18 4.781083e-17 6.555101e+06
54000 4.679016e-17 1.019688e-18 4.780985e-17 6.777995e+06
55000 3.573869e-17 1.207824e-17 4.781694e-17 5.177086e+06
56000 1.817688e-17 2.965133e-17 4.782820e-17 2.633092e+06
