pX pY pZ 
-2.577348e-14 0.000000e+00 0.000000e+00
8.917428e-14 0.000000e+00 0.000000e+00
2.607129e-13 0.000000e+00 0.000000e+00
8.855424e-14 0.000000e+00 0.000000e+00
2.065119e-13 0.000000e+00 0.000000e+00
-4.280859e-14 0.000000e+00 0.000000e+00
7.703357e-14 0.000000e+00 0.000000e+00
-1.527295e-13 0.000000e+00 0.000000e+00
-3.379998e-13 0.000000e+00 0.000000e+00
5.769372e-14 0.000000e+00 0.000000e+00
2.037331e-14 0.000000e+00 0.000000e+00
1.382333e-13 0.000000e+00 0.000000e+00
2.388378e-14 0.000000e+00 0.000000e+00
-1.779850e-13 0.000000e+00 0.000000e+00
7.614821e-14 0.000000e+00 0.000000e+00
2.073619e-13 0.000000e+00 0.000000e+00
-2.881018e-14 0.000000e+00 0.000000e+00
-2.331212e-14 0.000000e+00 0.000000e+00
1.323033e-13 0.000000e+00 0.000000e+00
-3.944076e-14 0.000000e+00 0.000000e+00
9.213624e-14 0.000000e+00 0.000000e+00
-6.526162e-14 0.000000e+00 0.000000e+00
1.277703e-13 0.000000e+00 0.000000e+00
2.979435e-13 0.000000e+00 0.000000e+00
5.003838e-14 0.000000e+00 0.000000e+00
4.604103e-13 0.000000e+00 0.000000e+00
3.739257e-14 0.000000e+00 0.000000e+00
2.663089e-13 0.000000e+00 0.000000e+00
1.224171e-13 0.000000e+00 0.000000e+00
-1.467949e-13 0.000000e+00 0.000000e+00
-3.038346e-13 0.000000e+00 0.000000e+00
2.969412e-13 0.000000e+00 0.000000e+00
-1.091804e-14 0.000000e+00 0.000000e+00
2.729764e-14 0.000000e+00 0.000000e+00
-1.336209e-13 0.000000e+00 0.000000e+00
-1.270148e-13 0.000000e+00 0.000000e+00
3.648781e-14 0.000000e+00 0.000000e+00
-3.321442e-13 0.000000e+00 0.000000e+00
-2.855869e-15 0.000000e+00 0.000000e+00
9.455493e-14 0.000000e+00 0.000000e+00
1.759627e-13 0.000000e+00 0.000000e+00
-4.157565e-14 0.000000e+00 0.000000e+00
-1.226173e-13 0.000000e+00 0.000000e+00
9.990724e-15 0.000000e+00 0.000000e+00
-9.886653e-14 0.000000e+00 0.000000e+00
7.081909e-14 0.000000e+00 0.000000e+00
8.762092e-14 0.000000e+00 0.000000e+00
7.673656e-16 0.000000e+00 0.000000e+00
-1.241139e-13 0.000000e+00 0.000000e+00
-2.275485e-14 0.000000e+00 0.000000e+00
-1.114251e-13 0.000000e+00 0.000000e+00
-3.069020e-13 0.000000e+00 0.000000e+00
9.139609e-14 0.000000e+00 0.000000e+00
6.296779e-14 0.000000e+00 0.000000e+00
2.425194e-13 0.000000e+00 0.000000e+00
1.451411e-13 0.000000e+00 0.000000e+00
2.625564e-13 0.000000e+00 0.000000e+00
-6.859828e-14 0.000000e+00 0.000000e+00
2.266538e-13 0.000000e+00 0.000000e+00
9.715251e-14 0.000000e+00 0.000000e+00
-1.511054e-13 0.000000e+00 0.000000e+00
-4.084248e-15 0.000000e+00 0.000000e+00
8.048864e-14 0.000000e+00 0.000000e+00
1.485270e-13 0.000000e+00 0.000000e+00
1.241149e-13 0.000000e+00 0.000000e+00
2.428901e-14 0.000000e+00 0.000000e+00
3.568700e-14 0.000000e+00 0.000000e+00
6.035915e-14 0.000000e+00 0.000000e+00
1.332962e-13 0.000000e+00 0.000000e+00
1.483198e-13 0.000000e+00 0.000000e+00
5.132346e-14 0.000000e+00 0.000000e+00
-1.055620e-13 0.000000e+00 0.000000e+00
-2.164159e-13 0.000000e+00 0.000000e+00
7.014550e-15 0.000000e+00 0.000000e+00
7.484459e-14 0.000000e+00 0.000000e+00
2.487522e-13 0.000000e+00 0.000000e+00
1.376829e-13 0.000000e+00 0.000000e+00
1.414304e-13 0.000000e+00 0.000000e+00
8.685266e-14 0.000000e+00 0.000000e+00
1.429764e-13 0.000000e+00 0.000000e+00
-1.309202e-13 0.000000e+00 0.000000e+00
2.727084e-13 0.000000e+00 0.000000e+00
-8.855386e-14 0.000000e+00 0.000000e+00
1.160454e-13 0.000000e+00 0.000000e+00
-1.324923e-13 0.000000e+00 0.000000e+00
-7.461822e-14 0.000000e+00 0.000000e+00
-1.151916e-13 0.000000e+00 0.000000e+00
-2.080810e-13 0.000000e+00 0.000000e+00
1.013101e-13 0.000000e+00 0.000000e+00
-1.373645e-13 0.000000e+00 0.000000e+00
-1.710396e-15 0.000000e+00 0.000000e+00
1.297043e-15 0.000000e+00 0.000000e+00
-3.347313e-13 0.000000e+00 0.000000e+00
-3.773886e-14 0.000000e+00 0.000000e+00
1.378474e-14 0.000000e+00 0.000000e+00
3.222695e-13 0.000000e+00 0.000000e+00
1.539398e-13 0.000000e+00 0.000000e+00
3.913569e-14 0.000000e+00 0.000000e+00
1.596334e-13 0.000000e+00 0.000000e+00
1.759372e-13 0.000000e+00 0.000000e+00
-1.828083e-13 0.000000e+00 0.000000e+00
9.746936e-14 0.000000e+00 0.000000e+00
1.582325e-13 0.000000e+00 0.000000e+00
-1.142578e-13 0.000000e+00 0.000000e+00
-2.531658e-14 0.000000e+00 0.000000e+00
-1.321488e-13 0.000000e+00 0.000000e+00
4.462349e-13 0.000000e+00 0.000000e+00
1.544971e-13 0.000000e+00 0.000000e+00
2.864629e-13 0.000000e+00 0.000000e+00
1.720813e-14 0.000000e+00 0.000000e+00
-2.632168e-13 0.000000e+00 0.000000e+00
-3.338323e-13 0.000000e+00 0.000000e+00
-1.756061e-13 0.000000e+00 0.000000e+00
-1.515011e-13 0.000000e+00 0.000000e+00
-8.483569e-14 0.000000e+00 0.000000e+00
-1.095627e-13 0.000000e+00 0.000000e+00
3.635138e-13 0.000000e+00 0.000000e+00
1.272817e-13 0.000000e+00 0.000000e+00
4.368596e-13 0.000000e+00 0.000000e+00
-5.729323e-14 0.000000e+00 0.000000e+00
2.255709e-13 0.000000e+00 0.000000e+00
-1.350954e-13 0.000000e+00 0.000000e+00
-7.886016e-14 0.000000e+00 0.000000e+00
-3.111340e-13 0.000000e+00 0.000000e+00
-3.706997e-14 0.000000e+00 0.000000e+00
-2.577349e-13 0.000000e+00 0.000000e+00
-6.647334e-14 0.000000e+00 0.000000e+00
2.043950e-13 0.000000e+00 0.000000e+00
-1.033458e-13 0.000000e+00 0.000000e+00
2.083136e-13 0.000000e+00 0.000000e+00
-1.236145e-13 0.000000e+00 0.000000e+00
-1.397484e-13 0.000000e+00 0.000000e+00
-1.011354e-13 0.000000e+00 0.000000e+00
-8.985018e-15 0.000000e+00 0.000000e+00
3.883483e-13 0.000000e+00 0.000000e+00
-1.475563e-13 0.000000e+00 0.000000e+00
-1.344492e-13 0.000000e+00 0.000000e+00
-1.637490e-13 0.000000e+00 0.000000e+00
3.224606e-13 0.000000e+00 0.000000e+00
4.254954e-15 0.000000e+00 0.000000e+00
3.098871e-14 0.000000e+00 0.000000e+00
1.139934e-13 0.000000e+00 0.000000e+00
8.079135e-14 0.000000e+00 0.000000e+00
2.358101e-14 0.000000e+00 0.000000e+00
-4.619592e-13 0.000000e+00 0.000000e+00
-1.992039e-13 0.000000e+00 0.000000e+00
1.059435e-13 0.000000e+00 0.000000e+00
-1.987786e-13 0.000000e+00 0.000000e+00
-9.419894e-14 0.000000e+00 0.000000e+00
1.577531e-13 0.000000e+00 0.000000e+00
-5.074926e-14 0.000000e+00 0.000000e+00
3.811987e-13 0.000000e+00 0.000000e+00
6.491764e-14 0.000000e+00 0.000000e+00
-4.124519e-14 0.000000e+00 0.000000e+00
1.323505e-13 0.000000e+00 0.000000e+00
2.673557e-13 0.000000e+00 0.000000e+00
5.004754e-13 0.000000e+00 0.000000e+00
1.275485e-13 0.000000e+00 0.000000e+00
8.604344e-14 0.000000e+00 0.000000e+00
8.217970e-14 0.000000e+00 0.000000e+00
-2.846508e-14 0.000000e+00 0.000000e+00
-1.178567e-13 0.000000e+00 0.000000e+00
-2.157554e-13 0.000000e+00 0.000000e+00
1.083600e-13 0.000000e+00 0.000000e+00
2.447670e-13 0.000000e+00 0.000000e+00
-1.171105e-15 0.000000e+00 0.000000e+00
-2.905035e-13 0.000000e+00 0.000000e+00
1.321810e-13 0.000000e+00 0.000000e+00
-6.094401e-14 0.000000e+00 0.000000e+00
-1.921665e-13 0.000000e+00 0.000000e+00
-4.788643e-14 0.000000e+00 0.000000e+00
1.781911e-13 0.000000e+00 0.000000e+00
2.432471e-13 0.000000e+00 0.000000e+00
-1.802911e-13 0.000000e+00 0.000000e+00
-1.360726e-13 0.000000e+00 0.000000e+00
-8.029897e-15 0.000000e+00 0.000000e+00
-2.459376e-14 0.000000e+00 0.000000e+00
-3.592288e-13 0.000000e+00 0.000000e+00
2.149123e-13 0.000000e+00 0.000000e+00
1.847457e-13 0.000000e+00 0.000000e+00
9.235979e-14 0.000000e+00 0.000000e+00
5.720186e-14 0.000000e+00 0.000000e+00
-8.909888e-14 0.000000e+00 0.000000e+00
5.878793e-14 0.000000e+00 0.000000e+00
-3.697869e-14 0.000000e+00 0.000000e+00
2.929652e-13 0.000000e+00 0.000000e+00
-5.347020e-14 0.000000e+00 0.000000e+00
-6.031839e-15 0.000000e+00 0.000000e+00
1.289684e-13 0.000000e+00 0.000000e+00
9.158267e-14 0.000000e+00 0.000000e+00
-1.494284e-13 0.000000e+00 0.000000e+00
-2.373711e-13 0.000000e+00 0.000000e+00
8.232933e-14 0.000000e+00 0.000000e+00
4.058444e-13 0.000000e+00 0.000000e+00
4.081952e-14 0.000000e+00 0.000000e+00
-2.970981e-13 0.000000e+00 0.000000e+00
5.169222e-14 0.000000e+00 0.000000e+00
1.004512e-13 0.000000e+00 0.000000e+00
-3.764533e-13 0.000000e+00 0.000000e+00
-8.560132e-14 0.000000e+00 0.000000e+00
-2.033036e-13 0.000000e+00 0.000000e+00
5.148467e-14 0.000000e+00 0.000000e+00
-1.401518e-13 0.000000e+00 0.000000e+00
1.538803e-13 0.000000e+00 0.000000e+00
1.114072e-13 0.000000e+00 0.000000e+00
2.298972e-13 0.000000e+00 0.000000e+00
-1.807362e-13 0.000000e+00 0.000000e+00
-4.991915e-14 0.000000e+00 0.000000e+00
4.949071e-14 0.000000e+00 0.000000e+00
-5.595069e-14 0.000000e+00 0.000000e+00
2.362940e-13 0.000000e+00 0.000000e+00
-6.129977e-14 0.000000e+00 0.000000e+00
-1.280403e-13 0.000000e+00 0.000000e+00
-1.629222e-13 0.000000e+00 0.000000e+00
-5.659062e-14 0.000000e+00 0.000000e+00
-3.461983e-13 0.000000e+00 0.000000e+00
1.216951e-14 0.000000e+00 0.000000e+00
