FX FY FZ 
-5.038461e-10 -0.000000e+00 -0.000000e+00
-2.592782e-09 -0.000000e+00 -0.000000e+00
-1.010009e-09 -0.000000e+00 -0.000000e+00
-1.876724e-09 -0.000000e+00 -0.000000e+00
2.999888e-09 -0.000000e+00 -0.000000e+00
-6.290837e-10 -0.000000e+00 -0.000000e+00
-2.998648e-10 -0.000000e+00 -0.000000e+00
1.207274e-10 -0.000000e+00 -0.000000e+00
1.520139e-09 -0.000000e+00 -0.000000e+00
1.500971e-09 -0.000000e+00 -0.000000e+00
-1.890753e-09 -0.000000e+00 -0.000000e+00
3.531865e-10 -0.000000e+00 -0.000000e+00
-1.893711e-10 -0.000000e+00 -0.000000e+00
-1.926106e-11 -0.000000e+00 -0.000000e+00
-5.093150e-10 -0.000000e+00 -0.000000e+00
-1.094592e-09 -0.000000e+00 -0.000000e+00
6.898002e-10 -0.000000e+00 -0.000000e+00
7.217571e-10 -0.000000e+00 -0.000000e+00
1.705449e-09 -0.000000e+00 -0.000000e+00
-5.902314e-10 -0.000000e+00 -0.000000e+00
-6.032827e-10 -0.000000e+00 -0.000000e+00
-6.198578e-10 -0.000000e+00 -0.000000e+00
-3.333743e-10 -0.000000e+00 -0.000000e+00
1.071888e-10 -0.000000e+00 -0.000000e+00
1.536439e-09 -0.000000e+00 -0.000000e+00
-9.764336e-10 -0.000000e+00 -0.000000e+00
5.747233e-11 -0.000000e+00 -0.000000e+00
-3.081332e-10 -0.000000e+00 -0.000000e+00
3.662624e-10 -0.000000e+00 -0.000000e+00
2.920891e-11 -0.000000e+00 -0.000000e+00
-1.703087e-09 -0.000000e+00 -0.000000e+00
1.287996e-09 -0.000000e+00 -0.000000e+00
-1.710925e-09 -0.000000e+00 -0.000000e+00
-4.147809e-10 -0.000000e+00 -0.000000e+00
3.644261e-11 -0.000000e+00 -0.000000e+00
-1.774642e-09 -0.000000e+00 -0.000000e+00
-2.255172e-10 -0.000000e+00 -0.000000e+00
7.754639e-10 -0.000000e+00 -0.000000e+00
1.907511e-09 -0.000000e+00 -0.000000e+00
-9.004483e-10 -0.000000e+00 -0.000000e+00
5.240002e-10 -0.000000e+00 -0.000000e+00
-9.049702e-10 -0.000000e+00 -0.000000e+00
-2.147293e-09 -0.000000e+00 -0.000000e+00
1.521491e-09 -0.000000e+00 -0.000000e+00
5.549423e-10 -0.000000e+00 -0.000000e+00
-1.834720e-09 -0.000000e+00 -0.000000e+00
-5.905958e-10 -0.000000e+00 -0.000000e+00
-4.558267e-10 -0.000000e+00 -0.000000e+00
-6.722365e-10 -0.000000e+00 -0.000000e+00
8.181145e-11 -0.000000e+00 -0.000000e+00
8.153800e-10 -0.000000e+00 -0.000000e+00
-1.296111e-09 -0.000000e+00 -0.000000e+00
5.577069e-10 -0.000000e+00 -0.000000e+00
1.464521e-09 -0.000000e+00 -0.000000e+00
1.803215e-09 -0.000000e+00 -0.000000e+00
-6.716601e-10 -0.000000e+00 -0.000000e+00
7.435437e-10 -0.000000e+00 -0.000000e+00
-1.285037e-09 -0.000000e+00 -0.000000e+00
4.583258e-10 -0.000000e+00 -0.000000e+00
6.771584e-10 -0.000000e+00 -0.000000e+00
7.302448e-10 -0.000000e+00 -0.000000e+00
1.418063e-10 -0.000000e+00 -0.000000e+00
-1.604734e-10 -0.000000e+00 -0.000000e+00
-2.293789e-11 -0.000000e+00 -0.000000e+00
1.753370e-09 -0.000000e+00 -0.000000e+00
8.650964e-10 -0.000000e+00 -0.000000e+00
-1.683843e-09 -0.000000e+00 -0.000000e+00
4.614820e-10 -0.000000e+00 -0.000000e+00
9.263045e-11 -0.000000e+00 -0.000000e+00
-4.760609e-10 -0.000000e+00 -0.000000e+00
2.840382e-10 -0.000000e+00 -0.000000e+00
1.517821e-09 -0.000000e+00 -0.000000e+00
3.132570e-10 -0.000000e+00 -0.000000e+00
1.897730e-09 -0.000000e+00 -0.000000e+00
-7.622314e-10 -0.000000e+00 -0.000000e+00
-4.911135e-10 -0.000000e+00 -0.000000e+00
2.011140e-09 -0.000000e+00 -0.000000e+00
4.974926e-11 -0.000000e+00 -0.000000e+00
1.166951e-09 -0.000000e+00 -0.000000e+00
-1.502493e-09 -0.000000e+00 -0.000000e+00
1.822731e-09 -0.000000e+00 -0.000000e+00
1.511857e-09 -0.000000e+00 -0.000000e+00
7.752103e-10 -0.000000e+00 -0.000000e+00
1.245616e-09 -0.000000e+00 -0.000000e+00
-1.722010e-10 -0.000000e+00 -0.000000e+00
9.442650e-10 -0.000000e+00 -0.000000e+00
4.771557e-11 -0.000000e+00 -0.000000e+00
-2.915829e-09 -0.000000e+00 -0.000000e+00
-9.493379e-10 -0.000000e+00 -0.000000e+00
1.530890e-09 -0.000000e+00 -0.000000e+00
-1.148324e-10 -0.000000e+00 -0.000000e+00
1.578010e-09 -0.000000e+00 -0.000000e+00
-1.124912e-10 -0.000000e+00 -0.000000e+00
1.475885e-09 -0.000000e+00 -0.000000e+00
-2.449157e-10 -0.000000e+00 -0.000000e+00
-2.301604e-10 -0.000000e+00 -0.000000e+00
1.015040e-09 -0.000000e+00 -0.000000e+00
1.064889e-09 -0.000000e+00 -0.000000e+00
-4.912114e-11 -0.000000e+00 -0.000000e+00
-7.543841e-10 -0.000000e+00 -0.000000e+00
1.219290e-09 -0.000000e+00 -0.000000e+00
-1.748138e-10 -0.000000e+00 -0.000000e+00
-1.396617e-09 -0.000000e+00 -0.000000e+00
7.440183e-10 -0.000000e+00 -0.000000e+00
1.101131e-09 -0.000000e+00 -0.000000e+00
-1.105044e-10 -0.000000e+00 -0.000000e+00
9.681276e-10 -0.000000e+00 -0.000000e+00
-1.822844e-09 -0.000000e+00 -0.000000e+00
1.251385e-09 -0.000000e+00 -0.000000e+00
1.647235e-09 -0.000000e+00 -0.000000e+00
-1.113672e-09 -0.000000e+00 -0.000000e+00
-1.923018e-09 -0.000000e+00 -0.000000e+00
1.933077e-11 -0.000000e+00 -0.000000e+00
1.524969e-09 -0.000000e+00 -0.000000e+00
-8.782748e-10 -0.000000e+00 -0.000000e+00
-1.859549e-09 -0.000000e+00 -0.000000e+00
-4.845220e-10 -0.000000e+00 -0.000000e+00
2.734671e-09 -0.000000e+00 -0.000000e+00
1.574420e-09 -0.000000e+00 -0.000000e+00
1.897218e-09 -0.000000e+00 -0.000000e+00
8.288311e-10 -0.000000e+00 -0.000000e+00
2.936180e-09 -0.000000e+00 -0.000000e+00
1.080718e-09 -0.000000e+00 -0.000000e+00
-7.246357e-10 -0.000000e+00 -0.000000e+00
9.273770e-10 -0.000000e+00 -0.000000e+00
8.512160e-11 -0.000000e+00 -0.000000e+00
5.123740e-10 -0.000000e+00 -0.000000e+00
5.456880e-12 -0.000000e+00 -0.000000e+00
5.264235e-10 -0.000000e+00 -0.000000e+00
1.697154e-10 -0.000000e+00 -0.000000e+00
-8.535837e-10 -0.000000e+00 -0.000000e+00
6.963306e-10 -0.000000e+00 -0.000000e+00
2.108779e-09 -0.000000e+00 -0.000000e+00
-2.338034e-09 -0.000000e+00 -0.000000e+00
9.344982e-10 -0.000000e+00 -0.000000e+00
-1.528484e-09 -0.000000e+00 -0.000000e+00
-1.641463e-09 -0.000000e+00 -0.000000e+00
-4.905328e-10 -0.000000e+00 -0.000000e+00
-5.217098e-10 -0.000000e+00 -0.000000e+00
3.639522e-10 -0.000000e+00 -0.000000e+00
7.437628e-10 -0.000000e+00 -0.000000e+00
-4.400392e-10 -0.000000e+00 -0.000000e+00
-7.521211e-10 -0.000000e+00 -0.000000e+00
-2.196201e-09 -0.000000e+00 -0.000000e+00
1.493320e-09 -0.000000e+00 -0.000000e+00
-8.794262e-11 -0.000000e+00 -0.000000e+00
1.637465e-09 -0.000000e+00 -0.000000e+00
1.622366e-09 -0.000000e+00 -0.000000e+00
5.943664e-10 -0.000000e+00 -0.000000e+00
1.835864e-09 -0.000000e+00 -0.000000e+00
-2.834701e-09 -0.000000e+00 -0.000000e+00
1.906079e-09 -0.000000e+00 -0.000000e+00
-1.061843e-09 -0.000000e+00 -0.000000e+00
5.454551e-10 -0.000000e+00 -0.000000e+00
-1.137723e-09 -0.000000e+00 -0.000000e+00
1.874728e-09 -0.000000e+00 -0.000000e+00
-1.120125e-09 -0.000000e+00 -0.000000e+00
1.447853e-09 -0.000000e+00 -0.000000e+00
1.110501e-09 -0.000000e+00 -0.000000e+00
-4.240790e-10 -0.000000e+00 -0.000000e+00
6.395276e-10 -0.000000e+00 -0.000000e+00
-7.321954e-10 -0.000000e+00 -0.000000e+00
6.628706e-10 -0.000000e+00 -0.000000e+00
-6.857416e-11 -0.000000e+00 -0.000000e+00
-3.266520e-10 -0.000000e+00 -0.000000e+00
-1.595112e-09 -0.000000e+00 -0.000000e+00
-1.598271e-09 -0.000000e+00 -0.000000e+00
1.195278e-09 -0.000000e+00 -0.000000e+00
4.183968e-10 -0.000000e+00 -0.000000e+00
-9.821048e-11 -0.000000e+00 -0.000000e+00
5.541097e-10 -0.000000e+00 -0.000000e+00
-7.665502e-10 -0.000000e+00 -0.000000e+00
-1.644882e-09 -0.000000e+00 -0.000000e+00
-9.548973e-10 -0.000000e+00 -0.000000e+00
7.576320e-11 -0.000000e+00 -0.000000e+00
3.345224e-10 -0.000000e+00 -0.000000e+00
2.562517e-09 -0.000000e+00 -0.000000e+00
-7.331882e-10 -0.000000e+00 -0.000000e+00
-8.393730e-10 -0.000000e+00 -0.000000e+00
-3.881051e-10 -0.000000e+00 -0.000000e+00
7.582740e-10 -0.000000e+00 -0.000000e+00
-1.083650e-09 -0.000000e+00 -0.000000e+00
2.232239e-11 -0.000000e+00 -0.000000e+00
-1.481356e-10 -0.000000e+00 -0.000000e+00
