Step X Y Z 
125000 9.931478e-11 0.000000e+00 0.000000e+00
130000 9.155483e-11 0.000000e+00 0.000000e+00
135000 8.911704e-11 0.000000e+00 0.000000e+00
140000 7.082031e-11 0.000000e+00 0.000000e+00
145000 7.816579e-11 0.000000e+00 0.000000e+00
150000 8.736244e-11 0.000000e+00 0.000000e+00
155000 9.706147e-11 0.000000e+00 0.000000e+00
160000 1.060503e-10 0.000000e+00 0.000000e+00
165000 1.033112e-10 0.000000e+00 0.000000e+00
170000 1.008972e-10 0.000000e+00 0.000000e+00
175000 9.433993e-11 0.000000e+00 0.000000e+00
180000 9.286614e-11 0.000000e+00 0.000000e+00
185000 1.126347e-10 0.000000e+00 0.000000e+00
190000 1.142578e-10 0.000000e+00 0.000000e+00
195000 1.232601e-10 0.000000e+00 0.000000e+00
200000 1.180125e-10 0.000000e+00 0.000000e+00
205000 1.092440e-10 0.000000e+00 0.000000e+00
210000 9.582491e-11 0.000000e+00 0.000000e+00
215000 9.022805e-11 0.000000e+00 0.000000e+00
220000 7.650710e-11 0.000000e+00 0.000000e+00
225000 6.574631e-11 0.000000e+00 0.000000e+00
230000 7.515867e-11 0.000000e+00 0.000000e+00
235000 6.805869e-11 0.000000e+00 0.000000e+00
240000 6.918613e-11 0.000000e+00 0.000000e+00
245000 7.209468e-11 0.000000e+00 0.000000e+00
250000 7.411932e-11 0.000000e+00 0.000000e+00
255000 1.048716e-10 0.000000e+00 0.000000e+00
260000 5.786793e-11 0.000000e+00 0.000000e+00
265000 5.596231e-11 0.000000e+00 0.000000e+00
270000 5.359680e-11 0.000000e+00 0.000000e+00
275000 -9.653133e-11 0.000000e+00 0.000000e+00
280000 -1.054684e-10 0.000000e+00 0.000000e+00
285000 -9.999386e-11 0.000000e+00 0.000000e+00
290000 -1.073700e-10 0.000000e+00 0.000000e+00
295000 -1.237614e-10 0.000000e+00 0.000000e+00
300000 -1.168486e-10 0.000000e+00 0.000000e+00
305000 -1.153484e-10 0.000000e+00 0.000000e+00
310000 -1.039437e-10 0.000000e+00 0.000000e+00
315000 -1.020185e-10 0.000000e+00 0.000000e+00
320000 -1.109971e-10 0.000000e+00 0.000000e+00
325000 -1.092579e-10 0.000000e+00 0.000000e+00
330000 -1.275532e-10 0.000000e+00 0.000000e+00
335000 -1.182510e-10 0.000000e+00 0.000000e+00
340000 -1.223963e-10 0.000000e+00 0.000000e+00
345000 -1.205534e-10 0.000000e+00 0.000000e+00
350000 -7.025811e-11 0.000000e+00 0.000000e+00
355000 -4.043823e-11 0.000000e+00 0.000000e+00
360000 -3.735875e-11 0.000000e+00 0.000000e+00
365000 -1.638595e-11 0.000000e+00 0.000000e+00
370000 1.652271e-11 0.000000e+00 0.000000e+00
375000 -4.909382e-13 0.000000e+00 0.000000e+00
380000 -1.391179e-11 0.000000e+00 0.000000e+00
385000 -2.260937e-12 0.000000e+00 0.000000e+00
390000 -8.975400e-12 0.000000e+00 0.000000e+00
395000 -5.733488e-12 0.000000e+00 0.000000e+00
400000 -3.413504e-12 0.000000e+00 0.000000e+00
405000 -4.556059e-12 0.000000e+00 0.000000e+00
410000 -1.087525e-11 0.000000e+00 0.000000e+00
415000 -1.216513e-11 0.000000e+00 0.000000e+00
420000 -2.792226e-11 0.000000e+00 0.000000e+00
425000 -3.320910e-11 0.000000e+00 0.000000e+00
430000 -8.498430e-11 0.000000e+00 0.000000e+00
435000 -7.864628e-11 0.000000e+00 0.000000e+00
