Step X Y Z 
121000 9.752686e-11 0.000000e+00 0.000000e+00
121032 1.147052e-10 0.000000e+00 0.000000e+00
121985 1.127417e-10 0.000000e+00 0.000000e+00
122123 1.054823e-10 0.000000e+00 0.000000e+00
122524 1.112531e-10 0.000000e+00 0.000000e+00
122623 1.196831e-10 0.000000e+00 0.000000e+00
122963 1.315380e-10 0.000000e+00 0.000000e+00
123062 1.066679e-10 0.000000e+00 0.000000e+00
123965 1.098189e-10 0.000000e+00 0.000000e+00
124264 1.175635e-10 0.000000e+00 0.000000e+00
125182 9.609907e-11 0.000000e+00 0.000000e+00
125579 9.888214e-11 0.000000e+00 0.000000e+00
127405 1.013653e-10 0.000000e+00 0.000000e+00
127636 1.035787e-10 0.000000e+00 0.000000e+00
129095 8.575189e-11 0.000000e+00 0.000000e+00
130743 1.087262e-10 0.000000e+00 0.000000e+00
130801 1.051306e-10 0.000000e+00 0.000000e+00
134171 9.141899e-11 0.000000e+00 0.000000e+00
134562 9.346996e-11 0.000000e+00 0.000000e+00
136264 7.024015e-11 0.000000e+00 0.000000e+00
136382 9.128650e-11 0.000000e+00 0.000000e+00
138037 8.264657e-11 0.000000e+00 0.000000e+00
139881 7.883556e-11 0.000000e+00 0.000000e+00
143393 7.581024e-11 0.000000e+00 0.000000e+00
144429 7.459594e-11 0.000000e+00 0.000000e+00
144696 9.505889e-11 0.000000e+00 0.000000e+00
146261 6.914961e-11 0.000000e+00 0.000000e+00
146265 6.997944e-11 0.000000e+00 0.000000e+00
146378 8.736357e-11 0.000000e+00 0.000000e+00
146617 7.802149e-11 0.000000e+00 0.000000e+00
147616 8.002134e-11 0.000000e+00 0.000000e+00
149091 8.890252e-11 0.000000e+00 0.000000e+00
150685 8.672916e-11 0.000000e+00 0.000000e+00
151399 8.998139e-11 0.000000e+00 0.000000e+00
151458 8.781135e-11 0.000000e+00 0.000000e+00
151497 9.070759e-11 0.000000e+00 0.000000e+00
152398 7.191540e-11 0.000000e+00 0.000000e+00
154419 7.101560e-11 0.000000e+00 0.000000e+00
154638 7.506311e-11 0.000000e+00 0.000000e+00
154857 8.513402e-11 0.000000e+00 0.000000e+00
155634 8.169126e-11 0.000000e+00 0.000000e+00
156860 8.344450e-11 0.000000e+00 0.000000e+00
157983 8.088330e-11 0.000000e+00 0.000000e+00
158164 1.304549e-10 0.000000e+00 0.000000e+00
158619 1.134217e-10 0.000000e+00 0.000000e+00
159531 1.253437e-10 0.000000e+00 0.000000e+00
160134 1.270110e-10 0.000000e+00 0.000000e+00
160442 1.292869e-10 0.000000e+00 0.000000e+00
162475 1.281388e-10 0.000000e+00 0.000000e+00
165073 1.159271e-10 0.000000e+00 0.000000e+00
167451 1.220537e-10 0.000000e+00 0.000000e+00
167751 1.184355e-10 0.000000e+00 0.000000e+00
168772 1.236706e-10 0.000000e+00 0.000000e+00
169795 1.079581e-10 0.000000e+00 0.000000e+00
170528 1.222223e-10 0.000000e+00 0.000000e+00
171001 1.020218e-10 0.000000e+00 0.000000e+00
171671 1.027603e-10 0.000000e+00 0.000000e+00
172574 9.986906e-11 0.000000e+00 0.000000e+00
172877 9.256461e-11 0.000000e+00 0.000000e+00
174599 9.392814e-11 0.000000e+00 0.000000e+00
174667 9.501433e-11 0.000000e+00 0.000000e+00
177098 1.064461e-10 0.000000e+00 0.000000e+00
177153 9.967849e-11 0.000000e+00 0.000000e+00
177160 9.639672e-11 0.000000e+00 0.000000e+00
178240 9.177634e-11 0.000000e+00 0.000000e+00
178476 1.170782e-10 0.000000e+00 0.000000e+00
180008 1.136248e-10 0.000000e+00 0.000000e+00
181652 1.206525e-10 0.000000e+00 0.000000e+00
181708 1.206471e-10 0.000000e+00 0.000000e+00
182665 1.335785e-10 0.000000e+00 0.000000e+00
183541 1.241458e-10 0.000000e+00 0.000000e+00
183932 1.231925e-10 0.000000e+00 0.000000e+00
184087 1.069257e-10 0.000000e+00 0.000000e+00
184243 1.100203e-10 0.000000e+00 0.000000e+00
