Step X Y Z 
125000 9.578056e-11 0.000000e+00 0.000000e+00
127497 9.783818e-11 0.000000e+00 0.000000e+00
129917 1.166041e-10 0.000000e+00 0.000000e+00
130155 1.042609e-10 0.000000e+00 0.000000e+00
133732 8.404290e-11 0.000000e+00 0.000000e+00
144027 5.542406e-11 0.000000e+00 0.000000e+00
151185 7.117092e-11 0.000000e+00 0.000000e+00
155894 7.784352e-11 0.000000e+00 0.000000e+00
170224 8.001482e-11 0.000000e+00 0.000000e+00
174147 8.235852e-11 0.000000e+00 0.000000e+00
174649 9.944025e-11 0.000000e+00 0.000000e+00
176181 1.023989e-10 0.000000e+00 0.000000e+00
182203 1.011578e-10 0.000000e+00 0.000000e+00
185293 1.217289e-10 0.000000e+00 0.000000e+00
193409 1.177261e-10 0.000000e+00 0.000000e+00
194070 1.196347e-10 0.000000e+00 0.000000e+00
200586 1.242934e-10 0.000000e+00 0.000000e+00
200620 1.414728e-10 0.000000e+00 0.000000e+00
203251 1.430250e-10 0.000000e+00 0.000000e+00
213362 1.103183e-10 0.000000e+00 0.000000e+00
233615 1.061745e-10 0.000000e+00 0.000000e+00
239308 1.090630e-10 0.000000e+00 0.000000e+00
247568 6.890610e-11 0.000000e+00 0.000000e+00
251638 6.710268e-11 0.000000e+00 0.000000e+00
267930 6.449812e-11 0.000000e+00 0.000000e+00
271723 6.477867e-11 0.000000e+00 0.000000e+00
276282 8.778949e-11 0.000000e+00 0.000000e+00
278493 8.613368e-11 0.000000e+00 0.000000e+00
279390 9.034274e-11 0.000000e+00 0.000000e+00
279400 8.700807e-11 0.000000e+00 0.000000e+00
285086 9.665848e-11 0.000000e+00 0.000000e+00
286384 1.142892e-10 0.000000e+00 0.000000e+00
289068 1.158207e-10 0.000000e+00 0.000000e+00
290652 1.007982e-10 0.000000e+00 0.000000e+00
293063 9.325106e-11 0.000000e+00 0.000000e+00
296132 9.175699e-11 0.000000e+00 0.000000e+00
305408 9.466390e-11 0.000000e+00 0.000000e+00
314367 8.914150e-11 0.000000e+00 0.000000e+00
319918 1.072907e-10 0.000000e+00 0.000000e+00
341421 1.128500e-10 0.000000e+00 0.000000e+00
341709 9.195746e-11 0.000000e+00 0.000000e+00
342056 1.253451e-10 0.000000e+00 0.000000e+00
354213 1.228548e-10 0.000000e+00 0.000000e+00
356892 1.269659e-10 0.000000e+00 0.000000e+00
357258 -1.049179e-10 0.000000e+00 0.000000e+00
373266 -5.389049e-11 0.000000e+00 0.000000e+00
381149 -1.026633e-10 0.000000e+00 0.000000e+00
383946 -9.020143e-11 0.000000e+00 0.000000e+00
388012 -1.000035e-10 0.000000e+00 0.000000e+00
388923 -1.093262e-10 0.000000e+00 0.000000e+00
392459 -1.187428e-10 0.000000e+00 0.000000e+00
392537 -1.331238e-10 0.000000e+00 0.000000e+00
393662 -1.169627e-10 0.000000e+00 0.000000e+00
397191 -1.161798e-10 0.000000e+00 0.000000e+00
402458 -8.146234e-11 0.000000e+00 0.000000e+00
402551 -8.269817e-11 0.000000e+00 0.000000e+00
403887 -8.758296e-11 0.000000e+00 0.000000e+00
404274 -8.848464e-11 0.000000e+00 0.000000e+00
422682 -9.674675e-11 0.000000e+00 0.000000e+00
423773 -9.823408e-11 0.000000e+00 0.000000e+00
427221 -9.529077e-11 0.000000e+00 0.000000e+00
443470 -9.208877e-11 0.000000e+00 0.000000e+00
446203 -1.112317e-10 0.000000e+00 0.000000e+00
454928 -1.074354e-10 0.000000e+00 0.000000e+00
462501 -1.142989e-10 0.000000e+00 0.000000e+00
464136 -1.123655e-10 0.000000e+00 0.000000e+00
465337 -1.037840e-10 0.000000e+00 0.000000e+00
480976 -1.014889e-10 0.000000e+00 0.000000e+00
485899 -9.375227e-11 0.000000e+00 0.000000e+00
499788 -1.062132e-10 0.000000e+00 0.000000e+00
502055 -1.099887e-10 0.000000e+00 0.000000e+00
513200 -7.645463e-11 0.000000e+00 0.000000e+00
517567 -1.213980e-10 0.000000e+00 0.000000e+00
524969 -1.259478e-10 0.000000e+00 0.000000e+00
525115 -1.283255e-10 0.000000e+00 0.000000e+00
525741 -1.274915e-10 0.000000e+00 0.000000e+00
527022 -9.132391e-11 0.000000e+00 0.000000e+00
532252 -7.384625e-11 0.000000e+00 0.000000e+00
533378 -7.782661e-11 0.000000e+00 0.000000e+00
534513 -7.536175e-11 0.000000e+00 0.000000e+00
538741 -6.864970e-11 0.000000e+00 0.000000e+00
541124 -7.135613e-11 0.000000e+00 0.000000e+00
544895 -7.009507e-11 0.000000e+00 0.000000e+00
548198 -1.247050e-10 0.000000e+00 0.000000e+00
549672 -1.231363e-10 0.000000e+00 0.000000e+00
560005 -1.360318e-10 0.000000e+00 0.000000e+00
560984 -1.427685e-10 0.000000e+00 0.000000e+00
575100 -1.374494e-10 0.000000e+00 0.000000e+00
575492 -1.407189e-10 0.000000e+00 0.000000e+00
583477 -1.204190e-10 0.000000e+00 0.000000e+00
586078 7.071781e-12 0.000000e+00 0.000000e+00
589184 4.999829e-11 0.000000e+00 0.000000e+00
595682 4.557780e-11 0.000000e+00 0.000000e+00
601379 3.030404e-11 0.000000e+00 0.000000e+00
606903 3.974451e-11 0.000000e+00 0.000000e+00
610458 1.906050e-11 0.000000e+00 0.000000e+00
613902 1.146396e-11 0.000000e+00 0.000000e+00
616927 9.958279e-12 0.000000e+00 0.000000e+00
618642 6.006927e-11 0.000000e+00 0.000000e+00
632733 5.855336e-11 0.000000e+00 0.000000e+00
643210 5.162820e-11 0.000000e+00 0.000000e+00
671391 5.269017e-11 0.000000e+00 0.000000e+00
671716 5.663055e-11 0.000000e+00 0.000000e+00
674033 4.064983e-11 0.000000e+00 0.000000e+00
678236 4.336425e-11 0.000000e+00 0.000000e+00
692447 4.177723e-11 0.000000e+00 0.000000e+00
694651 4.698186e-11 0.000000e+00 0.000000e+00
697589 6.264556e-11 0.000000e+00 0.000000e+00
698221 6.169339e-11 0.000000e+00 0.000000e+00
707333 5.417995e-11 0.000000e+00 0.000000e+00
711647 4.493362e-11 0.000000e+00 0.000000e+00
722828 3.597578e-11 0.000000e+00 0.000000e+00
733845 3.353747e-11 0.000000e+00 0.000000e+00
734698 3.803106e-11 0.000000e+00 0.000000e+00
734821 3.734262e-11 0.000000e+00 0.000000e+00
735178 2.277290e-11 0.000000e+00 0.000000e+00
739063 -4.701851e-11 0.000000e+00 0.000000e+00
740211 -4.507668e-11 0.000000e+00 0.000000e+00
741209 4.599933e-12 0.000000e+00 0.000000e+00
746318 5.984665e-12 0.000000e+00 0.000000e+00
749174 -4.164307e-11 0.000000e+00 0.000000e+00
754192 -6.693917e-11 0.000000e+00 0.000000e+00
760974 -6.195656e-11 0.000000e+00 0.000000e+00
767892 -6.520249e-11 0.000000e+00 0.000000e+00
785353 -8.617594e-11 0.000000e+00 0.000000e+00
795803 -8.007398e-11 0.000000e+00 0.000000e+00
808519 -8.447636e-11 0.000000e+00 0.000000e+00
816165 -5.998706e-11 0.000000e+00 0.000000e+00
835651 -6.336657e-11 0.000000e+00 0.000000e+00
836493 -6.113173e-11 0.000000e+00 0.000000e+00
838804 -5.610120e-11 0.000000e+00 0.000000e+00
841943 -5.525918e-11 0.000000e+00 0.000000e+00
844440 -5.174223e-11 0.000000e+00 0.000000e+00
847878 -4.848668e-11 0.000000e+00 0.000000e+00
850385 -5.022048e-11 0.000000e+00 0.000000e+00
850693 -4.612824e-11 0.000000e+00 0.000000e+00
871591 -4.389319e-11 0.000000e+00 0.000000e+00
881103 -3.273463e-11 0.000000e+00 0.000000e+00
883461 -3.471079e-11 0.000000e+00 0.000000e+00
890859 -4.705281e-13 0.000000e+00 0.000000e+00
905056 -2.907320e-11 0.000000e+00 0.000000e+00
914107 -3.091168e-11 0.000000e+00 0.000000e+00
914245 -2.569004e-11 0.000000e+00 0.000000e+00
915195 -2.720235e-11 0.000000e+00 0.000000e+00
916092 -2.060983e-11 0.000000e+00 0.000000e+00
938138 -2.320017e-11 0.000000e+00 0.000000e+00
938798 -4.793649e-12 0.000000e+00 0.000000e+00
954466 -3.279691e-12 0.000000e+00 0.000000e+00
972769 2.352686e-12 0.000000e+00 0.000000e+00
975918 3.258838e-12 0.000000e+00 0.000000e+00
985085 8.925726e-12 0.000000e+00 0.000000e+00
986195 2.494861e-11 0.000000e+00 0.000000e+00
995840 2.787782e-11 0.000000e+00 0.000000e+00
999646 2.903168e-11 0.000000e+00 0.000000e+00
