Step X Y Z 
125000 1.000839e-10 0.000000e+00 0.000000e+00
127455 9.855425e-11 0.000000e+00 0.000000e+00
131211 9.707979e-11 0.000000e+00 0.000000e+00
142598 9.547816e-11 0.000000e+00 0.000000e+00
143004 1.010796e-10 0.000000e+00 0.000000e+00
153413 1.022550e-10 0.000000e+00 0.000000e+00
157669 1.034851e-10 0.000000e+00 0.000000e+00
176067 9.472852e-11 0.000000e+00 0.000000e+00
180489 9.391390e-11 0.000000e+00 0.000000e+00
184390 9.299954e-11 0.000000e+00 0.000000e+00
192009 1.046247e-10 0.000000e+00 0.000000e+00
199272 1.056901e-10 0.000000e+00 0.000000e+00
212947 1.063938e-10 0.000000e+00 0.000000e+00
214698 1.071745e-10 0.000000e+00 0.000000e+00
215418 1.082288e-10 0.000000e+00 0.000000e+00
215782 1.093271e-10 0.000000e+00 0.000000e+00
219087 1.015052e-10 0.000000e+00 0.000000e+00
224008 1.028752e-10 0.000000e+00 0.000000e+00
225636 1.041638e-10 0.000000e+00 0.000000e+00
226196 9.186767e-11 0.000000e+00 0.000000e+00
229031 9.100651e-11 0.000000e+00 0.000000e+00
246727 9.018627e-11 0.000000e+00 0.000000e+00
248373 8.946146e-11 0.000000e+00 0.000000e+00
253354 8.837520e-11 0.000000e+00 0.000000e+00
264998 1.021893e-10 0.000000e+00 0.000000e+00
270711 9.326247e-11 0.000000e+00 0.000000e+00
275953 1.035309e-10 0.000000e+00 0.000000e+00
276261 1.048801e-10 0.000000e+00 0.000000e+00
282710 1.057187e-10 0.000000e+00 0.000000e+00
283265 1.123567e-10 0.000000e+00 0.000000e+00
283946 9.631739e-11 0.000000e+00 0.000000e+00
292824 1.071623e-10 0.000000e+00 0.000000e+00
295365 1.132648e-10 0.000000e+00 0.000000e+00
295596 9.931340e-11 0.000000e+00 0.000000e+00
301955 9.746726e-11 0.000000e+00 0.000000e+00
308959 9.667799e-11 0.000000e+00 0.000000e+00
315003 9.710479e-11 0.000000e+00 0.000000e+00
315737 9.570448e-11 0.000000e+00 0.000000e+00
318088 9.463273e-11 0.000000e+00 0.000000e+00
332935 9.571918e-11 0.000000e+00 0.000000e+00
347097 1.118202e-10 0.000000e+00 0.000000e+00
356825 1.104162e-10 0.000000e+00 0.000000e+00
360288 1.082451e-10 0.000000e+00 0.000000e+00
363522 8.702037e-11 0.000000e+00 0.000000e+00
371059 9.873146e-11 0.000000e+00 0.000000e+00
383566 9.153736e-11 0.000000e+00 0.000000e+00
388666 1.037744e-10 0.000000e+00 0.000000e+00
388741 1.095281e-10 0.000000e+00 0.000000e+00
392113 1.052645e-10 0.000000e+00 0.000000e+00
398369 1.064877e-10 0.000000e+00 0.000000e+00
398554 1.087767e-10 0.000000e+00 0.000000e+00
405492 1.108323e-10 0.000000e+00 0.000000e+00
410649 9.941401e-11 0.000000e+00 0.000000e+00
412334 9.370027e-11 0.000000e+00 0.000000e+00
415808 9.491822e-11 0.000000e+00 0.000000e+00
418829 7.461870e-11 0.000000e+00 0.000000e+00
419586 9.077692e-11 0.000000e+00 0.000000e+00
423368 8.917950e-11 0.000000e+00 0.000000e+00
427371 9.386971e-11 0.000000e+00 0.000000e+00
433737 1.151351e-10 0.000000e+00 0.000000e+00
434243 9.810665e-11 0.000000e+00 0.000000e+00
435207 1.043479e-10 0.000000e+00 0.000000e+00
443264 8.634946e-11 0.000000e+00 0.000000e+00
444039 1.077005e-10 0.000000e+00 0.000000e+00
462655 1.065853e-10 0.000000e+00 0.000000e+00
462886 1.039985e-10 0.000000e+00 0.000000e+00
472753 1.055138e-10 0.000000e+00 0.000000e+00
476014 8.834186e-11 0.000000e+00 0.000000e+00
482332 1.100775e-10 0.000000e+00 0.000000e+00
