pX pY pZ 
-1.592613e-12 0.000000e+00 0.000000e+00
-1.243858e-11 0.000000e+00 0.000000e+00
-2.077118e-11 0.000000e+00 0.000000e+00
-2.490670e-11 0.000000e+00 0.000000e+00
-2.400950e-11 0.000000e+00 0.000000e+00
-1.826087e-11 0.000000e+00 0.000000e+00
-8.822406e-12 0.000000e+00 0.000000e+00
2.398740e-12 0.000000e+00 0.000000e+00
1.313519e-11 0.000000e+00 0.000000e+00
2.121751e-11 0.000000e+00 0.000000e+00
2.501256e-11 0.000000e+00 0.000000e+00
2.375350e-11 0.000000e+00 0.000000e+00
1.769475e-11 0.000000e+00 0.000000e+00
8.060546e-12 0.000000e+00 0.000000e+00
-3.202393e-12 0.000000e+00 0.000000e+00
-1.381825e-11 0.000000e+00 0.000000e+00
-2.164195e-11 0.000000e+00 0.000000e+00
-2.509262e-11 0.000000e+00 0.000000e+00
-2.347301e-11 0.000000e+00 0.000000e+00
-1.711037e-11 0.000000e+00 0.000000e+00
-7.290372e-12 0.000000e+00 0.000000e+00
4.002742e-12 0.000000e+00 0.000000e+00
1.448705e-11 0.000000e+00 0.000000e+00
2.204407e-11 0.000000e+00 0.000000e+00
2.514680e-11 0.000000e+00 0.000000e+00
2.316830e-11 0.000000e+00 0.000000e+00
1.650835e-11 0.000000e+00 0.000000e+00
6.512678e-12 0.000000e+00 0.000000e+00
-4.798963e-12 0.000000e+00 0.000000e+00
-1.514091e-11 0.000000e+00 0.000000e+00
-2.242345e-11 0.000000e+00 0.000000e+00
-2.517504e-11 0.000000e+00 0.000000e+00
-2.283969e-11 0.000000e+00 0.000000e+00
-1.588930e-11 0.000000e+00 0.000000e+00
-5.728266e-12 0.000000e+00 0.000000e+00
5.590234e-12 0.000000e+00 0.000000e+00
1.577916e-11 0.000000e+00 0.000000e+00
2.277970e-11 0.000000e+00 0.000000e+00
2.517731e-11 0.000000e+00 0.000000e+00
2.248753e-11 0.000000e+00 0.000000e+00
1.525386e-11 0.000000e+00 0.000000e+00
4.937947e-12 0.000000e+00 0.000000e+00
-6.375739e-12 0.000000e+00 0.000000e+00
-1.640113e-11 0.000000e+00 0.000000e+00
-2.311246e-11 0.000000e+00 0.000000e+00
-2.515362e-11 0.000000e+00 0.000000e+00
-2.211217e-11 0.000000e+00 0.000000e+00
-1.460268e-11 0.000000e+00 0.000000e+00
-4.142534e-12 0.000000e+00 0.000000e+00
7.154668e-12 0.000000e+00 0.000000e+00
1.700618e-11 0.000000e+00 0.000000e+00
2.342137e-11 0.000000e+00 0.000000e+00
2.510398e-11 0.000000e+00 0.000000e+00
2.171401e-11 0.000000e+00 0.000000e+00
1.393645e-11 0.000000e+00 0.000000e+00
3.342848e-12 0.000000e+00 0.000000e+00
-7.926217e-12 0.000000e+00 0.000000e+00
-1.759369e-11 0.000000e+00 0.000000e+00
-2.370613e-11 0.000000e+00 0.000000e+00
-2.502845e-11 0.000000e+00 0.000000e+00
-2.129345e-11 0.000000e+00 0.000000e+00
-1.325584e-11 0.000000e+00 0.000000e+00
-2.539714e-12 0.000000e+00 0.000000e+00
8.689590e-12 0.000000e+00 0.000000e+00
1.816305e-11 0.000000e+00 0.000000e+00
2.396644e-11 0.000000e+00 0.000000e+00
2.492710e-11 0.000000e+00 0.000000e+00
2.085092e-11 0.000000e+00 0.000000e+00
1.256155e-11 0.000000e+00 0.000000e+00
1.733960e-12 0.000000e+00 0.000000e+00
-9.444001e-12 0.000000e+00 0.000000e+00
-1.871368e-11 0.000000e+00 0.000000e+00
-2.420202e-11 0.000000e+00 0.000000e+00
-2.480004e-11 0.000000e+00 0.000000e+00
-2.038689e-11 0.000000e+00 0.000000e+00
-1.185431e-11 0.000000e+00 0.000000e+00
-9.264186e-13 0.000000e+00 0.000000e+00
1.018867e-11 0.000000e+00 0.000000e+00
1.924501e-11 0.000000e+00 0.000000e+00
2.441265e-11 0.000000e+00 0.000000e+00
2.464740e-11 0.000000e+00 0.000000e+00
1.990183e-11 0.000000e+00 0.000000e+00
1.113485e-11 0.000000e+00 0.000000e+00
1.179211e-13 0.000000e+00 0.000000e+00
-1.092283e-11 0.000000e+00 0.000000e+00
-1.975648e-11 0.000000e+00 0.000000e+00
-2.459809e-11 0.000000e+00 0.000000e+00
-2.446934e-11 0.000000e+00 0.000000e+00
-1.939624e-11 0.000000e+00 0.000000e+00
-1.040389e-11 0.000000e+00 0.000000e+00
6.906980e-13 0.000000e+00 0.000000e+00
1.164572e-11 0.000000e+00 0.000000e+00
2.024758e-11 0.000000e+00 0.000000e+00
2.475816e-11 0.000000e+00 0.000000e+00
2.426604e-11 0.000000e+00 0.000000e+00
1.887065e-11 0.000000e+00 0.000000e+00
9.662209e-12 0.000000e+00 0.000000e+00
-1.498605e-12 0.000000e+00 0.000000e+00
-1.235661e-11 0.000000e+00 0.000000e+00
-2.071780e-11 0.000000e+00 0.000000e+00
