pX pY pZ 
-2.103504e-13 0.000000e+00 0.000000e+00
1.185657e-13 0.000000e+00 0.000000e+00
-7.498779e-14 0.000000e+00 0.000000e+00
-2.427391e-13 0.000000e+00 0.000000e+00
1.362361e-13 0.000000e+00 0.000000e+00
-2.260627e-13 0.000000e+00 0.000000e+00
1.175833e-13 0.000000e+00 0.000000e+00
-1.327965e-13 0.000000e+00 0.000000e+00
2.242204e-13 0.000000e+00 0.000000e+00
-3.177023e-13 0.000000e+00 0.000000e+00
3.542853e-14 0.000000e+00 0.000000e+00
-5.832633e-14 0.000000e+00 0.000000e+00
-1.113347e-13 0.000000e+00 0.000000e+00
-6.557087e-14 0.000000e+00 0.000000e+00
6.372145e-14 0.000000e+00 0.000000e+00
2.505748e-14 0.000000e+00 0.000000e+00
3.033196e-14 0.000000e+00 0.000000e+00
1.855458e-13 0.000000e+00 0.000000e+00
2.646696e-13 0.000000e+00 0.000000e+00
1.531089e-14 0.000000e+00 0.000000e+00
1.596819e-13 0.000000e+00 0.000000e+00
4.478784e-14 0.000000e+00 0.000000e+00
-1.303187e-13 0.000000e+00 0.000000e+00
-1.497653e-13 0.000000e+00 0.000000e+00
-5.177036e-14 0.000000e+00 0.000000e+00
-1.464161e-13 0.000000e+00 0.000000e+00
-4.334900e-13 0.000000e+00 0.000000e+00
-3.138619e-13 0.000000e+00 0.000000e+00
-4.539473e-13 0.000000e+00 0.000000e+00
2.545290e-14 0.000000e+00 0.000000e+00
3.421759e-13 0.000000e+00 0.000000e+00
4.977313e-14 0.000000e+00 0.000000e+00
1.857654e-14 0.000000e+00 0.000000e+00
-1.892167e-13 0.000000e+00 0.000000e+00
-9.444454e-14 0.000000e+00 0.000000e+00
1.385596e-13 0.000000e+00 0.000000e+00
-2.172149e-14 0.000000e+00 0.000000e+00
-1.722888e-13 0.000000e+00 0.000000e+00
1.576594e-13 0.000000e+00 0.000000e+00
6.431057e-14 0.000000e+00 0.000000e+00
-8.015906e-14 0.000000e+00 0.000000e+00
1.382593e-13 0.000000e+00 0.000000e+00
2.202098e-13 0.000000e+00 0.000000e+00
1.750064e-13 0.000000e+00 0.000000e+00
6.906691e-14 0.000000e+00 0.000000e+00
9.168510e-14 0.000000e+00 0.000000e+00
-1.009493e-13 0.000000e+00 0.000000e+00
-1.441423e-13 0.000000e+00 0.000000e+00
-1.255947e-13 0.000000e+00 0.000000e+00
4.566092e-14 0.000000e+00 0.000000e+00
2.313460e-13 0.000000e+00 0.000000e+00
3.882540e-14 0.000000e+00 0.000000e+00
2.405851e-13 0.000000e+00 0.000000e+00
-4.694725e-16 0.000000e+00 0.000000e+00
1.630525e-13 0.000000e+00 0.000000e+00
1.510090e-13 0.000000e+00 0.000000e+00
5.554497e-14 0.000000e+00 0.000000e+00
-5.327956e-14 0.000000e+00 0.000000e+00
