FX FY FZ 
1.725612e-10 0.000000e+00 0.000000e+00
1.936150e-10 0.000000e+00 0.000000e+00
-6.204784e-11 0.000000e+00 0.000000e+00
-1.897743e-10 0.000000e+00 0.000000e+00
1.004089e-10 0.000000e+00 0.000000e+00
3.525904e-10 0.000000e+00 0.000000e+00
4.715364e-10 0.000000e+00 0.000000e+00
4.011513e-10 0.000000e+00 0.000000e+00
1.652540e-10 0.000000e+00 0.000000e+00
2.046493e-11 0.000000e+00 0.000000e+00
-3.993951e-10 0.000000e+00 0.000000e+00
-1.758083e-10 0.000000e+00 0.000000e+00
-2.421205e-10 0.000000e+00 0.000000e+00
-7.539514e-10 0.000000e+00 0.000000e+00
4.691823e-10 0.000000e+00 0.000000e+00
-4.744198e-10 0.000000e+00 0.000000e+00
-1.029187e-10 0.000000e+00 0.000000e+00
-5.203788e-10 0.000000e+00 0.000000e+00
3.550020e-10 0.000000e+00 0.000000e+00
-2.761874e-11 0.000000e+00 0.000000e+00
-6.090227e-11 0.000000e+00 0.000000e+00
2.535890e-10 0.000000e+00 0.000000e+00
-5.909162e-11 0.000000e+00 0.000000e+00
4.877843e-11 0.000000e+00 0.000000e+00
-5.019225e-11 0.000000e+00 0.000000e+00
1.095416e-10 0.000000e+00 0.000000e+00
5.541763e-10 0.000000e+00 0.000000e+00
-1.176795e-09 0.000000e+00 0.000000e+00
-1.459765e-10 0.000000e+00 0.000000e+00
-6.202589e-11 0.000000e+00 0.000000e+00
2.386510e-10 0.000000e+00 0.000000e+00
3.277057e-10 0.000000e+00 0.000000e+00
4.851929e-10 0.000000e+00 0.000000e+00
-3.269978e-10 0.000000e+00 0.000000e+00
-2.317204e-10 0.000000e+00 0.000000e+00
-1.053075e-10 0.000000e+00 0.000000e+00
-2.056257e-11 0.000000e+00 0.000000e+00
2.661030e-10 0.000000e+00 0.000000e+00
-8.784187e-11 0.000000e+00 0.000000e+00
1.530772e-10 0.000000e+00 0.000000e+00
-4.406054e-11 0.000000e+00 0.000000e+00
3.750256e-10 0.000000e+00 0.000000e+00
4.613645e-10 0.000000e+00 0.000000e+00
2.472275e-10 0.000000e+00 0.000000e+00
2.463084e-11 0.000000e+00 0.000000e+00
2.812301e-10 0.000000e+00 0.000000e+00
-6.616439e-10 0.000000e+00 0.000000e+00
-1.859161e-10 0.000000e+00 0.000000e+00
1.323530e-10 0.000000e+00 0.000000e+00
5.065138e-10 0.000000e+00 0.000000e+00
3.248358e-10 0.000000e+00 0.000000e+00
-4.539315e-11 0.000000e+00 0.000000e+00
3.922448e-10 0.000000e+00 0.000000e+00
1.431048e-10 0.000000e+00 0.000000e+00
1.826961e-10 0.000000e+00 0.000000e+00
2.813209e-10 0.000000e+00 0.000000e+00
3.756787e-12 0.000000e+00 0.000000e+00
-2.886341e-10 0.000000e+00 0.000000e+00
3.859833e-10 0.000000e+00 0.000000e+00
6.739206e-12 0.000000e+00 0.000000e+00
-3.272099e-10 0.000000e+00 0.000000e+00
-9.787009e-11 0.000000e+00 0.000000e+00
-6.606215e-10 0.000000e+00 0.000000e+00
3.615291e-10 0.000000e+00 0.000000e+00
-4.175607e-11 0.000000e+00 0.000000e+00
-4.136773e-10 0.000000e+00 0.000000e+00
4.195878e-10 0.000000e+00 0.000000e+00
3.812368e-10 0.000000e+00 0.000000e+00
2.662866e-10 0.000000e+00 0.000000e+00
-1.467334e-10 0.000000e+00 0.000000e+00
5.742813e-10 0.000000e+00 0.000000e+00
-3.045486e-10 0.000000e+00 0.000000e+00
-2.835484e-10 0.000000e+00 0.000000e+00
-4.241425e-10 0.000000e+00 0.000000e+00
-1.556167e-10 0.000000e+00 0.000000e+00
-7.464473e-11 0.000000e+00 0.000000e+00
2.634137e-10 0.000000e+00 0.000000e+00
3.446094e-10 0.000000e+00 0.000000e+00
-2.429792e-10 0.000000e+00 0.000000e+00
2.618107e-10 0.000000e+00 0.000000e+00
9.510110e-13 0.000000e+00 0.000000e+00
1.681188e-10 0.000000e+00 0.000000e+00
8.222896e-11 0.000000e+00 0.000000e+00
-2.606175e-10 0.000000e+00 0.000000e+00
-1.202937e-09 0.000000e+00 0.000000e+00
-4.794266e-10 0.000000e+00 0.000000e+00
-8.018329e-10 0.000000e+00 0.000000e+00
3.012968e-10 0.000000e+00 0.000000e+00
3.022733e-10 0.000000e+00 0.000000e+00
-6.916570e-10 0.000000e+00 0.000000e+00
-3.975445e-10 0.000000e+00 0.000000e+00
-4.037416e-10 0.000000e+00 0.000000e+00
5.122729e-10 0.000000e+00 0.000000e+00
1.730854e-10 0.000000e+00 0.000000e+00
-4.440834e-10 0.000000e+00 0.000000e+00
-3.444256e-11 0.000000e+00 0.000000e+00
-3.302972e-10 0.000000e+00 0.000000e+00
6.268625e-10 0.000000e+00 0.000000e+00
1.481353e-10 0.000000e+00 0.000000e+00
2.814317e-10 0.000000e+00 0.000000e+00
-2.856514e-10 0.000000e+00 0.000000e+00
-2.965605e-10 0.000000e+00 0.000000e+00
1.569569e-10 0.000000e+00 0.000000e+00
2.977382e-10 0.000000e+00 0.000000e+00
3.773893e-10 0.000000e+00 0.000000e+00
2.077682e-10 0.000000e+00 0.000000e+00
-3.377674e-10 0.000000e+00 0.000000e+00
-5.293102e-10 0.000000e+00 0.000000e+00
2.491024e-10 0.000000e+00 0.000000e+00
3.307146e-10 0.000000e+00 0.000000e+00
4.129210e-10 0.000000e+00 0.000000e+00
3.484397e-10 0.000000e+00 0.000000e+00
4.517235e-10 0.000000e+00 0.000000e+00
-7.257897e-11 0.000000e+00 0.000000e+00
-5.891426e-10 0.000000e+00 0.000000e+00
-1.536198e-10 0.000000e+00 0.000000e+00
-4.212323e-10 0.000000e+00 0.000000e+00
-1.231128e-10 0.000000e+00 0.000000e+00
-1.670119e-10 0.000000e+00 0.000000e+00
4.402643e-10 0.000000e+00 0.000000e+00
7.912156e-11 0.000000e+00 0.000000e+00
1.684723e-10 0.000000e+00 0.000000e+00
1.257214e-10 0.000000e+00 0.000000e+00
2.150773e-10 0.000000e+00 0.000000e+00
-2.884929e-10 0.000000e+00 0.000000e+00
-4.077418e-10 0.000000e+00 0.000000e+00
-1.099770e-10 0.000000e+00 0.000000e+00
-1.723802e-10 0.000000e+00 0.000000e+00
-2.389241e-11 0.000000e+00 0.000000e+00
-1.240958e-10 0.000000e+00 0.000000e+00
1.304104e-10 0.000000e+00 0.000000e+00
-8.469016e-10 0.000000e+00 0.000000e+00
-2.227394e-10 0.000000e+00 0.000000e+00
3.725027e-10 0.000000e+00 0.000000e+00
2.988220e-10 0.000000e+00 0.000000e+00
5.326528e-11 0.000000e+00 0.000000e+00
3.401243e-10 0.000000e+00 0.000000e+00
-1.038408e-10 0.000000e+00 0.000000e+00
1.373194e-10 0.000000e+00 0.000000e+00
-2.719714e-11 0.000000e+00 0.000000e+00
-4.910980e-10 0.000000e+00 0.000000e+00
-2.419178e-10 0.000000e+00 0.000000e+00
-4.869818e-10 0.000000e+00 0.000000e+00
-1.979094e-10 0.000000e+00 0.000000e+00
4.398011e-10 0.000000e+00 0.000000e+00
-8.200275e-11 0.000000e+00 0.000000e+00
8.513707e-11 0.000000e+00 0.000000e+00
-7.970760e-11 0.000000e+00 0.000000e+00
1.786966e-10 0.000000e+00 0.000000e+00
-1.953195e-10 0.000000e+00 0.000000e+00
3.730057e-10 0.000000e+00 0.000000e+00
2.928626e-10 0.000000e+00 0.000000e+00
2.739297e-10 0.000000e+00 0.000000e+00
-2.895789e-10 0.000000e+00 0.000000e+00
-2.349410e-10 0.000000e+00 0.000000e+00
4.269092e-10 0.000000e+00 0.000000e+00
-5.028067e-10 0.000000e+00 0.000000e+00
-1.171646e-10 0.000000e+00 0.000000e+00
-1.799186e-10 0.000000e+00 0.000000e+00
3.878549e-10 0.000000e+00 0.000000e+00
7.918935e-11 0.000000e+00 0.000000e+00
-2.396848e-10 0.000000e+00 0.000000e+00
-4.243661e-10 0.000000e+00 0.000000e+00
-8.054093e-10 0.000000e+00 0.000000e+00
4.444904e-10 0.000000e+00 0.000000e+00
1.003683e-10 0.000000e+00 0.000000e+00
-1.022196e-09 0.000000e+00 0.000000e+00
3.935360e-11 0.000000e+00 0.000000e+00
-6.277451e-11 0.000000e+00 0.000000e+00
-4.042719e-10 0.000000e+00 0.000000e+00
-2.180605e-11 0.000000e+00 0.000000e+00
2.044685e-10 0.000000e+00 0.000000e+00
4.102090e-10 0.000000e+00 0.000000e+00
1.912701e-11 0.000000e+00 0.000000e+00
4.371765e-10 0.000000e+00 0.000000e+00
1.532053e-10 0.000000e+00 0.000000e+00
8.667334e-11 0.000000e+00 0.000000e+00
2.828872e-10 0.000000e+00 0.000000e+00
-1.113709e-12 0.000000e+00 0.000000e+00
5.357402e-10 0.000000e+00 0.000000e+00
2.190321e-10 0.000000e+00 0.000000e+00
-4.417525e-11 0.000000e+00 0.000000e+00
2.014703e-11 0.000000e+00 0.000000e+00
2.492407e-10 0.000000e+00 0.000000e+00
2.938572e-10 0.000000e+00 0.000000e+00
2.355474e-10 0.000000e+00 0.000000e+00
1.020495e-10 0.000000e+00 0.000000e+00
8.434363e-11 0.000000e+00 0.000000e+00
-4.584736e-10 0.000000e+00 0.000000e+00
3.628640e-10 0.000000e+00 0.000000e+00
1.669873e-10 0.000000e+00 0.000000e+00
-3.772268e-10 0.000000e+00 0.000000e+00
-2.303232e-10 0.000000e+00 0.000000e+00
-1.069297e-10 0.000000e+00 0.000000e+00
4.794109e-10 0.000000e+00 0.000000e+00
2.657082e-11 0.000000e+00 0.000000e+00
-1.892371e-10 0.000000e+00 0.000000e+00
-2.711083e-11 0.000000e+00 0.000000e+00
-3.687868e-10 0.000000e+00 0.000000e+00
1.027219e-10 0.000000e+00 0.000000e+00
2.508848e-10 0.000000e+00 0.000000e+00
2.694578e-10 0.000000e+00 0.000000e+00
-8.751227e-10 0.000000e+00 0.000000e+00
-1.003050e-10 0.000000e+00 0.000000e+00
4.945922e-10 0.000000e+00 0.000000e+00
-4.125870e-10 0.000000e+00 0.000000e+00
