pX pY pZ 
4.777780e-14 0.000000e+00 0.000000e+00
3.729930e-13 0.000000e+00 0.000000e+00
-3.114304e-13 0.000000e+00 0.000000e+00
1.919512e-13 0.000000e+00 0.000000e+00
-1.781600e-13 0.000000e+00 0.000000e+00
-8.288147e-15 0.000000e+00 0.000000e+00
-9.755240e-14 0.000000e+00 0.000000e+00
-4.895845e-14 0.000000e+00 0.000000e+00
7.199379e-14 0.000000e+00 0.000000e+00
1.599098e-14 0.000000e+00 0.000000e+00
1.394182e-13 0.000000e+00 0.000000e+00
-1.086092e-13 0.000000e+00 0.000000e+00
3.315856e-14 0.000000e+00 0.000000e+00
1.243518e-13 0.000000e+00 0.000000e+00
-1.798519e-13 0.000000e+00 0.000000e+00
-8.548976e-14 0.000000e+00 0.000000e+00
1.741330e-13 0.000000e+00 0.000000e+00
-1.850961e-13 0.000000e+00 0.000000e+00
1.147633e-13 0.000000e+00 0.000000e+00
-9.404914e-14 0.000000e+00 0.000000e+00
-1.367706e-13 0.000000e+00 0.000000e+00
-3.996230e-13 0.000000e+00 0.000000e+00
-9.790198e-14 0.000000e+00 0.000000e+00
-3.054721e-13 0.000000e+00 0.000000e+00
-3.561462e-13 0.000000e+00 0.000000e+00
-2.458272e-13 0.000000e+00 0.000000e+00
4.195630e-13 0.000000e+00 0.000000e+00
7.932310e-15 0.000000e+00 0.000000e+00
9.619646e-14 0.000000e+00 0.000000e+00
-1.291652e-13 0.000000e+00 0.000000e+00
3.276778e-13 0.000000e+00 0.000000e+00
-1.429926e-13 0.000000e+00 0.000000e+00
-2.360568e-13 0.000000e+00 0.000000e+00
1.353659e-13 0.000000e+00 0.000000e+00
3.411916e-14 0.000000e+00 0.000000e+00
7.606355e-15 0.000000e+00 0.000000e+00
8.036851e-14 0.000000e+00 0.000000e+00
1.378740e-13 0.000000e+00 0.000000e+00
4.279008e-14 0.000000e+00 0.000000e+00
1.284620e-13 0.000000e+00 0.000000e+00
-1.852906e-13 0.000000e+00 0.000000e+00
-6.547078e-14 0.000000e+00 0.000000e+00
-1.283847e-13 0.000000e+00 0.000000e+00
1.181225e-13 0.000000e+00 0.000000e+00
1.024989e-13 0.000000e+00 0.000000e+00
-5.841292e-15 0.000000e+00 0.000000e+00
-7.123318e-14 0.000000e+00 0.000000e+00
1.171112e-14 0.000000e+00 0.000000e+00
9.342916e-14 0.000000e+00 0.000000e+00
1.261895e-13 0.000000e+00 0.000000e+00
1.336917e-13 0.000000e+00 0.000000e+00
1.644603e-13 0.000000e+00 0.000000e+00
-4.788572e-13 0.000000e+00 0.000000e+00
1.324060e-13 0.000000e+00 0.000000e+00
-2.849518e-14 0.000000e+00 0.000000e+00
1.505650e-13 0.000000e+00 0.000000e+00
5.920060e-15 0.000000e+00 0.000000e+00
-4.619183e-14 0.000000e+00 0.000000e+00
-2.146385e-13 0.000000e+00 0.000000e+00
1.003944e-13 0.000000e+00 0.000000e+00
-7.022645e-14 0.000000e+00 0.000000e+00
-4.224115e-14 0.000000e+00 0.000000e+00
3.922263e-14 0.000000e+00 0.000000e+00
7.025314e-14 0.000000e+00 0.000000e+00
1.431176e-13 0.000000e+00 0.000000e+00
-2.876544e-13 0.000000e+00 0.000000e+00
-2.165795e-13 0.000000e+00 0.000000e+00
2.875096e-13 0.000000e+00 0.000000e+00
8.304912e-15 0.000000e+00 0.000000e+00
-1.671916e-13 0.000000e+00 0.000000e+00
1.947665e-13 0.000000e+00 0.000000e+00
-6.553192e-14 0.000000e+00 0.000000e+00
-6.639423e-14 0.000000e+00 0.000000e+00
1.177608e-13 0.000000e+00 0.000000e+00
1.369926e-13 0.000000e+00 0.000000e+00
