pX pY pZ 
-4.169454e-14 0.000000e+00 0.000000e+00
1.352779e-13 0.000000e+00 0.000000e+00
-1.005717e-13 0.000000e+00 0.000000e+00
-5.873007e-14 0.000000e+00 0.000000e+00
-1.817307e-13 0.000000e+00 0.000000e+00
-1.364864e-13 0.000000e+00 0.000000e+00
2.966132e-13 0.000000e+00 0.000000e+00
-4.055410e-13 0.000000e+00 0.000000e+00
-3.649943e-14 0.000000e+00 0.000000e+00
9.634901e-14 0.000000e+00 0.000000e+00
-5.203480e-14 0.000000e+00 0.000000e+00
9.996412e-14 0.000000e+00 0.000000e+00
-2.565951e-13 0.000000e+00 0.000000e+00
1.216317e-13 0.000000e+00 0.000000e+00
-9.171194e-14 0.000000e+00 0.000000e+00
3.427424e-14 0.000000e+00 0.000000e+00
2.823075e-13 0.000000e+00 0.000000e+00
-2.321784e-14 0.000000e+00 0.000000e+00
3.866058e-14 0.000000e+00 0.000000e+00
-1.860618e-13 0.000000e+00 0.000000e+00
3.498139e-13 0.000000e+00 0.000000e+00
2.878881e-14 0.000000e+00 0.000000e+00
2.341399e-13 0.000000e+00 0.000000e+00
-4.116912e-14 0.000000e+00 0.000000e+00
6.061584e-14 0.000000e+00 0.000000e+00
5.230370e-13 0.000000e+00 0.000000e+00
-2.349583e-13 0.000000e+00 0.000000e+00
2.951921e-13 0.000000e+00 0.000000e+00
6.567698e-14 0.000000e+00 0.000000e+00
1.780682e-13 0.000000e+00 0.000000e+00
-1.545496e-13 0.000000e+00 0.000000e+00
4.530904e-15 0.000000e+00 0.000000e+00
-1.838317e-13 0.000000e+00 0.000000e+00
1.968520e-14 0.000000e+00 0.000000e+00
-6.899610e-14 0.000000e+00 0.000000e+00
-7.391298e-14 0.000000e+00 0.000000e+00
-3.425934e-13 0.000000e+00 0.000000e+00
8.905817e-14 0.000000e+00 0.000000e+00
-8.879223e-15 0.000000e+00 0.000000e+00
7.989808e-14 0.000000e+00 0.000000e+00
2.603670e-13 0.000000e+00 0.000000e+00
-2.659533e-14 0.000000e+00 0.000000e+00
6.284495e-14 0.000000e+00 0.000000e+00
6.507843e-15 0.000000e+00 0.000000e+00
4.022118e-15 0.000000e+00 0.000000e+00
-3.160218e-14 0.000000e+00 0.000000e+00
-1.206245e-13 0.000000e+00 0.000000e+00
-2.309447e-14 0.000000e+00 0.000000e+00
