step K U E temp
0 2.752748e-19 4.756419e-17 4.783946e-17 3.987614e+04
1000 1.777429e-17 3.003990e-17 4.781419e-17 2.574773e+06
2000 4.261586e-17 5.162442e-18 4.777830e-17 6.173308e+06
3000 4.495274e-17 2.822186e-18 4.777493e-17 6.511827e+06
4000 2.197715e-17 2.583096e-17 4.780812e-17 3.183598e+06
5000 1.294368e-18 4.654362e-17 4.783799e-17 1.875013e+05
6000 7.754834e-18 4.007383e-17 4.782866e-17 1.123361e+06
7000 3.359628e-17 1.419505e-17 4.779133e-17 4.866737e+06
8000 4.777009e-17 7.633011e-22 4.777086e-17 6.919947e+06
9000 3.324638e-17 1.454545e-17 4.779184e-17 4.816051e+06
10000 7.475445e-18 4.035362e-17 4.782906e-17 1.082889e+06
11000 1.421171e-18 4.641664e-17 4.783781e-17 2.058700e+05
12000 2.235780e-17 2.544977e-17 4.780757e-17 3.238737e+06
13000 4.512988e-17 2.644793e-18 4.777467e-17 6.537487e+06
14000 4.237666e-17 5.401986e-18 4.777865e-17 6.138658e+06
15000 1.740615e-17 3.040857e-17 4.781472e-17 2.521445e+06
16000 2.205180e-19 4.761903e-17 4.783954e-17 3.194410e+04
17000 1.146837e-17 3.635492e-17 4.782330e-17 1.661302e+06
18000 3.763537e-17 1.015012e-17 4.778550e-17 5.451838e+06
19000 4.728175e-17 4.898080e-19 4.777156e-17 6.849207e+06
20000 2.881735e-17 1.898089e-17 4.779823e-17 4.174464e+06
21000 4.427220e-18 4.340625e-17 4.783347e-17 6.413245e+05
22000 3.416209e-18 4.441872e-17 4.783493e-17 4.948701e+05
23000 2.699905e-17 2.080181e-17 4.780086e-17 3.911067e+06
24000 4.684086e-17 9.313378e-19 4.777220e-17 6.785339e+06
25000 3.910162e-17 8.681758e-18 4.778338e-17 5.664238e+06
26000 1.308006e-17 3.474091e-17 4.782097e-17 1.894770e+06
27000 4.119446e-20 4.779861e-17 4.783980e-17 5.967405e+03
28000 1.565128e-17 3.216598e-17 4.781725e-17 2.267235e+06
29000 4.115472e-17 6.625687e-18 4.778041e-17 5.961649e+06
30000 4.590904e-17 1.864504e-18 4.777354e-17 6.650356e+06
31000 2.420189e-17 2.360301e-17 4.780490e-17 3.505872e+06
32000 2.114510e-18 4.572230e-17 4.783681e-17 3.063066e+05
33000 6.184978e-18 4.164595e-17 4.783093e-17 8.959522e+05
34000 3.152261e-17 1.627172e-17 4.779433e-17 4.566347e+06
35000 4.768414e-17 8.684430e-20 4.777098e-17 6.907496e+06
36000 3.525141e-17 1.253753e-17 4.778894e-17 5.106499e+06
37000 9.162409e-18 3.866422e-17 4.782663e-17 1.327261e+06
38000 7.631756e-19 4.707558e-17 4.783876e-17 1.105532e+05
39000 2.014543e-17 2.766534e-17 4.781076e-17 2.918254e+06
40000 4.402130e-17 3.754968e-18 4.777627e-17 6.376900e+06
41000 4.370384e-17 4.072889e-18 4.777673e-17 6.330913e+06
42000 1.957447e-17 2.823711e-17 4.781159e-17 2.835546e+06
43000 6.247331e-19 4.721423e-17 4.783896e-17 9.049847e+04
44000 9.622818e-18 3.820314e-17 4.782596e-17 1.393956e+06
45000 3.575749e-17 1.203072e-17 4.778821e-17 5.179809e+06
46000 4.762783e-17 1.432341e-19 4.777106e-17 6.899339e+06
47000 3.097157e-17 1.682355e-17 4.779512e-17 4.486524e+06
48000 5.801284e-18 4.203020e-17 4.783148e-17 8.403706e+05
49000 2.359171e-18 4.547728e-17 4.783645e-17 3.417481e+05
50000 2.478095e-17 2.302312e-17 4.780406e-17 3.589753e+06
51000 4.612675e-17 1.646478e-18 4.777323e-17 6.681894e+06
52000 4.074951e-17 7.031485e-18 4.778100e-17 5.902950e+06
53000 1.511000e-17 3.270803e-17 4.781804e-17 2.188826e+06
54000 1.420361e-20 4.782564e-17 4.783984e-17 2.057527e+03
55000 1.359978e-17 3.422044e-17 4.782022e-17 1.970056e+06
56000 3.954360e-17 8.239134e-18 4.778274e-17 5.728263e+06
57000 4.667406e-17 1.098376e-18 4.777244e-17 6.761177e+06
58000 2.642388e-17 2.137781e-17 4.780169e-17 3.827748e+06
59000 3.123734e-18 4.471162e-17 4.783535e-17 4.525023e+05
60000 4.768851e-18 4.306412e-17 4.783297e-17 6.908130e+05
61000 2.938262e-17 1.841480e-17 4.779742e-17 4.256348e+06
62000 4.739148e-17 3.799179e-19 4.777140e-17 6.865102e+06
63000 3.715773e-17 1.062846e-17 4.778619e-17 5.382646e+06
64000 1.097724e-17 3.684676e-17 4.782401e-17 1.590157e+06
65000 3.059989e-19 4.753342e-17 4.783942e-17 4.432683e+04
66000 1.796554e-17 2.984837e-17 4.781391e-17 2.602477e+06
67000 4.273785e-17 5.040277e-18 4.777812e-17 6.190979e+06
68000 4.485890e-17 2.916165e-18 4.777506e-17 6.498233e+06
69000 2.178023e-17 2.602817e-17 4.780840e-17 3.155072e+06
70000 1.230970e-18 4.660711e-17 4.783808e-17 1.783175e+05
71000 7.901133e-18 3.992732e-17 4.782845e-17 1.144553e+06
72000 3.377649e-17 1.401458e-17 4.779107e-17 4.892843e+06
73000 4.776770e-17 3.162990e-21 4.777086e-17 6.919600e+06
74000 3.306425e-17 1.472785e-17 4.779210e-17 4.789668e+06
75000 7.332411e-18 4.049686e-17 4.782927e-17 1.062169e+06
76000 1.489089e-18 4.634862e-17 4.783771e-17 2.157086e+05
77000 2.255506e-17 2.525222e-17 4.780728e-17 3.267313e+06
78000 4.521947e-17 2.555065e-18 4.777454e-17 6.550466e+06
79000 4.225094e-17 5.527890e-18 4.777883e-17 6.120446e+06
80000 1.721616e-17 3.059883e-17 4.781499e-17 2.493923e+06
81000 1.945366e-19 4.764504e-17 4.783958e-17 2.818046e+04
82000 1.163762e-17 3.618544e-17 4.782305e-17 1.685818e+06
83000 3.779649e-17 9.988771e-18 4.778526e-17 5.475178e+06
84000 4.724117e-17 5.304545e-19 4.777162e-17 6.843327e+06
85000 2.862382e-17 1.917469e-17 4.779851e-17 4.146430e+06
86000 4.313276e-18 4.352036e-17 4.783363e-17 6.248186e+05
87000 3.518754e-18 4.431603e-17 4.783478e-17 5.097247e+05
88000 2.719488e-17 2.060570e-17 4.780058e-17 3.939434e+06
89000 4.689468e-17 8.774389e-19 4.777212e-17 6.793136e+06
90000 3.894877e-17 8.834829e-18 4.778360e-17 5.642096e+06
91000 1.290419e-17 3.491703e-17 4.782122e-17 1.869293e+06
92000 5.361192e-20 4.778617e-17 4.783979e-17 7.766192e+03
93000 1.583706e-17 3.197992e-17 4.781698e-17 2.294147e+06
94000 4.129066e-17 6.489558e-18 4.778022e-17 5.981340e+06
95000 4.583179e-17 1.941861e-18 4.777366e-17 6.639167e+06
96000 2.400428e-17 2.380091e-17 4.780519e-17 3.477246e+06
97000 2.033962e-18 4.580296e-17 4.783692e-17 2.946386e+05
98000 6.318273e-18 4.151246e-17 4.783074e-17 9.152613e+05
99000 3.170959e-17 1.608446e-17 4.779406e-17 4.593433e+06
