Step X Y Z 
121000 1.098483e-10 0.000000e+00 0.000000e+00
122000 8.757549e-11 0.000000e+00 0.000000e+00
123000 7.591096e-11 0.000000e+00 0.000000e+00
124000 8.349729e-11 0.000000e+00 0.000000e+00
125000 8.157158e-11 0.000000e+00 0.000000e+00
126000 7.714027e-11 0.000000e+00 0.000000e+00
127000 8.587753e-11 0.000000e+00 0.000000e+00
128000 8.479212e-11 0.000000e+00 0.000000e+00
129000 7.861368e-11 0.000000e+00 0.000000e+00
130000 7.282942e-11 0.000000e+00 0.000000e+00
131000 1.019652e-10 0.000000e+00 0.000000e+00
132000 1.074873e-10 0.000000e+00 0.000000e+00
133000 1.160553e-10 0.000000e+00 0.000000e+00
134000 1.181110e-10 0.000000e+00 0.000000e+00
135000 1.129620e-10 0.000000e+00 0.000000e+00
136000 1.139803e-10 0.000000e+00 0.000000e+00
137000 1.168844e-10 0.000000e+00 0.000000e+00
138000 1.192877e-10 0.000000e+00 0.000000e+00
139000 1.210021e-10 0.000000e+00 0.000000e+00
140000 1.227804e-10 0.000000e+00 0.000000e+00
141000 1.118217e-10 0.000000e+00 0.000000e+00
142000 1.050040e-10 0.000000e+00 0.000000e+00
143000 9.248233e-11 0.000000e+00 0.000000e+00
144000 9.576304e-11 0.000000e+00 0.000000e+00
145000 9.084865e-11 0.000000e+00 0.000000e+00
146000 8.011601e-11 0.000000e+00 0.000000e+00
147000 1.001208e-10 0.000000e+00 0.000000e+00
148000 9.845119e-11 0.000000e+00 0.000000e+00
149000 1.061047e-10 0.000000e+00 0.000000e+00
150000 1.033816e-10 0.000000e+00 0.000000e+00
151000 9.003996e-11 0.000000e+00 0.000000e+00
152000 8.877158e-11 0.000000e+00 0.000000e+00
153000 9.670240e-11 0.000000e+00 0.000000e+00
154000 9.782580e-11 0.000000e+00 0.000000e+00
155000 8.247083e-11 0.000000e+00 0.000000e+00
156000 6.707730e-11 0.000000e+00 0.000000e+00
157000 6.914707e-11 0.000000e+00 0.000000e+00
158000 1.352632e-10 0.000000e+00 0.000000e+00
159000 6.997962e-11 0.000000e+00 0.000000e+00
160000 7.439996e-11 0.000000e+00 0.000000e+00
161000 8.131502e-11 0.000000e+00 0.000000e+00
162000 9.423848e-11 0.000000e+00 0.000000e+00
163000 9.400540e-11 0.000000e+00 0.000000e+00
164000 8.699204e-11 0.000000e+00 0.000000e+00
165000 9.256165e-11 0.000000e+00 0.000000e+00
166000 1.274658e-10 0.000000e+00 0.000000e+00
167000 1.314610e-10 0.000000e+00 0.000000e+00
168000 1.240932e-10 0.000000e+00 0.000000e+00
169000 9.542961e-11 0.000000e+00 0.000000e+00
170000 1.222870e-10 0.000000e+00 0.000000e+00
171000 1.001614e-10 0.000000e+00 0.000000e+00
172000 9.870958e-11 0.000000e+00 0.000000e+00
173000 1.202148e-10 0.000000e+00 0.000000e+00
174000 1.085690e-10 0.000000e+00 0.000000e+00
175000 1.109308e-10 0.000000e+00 0.000000e+00
176000 1.051139e-10 0.000000e+00 0.000000e+00
177000 1.148274e-10 0.000000e+00 0.000000e+00
178000 1.090798e-10 0.000000e+00 0.000000e+00
179000 1.107088e-10 0.000000e+00 0.000000e+00
180000 1.064951e-10 0.000000e+00 0.000000e+00
181000 1.252289e-10 0.000000e+00 0.000000e+00
182000 1.288589e-10 0.000000e+00 0.000000e+00
183000 1.328461e-10 0.000000e+00 0.000000e+00
184000 1.302340e-10 0.000000e+00 0.000000e+00
185000 1.264834e-10 0.000000e+00 0.000000e+00
186000 1.362166e-10 0.000000e+00 0.000000e+00
187000 1.240003e-10 0.000000e+00 0.000000e+00
188000 1.301222e-10 0.000000e+00 0.000000e+00
189000 1.147943e-10 0.000000e+00 0.000000e+00
190000 1.194231e-10 0.000000e+00 0.000000e+00
191000 1.174858e-10 0.000000e+00 0.000000e+00
192000 1.160345e-10 0.000000e+00 0.000000e+00
193000 1.235098e-10 0.000000e+00 0.000000e+00
194000 7.139859e-11 0.000000e+00 0.000000e+00
195000 7.758933e-11 0.000000e+00 0.000000e+00
196000 5.909931e-11 0.000000e+00 0.000000e+00
197000 6.415542e-11 0.000000e+00 0.000000e+00
198000 6.797191e-11 0.000000e+00 0.000000e+00
199000 6.131757e-11 0.000000e+00 0.000000e+00
200000 6.517262e-11 0.000000e+00 0.000000e+00
201000 6.610992e-11 0.000000e+00 0.000000e+00
202000 5.789267e-11 0.000000e+00 0.000000e+00
