Step X Y Z 
125000 1.029031e-10 0.000000e+00 0.000000e+00
130000 8.509980e-11 0.000000e+00 0.000000e+00
135000 9.940987e-11 0.000000e+00 0.000000e+00
140000 1.016785e-10 0.000000e+00 0.000000e+00
145000 9.702535e-11 0.000000e+00 0.000000e+00
150000 8.655749e-11 0.000000e+00 0.000000e+00
155000 7.808733e-11 0.000000e+00 0.000000e+00
160000 7.110771e-11 0.000000e+00 0.000000e+00
165000 1.083300e-10 0.000000e+00 0.000000e+00
170000 1.062469e-10 0.000000e+00 0.000000e+00
175000 1.045360e-10 0.000000e+00 0.000000e+00
180000 9.411519e-11 0.000000e+00 0.000000e+00
185000 9.253367e-11 0.000000e+00 0.000000e+00
190000 8.787337e-11 0.000000e+00 0.000000e+00
195000 9.000838e-11 0.000000e+00 0.000000e+00
200000 9.107901e-11 0.000000e+00 0.000000e+00
205000 1.122626e-10 0.000000e+00 0.000000e+00
210000 1.008231e-10 0.000000e+00 0.000000e+00
215000 9.591227e-11 0.000000e+00 0.000000e+00
220000 8.299123e-11 0.000000e+00 0.000000e+00
225000 6.964860e-11 0.000000e+00 0.000000e+00
230000 7.638452e-11 0.000000e+00 0.000000e+00
235000 8.891855e-11 0.000000e+00 0.000000e+00
240000 7.258660e-11 0.000000e+00 0.000000e+00
245000 1.137731e-10 0.000000e+00 0.000000e+00
250000 1.275978e-10 0.000000e+00 0.000000e+00
255000 1.151839e-10 0.000000e+00 0.000000e+00
260000 1.235364e-10 0.000000e+00 0.000000e+00
265000 1.195749e-10 0.000000e+00 0.000000e+00
270000 1.166955e-10 0.000000e+00 0.000000e+00
275000 1.180723e-10 0.000000e+00 0.000000e+00
280000 1.098903e-10 0.000000e+00 0.000000e+00
285000 1.108385e-10 0.000000e+00 0.000000e+00
290000 1.257290e-10 0.000000e+00 0.000000e+00
295000 1.212098e-10 0.000000e+00 0.000000e+00
300000 7.982234e-11 0.000000e+00 0.000000e+00
305000 8.088243e-11 0.000000e+00 0.000000e+00
310000 1.310887e-10 0.000000e+00 0.000000e+00
315000 1.324363e-10 0.000000e+00 0.000000e+00
320000 1.299182e-10 0.000000e+00 0.000000e+00
325000 -1.208787e-10 0.000000e+00 0.000000e+00
330000 -1.061590e-10 0.000000e+00 0.000000e+00
335000 -1.011850e-10 0.000000e+00 0.000000e+00
340000 -8.733259e-11 0.000000e+00 0.000000e+00
345000 -8.049884e-11 0.000000e+00 0.000000e+00
350000 -7.599113e-11 0.000000e+00 0.000000e+00
355000 -8.574307e-11 0.000000e+00 0.000000e+00
360000 -8.340645e-11 0.000000e+00 0.000000e+00
365000 -8.219529e-11 0.000000e+00 0.000000e+00
370000 -9.955214e-11 0.000000e+00 0.000000e+00
375000 -9.358649e-11 0.000000e+00 0.000000e+00
380000 -9.506231e-11 0.000000e+00 0.000000e+00
385000 -9.629366e-11 0.000000e+00 0.000000e+00
390000 -1.095009e-10 0.000000e+00 0.000000e+00
395000 -1.109655e-10 0.000000e+00 0.000000e+00
400000 -1.135428e-10 0.000000e+00 0.000000e+00
405000 -1.196770e-10 0.000000e+00 0.000000e+00
410000 -1.174594e-10 0.000000e+00 0.000000e+00
415000 -1.186855e-10 0.000000e+00 0.000000e+00
420000 -1.269832e-10 0.000000e+00 0.000000e+00
425000 -1.276829e-10 0.000000e+00 0.000000e+00
430000 -1.295783e-10 0.000000e+00 0.000000e+00
435000 -1.325340e-10 0.000000e+00 0.000000e+00
440000 -1.344034e-10 0.000000e+00 0.000000e+00
445000 -1.400750e-10 0.000000e+00 0.000000e+00
450000 -1.308603e-10 0.000000e+00 0.000000e+00
455000 -1.354320e-10 0.000000e+00 0.000000e+00
460000 -1.373810e-10 0.000000e+00 0.000000e+00
465000 -1.443278e-10 0.000000e+00 0.000000e+00
470000 -1.419438e-10 0.000000e+00 0.000000e+00
475000 -1.430210e-10 0.000000e+00 0.000000e+00
480000 -1.471356e-10 0.000000e+00 0.000000e+00
