Step X Y Z 
121000 8.601150e-11 0.000000e+00 0.000000e+00
121057 7.357297e-11 0.000000e+00 0.000000e+00
121305 9.264234e-11 0.000000e+00 0.000000e+00
121634 1.041651e-10 0.000000e+00 0.000000e+00
122438 1.018515e-10 0.000000e+00 0.000000e+00
122910 1.023588e-10 0.000000e+00 0.000000e+00
123041 1.120296e-10 0.000000e+00 0.000000e+00
123543 1.095479e-10 0.000000e+00 0.000000e+00
124497 1.057606e-10 0.000000e+00 0.000000e+00
124801 1.154064e-10 0.000000e+00 0.000000e+00
125376 1.031558e-10 0.000000e+00 0.000000e+00
126943 1.080626e-10 0.000000e+00 0.000000e+00
129653 1.173554e-10 0.000000e+00 0.000000e+00
130939 1.105277e-10 0.000000e+00 0.000000e+00
132327 1.145086e-10 0.000000e+00 0.000000e+00
133246 1.133677e-10 0.000000e+00 0.000000e+00
134283 1.067666e-10 0.000000e+00 0.000000e+00
134815 1.049951e-10 0.000000e+00 0.000000e+00
136695 1.234772e-10 0.000000e+00 0.000000e+00
138188 1.272882e-10 0.000000e+00 0.000000e+00
139092 1.344623e-10 0.000000e+00 0.000000e+00
139190 1.216110e-10 0.000000e+00 0.000000e+00
141259 1.171426e-10 0.000000e+00 0.000000e+00
142879 1.086168e-10 0.000000e+00 0.000000e+00
143065 1.159916e-10 0.000000e+00 0.000000e+00
143518 1.130589e-10 0.000000e+00 0.000000e+00
144504 8.278863e-11 0.000000e+00 0.000000e+00
145081 9.734829e-11 0.000000e+00 0.000000e+00
148338 9.879039e-11 0.000000e+00 0.000000e+00
150976 9.396145e-11 0.000000e+00 0.000000e+00
152120 8.946593e-11 0.000000e+00 0.000000e+00
154944 9.520802e-11 0.000000e+00 0.000000e+00
157141 8.537741e-11 0.000000e+00 0.000000e+00
159834 9.093419e-11 0.000000e+00 0.000000e+00
164640 9.584086e-11 0.000000e+00 0.000000e+00
166131 1.000880e-10 0.000000e+00 0.000000e+00
167051 9.795589e-11 0.000000e+00 0.000000e+00
167511 6.979340e-11 0.000000e+00 0.000000e+00
168890 7.211801e-11 0.000000e+00 0.000000e+00
169014 7.978911e-11 0.000000e+00 0.000000e+00
170253 7.545719e-11 0.000000e+00 0.000000e+00
171635 7.831869e-11 0.000000e+00 0.000000e+00
172122 7.642691e-11 0.000000e+00 0.000000e+00
172389 8.159649e-11 0.000000e+00 0.000000e+00
172546 9.177666e-11 0.000000e+00 0.000000e+00
174406 8.715850e-11 0.000000e+00 0.000000e+00
174527 9.037927e-11 0.000000e+00 0.000000e+00
174679 8.838546e-11 0.000000e+00 0.000000e+00
175671 8.767155e-11 0.000000e+00 0.000000e+00
175886 1.056078e-10 0.000000e+00 0.000000e+00
176545 1.193831e-10 0.000000e+00 0.000000e+00
176859 1.184240e-10 0.000000e+00 0.000000e+00
176861 1.187277e-10 0.000000e+00 0.000000e+00
177128 1.304745e-10 0.000000e+00 0.000000e+00
177437 1.285128e-10 0.000000e+00 0.000000e+00
178312 1.338931e-10 0.000000e+00 0.000000e+00
178904 1.324413e-10 0.000000e+00 0.000000e+00
179903 9.906581e-11 0.000000e+00 0.000000e+00
180613 1.038376e-10 0.000000e+00 0.000000e+00
182803 1.011266e-10 0.000000e+00 0.000000e+00
182813 1.007786e-10 0.000000e+00 0.000000e+00
183732 9.713402e-11 0.000000e+00 0.000000e+00
184081 9.457322e-11 0.000000e+00 0.000000e+00
184724 8.081825e-11 0.000000e+00 0.000000e+00
184782 7.772556e-11 0.000000e+00 0.000000e+00
184803 8.606689e-11 0.000000e+00 0.000000e+00
184984 3.335033e-11 0.000000e+00 0.000000e+00
185333 -3.031147e-11 0.000000e+00 0.000000e+00
185873 -1.193391e-10 0.000000e+00 0.000000e+00
186570 -1.230500e-10 0.000000e+00 0.000000e+00
186691 -8.793607e-11 0.000000e+00 0.000000e+00
187638 -8.997379e-11 0.000000e+00 0.000000e+00
188837 -8.208028e-11 0.000000e+00 0.000000e+00
189042 -8.661357e-11 0.000000e+00 0.000000e+00
189686 -8.469489e-11 0.000000e+00 0.000000e+00
191375 -6.997366e-11 0.000000e+00 0.000000e+00
192269 -9.521063e-11 0.000000e+00 0.000000e+00
193997 -1.006423e-10 0.000000e+00 0.000000e+00
194007 -9.543212e-11 0.000000e+00 0.000000e+00
194440 -1.028363e-10 0.000000e+00 0.000000e+00
195260 -9.770587e-11 0.000000e+00 0.000000e+00
196066 -9.987762e-11 0.000000e+00 0.000000e+00
196449 -9.881502e-11 0.000000e+00 0.000000e+00
198715 -9.657592e-11 0.000000e+00 0.000000e+00
200013 -1.118485e-10 0.000000e+00 0.000000e+00
201118 -1.158613e-10 0.000000e+00 0.000000e+00
201608 -1.063624e-10 0.000000e+00 0.000000e+00
202078 -1.054247e-10 0.000000e+00 0.000000e+00
203544 -1.046217e-10 0.000000e+00 0.000000e+00
203658 -1.034678e-10 0.000000e+00 0.000000e+00
203727 -1.016584e-10 0.000000e+00 0.000000e+00
204660 -9.727883e-11 0.000000e+00 0.000000e+00
205479 -7.777600e-11 0.000000e+00 0.000000e+00
206047 -8.111266e-11 0.000000e+00 0.000000e+00
206238 -7.213786e-11 0.000000e+00 0.000000e+00
207858 -7.665479e-11 0.000000e+00 0.000000e+00
211671 -6.701008e-11 0.000000e+00 0.000000e+00
211719 -4.187024e-11 0.000000e+00 0.000000e+00
211916 -3.613756e-11 0.000000e+00 0.000000e+00
212053 -3.336244e-11 0.000000e+00 0.000000e+00
213583 -1.135808e-11 0.000000e+00 0.000000e+00
214980 -3.489998e-11 0.000000e+00 0.000000e+00
219721 -7.900362e-11 0.000000e+00 0.000000e+00
221284 -7.358294e-11 0.000000e+00 0.000000e+00
222143 -7.522046e-11 0.000000e+00 0.000000e+00
223577 -7.807453e-11 0.000000e+00 0.000000e+00
226210 -6.145303e-11 0.000000e+00 0.000000e+00
226441 -5.203389e-11 0.000000e+00 0.000000e+00
226909 -4.555061e-11 0.000000e+00 0.000000e+00
228573 -6.490954e-11 0.000000e+00 0.000000e+00
228802 -7.457180e-11 0.000000e+00 0.000000e+00
229016 -6.739649e-11 0.000000e+00 0.000000e+00
229559 -8.351527e-11 0.000000e+00 0.000000e+00
229816 -9.136072e-11 0.000000e+00 0.000000e+00
230172 -8.852525e-11 0.000000e+00 0.000000e+00
230569 -9.264724e-11 0.000000e+00 0.000000e+00
231592 -9.342811e-11 0.000000e+00 0.000000e+00
232234 -1.287387e-10 0.000000e+00 0.000000e+00
232949 -1.251319e-10 0.000000e+00 0.000000e+00
233399 -1.207078e-10 0.000000e+00 0.000000e+00
233889 -1.097139e-10 0.000000e+00 0.000000e+00
233931 -1.091084e-10 0.000000e+00 0.000000e+00
234067 -9.860876e-11 0.000000e+00 0.000000e+00
234177 -1.088094e-10 0.000000e+00 0.000000e+00
