Step X Y Z 
125000 1.169075e-10 0.000000e+00 0.000000e+00
148174 1.293447e-10 0.000000e+00 0.000000e+00
148628 1.241463e-10 0.000000e+00 0.000000e+00
150813 1.044054e-10 0.000000e+00 0.000000e+00
152273 1.021291e-10 0.000000e+00 0.000000e+00
157137 9.929187e-11 0.000000e+00 0.000000e+00
163167 9.253932e-11 0.000000e+00 0.000000e+00
178496 9.681038e-11 0.000000e+00 0.000000e+00
182925 1.070424e-10 0.000000e+00 0.000000e+00
187712 1.056594e-10 0.000000e+00 0.000000e+00
189768 1.136260e-10 0.000000e+00 0.000000e+00
192935 1.188668e-10 0.000000e+00 0.000000e+00
195229 1.216357e-10 0.000000e+00 0.000000e+00
200795 1.265814e-10 0.000000e+00 0.000000e+00
203712 1.257131e-10 0.000000e+00 0.000000e+00
206071 9.521990e-11 0.000000e+00 0.000000e+00
208842 8.762274e-11 0.000000e+00 0.000000e+00
212843 8.616708e-11 0.000000e+00 0.000000e+00
227463 7.215986e-11 0.000000e+00 0.000000e+00
231346 8.393899e-11 0.000000e+00 0.000000e+00
233697 8.511478e-11 0.000000e+00 0.000000e+00
236102 8.934632e-11 0.000000e+00 0.000000e+00
237406 9.365650e-11 0.000000e+00 0.000000e+00
243223 1.340412e-10 0.000000e+00 0.000000e+00
247208 1.322039e-10 0.000000e+00 0.000000e+00
248744 1.362466e-10 0.000000e+00 0.000000e+00
266345 1.394421e-10 0.000000e+00 0.000000e+00
273127 1.281745e-10 0.000000e+00 0.000000e+00
276041 1.305590e-10 0.000000e+00 0.000000e+00
279615 1.029402e-10 0.000000e+00 0.000000e+00
280903 1.089723e-10 0.000000e+00 0.000000e+00
282696 1.107367e-10 0.000000e+00 0.000000e+00
285585 1.124436e-10 0.000000e+00 0.000000e+00
291918 1.230592e-10 0.000000e+00 0.000000e+00
296676 6.967923e-11 0.000000e+00 0.000000e+00
299656 8.246961e-11 0.000000e+00 0.000000e+00
300294 9.106430e-11 0.000000e+00 0.000000e+00
312051 9.815476e-11 0.000000e+00 0.000000e+00
323404 8.063432e-11 0.000000e+00 0.000000e+00
328413 7.868453e-11 0.000000e+00 0.000000e+00
335265 7.652518e-11 0.000000e+00 0.000000e+00
340008 6.525176e-11 0.000000e+00 0.000000e+00
346985 6.661480e-11 0.000000e+00 0.000000e+00
350723 7.513483e-11 0.000000e+00 0.000000e+00
351575 6.083293e-11 0.000000e+00 0.000000e+00
358249 6.302397e-11 0.000000e+00 0.000000e+00
358537 6.179526e-11 0.000000e+00 0.000000e+00
376481 6.408428e-11 0.000000e+00 0.000000e+00
377413 9.056829e-11 0.000000e+00 0.000000e+00
382877 -1.093427e-10 0.000000e+00 0.000000e+00
384209 -1.194631e-10 0.000000e+00 0.000000e+00
385157 -9.526920e-11 0.000000e+00 0.000000e+00
390649 -8.911548e-11 0.000000e+00 0.000000e+00
393856 -9.347528e-11 0.000000e+00 0.000000e+00
404404 -9.179667e-11 0.000000e+00 0.000000e+00
407044 -1.151510e-10 0.000000e+00 0.000000e+00
413418 -1.245128e-10 0.000000e+00 0.000000e+00
418599 -1.217482e-10 0.000000e+00 0.000000e+00
430523 -1.226565e-10 0.000000e+00 0.000000e+00
431886 -1.268598e-10 0.000000e+00 0.000000e+00
436285 -1.300986e-10 0.000000e+00 0.000000e+00
445587 -1.286427e-10 0.000000e+00 0.000000e+00
449800 -1.259343e-10 0.000000e+00 0.000000e+00
454658 -8.280026e-11 0.000000e+00 0.000000e+00
455315 -7.430624e-11 0.000000e+00 0.000000e+00
456537 -6.860060e-11 0.000000e+00 0.000000e+00
