Step X Y Z 
125000 9.866705e-11 0.000000e+00 0.000000e+00
126258 9.567821e-11 0.000000e+00 0.000000e+00
130296 1.012153e-10 0.000000e+00 0.000000e+00
134638 1.028296e-10 0.000000e+00 0.000000e+00
135167 1.038500e-10 0.000000e+00 0.000000e+00
140448 9.726321e-11 0.000000e+00 0.000000e+00
140477 1.018478e-10 0.000000e+00 0.000000e+00
146050 1.052617e-10 0.000000e+00 0.000000e+00
150248 1.064865e-10 0.000000e+00 0.000000e+00
151140 1.079129e-10 0.000000e+00 0.000000e+00
151888 9.955470e-11 0.000000e+00 0.000000e+00
153390 9.476260e-11 0.000000e+00 0.000000e+00
158905 9.369263e-11 0.000000e+00 0.000000e+00
164932 9.177020e-11 0.000000e+00 0.000000e+00
166964 1.041527e-10 0.000000e+00 0.000000e+00
168715 9.279519e-11 0.000000e+00 0.000000e+00
175405 9.088854e-11 0.000000e+00 0.000000e+00
177671 8.965560e-11 0.000000e+00 0.000000e+00
179068 1.023628e-10 0.000000e+00 0.000000e+00
182506 9.627926e-11 0.000000e+00 0.000000e+00
197228 1.149906e-10 0.000000e+00 0.000000e+00
200183 1.058719e-10 0.000000e+00 0.000000e+00
202168 1.000339e-10 0.000000e+00 0.000000e+00
203970 1.004832e-10 0.000000e+00 0.000000e+00
207615 1.096829e-10 0.000000e+00 0.000000e+00
207986 1.153152e-10 0.000000e+00 0.000000e+00
209464 1.007483e-10 0.000000e+00 0.000000e+00
214113 9.644846e-11 0.000000e+00 0.000000e+00
218972 9.452051e-11 0.000000e+00 0.000000e+00
219374 1.170251e-10 0.000000e+00 0.000000e+00
224821 1.068331e-10 0.000000e+00 0.000000e+00
226364 1.105544e-10 0.000000e+00 0.000000e+00
229066 8.336905e-11 0.000000e+00 0.000000e+00
232089 1.095576e-10 0.000000e+00 0.000000e+00
236488 1.112486e-10 0.000000e+00 0.000000e+00
237020 1.119239e-10 0.000000e+00 0.000000e+00
242618 1.124518e-10 0.000000e+00 0.000000e+00
253876 1.136362e-10 0.000000e+00 0.000000e+00
256454 1.112117e-10 0.000000e+00 0.000000e+00
261710 9.329083e-11 0.000000e+00 0.000000e+00
267362 9.779106e-11 0.000000e+00 0.000000e+00
267451 9.854995e-11 0.000000e+00 0.000000e+00
269584 9.672844e-11 0.000000e+00 0.000000e+00
271200 8.316051e-11 0.000000e+00 0.000000e+00
275367 6.454599e-11 0.000000e+00 0.000000e+00
286243 7.813897e-11 0.000000e+00 0.000000e+00
289146 8.213771e-11 0.000000e+00 0.000000e+00
299658 8.129085e-11 0.000000e+00 0.000000e+00
307284 1.072444e-10 0.000000e+00 0.000000e+00
312523 -9.914593e-11 0.000000e+00 0.000000e+00
314972 -9.750270e-11 0.000000e+00 0.000000e+00
321682 -9.620062e-11 0.000000e+00 0.000000e+00
325169 -1.014093e-10 0.000000e+00 0.000000e+00
330901 -1.026572e-10 0.000000e+00 0.000000e+00
350820 -1.047429e-10 0.000000e+00 0.000000e+00
354787 -1.059173e-10 0.000000e+00 0.000000e+00
354791 -1.082666e-10 0.000000e+00 0.000000e+00
360639 -9.473639e-11 0.000000e+00 0.000000e+00
362546 -1.006445e-10 0.000000e+00 0.000000e+00
362755 -9.572786e-11 0.000000e+00 0.000000e+00
369207 -1.065858e-10 0.000000e+00 0.000000e+00
371112 -1.035193e-10 0.000000e+00 0.000000e+00
373004 -9.372699e-11 0.000000e+00 0.000000e+00
374303 -9.268259e-11 0.000000e+00 0.000000e+00
378359 -9.189546e-11 0.000000e+00 0.000000e+00
382993 -9.070390e-11 0.000000e+00 0.000000e+00
384164 -8.965174e-11 0.000000e+00 0.000000e+00
388913 -9.999732e-11 0.000000e+00 0.000000e+00
399782 -8.859643e-11 0.000000e+00 0.000000e+00
408224 -8.759643e-11 0.000000e+00 0.000000e+00
408943 -1.065145e-10 0.000000e+00 0.000000e+00
410835 -8.614073e-11 0.000000e+00 0.000000e+00
412910 -9.526812e-11 0.000000e+00 0.000000e+00
414234 -9.838699e-11 0.000000e+00 0.000000e+00
416766 -8.760031e-11 0.000000e+00 0.000000e+00
421601 -1.039218e-10 0.000000e+00 0.000000e+00
427548 -9.275235e-11 0.000000e+00 0.000000e+00
445770 -1.044399e-10 0.000000e+00 0.000000e+00
446315 -1.017749e-10 0.000000e+00 0.000000e+00
449393 -1.024375e-10 0.000000e+00 0.000000e+00
455694 -1.093830e-10 0.000000e+00 0.000000e+00
