step K U E temp
120000 1.455265e-21 -4.029462e-20 -3.883935e-20 2.108088e+02
121000 1.294814e-22 -4.072117e-20 -4.059169e-20 1.875660e+01
122000 5.075483e-21 -3.337211e-20 -2.829662e-20 7.352315e+02
123000 2.993164e-21 -4.064210e-20 -3.764894e-20 4.335879e+02
124000 4.777496e-22 -3.996688e-20 -3.948913e-20 6.920653e+01
125000 1.383440e-22 -3.624158e-20 -3.610323e-20 2.004043e+01
126000 7.430631e-22 -3.912352e-20 -3.838045e-20 1.076397e+02
127000 9.058952e-21 -3.903263e-20 -2.997368e-20 1.312274e+03
128000 4.708253e-21 -4.097335e-20 -3.626510e-20 6.820347e+02
129000 7.761385e-23 -2.494728e-20 -2.486966e-20 1.124310e+01
130000 1.783462e-21 -4.056918e-20 -3.878572e-20 2.583512e+02
131000 3.943439e-21 -4.042609e-20 -3.648266e-20 5.712442e+02
132000 2.158660e-21 -3.291878e-20 -3.076012e-20 3.127023e+02
133000 1.290446e-21 -3.704719e-20 -3.575674e-20 1.869332e+02
134000 5.381027e-21 -3.919460e-20 -3.381357e-20 7.794923e+02
135000 1.557431e-21 -3.991421e-20 -3.835678e-20 2.256085e+02
136000 1.545434e-23 -3.913683e-20 -3.912138e-20 2.238707e+00
137000 9.962155e-22 -3.975032e-20 -3.875410e-20 1.443112e+02
138000 9.915275e-23 -4.099954e-20 -4.090039e-20 1.436321e+01
139000 3.962511e-22 -3.928400e-20 -3.888774e-20 5.740070e+01
140000 2.690120e-21 -3.428678e-20 -3.159666e-20 3.896891e+02
141000 5.529876e-22 -4.056666e-20 -4.001367e-20 8.010545e+01
142000 4.668155e-21 -4.105689e-20 -3.638874e-20 6.762261e+02
143000 1.912262e-21 -3.366403e-20 -3.175177e-20 2.770092e+02
144000 1.451743e-25 -4.090543e-20 -4.090528e-20 2.102986e-02
145000 6.887205e-21 -4.101538e-20 -3.412818e-20 9.976765e+02
146000 1.437917e-21 -3.594159e-20 -3.450367e-20 2.082958e+02
147000 1.094827e-22 -3.804638e-20 -3.793690e-20 1.585959e+01
148000 2.843894e-22 -4.109388e-20 -4.080949e-20 4.119649e+01
149000 3.751124e-22 -3.971064e-20 -3.933552e-20 5.433857e+01
150000 4.436372e-22 -4.035503e-20 -3.991139e-20 6.426502e+01
151000 3.600995e-22 -4.109967e-20 -4.073957e-20 5.216380e+01
152000 4.233715e-23 -3.473504e-20 -3.469270e-20 6.132935e+00
153000 8.694250e-21 -3.229449e-20 -2.360024e-20 1.259444e+03
154000 6.022307e-24 -4.003191e-20 -4.002588e-20 8.723878e-01
155000 8.130733e-22 -3.305943e-20 -3.224636e-20 1.177813e+02
156000 3.376687e-22 -3.104364e-20 -3.070597e-20 4.891449e+01
157000 6.179907e-21 -4.008419e-20 -3.390428e-20 8.952177e+02
158000 1.485604e-21 -3.746886e-20 -3.598326e-20 2.152037e+02
159000 1.348477e-21 -3.966196e-20 -3.831348e-20 1.953396e+02
160000 7.878540e-21 -3.908611e-20 -3.120757e-20 1.141281e+03
161000 2.823413e-22 -4.104167e-20 -4.075933e-20 4.089979e+01
162000 2.107580e-21 -4.109960e-20 -3.899202e-20 3.053027e+02
163000 2.840559e-21 -3.501772e-20 -3.217716e-20 4.114817e+02
164000 4.228305e-21 -3.988028e-20 -3.565197e-20 6.125098e+02
165000 2.619984e-21 -4.100076e-20 -3.838078e-20 3.795293e+02
166000 1.090398e-22 -3.967377e-20 -3.956473e-20 1.579544e+01
167000 7.839476e-22 -3.632849e-20 -3.554455e-20 1.135622e+02
168000 6.979933e-22 -3.814242e-20 -3.744442e-20 1.011109e+02
169000 4.845356e-22 -4.052818e-20 -4.004364e-20 7.018954e+01
170000 3.906259e-21 -4.025363e-20 -3.634737e-20 5.658584e+02
171000 3.490090e-21 -4.091548e-20 -3.742539e-20 5.055723e+02
172000 2.521595e-22 -3.899543e-20 -3.874327e-20 3.652767e+01
173000 5.007900e-23 -4.085870e-20 -4.080862e-20 7.254414e+00
174000 4.094475e-21 -4.102728e-20 -3.693281e-20 5.931233e+02
175000 5.766077e-23 -4.052039e-20 -4.046273e-20 8.352705e+00
176000 3.166947e-21 -4.063739e-20 -3.747044e-20 4.587620e+02
177000 5.981432e-22 -4.046192e-20 -3.986378e-20 8.664667e+01
178000 5.873025e-21 -3.994078e-20 -3.406775e-20 8.507629e+02
179000 6.902428e-22 -3.688041e-20 -3.619017e-20 9.998816e+01
180000 1.016771e-21 -4.102222e-20 -4.000545e-20 1.472888e+02
181000 2.562658e-21 -4.104115e-20 -3.847849e-20 3.712252e+02
182000 1.167390e-21 -3.870459e-20 -3.753720e-20 1.691074e+02
183000 3.622203e-21 -3.869527e-20 -3.507307e-20 5.247102e+02
184000 7.646316e-23 -3.431108e-20 -3.423461e-20 1.107641e+01
185000 1.771197e-22 -4.102900e-20 -4.085188e-20 2.565746e+01
186000 5.899585e-21 -2.399093e-20 -1.809135e-20 8.546104e+02
187000 3.098651e-21 -3.940366e-20 -3.630501e-20 4.488688e+02
188000 1.916161e-21 -4.001487e-20 -3.809871e-20 2.775740e+02
189000 2.905831e-24 -4.100783e-20 -4.100492e-20 4.209370e-01
190000 2.634247e-21 -4.087355e-20 -3.823930e-20 3.815955e+02
191000 3.528527e-21 -4.006363e-20 -3.653510e-20 5.111404e+02
192000 4.352760e-21 -3.887960e-20 -3.452684e-20 6.305383e+02
193000 3.704303e-22 -4.063356e-20 -4.026313e-20 5.366031e+01
194000 3.430946e-22 -3.560293e-20 -3.525984e-20 4.970049e+01
195000 1.755396e-21 -3.539996e-20 -3.364456e-20 2.542856e+02
196000 4.562029e-21 -4.099396e-20 -3.643193e-20 6.608529e+02
197000 4.194616e-23 -4.076609e-20 -4.072415e-20 6.076296e+00
198000 1.719613e-21 -4.108583e-20 -3.936621e-20 2.491021e+02
199000 1.468005e-23 -3.970366e-20 -3.968898e-20 2.126544e+00
200000 3.060091e-21 -3.863335e-20 -3.557326e-20 4.432830e+02
201000 3.381638e-21 -3.856141e-20 -3.517977e-20 4.898621e+02
202000 2.389091e-21 -4.109477e-20 -3.870568e-20 3.460823e+02
203000 1.902814e-22 -3.845010e-20 -3.825982e-20 2.756405e+01
204000 3.988701e-21 -4.055883e-20 -3.657012e-20 5.778009e+02
205000 6.732030e-24 -3.981105e-20 -3.980432e-20 9.751979e-01
206000 9.136256e-22 -4.088641e-20 -3.997278e-20 1.323473e+02
207000 4.889942e-22 -3.617409e-20 -3.568510e-20 7.083542e+01
208000 7.984700e-21 -4.107176e-20 -3.308706e-20 1.156659e+03
209000 7.284400e-22 -4.087651e-20 -4.014807e-20 1.055214e+02
210000 8.542697e-22 -4.083393e-20 -3.997966e-20 1.237490e+02
211000 4.127933e-22 -3.044872e-20 -3.003593e-20 5.979700e+01
212000 9.472503e-22 -3.558915e-20 -3.464190e-20 1.372181e+02
213000 1.149459e-22 -4.109839e-20 -4.098345e-20 1.665099e+01
214000 4.084883e-21 -3.642873e-20 -3.234384e-20 5.917337e+02
215000 9.873944e-25 -3.854141e-20 -3.854042e-20 1.430334e-01
216000 7.767627e-21 -4.100482e-20 -3.323719e-20 1.125214e+03
217000 2.097186e-24 -3.657965e-20 -3.657755e-20 3.037971e-01
218000 4.567257e-24 -4.021468e-20 -4.021012e-20 6.616101e-01
219000 1.069752e-22 -3.658390e-20 -3.647693e-20 1.549637e+01
220000 1.016590e-20 -4.018688e-20 -3.002098e-20 1.472626e+03
221000 1.979123e-21 -3.715785e-20 -3.517873e-20 2.866945e+02
222000 4.952765e-21 -2.915069e-20 -2.419792e-20 7.174546e+02
223000 6.687991e-21 -3.992328e-20 -3.323529e-20 9.688184e+02
224000 6.288164e-24 -3.672913e-20 -3.672284e-20 9.108997e-01
225000 6.551054e-22 -3.993778e-20 -3.928267e-20 9.489818e+01
226000 1.929522e-21 -4.077484e-20 -3.884532e-20 2.795094e+02
227000 6.844013e-24 -4.098610e-20 -4.097926e-20 9.914197e-01
228000 1.471408e-22 -4.109587e-20 -4.094873e-20 2.131473e+01
229000 5.156756e-22 -4.059346e-20 -4.007778e-20 7.470046e+01
230000 4.414824e-21 -3.956507e-20 -3.515024e-20 6.395289e+02
231000 1.781645e-21 -3.792588e-20 -3.614424e-20 2.580880e+02
232000 2.360579e-21 -4.078068e-20 -3.842010e-20 3.419521e+02
233000 4.135186e-21 -4.107858e-20 -3.694340e-20 5.990207e+02
234000 1.914693e-22 -4.081393e-20 -4.062246e-20 2.773613e+01
235000 1.192482e-21 -3.978404e-20 -3.859156e-20 1.727422e+02
236000 5.546753e-21 -3.967236e-20 -3.412560e-20 8.034994e+02
237000 6.915384e-23 -2.877032e-20 -2.870117e-20 1.001758e+01
