pX pY pZ 
1.389444e-13 0.000000e+00 0.000000e+00
-4.144515e-14 0.000000e+00 0.000000e+00
2.594829e-13 0.000000e+00 0.000000e+00
1.992669e-13 0.000000e+00 0.000000e+00
7.961047e-14 0.000000e+00 0.000000e+00
-4.284007e-14 0.000000e+00 0.000000e+00
9.928482e-14 0.000000e+00 0.000000e+00
-3.466642e-13 0.000000e+00 0.000000e+00
-2.499194e-13 0.000000e+00 0.000000e+00
-3.208778e-14 0.000000e+00 0.000000e+00
1.538161e-13 0.000000e+00 0.000000e+00
2.287218e-13 0.000000e+00 0.000000e+00
1.692241e-13 0.000000e+00 0.000000e+00
1.308398e-13 0.000000e+00 0.000000e+00
-2.671792e-13 0.000000e+00 0.000000e+00
1.437389e-13 0.000000e+00 0.000000e+00
1.431843e-14 0.000000e+00 0.000000e+00
1.149600e-13 0.000000e+00 0.000000e+00
-3.626790e-14 0.000000e+00 0.000000e+00
-7.250288e-14 0.000000e+00 0.000000e+00
-1.889104e-13 0.000000e+00 0.000000e+00
-8.565006e-14 0.000000e+00 0.000000e+00
-2.488528e-13 0.000000e+00 0.000000e+00
1.592736e-13 0.000000e+00 0.000000e+00
1.387761e-15 0.000000e+00 0.000000e+00
3.022675e-13 0.000000e+00 0.000000e+00
-1.381138e-13 0.000000e+00 0.000000e+00
-3.811033e-14 0.000000e+00 0.000000e+00
6.142239e-14 0.000000e+00 0.000000e+00
-7.054248e-14 0.000000e+00 0.000000e+00
-7.671565e-14 0.000000e+00 0.000000e+00
-6.911642e-14 0.000000e+00 0.000000e+00
-2.369904e-14 0.000000e+00 0.000000e+00
3.396144e-13 0.000000e+00 0.000000e+00
-8.938228e-15 0.000000e+00 0.000000e+00
-1.038568e-13 0.000000e+00 0.000000e+00
6.692917e-14 0.000000e+00 0.000000e+00
-2.863261e-13 0.000000e+00 0.000000e+00
-1.403853e-13 0.000000e+00 0.000000e+00
1.337494e-13 0.000000e+00 0.000000e+00
3.232905e-13 0.000000e+00 0.000000e+00
6.120081e-14 0.000000e+00 0.000000e+00
-1.672099e-13 0.000000e+00 0.000000e+00
1.941207e-13 0.000000e+00 0.000000e+00
-2.368390e-13 0.000000e+00 0.000000e+00
1.864315e-13 0.000000e+00 0.000000e+00
-3.803317e-14 0.000000e+00 0.000000e+00
1.019797e-13 0.000000e+00 0.000000e+00
-9.622671e-14 0.000000e+00 0.000000e+00
8.017387e-14 0.000000e+00 0.000000e+00
-2.276410e-13 0.000000e+00 0.000000e+00
-2.151733e-13 0.000000e+00 0.000000e+00
-5.783725e-14 0.000000e+00 0.000000e+00
2.577495e-14 0.000000e+00 0.000000e+00
2.330607e-13 0.000000e+00 0.000000e+00
-2.765733e-14 0.000000e+00 0.000000e+00
2.049700e-13 0.000000e+00 0.000000e+00
8.907844e-14 0.000000e+00 0.000000e+00
2.791264e-13 0.000000e+00 0.000000e+00
9.569096e-14 0.000000e+00 0.000000e+00
1.161399e-13 0.000000e+00 0.000000e+00
1.843807e-13 0.000000e+00 0.000000e+00
1.244451e-13 0.000000e+00 0.000000e+00
2.192080e-13 0.000000e+00 0.000000e+00
3.184902e-14 0.000000e+00 0.000000e+00
4.847340e-14 0.000000e+00 0.000000e+00
-2.797568e-13 0.000000e+00 0.000000e+00
2.027479e-13 0.000000e+00 0.000000e+00
1.594359e-13 0.000000e+00 0.000000e+00
6.208764e-15 0.000000e+00 0.000000e+00
1.869383e-13 0.000000e+00 0.000000e+00
2.163549e-13 0.000000e+00 0.000000e+00
-2.402992e-13 0.000000e+00 0.000000e+00
7.010084e-14 0.000000e+00 0.000000e+00
6.746476e-14 0.000000e+00 0.000000e+00
1.526011e-13 0.000000e+00 0.000000e+00
2.460079e-13 0.000000e+00 0.000000e+00
2.358936e-14 0.000000e+00 0.000000e+00
1.510377e-13 0.000000e+00 0.000000e+00
-1.395513e-14 0.000000e+00 0.000000e+00
-2.014824e-13 0.000000e+00 0.000000e+00
2.118037e-13 0.000000e+00 0.000000e+00
-1.780272e-13 0.000000e+00 0.000000e+00
-5.024215e-14 0.000000e+00 0.000000e+00
-2.300307e-13 0.000000e+00 0.000000e+00
-9.450244e-15 0.000000e+00 0.000000e+00
-1.100916e-13 0.000000e+00 0.000000e+00
8.054190e-14 0.000000e+00 0.000000e+00
3.254613e-13 0.000000e+00 0.000000e+00
-9.830302e-14 0.000000e+00 0.000000e+00
-1.064553e-13 0.000000e+00 0.000000e+00
-7.400079e-14 0.000000e+00 0.000000e+00
-1.120992e-13 0.000000e+00 0.000000e+00
3.904961e-14 0.000000e+00 0.000000e+00
-2.327876e-13 0.000000e+00 0.000000e+00
-3.619223e-15 0.000000e+00 0.000000e+00
3.210068e-13 0.000000e+00 0.000000e+00
5.274587e-15 0.000000e+00 0.000000e+00
7.783908e-15 0.000000e+00 0.000000e+00
