step K U E temp
0 1.085165e-22 1.566223e-22 2.651387e-22 1.571964e+01
1000 4.838322e-22 6.845011e-22 1.168333e-21 7.008765e+01
2000 6.887584e-22 1.606313e-21 2.295071e-21 9.977314e+01
3000 2.134453e-22 1.189304e-22 3.323756e-22 3.091956e+01
4000 5.716629e-22 2.258644e-21 2.830307e-21 8.281076e+01
5000 1.281938e-21 4.852879e-21 6.134817e-21 1.857008e+02
6000 1.454664e-21 3.483829e-21 4.938493e-21 2.107218e+02
7000 4.378812e-21 3.490237e-21 7.869049e-21 6.343121e+02
8000 1.108397e-21 1.113999e-21 2.222396e-21 1.605618e+02
9000 2.800912e-23 1.466950e-20 1.469751e-20 4.057384e+00
10000 6.965939e-22 1.049577e-21 1.746171e-21 1.009082e+02
11000 5.849683e-21 5.117366e-23 5.900857e-21 8.473816e+02
12000 9.491640e-22 3.889024e-21 4.838188e-21 1.374953e+02
13000 1.706863e-21 4.201217e-21 5.908081e-21 2.472552e+02
14000 1.783091e-21 4.223715e-21 6.006805e-21 2.582975e+02
15000 3.390534e-22 4.199131e-21 4.538184e-21 4.911507e+01
16000 1.292260e-21 3.144264e-21 4.436524e-21 1.871960e+02
17000 1.020045e-21 2.858620e-21 3.878666e-21 1.477631e+02
18000 4.466718e-21 6.587608e-23 4.532594e-21 6.470461e+02
19000 1.325072e-21 2.016680e-21 3.341752e-21 1.919492e+02
20000 5.323510e-22 6.871178e-21 7.403529e-21 7.711606e+01
21000 7.006468e-22 8.923064e-22 1.592953e-21 1.014953e+02
22000 5.366186e-22 7.068534e-22 1.243472e-21 7.773426e+01
23000 5.103156e-26 9.062126e-21 9.062177e-21 7.392402e-03
24000 6.414696e-21 2.574178e-24 6.417271e-21 9.292291e+02
25000 2.472604e-21 2.758335e-22 2.748437e-21 3.581799e+02
26000 6.922105e-22 3.746236e-21 4.438446e-21 1.002732e+02
27000 1.983612e-21 3.498021e-21 5.481634e-21 2.873449e+02
28000 2.983062e-22 3.673831e-22 6.656893e-22 4.321246e+01
29000 8.796099e-22 9.565306e-22 1.836140e-21 1.274198e+02
30000 1.078549e-21 3.047502e-22 1.383299e-21 1.562380e+02
31000 7.203044e-22 3.009150e-23 7.503959e-22 1.043429e+02
32000 4.172836e-22 5.547761e-21 5.965045e-21 6.044745e+01
33000 5.473972e-22 7.349873e-22 1.282384e-21 7.929563e+01
34000 7.977850e-24 8.987137e-22 9.066915e-22 1.155667e+00
35000 7.850120e-23 6.744755e-21 6.823256e-21 1.137164e+01
36000 1.815432e-21 1.144679e-20 1.326222e-20 2.629823e+02
