pX pY pZ 
-2.619103e-14 0.000000e+00 0.000000e+00
1.008055e-13 0.000000e+00 0.000000e+00
2.556268e-13 0.000000e+00 0.000000e+00
7.867799e-14 0.000000e+00 0.000000e+00
2.273369e-13 0.000000e+00 0.000000e+00
-3.009045e-14 0.000000e+00 0.000000e+00
6.034718e-14 0.000000e+00 0.000000e+00
-1.112242e-13 0.000000e+00 0.000000e+00
-3.601001e-13 0.000000e+00 0.000000e+00
8.230581e-14 0.000000e+00 0.000000e+00
2.014693e-15 0.000000e+00 0.000000e+00
1.378358e-13 0.000000e+00 0.000000e+00
8.083165e-15 0.000000e+00 0.000000e+00
-1.786105e-13 0.000000e+00 0.000000e+00
7.263310e-14 0.000000e+00 0.000000e+00
1.854605e-13 0.000000e+00 0.000000e+00
-3.733199e-14 0.000000e+00 0.000000e+00
-1.124852e-14 0.000000e+00 0.000000e+00
1.544718e-13 0.000000e+00 0.000000e+00
-5.221248e-14 0.000000e+00 0.000000e+00
9.091612e-14 0.000000e+00 0.000000e+00
-7.274461e-14 0.000000e+00 0.000000e+00
1.340461e-13 0.000000e+00 0.000000e+00
3.266030e-13 0.000000e+00 0.000000e+00
4.958464e-14 0.000000e+00 0.000000e+00
4.628793e-13 0.000000e+00 0.000000e+00
3.275321e-14 0.000000e+00 0.000000e+00
2.795828e-13 0.000000e+00 0.000000e+00
1.206570e-13 0.000000e+00 0.000000e+00
-1.337116e-13 0.000000e+00 0.000000e+00
-3.163719e-13 0.000000e+00 0.000000e+00
3.253491e-13 0.000000e+00 0.000000e+00
1.779864e-14 0.000000e+00 0.000000e+00
-8.070841e-15 0.000000e+00 0.000000e+00
-1.245500e-13 0.000000e+00 0.000000e+00
-1.211767e-13 0.000000e+00 0.000000e+00
4.609876e-14 0.000000e+00 0.000000e+00
-3.656941e-13 0.000000e+00 0.000000e+00
-1.227951e-14 0.000000e+00 0.000000e+00
9.456948e-14 0.000000e+00 0.000000e+00
1.774978e-13 0.000000e+00 0.000000e+00
-2.530825e-14 0.000000e+00 0.000000e+00
-1.286380e-13 0.000000e+00 0.000000e+00
8.714518e-15 0.000000e+00 0.000000e+00
