pX pY pZ 
2.348308e-14 0.000000e+00 0.000000e+00
-3.336079e-15 0.000000e+00 0.000000e+00
-1.485666e-13 0.000000e+00 0.000000e+00
5.846530e-14 0.000000e+00 0.000000e+00
1.672084e-13 0.000000e+00 0.000000e+00
1.566205e-13 0.000000e+00 0.000000e+00
-1.417413e-13 0.000000e+00 0.000000e+00
1.791635e-13 0.000000e+00 0.000000e+00
6.811897e-14 0.000000e+00 0.000000e+00
5.882220e-14 0.000000e+00 0.000000e+00
-1.838877e-13 0.000000e+00 0.000000e+00
1.184353e-13 0.000000e+00 0.000000e+00
2.669137e-13 0.000000e+00 0.000000e+00
-5.959621e-14 0.000000e+00 0.000000e+00
3.842562e-14 0.000000e+00 0.000000e+00
-7.650906e-14 0.000000e+00 0.000000e+00
-2.259350e-13 0.000000e+00 0.000000e+00
-1.313734e-13 0.000000e+00 0.000000e+00
-1.178565e-13 0.000000e+00 0.000000e+00
-2.034635e-13 0.000000e+00 0.000000e+00
1.154470e-14 0.000000e+00 0.000000e+00
9.460218e-14 0.000000e+00 0.000000e+00
-2.190502e-13 0.000000e+00 0.000000e+00
3.146768e-13 0.000000e+00 0.000000e+00
1.883242e-14 0.000000e+00 0.000000e+00
-3.869076e-13 0.000000e+00 0.000000e+00
1.981380e-13 0.000000e+00 0.000000e+00
-6.306877e-14 0.000000e+00 0.000000e+00
1.910478e-14 0.000000e+00 0.000000e+00
-8.407707e-14 0.000000e+00 0.000000e+00
3.017344e-14 0.000000e+00 0.000000e+00
3.616529e-14 0.000000e+00 0.000000e+00
-1.724386e-13 0.000000e+00 0.000000e+00
-8.596052e-14 0.000000e+00 0.000000e+00
9.213507e-14 0.000000e+00 0.000000e+00
2.379628e-13 0.000000e+00 0.000000e+00
6.194029e-15 0.000000e+00 0.000000e+00
-2.356419e-13 0.000000e+00 0.000000e+00
-8.761214e-14 0.000000e+00 0.000000e+00
7.896894e-14 0.000000e+00 0.000000e+00
2.301346e-13 0.000000e+00 0.000000e+00
1.461284e-13 0.000000e+00 0.000000e+00
-1.614807e-13 0.000000e+00 0.000000e+00
2.990451e-13 0.000000e+00 0.000000e+00
2.075619e-14 0.000000e+00 0.000000e+00
-5.786665e-15 0.000000e+00 0.000000e+00
-4.580496e-15 0.000000e+00 0.000000e+00
7.908728e-14 0.000000e+00 0.000000e+00
-2.443103e-13 0.000000e+00 0.000000e+00
-2.281427e-13 0.000000e+00 0.000000e+00
-3.867358e-13 0.000000e+00 0.000000e+00
-5.598257e-14 0.000000e+00 0.000000e+00
1.258814e-13 0.000000e+00 0.000000e+00
-1.886596e-13 0.000000e+00 0.000000e+00
-6.776571e-14 0.000000e+00 0.000000e+00
-1.091617e-13 0.000000e+00 0.000000e+00
2.194633e-13 0.000000e+00 0.000000e+00
-2.110056e-13 0.000000e+00 0.000000e+00
1.409311e-13 0.000000e+00 0.000000e+00
2.611738e-13 0.000000e+00 0.000000e+00
2.272769e-13 0.000000e+00 0.000000e+00
2.662440e-13 0.000000e+00 0.000000e+00
-1.240454e-13 0.000000e+00 0.000000e+00
-1.962799e-13 0.000000e+00 0.000000e+00
2.779306e-14 0.000000e+00 0.000000e+00
2.380251e-13 0.000000e+00 0.000000e+00
-1.413301e-13 0.000000e+00 0.000000e+00
-1.196495e-13 0.000000e+00 0.000000e+00
-2.133195e-13 0.000000e+00 0.000000e+00
-6.316971e-14 0.000000e+00 0.000000e+00
-3.597729e-13 0.000000e+00 0.000000e+00
-9.287667e-14 0.000000e+00 0.000000e+00
-4.921770e-14 0.000000e+00 0.000000e+00
3.706230e-14 0.000000e+00 0.000000e+00
1.842573e-13 0.000000e+00 0.000000e+00
4.614818e-14 0.000000e+00 0.000000e+00
3.636976e-13 0.000000e+00 0.000000e+00
-6.527941e-14 0.000000e+00 0.000000e+00
5.376263e-15 0.000000e+00 0.000000e+00
2.409595e-13 0.000000e+00 0.000000e+00
-9.885318e-14 0.000000e+00 0.000000e+00
8.134149e-14 0.000000e+00 0.000000e+00
3.184268e-14 0.000000e+00 0.000000e+00
6.878640e-14 0.000000e+00 0.000000e+00
-1.337369e-13 0.000000e+00 0.000000e+00
8.648331e-14 0.000000e+00 0.000000e+00
2.110012e-14 0.000000e+00 0.000000e+00
2.327984e-14 0.000000e+00 0.000000e+00
4.136511e-14 0.000000e+00 0.000000e+00
1.554463e-13 0.000000e+00 0.000000e+00
1.923171e-15 0.000000e+00 0.000000e+00
-1.071221e-13 0.000000e+00 0.000000e+00
1.530303e-13 0.000000e+00 0.000000e+00
1.645657e-14 0.000000e+00 0.000000e+00
1.798426e-13 0.000000e+00 0.000000e+00
-1.448661e-13 0.000000e+00 0.000000e+00
-4.010191e-14 0.000000e+00 0.000000e+00
-3.609583e-14 0.000000e+00 0.000000e+00
-2.279530e-14 0.000000e+00 0.000000e+00
1.694124e-13 0.000000e+00 0.000000e+00
-5.584994e-14 0.000000e+00 0.000000e+00
1.204118e-13 0.000000e+00 0.000000e+00
