step K U E temp
0 2.088718e-21 -4.099795e-20 -3.890923e-20 3.025705e+02
1000 1.879072e-22 -3.934460e-20 2.084331e-20 2.722013e+01
2000 1.837225e-21 -3.886770e-20 6.296952e-20 2.661394e+02
3000 5.741945e-21 -3.371983e-20 1.120221e-19 8.317747e+02
4000 1.525341e-22 -3.733112e-20 1.428214e-19 2.209600e+01
5000 1.036136e-21 -3.649835e-20 1.845498e-19 1.500941e+02
6000 1.937136e-22 -3.436064e-20 2.268068e-19 2.806124e+01
7000 6.696158e-21 -3.826784e-20 2.684912e-19 9.700015e+02
8000 3.583869e-22 -3.785402e-20 3.050994e-19 5.191572e+01
9000 1.204434e-20 -3.510287e-20 3.572017e-19 1.744736e+03
10000 6.124734e-25 -3.203694e-20 3.879637e-19 8.872254e-02
11000 2.127751e-21 -4.103525e-20 4.210925e-19 3.082247e+02
12000 2.998378e-23 -4.010808e-20 4.599222e-19 4.343433e+00
13000 3.613300e-21 -3.615451e-20 5.074588e-19 5.234205e+02
14000 4.699187e-22 -3.468668e-20 5.457875e-19 6.807215e+01
15000 8.174921e-21 -3.796824e-20 5.902067e-19 1.184214e+03
16000 2.038117e-22 -3.742193e-20 6.252996e-19 2.952404e+01
17000 9.787807e-24 -3.558853e-20 6.704663e-19 1.417856e+00
18000 1.869837e-21 -3.374757e-20 7.093768e-19 2.708634e+02
19000 3.501663e-22 -3.224561e-20 7.481606e-19 5.072489e+01
20000 1.749707e-22 -3.051433e-20 7.896965e-19 2.534615e+01
21000 1.932450e-23 -3.852284e-20 8.229912e-19 2.799335e+00
22000 5.100823e-21 -4.066749e-20 8.644334e-19 7.389022e+02
23000 4.053746e-21 -4.023942e-20 9.038143e-19 5.872232e+02
24000 1.719257e-21 -4.081724e-20 9.409020e-19 2.490506e+02
25000 3.728938e-21 -3.984631e-20 9.839788e-19 5.401718e+02
26000 1.081615e-22 -3.582826e-20 1.024788e-18 1.566821e+01
27000 1.835702e-23 -4.109976e-20 1.058941e-18 2.659187e+00
28000 1.373242e-21 -4.106117e-20 1.100388e-18 1.989271e+02
29000 1.642415e-21 -4.044935e-20 1.143403e-18 2.379192e+02
30000 4.868795e-24 -4.090560e-20 1.179565e-18 7.052907e-01
31000 7.345549e-21 -3.962751e-20 1.233126e-18 1.064072e+03
32000 3.658857e-21 -3.925349e-20 1.266354e-18 5.300198e+02
33000 7.333322e-22 -4.092708e-20 1.303275e-18 1.062301e+02
34000 6.018107e-21 -4.102397e-20 1.355749e-18 8.717794e+02
35000 1.431675e-20 -3.689514e-20 1.403823e-18 2.073916e+03
36000 5.073577e-21 -2.866438e-20 1.436409e-18 7.349553e+02
37000 8.533324e-23 -2.990656e-20 1.470183e-18 1.236132e+01
38000 9.169823e-21 -1.281254e-20 1.536357e-18 1.328335e+03
39000 2.187829e-21 -3.039793e-20 1.556790e-18 3.169276e+02
40000 1.372211e-21 -3.290751e-20 1.588817e-18 1.987777e+02
41000 7.805344e-21 -3.638269e-20 1.651468e-18 1.130678e+03
42000 3.038191e-21 -4.058526e-20 1.662686e-18 4.401105e+02
43000 2.187832e-21 -4.054411e-20 1.719819e-18 3.169281e+02
44000 3.136956e-23 -3.866832e-20 1.753191e-18 4.544176e+00
45000 8.611660e-22 -4.025679e-20 1.800793e-18 1.247480e+02
46000 1.791074e-22 -2.505799e-20 1.835121e-18 2.594539e+01
47000 1.467094e-22 -1.930568e-20 1.880841e-18 2.125224e+01
48000 1.778379e-23 -2.911919e-20 1.911536e-18 2.576150e+00
49000 4.578038e-21 -4.077211e-20 1.962119e-18 6.631719e+02
50000 4.498013e-23 -3.101275e-20 2.002088e-18 6.515795e+00
51000 1.628130e-21 -4.109957e-20 2.040550e-18 2.358499e+02
52000 4.014904e-21 -4.107298e-20 2.085310e-18 5.815966e+02
53000 8.337300e-23 -3.295533e-20 2.116509e-18 1.207736e+01
54000 5.435434e-22 -3.978719e-20 2.143441e-18 7.873737e+01
55000 1.842762e-21 -3.891511e-20 2.188943e-18 2.669414e+02
56000 5.316283e-22 -4.064779e-20 2.242264e-18 7.701137e+01
57000 1.157943e-22 -3.692986e-20 2.268951e-18 1.677389e+01
58000 1.192062e-21 -3.961879e-20 2.319727e-18 1.726813e+02
59000 4.189934e-23 -3.900737e-20 2.365488e-18 6.069513e+00
60000 2.245783e-21 -4.036067e-20 2.400101e-18 3.253228e+02
61000 3.426720e-22 -2.782958e-20 2.434030e-18 4.963926e+01
62000 5.516071e-22 -2.317175e-20 2.477792e-18 7.990548e+01
63000 5.380678e-22 -1.705922e-20 2.523910e-18 7.794418e+01
64000 2.511223e-21 -2.118541e-20 2.562766e-18 3.637743e+02
65000 6.223901e-22 -2.631356e-20 2.598071e-18 9.015906e+01
66000 6.898426e-21 -1.102003e-20 2.659126e-18 9.993019e+02
67000 6.972755e-22 -2.922125e-20 2.693187e-18 1.010069e+02
68000 4.187343e-22 -2.135156e-20 2.739951e-18 6.065761e+01
69000 1.726963e-21 -3.694974e-20 2.770907e-18 2.501668e+02
70000 6.451046e-21 -3.363476e-20 2.818582e-18 9.344948e+02
71000 3.901389e-24 -3.515606e-20 2.844076e-18 5.651529e-01
72000 2.454802e-21 -3.616825e-20 2.893298e-18 3.556012e+02
73000 6.032054e-22 -2.975169e-20 2.941299e-18 8.737998e+01
74000 2.088696e-21 -3.122286e-20 2.951556e-18 3.025673e+02
75000 2.253948e-21 -3.458993e-20 3.003550e-18 3.265056e+02
76000 1.308206e-21 -2.369637e-20 3.037612e-18 1.895059e+02
77000 2.369829e-21 -2.687019e-20 3.075500e-18 3.432921e+02
78000 8.258586e-22 -2.920465e-20 3.116926e-18 1.196334e+02
