FX FY FZ 
1.194861e-10 0.000000e+00 0.000000e+00
6.948500e-11 0.000000e+00 0.000000e+00
-3.359032e-10 0.000000e+00 0.000000e+00
5.341687e-10 0.000000e+00 0.000000e+00
-3.948270e-10 0.000000e+00 0.000000e+00
-9.964974e-11 0.000000e+00 0.000000e+00
2.077862e-10 0.000000e+00 0.000000e+00
3.731436e-10 0.000000e+00 0.000000e+00
4.483956e-10 0.000000e+00 0.000000e+00
2.028519e-10 0.000000e+00 0.000000e+00
3.858588e-10 0.000000e+00 0.000000e+00
2.700610e-11 0.000000e+00 0.000000e+00
4.190972e-11 0.000000e+00 0.000000e+00
3.046811e-10 0.000000e+00 0.000000e+00
2.793137e-10 0.000000e+00 0.000000e+00
1.923199e-11 0.000000e+00 0.000000e+00
-4.290305e-11 0.000000e+00 0.000000e+00
-1.744857e-11 0.000000e+00 0.000000e+00
-4.017383e-11 0.000000e+00 0.000000e+00
-3.602887e-11 0.000000e+00 0.000000e+00
-5.658765e-11 0.000000e+00 0.000000e+00
2.549279e-10 0.000000e+00 0.000000e+00
2.940781e-10 0.000000e+00 0.000000e+00
3.102066e-10 0.000000e+00 0.000000e+00
2.077379e-10 0.000000e+00 0.000000e+00
9.348576e-11 0.000000e+00 0.000000e+00
1.488063e-10 0.000000e+00 0.000000e+00
2.424278e-10 0.000000e+00 0.000000e+00
1.750800e-10 0.000000e+00 0.000000e+00
2.899608e-10 0.000000e+00 0.000000e+00
3.568614e-10 0.000000e+00 0.000000e+00
4.849429e-10 0.000000e+00 0.000000e+00
4.366546e-10 0.000000e+00 0.000000e+00
4.494025e-10 0.000000e+00 0.000000e+00
4.816169e-10 0.000000e+00 0.000000e+00
5.009689e-10 0.000000e+00 0.000000e+00
5.535158e-10 0.000000e+00 0.000000e+00
6.135064e-10 0.000000e+00 0.000000e+00
6.302884e-10 0.000000e+00 0.000000e+00
6.064493e-10 0.000000e+00 0.000000e+00
5.779231e-10 0.000000e+00 0.000000e+00
-1.767351e-10 0.000000e+00 0.000000e+00
-4.652388e-10 0.000000e+00 0.000000e+00
-2.032608e-10 0.000000e+00 0.000000e+00
-1.660223e-10 0.000000e+00 0.000000e+00
-3.090653e-10 0.000000e+00 0.000000e+00
-2.218156e-10 0.000000e+00 0.000000e+00
-2.171910e-10 0.000000e+00 0.000000e+00
-1.732893e-10 0.000000e+00 0.000000e+00
-2.090273e-10 0.000000e+00 0.000000e+00
-2.250473e-10 0.000000e+00 0.000000e+00
-1.389929e-10 0.000000e+00 0.000000e+00
-1.448872e-10 0.000000e+00 0.000000e+00
