FX FY FZ 
-1.726644e-09 0.000000e+00 0.000000e+00
-1.169315e-09 0.000000e+00 0.000000e+00
1.832288e-09 0.000000e+00 0.000000e+00
-6.351054e-10 0.000000e+00 0.000000e+00
-7.367308e-09 0.000000e+00 0.000000e+00
-1.001174e-09 0.000000e+00 0.000000e+00
4.074021e-09 0.000000e+00 0.000000e+00
3.703888e-09 0.000000e+00 0.000000e+00
1.941398e-09 0.000000e+00 0.000000e+00
8.351352e-09 0.000000e+00 0.000000e+00
7.618449e-09 0.000000e+00 0.000000e+00
-5.177484e-09 0.000000e+00 0.000000e+00
-8.304282e-09 0.000000e+00 0.000000e+00
-8.656595e-09 0.000000e+00 0.000000e+00
-8.878736e-09 0.000000e+00 0.000000e+00
-5.356946e-09 0.000000e+00 0.000000e+00
-9.690379e-09 0.000000e+00 0.000000e+00
-9.751075e-09 0.000000e+00 0.000000e+00
-1.316992e-08 0.000000e+00 0.000000e+00
-8.815838e-09 0.000000e+00 0.000000e+00
-1.488864e-08 0.000000e+00 0.000000e+00
3.391592e-09 0.000000e+00 0.000000e+00
2.471377e-09 0.000000e+00 0.000000e+00
4.138458e-09 0.000000e+00 0.000000e+00
2.442545e-09 0.000000e+00 0.000000e+00
3.757793e-09 0.000000e+00 0.000000e+00
-1.945034e-08 0.000000e+00 0.000000e+00
-1.956388e-08 0.000000e+00 0.000000e+00
-1.916179e-08 0.000000e+00 0.000000e+00
-1.788622e-08 0.000000e+00 0.000000e+00
-1.819621e-08 0.000000e+00 0.000000e+00
1.209043e-08 0.000000e+00 0.000000e+00
1.114523e-08 0.000000e+00 0.000000e+00
1.285532e-08 0.000000e+00 0.000000e+00
1.103189e-08 0.000000e+00 0.000000e+00
1.278831e-08 0.000000e+00 0.000000e+00
1.499709e-08 0.000000e+00 0.000000e+00
1.518670e-08 0.000000e+00 0.000000e+00
1.650112e-08 0.000000e+00 0.000000e+00
1.599548e-08 0.000000e+00 0.000000e+00
1.656770e-08 0.000000e+00 0.000000e+00
-9.778671e-09 0.000000e+00 0.000000e+00
-1.036049e-08 0.000000e+00 0.000000e+00
-1.019963e-08 0.000000e+00 0.000000e+00
-8.909291e-09 0.000000e+00 0.000000e+00
-8.143501e-09 0.000000e+00 0.000000e+00
2.188419e-08 0.000000e+00 0.000000e+00
1.996674e-08 0.000000e+00 0.000000e+00
2.022650e-08 0.000000e+00 0.000000e+00
2.136843e-08 0.000000e+00 0.000000e+00
1.886367e-08 0.000000e+00 0.000000e+00
2.143690e-08 0.000000e+00 0.000000e+00
2.214218e-08 0.000000e+00 0.000000e+00
2.205041e-08 0.000000e+00 0.000000e+00
2.114846e-08 0.000000e+00 0.000000e+00
2.363467e-08 0.000000e+00 0.000000e+00
3.195536e-08 0.000000e+00 0.000000e+00
2.110830e-08 0.000000e+00 0.000000e+00
1.723943e-08 0.000000e+00 0.000000e+00
-1.131187e-09 0.000000e+00 0.000000e+00
-2.465460e-08 0.000000e+00 0.000000e+00
4.001238e-09 0.000000e+00 0.000000e+00
9.700355e-09 0.000000e+00 0.000000e+00
2.608600e-08 0.000000e+00 0.000000e+00
2.709149e-08 0.000000e+00 0.000000e+00
2.629293e-08 0.000000e+00 0.000000e+00
9.960107e-10 0.000000e+00 0.000000e+00
2.930947e-08 0.000000e+00 0.000000e+00
2.828646e-08 0.000000e+00 0.000000e+00
2.922076e-08 0.000000e+00 0.000000e+00
3.088373e-08 0.000000e+00 0.000000e+00
7.361543e-09 0.000000e+00 0.000000e+00
-6.324707e-08 0.000000e+00 0.000000e+00
2.854461e-08 0.000000e+00 0.000000e+00
1.433962e-09 0.000000e+00 0.000000e+00
2.398481e-10 0.000000e+00 0.000000e+00
3.305121e-08 0.000000e+00 0.000000e+00
3.353349e-08 0.000000e+00 0.000000e+00
3.312421e-08 0.000000e+00 0.000000e+00
4.919245e-08 0.000000e+00 0.000000e+00
-3.038982e-08 0.000000e+00 0.000000e+00
2.784080e-08 0.000000e+00 0.000000e+00
-2.186895e-08 0.000000e+00 0.000000e+00
2.885102e-08 0.000000e+00 0.000000e+00
2.568305e-08 0.000000e+00 0.000000e+00
-2.807982e-08 0.000000e+00 0.000000e+00
-6.143871e-08 0.000000e+00 0.000000e+00
1.153002e-08 0.000000e+00 0.000000e+00
-1.645357e-09 0.000000e+00 0.000000e+00
5.386353e-08 0.000000e+00 0.000000e+00
4.834071e-08 0.000000e+00 0.000000e+00
-3.453843e-08 0.000000e+00 0.000000e+00
-3.800270e-08 0.000000e+00 0.000000e+00
-3.465528e-08 0.000000e+00 0.000000e+00
-3.406847e-08 0.000000e+00 0.000000e+00
-3.588134e-08 0.000000e+00 0.000000e+00
-3.737290e-08 0.000000e+00 0.000000e+00
-1.097794e-08 0.000000e+00 0.000000e+00
