FX FY FZ 
8.827950e-11 0.000000e+00 0.000000e+00
-1.428743e-10 0.000000e+00 0.000000e+00
5.056221e-10 0.000000e+00 0.000000e+00
-5.376728e-11 0.000000e+00 0.000000e+00
2.921525e-10 0.000000e+00 0.000000e+00
-4.804131e-11 0.000000e+00 0.000000e+00
-8.078074e-10 0.000000e+00 0.000000e+00
-1.042633e-10 0.000000e+00 0.000000e+00
-2.456325e-10 0.000000e+00 0.000000e+00
-2.276519e-10 0.000000e+00 0.000000e+00
-6.913861e-10 0.000000e+00 0.000000e+00
-8.623490e-10 0.000000e+00 0.000000e+00
-1.163804e-09 0.000000e+00 0.000000e+00
-7.288492e-10 0.000000e+00 0.000000e+00
-8.731974e-10 0.000000e+00 0.000000e+00
1.594729e-10 0.000000e+00 0.000000e+00
4.428645e-10 0.000000e+00 0.000000e+00
5.059897e-10 0.000000e+00 0.000000e+00
5.159991e-10 0.000000e+00 0.000000e+00
3.424834e-10 0.000000e+00 0.000000e+00
6.293328e-10 0.000000e+00 0.000000e+00
6.220919e-10 0.000000e+00 0.000000e+00
6.004177e-10 0.000000e+00 0.000000e+00
6.025029e-10 0.000000e+00 0.000000e+00
-4.310144e-10 0.000000e+00 0.000000e+00
-1.724445e-10 0.000000e+00 0.000000e+00
-8.759776e-11 0.000000e+00 0.000000e+00
-2.395593e-10 0.000000e+00 0.000000e+00
-2.983648e-10 0.000000e+00 0.000000e+00
-6.249666e-10 0.000000e+00 0.000000e+00
-5.719374e-10 0.000000e+00 0.000000e+00
-6.264866e-10 0.000000e+00 0.000000e+00
-6.309240e-10 0.000000e+00 0.000000e+00
-6.323775e-10 0.000000e+00 0.000000e+00
-6.326972e-10 0.000000e+00 0.000000e+00
-6.326937e-10 0.000000e+00 0.000000e+00
-6.324523e-10 0.000000e+00 0.000000e+00
-6.277597e-10 0.000000e+00 0.000000e+00
-4.800655e-10 0.000000e+00 0.000000e+00
-5.952138e-10 0.000000e+00 0.000000e+00
-4.245187e-10 0.000000e+00 0.000000e+00
-4.388066e-10 0.000000e+00 0.000000e+00
6.327688e-10 0.000000e+00 0.000000e+00
6.281023e-10 0.000000e+00 0.000000e+00
6.326475e-10 0.000000e+00 0.000000e+00
6.293822e-10 0.000000e+00 0.000000e+00
6.221693e-10 0.000000e+00 0.000000e+00
6.324263e-10 0.000000e+00 0.000000e+00
5.284285e-10 0.000000e+00 0.000000e+00
