FX FY FZ 
8.778257e-09 0.000000e+00 0.000000e+00
-4.194893e-09 0.000000e+00 0.000000e+00
5.919396e-09 0.000000e+00 0.000000e+00
2.916493e-09 0.000000e+00 0.000000e+00
-1.370249e-09 0.000000e+00 0.000000e+00
-6.193742e-09 0.000000e+00 0.000000e+00
7.902023e-09 0.000000e+00 0.000000e+00
-8.791006e-11 0.000000e+00 0.000000e+00
-2.266751e-09 0.000000e+00 0.000000e+00
-1.149283e-08 0.000000e+00 0.000000e+00
-1.127498e-08 0.000000e+00 0.000000e+00
-1.029152e-08 0.000000e+00 0.000000e+00
-9.736497e-09 0.000000e+00 0.000000e+00
-2.172804e-09 0.000000e+00 0.000000e+00
-2.665301e-09 0.000000e+00 0.000000e+00
-1.994554e-08 0.000000e+00 0.000000e+00
1.180246e-08 0.000000e+00 0.000000e+00
1.201690e-08 0.000000e+00 0.000000e+00
1.551674e-08 0.000000e+00 0.000000e+00
1.610932e-08 0.000000e+00 0.000000e+00
1.448471e-08 0.000000e+00 0.000000e+00
1.433385e-08 0.000000e+00 0.000000e+00
1.393386e-08 0.000000e+00 0.000000e+00
-1.723931e-08 0.000000e+00 0.000000e+00
1.199968e-08 0.000000e+00 0.000000e+00
-2.196910e-08 0.000000e+00 0.000000e+00
2.088105e-08 0.000000e+00 0.000000e+00
1.020269e-08 0.000000e+00 0.000000e+00
-3.777464e-09 0.000000e+00 0.000000e+00
-2.202407e-08 0.000000e+00 0.000000e+00
-2.087424e-08 0.000000e+00 0.000000e+00
-2.370906e-08 0.000000e+00 0.000000e+00
-2.367961e-08 0.000000e+00 0.000000e+00
-2.226515e-08 0.000000e+00 0.000000e+00
-2.300562e-08 0.000000e+00 0.000000e+00
-2.820007e-08 0.000000e+00 0.000000e+00
-2.792310e-08 0.000000e+00 0.000000e+00
-2.839768e-08 0.000000e+00 0.000000e+00
-2.785725e-08 0.000000e+00 0.000000e+00
5.601064e-09 0.000000e+00 0.000000e+00
1.642539e-08 0.000000e+00 0.000000e+00
-9.058526e-09 0.000000e+00 0.000000e+00
2.233124e-08 0.000000e+00 0.000000e+00
2.101846e-08 0.000000e+00 0.000000e+00
2.101093e-08 0.000000e+00 0.000000e+00
2.097588e-08 0.000000e+00 0.000000e+00
2.192898e-08 0.000000e+00 0.000000e+00
2.082430e-08 0.000000e+00 0.000000e+00
2.231353e-08 0.000000e+00 0.000000e+00
2.492000e-08 0.000000e+00 0.000000e+00
2.339375e-08 0.000000e+00 0.000000e+00
2.479315e-08 0.000000e+00 0.000000e+00
2.433532e-08 0.000000e+00 0.000000e+00
2.334575e-08 0.000000e+00 0.000000e+00
2.504907e-08 0.000000e+00 0.000000e+00
4.989446e-09 0.000000e+00 0.000000e+00
2.591653e-08 0.000000e+00 0.000000e+00
2.672120e-08 0.000000e+00 0.000000e+00
2.563669e-08 0.000000e+00 0.000000e+00
2.614883e-08 0.000000e+00 0.000000e+00
2.613968e-08 0.000000e+00 0.000000e+00
2.613044e-08 0.000000e+00 0.000000e+00
3.015771e-08 0.000000e+00 0.000000e+00
2.933909e-08 0.000000e+00 0.000000e+00
3.040502e-08 0.000000e+00 0.000000e+00
2.945462e-08 0.000000e+00 0.000000e+00
2.962281e-08 0.000000e+00 0.000000e+00
3.223501e-08 0.000000e+00 0.000000e+00
2.956854e-08 0.000000e+00 0.000000e+00
3.096104e-08 0.000000e+00 0.000000e+00
3.115325e-08 0.000000e+00 0.000000e+00
3.149772e-08 0.000000e+00 0.000000e+00
-3.483865e-09 0.000000e+00 0.000000e+00
-2.554378e-08 0.000000e+00 0.000000e+00
-2.891891e-08 0.000000e+00 0.000000e+00
-3.111845e-08 0.000000e+00 0.000000e+00
-3.083332e-08 0.000000e+00 0.000000e+00
-3.031528e-08 0.000000e+00 0.000000e+00
-3.255276e-08 0.000000e+00 0.000000e+00
-3.133200e-08 0.000000e+00 0.000000e+00
-3.108753e-08 0.000000e+00 0.000000e+00
-3.054249e-08 0.000000e+00 0.000000e+00
-2.926760e-08 0.000000e+00 0.000000e+00
-3.175589e-08 0.000000e+00 0.000000e+00
2.634096e-09 0.000000e+00 0.000000e+00
-8.387809e-09 0.000000e+00 0.000000e+00
9.879464e-10 0.000000e+00 0.000000e+00
-7.779914e-09 0.000000e+00 0.000000e+00
-3.395480e-08 0.000000e+00 0.000000e+00
-3.388027e-08 0.000000e+00 0.000000e+00
-3.416127e-08 0.000000e+00 0.000000e+00
-1.800858e-08 0.000000e+00 0.000000e+00
-1.680382e-09 0.000000e+00 0.000000e+00
-7.674455e-09 0.000000e+00 0.000000e+00
-3.251541e-08 0.000000e+00 0.000000e+00
-6.430062e-09 0.000000e+00 0.000000e+00
-4.749894e-08 0.000000e+00 0.000000e+00
-2.370207e-08 0.000000e+00 0.000000e+00
-5.842179e-09 0.000000e+00 0.000000e+00
-5.848116e-09 0.000000e+00 0.000000e+00
-5.529171e-09 0.000000e+00 0.000000e+00
-2.803479e-09 0.000000e+00 0.000000e+00
-4.518293e-09 0.000000e+00 0.000000e+00
-4.423384e-09 0.000000e+00 0.000000e+00
-5.681255e-09 0.000000e+00 0.000000e+00
-2.828014e-09 0.000000e+00 0.000000e+00
-5.412051e-09 0.000000e+00 0.000000e+00
-1.420648e-08 0.000000e+00 0.000000e+00
-1.650083e-08 0.000000e+00 0.000000e+00
-1.672261e-08 0.000000e+00 0.000000e+00
-1.525811e-08 0.000000e+00 0.000000e+00
-1.535693e-08 0.000000e+00 0.000000e+00
