FX FY FZ 
1.566481e-10 0.000000e+00 0.000000e+00
2.339535e-10 0.000000e+00 0.000000e+00
4.492073e-10 0.000000e+00 0.000000e+00
5.342937e-10 0.000000e+00 0.000000e+00
5.454595e-10 0.000000e+00 0.000000e+00
5.535632e-10 0.000000e+00 0.000000e+00
4.738789e-10 0.000000e+00 0.000000e+00
5.035362e-10 0.000000e+00 0.000000e+00
3.029397e-10 0.000000e+00 0.000000e+00
3.555654e-10 0.000000e+00 0.000000e+00
3.314920e-10 0.000000e+00 0.000000e+00
-4.942400e-10 0.000000e+00 0.000000e+00
-5.502984e-10 0.000000e+00 0.000000e+00
-9.758775e-10 0.000000e+00 0.000000e+00
-1.515116e-09 0.000000e+00 0.000000e+00
-1.806473e-09 0.000000e+00 0.000000e+00
-1.629206e-09 0.000000e+00 0.000000e+00
-2.366850e-09 0.000000e+00 0.000000e+00
-2.233714e-09 0.000000e+00 0.000000e+00
-2.422188e-09 0.000000e+00 0.000000e+00
-2.132034e-09 0.000000e+00 0.000000e+00
-2.142380e-09 0.000000e+00 0.000000e+00
-2.228185e-09 0.000000e+00 0.000000e+00
-2.621781e-09 0.000000e+00 0.000000e+00
-2.661218e-09 0.000000e+00 0.000000e+00
-2.152953e-09 0.000000e+00 0.000000e+00
-2.521203e-11 0.000000e+00 0.000000e+00
1.504249e-10 0.000000e+00 0.000000e+00
2.062491e-10 0.000000e+00 0.000000e+00
1.429130e-10 0.000000e+00 0.000000e+00
1.827702e-10 0.000000e+00 0.000000e+00
3.486747e-11 0.000000e+00 0.000000e+00
1.760422e-10 0.000000e+00 0.000000e+00
1.568539e-10 0.000000e+00 0.000000e+00
3.694659e-10 0.000000e+00 0.000000e+00
2.782935e-10 0.000000e+00 0.000000e+00
3.388683e-10 0.000000e+00 0.000000e+00
3.285750e-10 0.000000e+00 0.000000e+00
4.044925e-10 0.000000e+00 0.000000e+00
4.938363e-10 0.000000e+00 0.000000e+00
5.067703e-10 0.000000e+00 0.000000e+00
4.883488e-10 0.000000e+00 0.000000e+00
5.021966e-10 0.000000e+00 0.000000e+00
4.054221e-10 0.000000e+00 0.000000e+00
3.619847e-10 0.000000e+00 0.000000e+00
-3.295128e-10 0.000000e+00 0.000000e+00
-2.179321e-10 0.000000e+00 0.000000e+00
-4.474506e-11 0.000000e+00 0.000000e+00
7.488290e-11 0.000000e+00 0.000000e+00
