FX FY FZ 
4.225286e-10 0.000000e+00 0.000000e+00
3.155326e-12 0.000000e+00 0.000000e+00
-2.104447e-10 0.000000e+00 0.000000e+00
-2.641478e-10 0.000000e+00 0.000000e+00
-8.482453e-10 0.000000e+00 0.000000e+00
-6.927583e-10 0.000000e+00 0.000000e+00
-7.106101e-10 0.000000e+00 0.000000e+00
-1.258869e-09 0.000000e+00 0.000000e+00
-9.972973e-10 0.000000e+00 0.000000e+00
-1.138683e-09 0.000000e+00 0.000000e+00
-9.167537e-10 0.000000e+00 0.000000e+00
-7.970696e-10 0.000000e+00 0.000000e+00
-1.346622e-09 0.000000e+00 0.000000e+00
-3.800689e-10 0.000000e+00 0.000000e+00
-4.412385e-10 0.000000e+00 0.000000e+00
5.159410e-10 0.000000e+00 0.000000e+00
-5.654302e-10 0.000000e+00 0.000000e+00
2.463187e-10 0.000000e+00 0.000000e+00
4.542344e-10 0.000000e+00 0.000000e+00
4.304877e-10 0.000000e+00 0.000000e+00
1.189879e-10 0.000000e+00 0.000000e+00
-7.081106e-11 0.000000e+00 0.000000e+00
-2.530249e-11 0.000000e+00 0.000000e+00
-1.321458e-10 0.000000e+00 0.000000e+00
-1.771760e-10 0.000000e+00 0.000000e+00
-1.188820e-10 0.000000e+00 0.000000e+00
1.677504e-10 0.000000e+00 0.000000e+00
5.875964e-11 0.000000e+00 0.000000e+00
8.658736e-11 0.000000e+00 0.000000e+00
3.844604e-10 0.000000e+00 0.000000e+00
4.173496e-10 0.000000e+00 0.000000e+00
3.183960e-10 0.000000e+00 0.000000e+00
2.030263e-10 0.000000e+00 0.000000e+00
2.740489e-10 0.000000e+00 0.000000e+00
1.343881e-11 0.000000e+00 0.000000e+00
3.415840e-10 0.000000e+00 0.000000e+00
2.895392e-10 0.000000e+00 0.000000e+00
3.791355e-10 0.000000e+00 0.000000e+00
3.495685e-10 0.000000e+00 0.000000e+00
1.119797e-10 0.000000e+00 0.000000e+00
1.678590e-10 0.000000e+00 0.000000e+00
5.683374e-10 0.000000e+00 0.000000e+00
5.603762e-10 0.000000e+00 0.000000e+00
5.371678e-10 0.000000e+00 0.000000e+00
4.838666e-10 0.000000e+00 0.000000e+00
4.980061e-10 0.000000e+00 0.000000e+00
5.753393e-10 0.000000e+00 0.000000e+00
6.031643e-10 0.000000e+00 0.000000e+00
6.320161e-10 0.000000e+00 0.000000e+00
5.877376e-10 0.000000e+00 0.000000e+00
6.165246e-10 0.000000e+00 0.000000e+00
6.007223e-10 0.000000e+00 0.000000e+00
6.326786e-10 0.000000e+00 0.000000e+00
6.300115e-10 0.000000e+00 0.000000e+00
6.288368e-10 0.000000e+00 0.000000e+00
6.102305e-10 0.000000e+00 0.000000e+00
6.165517e-10 0.000000e+00 0.000000e+00
6.111401e-10 0.000000e+00 0.000000e+00
5.933226e-10 0.000000e+00 0.000000e+00
6.319957e-10 0.000000e+00 0.000000e+00
5.913651e-10 0.000000e+00 0.000000e+00
6.258425e-10 0.000000e+00 0.000000e+00
5.831573e-10 0.000000e+00 0.000000e+00
5.986364e-10 0.000000e+00 0.000000e+00
4.640532e-10 0.000000e+00 0.000000e+00
5.482865e-10 0.000000e+00 0.000000e+00
5.230192e-10 0.000000e+00 0.000000e+00
6.237940e-10 0.000000e+00 0.000000e+00
6.225251e-10 0.000000e+00 0.000000e+00
-1.139739e-10 0.000000e+00 0.000000e+00
2.055302e-10 0.000000e+00 0.000000e+00
5.603657e-10 0.000000e+00 0.000000e+00
5.343081e-10 0.000000e+00 0.000000e+00
5.807472e-10 0.000000e+00 0.000000e+00
5.699915e-10 0.000000e+00 0.000000e+00
5.218896e-10 0.000000e+00 0.000000e+00
3.416106e-10 0.000000e+00 0.000000e+00
4.695561e-10 0.000000e+00 0.000000e+00
3.526368e-11 0.000000e+00 0.000000e+00
-3.400123e-10 0.000000e+00 0.000000e+00
-1.171161e-10 0.000000e+00 0.000000e+00
-6.739384e-11 0.000000e+00 0.000000e+00
-3.361758e-11 0.000000e+00 0.000000e+00
2.061480e-10 0.000000e+00 0.000000e+00
8.381272e-11 0.000000e+00 0.000000e+00
-2.577409e-10 0.000000e+00 0.000000e+00
-2.281154e-10 0.000000e+00 0.000000e+00
-2.886169e-10 0.000000e+00 0.000000e+00
-1.864069e-10 0.000000e+00 0.000000e+00
-1.663883e-10 0.000000e+00 0.000000e+00
-1.361749e-11 0.000000e+00 0.000000e+00
2.445367e-10 0.000000e+00 0.000000e+00
4.333848e-10 0.000000e+00 0.000000e+00
3.006088e-10 0.000000e+00 0.000000e+00
9.913130e-10 0.000000e+00 0.000000e+00
5.745833e-10 0.000000e+00 0.000000e+00
6.726769e-10 0.000000e+00 0.000000e+00
5.142901e-10 0.000000e+00 0.000000e+00
7.379283e-10 0.000000e+00 0.000000e+00
7.816267e-10 0.000000e+00 0.000000e+00
1.074723e-09 0.000000e+00 0.000000e+00
8.805296e-10 0.000000e+00 0.000000e+00
9.212848e-10 0.000000e+00 0.000000e+00
1.415012e-09 0.000000e+00 0.000000e+00
1.367715e-09 0.000000e+00 0.000000e+00
1.218792e-09 0.000000e+00 0.000000e+00
1.628849e-10 0.000000e+00 0.000000e+00
1.180744e-10 0.000000e+00 0.000000e+00
3.681988e-10 0.000000e+00 0.000000e+00
-8.156777e-11 0.000000e+00 0.000000e+00
-4.273480e-10 0.000000e+00 0.000000e+00
-3.182306e-10 0.000000e+00 0.000000e+00
-6.112350e-10 0.000000e+00 0.000000e+00
-4.714657e-10 0.000000e+00 0.000000e+00
-2.322499e-10 0.000000e+00 0.000000e+00
3.177263e-10 0.000000e+00 0.000000e+00
4.049625e-10 0.000000e+00 0.000000e+00
6.350570e-10 0.000000e+00 0.000000e+00
1.440534e-10 0.000000e+00 0.000000e+00
7.889233e-12 0.000000e+00 0.000000e+00
2.961875e-10 0.000000e+00 0.000000e+00
-4.498974e-10 0.000000e+00 0.000000e+00
-3.626825e-10 0.000000e+00 0.000000e+00
-4.050459e-10 0.000000e+00 0.000000e+00
-3.911177e-10 0.000000e+00 0.000000e+00
-3.717263e-10 0.000000e+00 0.000000e+00
-6.271478e-10 0.000000e+00 0.000000e+00
-5.393785e-10 0.000000e+00 0.000000e+00
-6.076384e-10 0.000000e+00 0.000000e+00
-6.327509e-10 0.000000e+00 0.000000e+00
-5.118326e-10 0.000000e+00 0.000000e+00
9.007628e-11 0.000000e+00 0.000000e+00
2.035918e-10 0.000000e+00 0.000000e+00
3.213893e-10 0.000000e+00 0.000000e+00
2.557018e-10 0.000000e+00 0.000000e+00
4.918475e-10 0.000000e+00 0.000000e+00
6.292166e-10 0.000000e+00 0.000000e+00
6.267463e-10 0.000000e+00 0.000000e+00
5.551311e-10 0.000000e+00 0.000000e+00
4.348951e-10 0.000000e+00 0.000000e+00
5.403653e-10 0.000000e+00 0.000000e+00
6.169256e-10 0.000000e+00 0.000000e+00
5.405655e-10 0.000000e+00 0.000000e+00
4.047928e-10 0.000000e+00 0.000000e+00
4.481003e-10 0.000000e+00 0.000000e+00
2.366279e-10 0.000000e+00 0.000000e+00
-8.174648e-11 0.000000e+00 0.000000e+00
3.104244e-10 0.000000e+00 0.000000e+00
3.539719e-11 0.000000e+00 0.000000e+00
6.849585e-11 0.000000e+00 0.000000e+00
4.829388e-10 0.000000e+00 0.000000e+00
-3.992252e-11 0.000000e+00 0.000000e+00
6.123366e-10 0.000000e+00 0.000000e+00
5.319299e-10 0.000000e+00 0.000000e+00
1.427154e-10 0.000000e+00 0.000000e+00
1.453248e-10 0.000000e+00 0.000000e+00
-9.055881e-12 0.000000e+00 0.000000e+00
2.649420e-10 0.000000e+00 0.000000e+00
2.200111e-10 0.000000e+00 0.000000e+00
3.634295e-10 0.000000e+00 0.000000e+00
3.651798e-10 0.000000e+00 0.000000e+00
-4.848819e-10 0.000000e+00 0.000000e+00
-5.112947e-10 0.000000e+00 0.000000e+00
-6.377731e-10 0.000000e+00 0.000000e+00
-6.545774e-10 0.000000e+00 0.000000e+00
-1.580601e-09 0.000000e+00 0.000000e+00
-1.318476e-09 0.000000e+00 0.000000e+00
-7.540932e-10 0.000000e+00 0.000000e+00
-1.041154e-09 0.000000e+00 0.000000e+00
-8.914898e-10 0.000000e+00 0.000000e+00
-3.172771e-10 0.000000e+00 0.000000e+00
-2.625896e-10 0.000000e+00 0.000000e+00
-2.963141e-10 0.000000e+00 0.000000e+00
-4.208754e-10 0.000000e+00 0.000000e+00
-3.768466e-10 0.000000e+00 0.000000e+00
-3.623334e-10 0.000000e+00 0.000000e+00
-1.568191e-10 0.000000e+00 0.000000e+00
-2.078078e-10 0.000000e+00 0.000000e+00
-2.331093e-10 0.000000e+00 0.000000e+00
8.102514e-11 0.000000e+00 0.000000e+00
4.979692e-10 0.000000e+00 0.000000e+00
4.204394e-10 0.000000e+00 0.000000e+00
5.099971e-10 0.000000e+00 0.000000e+00
4.404767e-10 0.000000e+00 0.000000e+00
4.012371e-10 0.000000e+00 0.000000e+00
3.257209e-10 0.000000e+00 0.000000e+00
4.712989e-10 0.000000e+00 0.000000e+00
-7.252302e-10 0.000000e+00 0.000000e+00
-1.720732e-09 0.000000e+00 0.000000e+00
-1.434237e-09 0.000000e+00 0.000000e+00
-1.511265e-09 0.000000e+00 0.000000e+00
-2.109194e-09 0.000000e+00 0.000000e+00
-2.201159e-09 0.000000e+00 0.000000e+00
-1.172171e-09 0.000000e+00 0.000000e+00
-1.087026e-09 0.000000e+00 0.000000e+00
-9.064819e-10 0.000000e+00 0.000000e+00
-1.597827e-09 0.000000e+00 0.000000e+00
-2.001950e-09 0.000000e+00 0.000000e+00
-1.892491e-09 0.000000e+00 0.000000e+00
-1.659034e-09 0.000000e+00 0.000000e+00
-1.824935e-09 0.000000e+00 0.000000e+00
-2.418014e-09 0.000000e+00 0.000000e+00
-1.803314e-09 0.000000e+00 0.000000e+00
2.983393e-10 0.000000e+00 0.000000e+00
1.792942e-10 0.000000e+00 0.000000e+00
5.585576e-10 0.000000e+00 0.000000e+00
6.193187e-10 0.000000e+00 0.000000e+00
5.896382e-10 0.000000e+00 0.000000e+00
6.081193e-10 0.000000e+00 0.000000e+00
5.522008e-10 0.000000e+00 0.000000e+00
6.032974e-10 0.000000e+00 0.000000e+00
2.446746e-10 0.000000e+00 0.000000e+00
-1.529296e-10 0.000000e+00 0.000000e+00
-3.256539e-10 0.000000e+00 0.000000e+00
-2.061771e-10 0.000000e+00 0.000000e+00
1.933687e-10 0.000000e+00 0.000000e+00
-1.732917e-10 0.000000e+00 0.000000e+00
3.716437e-10 0.000000e+00 0.000000e+00
-4.339318e-10 0.000000e+00 0.000000e+00
-3.683926e-10 0.000000e+00 0.000000e+00
-6.315795e-10 0.000000e+00 0.000000e+00
-6.279831e-10 0.000000e+00 0.000000e+00
-5.162217e-10 0.000000e+00 0.000000e+00
-5.786532e-10 0.000000e+00 0.000000e+00
-4.457362e-10 0.000000e+00 0.000000e+00
-5.636480e-10 0.000000e+00 0.000000e+00
-5.529727e-10 0.000000e+00 0.000000e+00
-5.040356e-10 0.000000e+00 0.000000e+00
-4.894890e-10 0.000000e+00 0.000000e+00
-5.991183e-10 0.000000e+00 0.000000e+00
-5.847330e-10 0.000000e+00 0.000000e+00
-5.915317e-10 0.000000e+00 0.000000e+00
-4.625098e-10 0.000000e+00 0.000000e+00
-5.244645e-10 0.000000e+00 0.000000e+00
-6.305747e-10 0.000000e+00 0.000000e+00
-6.192834e-10 0.000000e+00 0.000000e+00
-6.322012e-10 0.000000e+00 0.000000e+00
-6.324795e-10 0.000000e+00 0.000000e+00
-5.687885e-10 0.000000e+00 0.000000e+00
-6.250615e-10 0.000000e+00 0.000000e+00
-6.123795e-10 0.000000e+00 0.000000e+00
-5.978208e-10 0.000000e+00 0.000000e+00
-6.317378e-10 0.000000e+00 0.000000e+00
-6.250542e-10 0.000000e+00 0.000000e+00
