step K U E temp
0 5.901966e-23 -4.023223e-20 -4.017321e-20 8.549553e+00
1000 1.477241e-22 -4.109365e-20 -4.094592e-20 2.139922e+01
2000 1.406326e-21 -3.214222e-20 -3.073589e-20 2.037195e+02
3000 1.828711e-23 -4.108466e-20 -4.106638e-20 2.649059e+00
4000 2.578472e-21 -4.096929e-20 -3.839082e-20 3.735159e+02
5000 1.503720e-22 -3.425197e-20 1.158984e-19 2.178280e+01
6000 1.133153e-21 -3.255068e-20 6.859910e-20 1.641479e+02
7000 1.010458e-21 -3.268465e-20 6.837811e-20 1.463744e+02
8000 1.683355e-22 -2.343325e-20 7.673509e-20 2.438499e+01
9000 2.055343e-21 -2.115672e-20 8.089863e-20 2.977358e+02
10000 6.245754e-21 -3.240866e-20 2.238416e-19 9.047563e+02
11000 6.346561e-23 -2.918066e-20 1.708828e-19 9.193590e+00
12000 1.560206e-22 -2.823888e-20 1.719171e-19 2.260105e+01
13000 1.072264e-21 -1.922560e-20 1.818467e-19 1.553275e+02
14000 1.603232e-21 -2.717194e-20 1.744313e-19 2.322432e+02
15000 4.990897e-22 -2.734860e-20 3.231505e-19 7.229784e+01
16000 2.465140e-21 -2.515170e-20 2.774165e-19 3.570987e+02
17000 7.308865e-22 -1.813299e-20 2.825979e-19 1.058758e+02
18000 3.394061e-22 -2.299308e-20 2.773463e-19 4.916616e+01
19000 8.138742e-22 -2.265268e-20 2.781612e-19 1.178973e+02
20000 3.668658e-22 -2.341034e-20 4.269565e-19 5.314397e+01
21000 6.133019e-26 -2.071237e-20 3.793366e-19 8.884256e-03
22000 6.317378e-21 -1.977198e-20 3.865456e-19 9.151317e+02
23000 2.233763e-24 -1.531075e-20 3.846915e-19 3.235817e-01
24000 3.465364e-22 -2.203443e-20 3.859543e-19 5.019906e+01
25000 2.080732e-23 -2.085173e-20 5.292647e-19 3.014136e+00
26000 2.089974e-22 -3.912628e-20 4.610827e-19 3.027523e+01
27000 2.281928e-22 -4.107619e-20 4.591520e-19 3.305588e+01
28000 1.084522e-21 -3.864824e-20 4.624363e-19 1.571032e+02
29000 3.625318e-21 -4.090493e-20 4.627204e-19 5.251614e+02
30000 2.625731e-22 -4.042772e-20 6.098349e-19 3.803618e+01
31000 4.222808e-21 -3.978824e-20 5.644346e-19 6.117135e+02
32000 1.613706e-21 -3.602177e-20 5.655919e-19 2.337605e+02
33000 6.350459e-21 -3.653551e-20 5.698149e-19 9.199237e+02
34000 3.721753e-21 -4.017918e-20 5.667212e-19 5.391310e+02
35000 1.973370e-21 -3.931541e-20 7.126580e-19 2.858613e+02
36000 8.350484e-21 -3.345194e-20 6.748985e-19 1.209646e+03
37000 5.676605e-22 -3.417376e-20 6.663939e-19 8.223096e+01
38000 1.206973e-21 -3.777951e-20 6.634275e-19 1.748415e+02
39000 2.503359e-21 -3.706895e-20 6.654344e-19 3.626351e+02
40000 3.933931e-23 -3.874232e-20 8.113940e-19 5.698669e+00
41000 6.018892e-23 -4.010696e-20 7.605550e-19 8.718932e+00
42000 1.464384e-22 -4.012153e-20 7.608895e-19 2.121298e+01
43000 2.620379e-24 -3.978351e-20 7.604538e-19 3.795866e-01
44000 4.350473e-21 -4.001137e-20 7.643802e-19 6.302070e+02
45000 4.085317e-26 -3.998120e-20 9.100351e-19 5.917966e-03
46000 1.515236e-21 -3.967963e-20 8.675128e-19 2.194961e+02
47000 1.558821e-22 -3.969125e-20 8.664669e-19 2.258099e+01
48000 4.880770e-22 -3.964220e-20 8.667535e-19 7.070254e+01
49000 3.057745e-23 -3.965794e-20 8.659485e-19 4.429431e+00
50000 8.611955e-22 -3.972838e-20 1.019477e-18 1.247523e+02
51000 3.231096e-21 -3.363750e-20 9.695936e-19 4.680546e+02
52000 1.149883e-21 -3.415202e-20 9.669979e-19 1.665714e+02
53000 1.350877e-21 -3.627055e-20 9.650803e-19 1.956872e+02
54000 1.738910e-22 -2.525973e-20 9.749142e-19 2.518975e+01
55000 1.471351e-20 -3.691729e-20 1.127796e-18 2.131391e+03
56000 1.875820e-21 -3.564536e-20 1.066230e-18 2.717302e+02
57000 2.536070e-21 -2.430557e-20 1.078231e-18 3.673736e+02
58000 6.258560e-21 -3.479475e-20 1.071464e-18 9.066114e+02
59000 1.707759e-22 -3.624618e-20 1.064458e-18 2.473849e+01
60000 4.808924e-23 -3.147142e-20 1.218577e-18 6.966180e+00
61000 1.881494e-21 -3.568413e-20 1.166197e-18 2.725521e+02
62000 3.554963e-22 -3.484876e-20 1.165507e-18 5.149698e+01
63000 4.920412e-22 -3.278961e-20 1.167703e-18 7.127679e+01
64000 1.855926e-23 -3.322237e-20 1.166796e-18 2.688484e+00
65000 3.270051e-21 -3.601958e-20 1.317268e-18 4.736976e+02
66000 5.188526e-22 -3.247449e-20 1.268132e-18 7.516069e+01
67000 2.659404e-22 -3.362841e-20 1.266638e-18 3.852396e+01
68000 7.521402e-22 -3.503735e-20 1.265727e-18 1.089546e+02
69000 1.008958e-21 -3.310392e-20 1.267905e-18 1.461571e+02
70000 1.631270e-21 -3.355203e-20 1.418079e-18 2.363049e+02
71000 3.275130e-22 -2.938279e-20 1.370945e-18 4.744334e+01
72000 3.246055e-22 -1.408479e-20 1.386240e-18 4.702216e+01
73000 3.212880e-22 -2.213089e-20 1.378190e-18 4.654159e+01
74000 3.765578e-23 -2.611910e-20 1.373919e-18 5.454793e+00
75000 1.314695e-21 -2.593995e-20 1.525375e-18 1.904459e+02
76000 2.373747e-21 -3.231102e-20 1.470665e-18 3.438596e+02
77000 4.398919e-23 -3.262449e-20 1.467574e-18 6.372248e+00
78000 2.089818e-21 -3.268777e-20 1.469713e-18 3.027298e+02
79000 8.103285e-22 -3.263013e-20 1.468344e-18 1.173837e+02
80000 2.103740e-21 -3.244859e-20 1.619790e-18 3.047465e+02
81000 1.595989e-21 -3.052461e-20 1.571308e-18 2.311940e+02
82000 1.777865e-21 -2.971109e-20 1.572067e-18 2.575404e+02
83000 3.388307e-21 -2.718948e-20 1.576215e-18 4.908282e+02
84000 5.231903e-24 -2.967970e-20 1.570326e-18 7.578904e-01
85000 3.275413e-21 -3.018375e-20 1.723094e-18 4.744744e+02
86000 3.973140e-21 -2.792296e-20 1.676050e-18 5.755467e+02
87000 1.696379e-21 -2.707283e-20 1.674690e-18 2.457365e+02
88000 2.440556e-21 -2.689533e-20 1.676000e-18 3.535375e+02
89000 3.954871e-21 -2.911670e-20 1.674921e-18 5.729003e+02
90000 1.573286e-21 -2.718245e-20 1.824408e-18 2.279053e+02
91000 2.901623e-24 -2.948513e-20 1.773663e-18 4.203273e-01
92000 3.938394e-21 -2.939875e-20 1.776070e-18 5.705135e+02
93000 4.386140e-22 -2.856722e-20 1.771873e-18 6.353736e+01
94000 2.348616e-22 -2.827392e-20 1.772052e-18 3.402191e+01
95000 2.922162e-21 -2.828436e-20 1.924718e-18 4.233026e+02
96000 3.102029e-21 -3.081265e-20 1.872289e-18 4.493581e+02
97000 4.583488e-24 -3.919313e-20 1.860811e-18 6.639613e-01
98000 5.120313e-23 -3.901190e-20 1.861039e-18 7.417256e+00
99000 1.707741e-22 -3.599332e-20 1.864177e-18 2.473823e+01
100000 6.992776e-21 -4.095237e-20 2.016040e-18 1.012969e+03
101000 2.142312e-21 -4.107622e-20 1.961170e-18 3.103341e+02
102000 5.021106e-23 -3.897339e-20 1.961077e-18 7.273545e+00
103000 9.216390e-21 -3.190785e-20 1.977309e-18 1.335081e+03
104000 2.069259e-22 -4.109503e-20 1.959112e-18 2.997517e+01
105000 1.184886e-23 -4.108737e-20 2.108924e-18 1.716418e+00
106000 2.361928e-21 -3.568078e-20 2.066681e-18 3.421475e+02
107000 6.979806e-22 -4.103045e-20 2.062501e-18 1.011091e+02
108000 2.464585e-21 -3.583947e-20 2.066625e-18 3.570183e+02
109000 6.729690e-22 -3.801156e-20 2.062661e-18 9.748589e+01
110000 1.873168e-21 -3.986498e-20 2.212008e-18 2.713461e+02
111000 1.813879e-21 -4.098360e-20 2.160898e-18 2.627574e+02
112000 3.565493e-21 -4.078898e-20 2.162777e-18 5.164952e+02
113000 3.125604e-21 -4.079445e-20 2.162331e-18 4.527731e+02
114000 3.953254e-21 -4.057848e-20 2.163375e-18 5.726660e+02
115000 6.016893e-21 -4.072721e-20 2.315290e-18 8.716036e+02
116000 1.529659e-21 -4.089696e-20 2.262311e-18 2.215855e+02
117000 1.779471e-21 -4.091515e-20 2.261529e-18 2.577731e+02
118000 4.661982e-21 -4.087440e-20 2.268129e-18 6.753320e+02
119000 1.101885e-22 -4.100055e-20 2.259390e-18 1.596184e+01
120000 9.957021e-22 -4.097173e-20 2.410060e-18 1.442368e+02
121000 1.235953e-20 -3.799173e-20 2.374368e-18 1.790394e+03
122000 9.377076e-22 -2.940075e-20 2.371537e-18 1.358358e+02
123000 1.730364e-22 -3.977563e-20 2.360397e-18 2.506595e+01
124000 5.197645e-22 -3.850544e-20 2.362014e-18 7.529278e+01
125000 5.797195e-21 -3.287374e-20 2.522923e-18 8.397783e+02
126000 1.319341e-22 -2.456710e-20 2.475565e-18 1.911189e+01
127000 3.309090e-22 -3.149693e-20 2.469436e-18 4.793529e+01
128000 1.835911e-21 -3.020339e-20 2.471633e-18 2.659489e+02
129000 5.343119e-22 -1.936983e-20 2.481164e-18 7.740011e+01
130000 3.775159e-21 -2.685221e-20 2.626923e-18 5.468673e+02
131000 4.632028e-21 -3.784966e-20 2.566782e-18 6.709929e+02
132000 1.753637e-23 -2.249066e-20 2.577527e-18 2.540308e+00
133000 2.084786e-21 -3.834174e-20 2.563743e-18 3.020009e+02
134000 2.854871e-22 -3.889332e-20 2.561392e-18 4.135550e+01
135000 1.313366e-22 -3.301290e-20 2.717118e-18 1.902534e+01
136000 1.990822e-21 -3.044564e-20 2.671545e-18 2.883893e+02
137000 2.291882e-22 -3.071170e-20 2.669517e-18 3.320007e+01
138000 1.892904e-21 -3.193364e-20 2.669985e-18 2.742050e+02
139000 1.419388e-22 -2.798561e-20 2.672156e-18 2.056116e+01
140000 8.369659e-23 -2.935575e-20 2.820728e-18 1.212424e+01
141000 3.191487e-21 -3.055402e-20 2.772651e-18 4.623169e+02
142000 1.764766e-22 -3.215384e-20 2.768418e-18 2.556429e+01
143000 1.785634e-22 -2.995322e-20 2.776933e-18 2.586659e+01
144000 4.726039e-23 -3.210488e-20 2.768169e-18 6.846112e+00
145000 9.792804e-22 -3.193621e-20 2.919069e-18 1.418580e+02
146000 4.412051e-21 -3.504507e-20 2.869367e-18 6.391271e+02
147000 3.577499e-22 -3.933268e-20 2.861064e-18 5.182344e+01
148000 1.214739e-21 -3.933606e-20 2.861921e-18 1.759664e+02
149000 8.588722e-24 -3.825439e-20 2.861754e-18 1.244157e+00
150000 3.919620e-22 -3.588759e-20 3.014504e-18 5.677938e+01
151000 5.339575e-21 -3.925155e-20 2.966093e-18 7.734877e+02
152000 7.967198e-21 -3.737502e-20 2.970592e-18 1.154124e+03
153000 3.744936e-21 -3.831775e-20 2.965427e-18 5.424892e+02
154000 1.049658e-22 -3.916242e-20 2.960943e-18 1.520529e+01
155000 4.637585e-23 -3.814753e-20 3.111899e-18 6.717978e+00
156000 5.454924e-22 -3.930880e-20 3.061258e-18 7.901971e+01
157000 1.739348e-21 -3.913972e-20 3.062600e-18 2.519610e+02
158000 6.630367e-25 -3.945654e-20 3.061185e-18 9.604710e-02
159000 4.800459e-22 -3.880426e-20 3.061737e-18 6.953917e+01
160000 3.748231e-22 -3.899179e-20 3.211384e-18 5.429666e+01
161000 7.463956e-23 -3.845141e-20 3.174843e-18 1.081224e+01
162000 2.168176e-21 -3.857534e-20 3.169322e-18 3.140807e+02
163000 3.784809e-22 -3.855383e-20 3.167922e-18 5.482652e+01
164000 1.991935e-21 -3.843661e-20 3.178504e-18 2.885505e+02
165000 3.038474e-21 -3.843200e-20 3.330126e-18 4.401516e+02
166000 1.091737e-21 -4.105936e-20 3.261065e-18 1.581484e+02
167000 1.833123e-22 -4.106916e-20 3.259430e-18 2.655452e+01
168000 8.833170e-21 -4.107760e-20 3.267849e-18 1.279568e+03
169000 1.189880e-22 -4.107561e-20 3.259167e-18 1.723653e+01
170000 4.559670e-23 -4.106561e-20 3.409482e-18 6.605111e+00
171000 4.904839e-22 -4.001485e-20 3.360476e-18 7.105120e+01
172000 3.531102e-22 -4.047206e-20 3.359881e-18 5.115133e+01
173000 2.790519e-22 -3.900605e-20 3.361273e-18 4.042329e+01
174000 2.017497e-22 -3.868887e-20 3.361513e-18 2.922534e+01
175000 1.465393e-22 -3.613831e-20 3.514008e-18 2.122760e+01
176000 3.956089e-21 -3.744188e-20 3.466520e-18 5.730768e+02
177000 5.181679e-22 -3.868333e-20 3.461835e-18 7.506150e+01
178000 6.129642e-21 -3.960046e-20 3.466529e-18 8.879364e+02
179000 8.237207e-22 -3.906853e-20 3.461755e-18 1.193237e+02
180000 4.841663e-21 -3.795641e-20 3.616885e-18 7.013604e+02
181000 6.034203e-22 -4.048855e-20 3.560115e-18 8.741111e+01
