step K U E temp
0 1.981402e-21 -4.108443e-18 -4.106462e-18 2.870247e+02
1000 7.860503e-21 -4.109705e-18 -4.101845e-18 1.138668e+03
2000 2.168003e-22 -4.109799e-18 -4.109582e-18 3.140557e+01
3000 4.909222e-21 -4.109998e-18 -4.105088e-18 7.111471e+02
4000 7.903704e-23 -4.105143e-18 -4.105064e-18 1.144926e+01
5000 1.028575e-22 -4.107118e-18 -3.927015e-18 1.489988e+01
6000 5.725608e-22 -4.092379e-18 -3.971786e-18 8.294082e+01
7000 9.428214e-21 -4.098148e-18 -3.967455e-18 1.365766e+03
8000 2.745291e-22 -4.096676e-18 -3.975927e-18 3.976812e+01
9000 4.634770e-21 -4.098560e-18 -3.972278e-18 6.713900e+02
10000 1.504825e-21 -4.100096e-18 -3.794378e-18 2.179880e+02
11000 6.657857e-23 -4.078674e-18 -3.838584e-18 9.644532e+00
12000 5.683036e-22 -4.090174e-18 -3.842981e-18 8.232412e+01
13000 6.362060e-23 -4.087953e-18 -3.845203e-18 9.216043e+00
14000 9.793447e-21 -4.088616e-18 -3.835266e-18 1.418673e+03
15000 2.242698e-23 -4.084338e-18 -3.663815e-18 3.248759e+00
16000 2.037843e-21 -4.106931e-18 -3.744894e-18 2.952007e+02
17000 1.467363e-21 -4.109872e-18 -3.741874e-18 2.125614e+02
18000 2.387332e-21 -4.109991e-18 -3.746456e-18 3.458275e+02
19000 6.477102e-21 -4.105564e-18 -3.739087e-18 9.382692e+02
20000 9.432119e-22 -4.097404e-18 -3.556461e-18 1.366331e+02
21000 2.397431e-21 -4.109970e-18 -3.624176e-18 3.472904e+02
22000 4.737239e-23 -4.109835e-18 -3.629527e-18 6.862336e+00
23000 5.685818e-21 -4.109999e-18 -3.622820e-18 8.236443e+02
24000 3.824858e-24 -4.109788e-18 -3.629587e-18 5.540667e-01
25000 2.249198e-21 -4.109921e-18 -3.442642e-18 3.258175e+02
26000 6.636825e-22 -4.106172e-18 -3.502248e-18 9.614066e+01
27000 1.661715e-21 -4.108423e-18 -3.503170e-18 2.407150e+02
28000 1.901419e-21 -4.105560e-18 -3.498276e-18 2.754384e+02
29000 2.844269e-22 -4.107826e-18 -3.505692e-18 4.120192e+01
30000 3.200985e-21 -4.106801e-18 -3.321645e-18 4.636928e+02
31000 1.124351e-21 -4.067546e-18 -3.342815e-18 1.628729e+02
32000 1.373734e-21 -4.064502e-18 -3.341759e-18 1.989984e+02
33000 1.473263e-21 -4.065111e-18 -3.341961e-18 2.134161e+02
34000 2.548680e-22 -4.067990e-18 -3.343621e-18 3.692002e+01
35000 1.297273e-21 -4.059421e-18 -3.157908e-18 1.879221e+02
36000 1.270246e-23 -4.085784e-18 -3.238766e-18 1.840072e+00
37000 4.544322e-21 -4.063343e-18 -3.218798e-18 6.582878e+02
38000 1.270440e-21 -4.085553e-18 -3.237774e-18 1.840351e+02
39000 1.000158e-21 -4.082106e-18 -3.239135e-18 1.448823e+02
40000 1.006919e-24 -4.085170e-18 -3.059419e-18 1.458618e-01
41000 3.499033e-22 -4.065873e-18 -3.102746e-18 5.068678e+01
42000 2.727018e-21 -4.069599e-18 -3.099573e-18 3.950342e+02
43000 4.290717e-23 -4.065177e-18 -3.102849e-18 6.215507e+00
44000 1.744921e-25 -4.064466e-18 -3.102602e-18 2.527682e-02
45000 1.552832e-21 -4.059837e-18 -2.917838e-18 2.249423e+02
46000 7.053324e-23 -4.046225e-18 -2.945229e-18 1.021740e+01
47000 9.489492e-22 -4.018595e-18 -2.937632e-18 1.374642e+02
48000 3.610945e-21 -4.036594e-18 -2.949804e-18 5.230793e+02
49000 1.240369e-23 -4.029134e-18 -2.948684e-18 1.796791e+00
50000 1.812531e-21 -4.030030e-18 -2.767650e-18 2.625621e+02
51000 5.193427e-21 -4.092107e-18 -2.849685e-18 7.523168e+02
52000 1.138699e-21 -4.025637e-18 -2.823991e-18 1.649513e+02
53000 1.032605e-22 -4.018587e-18 -2.818404e-18 1.495825e+01
54000 7.433314e-22 -4.036356e-18 -2.830362e-18 1.076785e+02
55000 3.282830e-21 -4.027691e-18 -2.643576e-18 4.755488e+02
56000 3.086771e-21 -3.989688e-18 -2.666439e-18 4.471479e+02
57000 6.408684e-22 -4.007045e-18 -2.678851e-18 9.283582e+01
58000 3.244530e-21 -4.010986e-18 -2.673663e-18 4.700007e+02
59000 2.424226e-23 -4.012889e-18 -2.674527e-18 3.511719e+00
60000 8.648788e-22 -4.003738e-18 -2.498719e-18 1.252858e+02
61000 9.752003e-22 -4.080329e-18 -2.588175e-18 1.412669e+02
62000 2.080854e-21 -3.997839e-18 -2.550482e-18 3.014312e+02
63000 1.821185e-23 -3.999295e-18 -2.552736e-18 2.638157e+00
64000 1.160038e-21 -3.985495e-18 -2.543714e-18 1.680424e+02
65000 8.235290e-23 -4.005285e-18 -2.370760e-18 1.192959e+01
66000 1.149466e-22 -3.969907e-18 -2.405605e-18 1.665110e+01
67000 8.230627e-25 -3.983300e-18 -2.402737e-18 1.192284e-01
68000 2.336083e-21 -3.978938e-18 -2.403535e-18 3.384036e+02
69000 7.421022e-22 -3.969339e-18 -2.404733e-18 1.075005e+02
70000 6.451002e-22 -3.975914e-18 -2.226078e-18 9.344883e+01
71000 1.595539e-21 -4.090070e-18 -2.364807e-18 2.311289e+02
72000 2.692658e-20 -4.109504e-18 -2.369292e-18 3.900568e+03
73000 3.604550e-23 -4.104536e-18 -2.371517e-18 5.221529e+00
74000 1.698928e-21 -4.095856e-18 -2.370435e-18 2.461057e+02
75000 3.405885e-21 -3.984263e-18 -2.102698e-18 4.933745e+02
76000 2.139703e-21 -3.956907e-18 -2.146581e-18 3.099561e+02
77000 2.686571e-22 -3.954673e-18 -2.148507e-18 3.891750e+01
78000 1.613286e-21 -3.949004e-18 -2.145060e-18 2.336996e+02
79000 1.542945e-23 -3.934847e-18 -2.134702e-18 2.235101e+00
80000 2.396826e-21 -3.957314e-18 -1.966247e-18 3.472027e+02
81000 3.512828e-20 -4.109995e-18 -2.100326e-18 5.088662e+03
82000 1.414447e-22 -4.104655e-18 -2.122064e-18 2.048960e+01
83000 6.914225e-20 -3.927353e-18 -1.930421e-18 1.001591e+04
84000 2.847964e-22 -4.076975e-18 -2.116933e-18 4.125543e+01
85000 3.037235e-21 -4.109966e-18 -1.957312e-18 4.399720e+02
86000 4.386664e-20 -4.069193e-18 -1.950087e-18 6.354496e+03
87000 1.654052e-21 -4.075845e-18 -1.996913e-18 2.396050e+02
88000 2.926530e-22 -4.104300e-18 -2.011965e-18 4.239355e+01
89000 5.217976e-21 -4.074757e-18 -1.998427e-18 7.558729e+02
90000 6.363400e-22 -3.930462e-18 -1.707763e-18 9.217984e+01
91000 2.242327e-20 -3.885636e-18 -1.703211e-18 3.248221e+03
92000 5.857668e-20 -3.894978e-18 -1.676385e-18 8.485383e+03
93000 2.739849e-22 -4.105935e-18 -1.884157e-18 3.968930e+01
94000 3.802190e-21 -3.990263e-18 -1.749924e-18 5.507830e+02
95000 2.961531e-19 -4.096248e-18 -1.414307e-18 4.290057e+04
96000 4.128243e-21 -4.107182e-18 -1.752619e-18 5.980148e+02
97000 3.256240e-21 -4.104779e-18 -1.754306e-18 4.716970e+02
98000 7.375888e-21 -4.107453e-18 -1.755621e-18 1.068467e+03
99000 2.776930e-20 -4.041545e-18 -1.692328e-18 4.022644e+03
100000 3.412213e-22 -4.103030e-18 -1.593953e-18 4.942911e+01
101000 2.342731e-22 -3.931301e-18 -1.518356e-18 3.393666e+01
102000 7.941834e-22 -3.932186e-18 -1.517326e-18 1.150449e+02
103000 3.450480e-21 -3.897163e-18 -1.479109e-18 4.998345e+02
104000 2.668005e-20 -4.097662e-18 -1.559819e-18 3.864856e+03
105000 6.287227e-22 -3.906940e-18 -1.326067e-18 9.107639e+01
106000 8.329432e-20 -4.045696e-18 -1.404936e-18 1.206597e+04
107000 9.793672e-22 -4.101469e-18 -1.473973e-18 1.418706e+02
108000 2.915653e-21 -4.106956e-18 -1.513909e-18 4.223598e+02
109000 1.786379e-21 -4.106640e-18 -1.515333e-18 2.587738e+02
110000 1.036341e-21 -4.108483e-18 -1.336178e-18 1.501238e+02
111000 5.896066e-22 -4.066020e-18 -1.374457e-18 8.541006e+01
112000 9.508014e-22 -4.058611e-18 -1.357015e-18 1.377325e+02
113000 6.383676e-21 -4.104699e-18 -1.376660e-18 9.247355e+02
114000 7.313162e-21 -4.080108e-18 -1.382462e-18 1.059380e+03
115000 5.190698e-22 -3.886137e-18 -1.060352e-18 7.519214e+01
116000 1.542289e-22 -4.040840e-18 -1.237836e-18 2.234151e+01
117000 1.416159e-21 -4.109425e-18 -1.273179e-18 2.051439e+02
118000 1.076411e-21 -3.868396e-18 -1.103091e-18 1.559282e+02
119000 4.707169e-22 -3.869337e-18 -1.104082e-18 6.818778e+01
120000 3.837499e-21 -3.874485e-18 -9.216910e-19 5.558979e+02
121000 8.304052e-20 -3.734830e-18 -7.717893e-19 1.202920e+04
122000 2.261375e-22 -4.072260e-18 -1.156031e-18 3.275815e+01
123000 1.483564e-22 -3.938109e-18 -1.024299e-18 2.149082e+01
124000 1.941494e-19 -3.944202e-18 -8.259712e-19 2.812437e+04
125000 1.036512e-20 -4.084696e-18 -9.489248e-19 1.501485e+03
126000 6.041077e-22 -3.841055e-18 -8.304265e-19 8.751069e+01
127000 1.104505e-20 -3.824012e-18 -8.118447e-19 1.599979e+03
128000 4.728984e-20 -4.003837e-18 -8.743033e-19 6.850379e+03
129000 7.643967e-20 -4.004343e-18 -8.448111e-19 1.107300e+04
130000 1.116994e-18 -4.092874e-18 2.876983e-19 1.618070e+05
