step K U E temp
0 2.572419e-23 -4.108644e-20 -4.106072e-20 3.726391e+00
1000 9.692290e-22 -3.645911e-20 -3.548988e-20 1.404019e+02
2000 5.896135e-22 -4.087483e-20 -4.028522e-20 8.541106e+01
3000 1.391265e-22 -3.965106e-20 -3.951193e-20 2.015378e+01
4000 1.315192e-21 -4.101910e-20 -3.970391e-20 1.905180e+02
5000 6.915360e-21 -3.808028e-20 1.188351e-19 1.001755e+03
6000 1.517366e-21 -3.475512e-20 1.670346e-19 2.198047e+02
7000 1.314396e-21 -3.418708e-20 1.671273e-19 1.904027e+02
8000 5.947984e-22 -2.523929e-20 1.753555e-19 8.616215e+01
9000 1.978311e-21 -3.321282e-20 1.687655e-19 2.865770e+02
10000 1.065672e-22 -3.518758e-20 2.814056e-19 1.543726e+01
11000 1.684748e-21 -3.526030e-20 4.001644e-19 2.440516e+02
12000 1.173515e-21 -3.750263e-20 3.643567e-19 1.699947e+02
13000 2.837550e-23 -3.694006e-20 4.638922e-19 4.110458e+00
14000 3.071584e-21 -4.103599e-20 5.620356e-19 4.449478e+02
15000 6.024711e-23 -4.042283e-20 6.596374e-19 8.727361e+00
16000 7.380847e-21 -4.109921e-20 7.693283e-19 1.069185e+03
17000 1.331112e-23 -4.061137e-20 7.594019e-19 1.928241e+00
18000 1.026460e-21 -4.109934e-20 7.602230e-19 1.486924e+02
19000 2.642957e-21 -4.109657e-20 7.699004e-19 3.828572e+02
20000 3.079626e-22 -3.922517e-20 8.610828e-19 4.461128e+01
21000 1.175176e-21 -3.917765e-20 8.619975e-19 1.702353e+02
22000 7.223323e-22 -3.933188e-20 9.636323e-19 1.046366e+02
23000 2.490594e-21 -3.870617e-20 9.639163e-19 3.607859e+02
24000 4.939023e-22 -3.937315e-20 9.653880e-19 7.154639e+01
25000 6.146822e-22 -3.917755e-20 9.615503e-19 8.904250e+01
26000 1.030417e-20 -3.602342e-20 1.082766e-18 1.492655e+03
27000 5.208305e-21 -3.591180e-20 1.085361e-18 7.544719e+02
28000 5.878954e-22 -1.424996e-20 1.186338e-18 8.516217e+01
29000 8.486876e-22 -2.693898e-20 1.173910e-18 1.229404e+02
30000 5.112070e-22 -3.341197e-20 1.170530e-18 7.405314e+01
31000 2.973882e-21 -3.223912e-20 1.170735e-18 4.307947e+02
32000 5.492809e-22 -3.086131e-20 1.169688e-18 7.956850e+01
33000 3.371292e-22 -3.011250e-20 1.170225e-18 4.883634e+01
34000 1.393046e-20 -2.559113e-20 1.188339e-18 2.017958e+03
35000 1.723550e-23 -2.108007e-20 1.178937e-18 2.496725e+00
36000 1.883159e-24 -3.299938e-20 1.167034e-18 2.727933e-01
37000 1.190811e-22 -1.992239e-20 1.180197e-18 1.725002e+01
38000 1.043897e-22 -3.097358e-20 1.269131e-18 1.512183e+01
39000 6.024973e-21 -3.372972e-20 1.404995e-18 8.727741e+02
40000 1.946927e-22 -2.296602e-20 1.377229e-18 2.820308e+01
41000 1.982377e-23 -2.437937e-20 1.375640e-18 2.871660e+00
42000 6.148223e-23 -2.679993e-20 1.373262e-18 8.906280e+00
43000 2.348951e-23 -2.759298e-20 1.372431e-18 3.402677e+00
44000 2.479041e-21 -2.220162e-20 1.380277e-18 3.591124e+02
45000 1.253099e-21 -3.183344e-20 1.369420e-18 1.815231e+02
46000 1.393810e-21 -2.400395e-20 1.477390e-18 2.019066e+02
47000 9.891174e-24 -2.822560e-20 1.471784e-18 1.432830e+00
48000 2.924956e-21 -2.253458e-20 1.480390e-18 4.237075e+02
49000 1.308173e-25 -2.834668e-20 1.471653e-18 1.895011e-02
50000 1.529100e-21 -2.985213e-20 1.471677e-18 2.215045e+02
51000 1.869396e-24 -2.924703e-20 1.470755e-18 2.707996e-01
52000 1.827420e-23 -2.535942e-20 1.474659e-18 2.647190e+00
53000 2.787593e-22 -2.323315e-20 1.477046e-18 4.038091e+01
54000 1.561251e-20 -2.461910e-20 1.702711e-18 2.261618e+03
55000 1.868612e-21 -2.351710e-20 1.678352e-18 2.706861e+02
56000 1.000556e-20 -2.438474e-20 1.688128e-18 1.449399e+03
57000 4.606665e-21 -2.392918e-20 1.680703e-18 6.673188e+02
58000 4.485516e-21 -2.401038e-20 1.680543e-18 6.497692e+02
59000 4.825013e-22 -2.406274e-20 1.676543e-18 6.989486e+01
60000 6.520878e-21 -2.369301e-20 1.682829e-18 9.446105e+02
61000 5.883094e-23 -2.123884e-20 1.678832e-18 8.522215e+00
62000 5.379093e-22 -2.110806e-20 1.679491e-18 7.792123e+01
63000 1.556467e-21 -2.238978e-20 1.679167e-18 2.254689e+02
64000 4.146483e-21 -2.187736e-20 1.682269e-18 6.006571e+02
65000 1.045256e-21 -2.447482e-20 1.681411e-18 1.514151e+02
66000 4.968610e-23 -2.315162e-20 1.676898e-18 7.197499e+00
67000 1.005530e-21 -2.320806e-20 1.677797e-18 1.456605e+02
68000 5.856413e-21 -2.201261e-20 1.683844e-18 8.483566e+02
69000 8.886533e-22 -2.080072e-20 1.681444e-18 1.287298e+02
70000 4.446053e-22 -2.414057e-20 1.676584e-18 6.440526e+01
71000 3.732655e-21 -2.108316e-20 1.782993e-18 5.407103e+02
72000 3.090193e-21 -2.122505e-20 1.782895e-18 4.476436e+02
73000 1.026061e-21 -3.123647e-26 1.901026e-18 1.486346e+02
74000 9.532114e-21 -1.856062e-20 1.890974e-18 1.380816e+03
75000 9.576494e-22 -5.480546e-21 1.895477e-18 1.387245e+02
76000 4.488495e-21 -1.814798e-20 1.886341e-18 6.502007e+02
77000 6.492160e-21 -1.405429e-20 1.892438e-18 9.404505e+02
78000 5.489463e-22 -9.561117e-21 1.890988e-18 7.952003e+01
79000 5.617007e-21 -4.046963e-20 1.865147e-18 8.136763e+02
80000 1.976823e-23 -4.054349e-20 1.859476e-18 2.863614e+00
81000 3.306294e-21 -3.850348e-20 1.864803e-18 4.789479e+02
82000 3.290716e-20 -3.429069e-20 2.098616e-18 4.766912e+03
83000 1.676817e-21 -3.967178e-20 2.062005e-18 2.429027e+02
84000 8.539775e-24 -4.051624e-20 2.059492e-18 1.237067e+00
85000 1.241071e-21 -3.751403e-20 2.063727e-18 1.797808e+02
86000 1.191249e-21 -3.483091e-20 2.066360e-18 1.725636e+02
87000 7.897857e-22 -4.039225e-20 2.060398e-18 1.144079e+02
88000 4.128668e-21 -4.030666e-20 2.063822e-18 5.980764e+02
89000 4.143810e-21 -4.098947e-20 2.063154e-18 6.002698e+02
90000 3.212629e-21 -3.890815e-20 2.064304e-18 4.653795e+02
91000 1.752886e-21 -2.943557e-20 2.172317e-18 2.539220e+02
92000 8.563309e-21 -9.895583e-21 2.198668e-18 1.240476e+03
93000 6.200031e-21 -2.807394e-20 2.178126e-18 8.981328e+02
94000 9.270454e-21 -3.118241e-20 2.178088e-18 1.342912e+03
95000 9.729770e-23 -3.367290e-20 2.166424e-18 1.409449e+01
96000 7.539765e-21 -3.337139e-20 2.174168e-18 1.092206e+03
97000 1.313573e-21 -3.222407e-20 2.169090e-18 1.902834e+02
98000 4.685402e-23 -7.589286e-21 2.192458e-18 6.787246e+00
99000 4.929299e-21 -3.107091e-20 2.173858e-18 7.140553e+02
100000 6.235391e-22 -3.113328e-20 2.269490e-18 9.032551e+01
101000 1.100084e-21 -3.195049e-20 2.269177e-18 1.593575e+02
102000 2.606999e-21 -2.859187e-20 2.274015e-18 3.776483e+02
103000 2.604481e-22 -3.193527e-20 2.268347e-18 3.772836e+01
104000 9.207137e-23 -3.174630e-20 2.268347e-18 1.333740e+01
105000 3.936576e-22 -2.934443e-20 2.271049e-18 5.702500e+01
106000 7.460681e-22 -3.073916e-20 2.270007e-18 1.080750e+02
107000 2.429103e-21 -3.065512e-20 2.271774e-18 3.518784e+02
108000 2.072562e-21 -1.952067e-20 2.282552e-18 3.002301e+02
109000 1.716048e-22 -3.138504e-20 2.268787e-18 2.485857e+01
110000 1.698974e-21 -3.231001e-20 2.271115e-18 2.461123e+02
111000 2.577526e-23 -2.887010e-20 2.271156e-18 3.733789e+00
112000 3.760826e-23 -3.118878e-20 2.268849e-18 5.447910e+00
113000 9.189986e-22 -3.003282e-20 2.270886e-18 1.331256e+02
114000 4.764853e-22 -8.725042e-21 2.291751e-18 6.902338e+01
115000 1.060379e-21 -2.709211e-20 2.273968e-18 1.536059e+02
116000 7.402048e-22 -3.068618e-20 2.270054e-18 1.072256e+02
117000 1.665608e-20 -5.465640e-21 2.411190e-18 2.412790e+03
118000 5.372966e-25 -2.913217e-20 2.370868e-18 7.783247e-02
119000 6.205525e-22 -2.648625e-20 2.374134e-18 8.989286e+01
120000 1.270571e-21 -2.858008e-20 2.372690e-18 1.840542e+02
121000 1.147855e-22 -2.521719e-20 2.374898e-18 1.662777e+01
122000 1.600922e-22 -2.969686e-20 2.370548e-18 2.319086e+01
123000 1.098489e-21 -2.383722e-20 2.477261e-18 1.591265e+02
124000 9.614486e-22 -2.502911e-20 2.575932e-18 1.392749e+02
125000 2.168148e-22 -2.522752e-20 2.574989e-18 3.140767e+01
126000 8.537567e-21 -2.698988e-20 2.582144e-18 1.236747e+03
127000 6.724126e-21 -2.615950e-20 2.580565e-18 9.740530e+02
128000 1.200540e-24 -2.543822e-20 2.574563e-18 1.739095e-01
129000 2.380996e-22 -1.896388e-20 2.581274e-18 3.449097e+01
130000 1.014848e-20 -1.309473e-20 2.597054e-18 1.470104e+03
131000 1.439894e-21 -2.630196e-20 2.575138e-18 2.085822e+02
132000 1.472681e-20 -1.238784e-20 2.902339e-18 2.133316e+03
133000 1.843332e-22 -1.439534e-20 2.885789e-18 2.670240e+01
134000 6.942220e-22 -2.592890e-20 2.974765e-18 1.005646e+02
135000 1.049424e-21 -2.472805e-20 2.976321e-18 1.520189e+02
136000 9.978724e-22 -2.701735e-20 2.974753e-18 1.445512e+02
137000 1.000215e-20 -2.725954e-20 2.988196e-18 1.448905e+03
138000 3.076623e-21 -2.422534e-20 2.978926e-18 4.456778e+02
139000 1.061034e-22 -2.574158e-20 3.074366e-18 1.537007e+01
140000 3.585332e-22 -2.534013e-20 3.075018e-18 5.193691e+01
141000 3.862308e-21 -2.480192e-20 3.079060e-18 5.594916e+02
142000 1.229638e-21 -2.550301e-20 3.075727e-18 1.781247e+02
143000 7.677951e-21 -2.519065e-20 3.082487e-18 1.112224e+03
144000 1.888102e-23 -2.426353e-20 3.075803e-18 2.735093e+00
145000 9.404483e-22 -2.511236e-20 3.075828e-18 1.362328e+02
146000 8.834525e-23 -2.880966e-20 3.172361e-18 1.279764e+01
147000 3.388444e-22 -2.848793e-20 3.180085e-18 4.908481e+01
