step K U E temp
0 2.021450e-21 -4.102958e-18 -4.100937e-18 2.928261e+02
1000 1.004846e-21 -4.108931e-18 -4.107926e-18 1.455614e+02
2000 2.082813e-21 -4.109740e-18 -4.107657e-18 3.017150e+02
3000 1.516203e-21 -4.108483e-18 -4.106966e-18 2.196363e+02
4000 7.107570e-23 -4.109915e-18 -4.109844e-18 1.029598e+01
5000 4.536065e-22 -4.107792e-18 -3.927338e-18 6.570917e+01
6000 9.365553e-21 -4.096850e-18 -3.967203e-18 1.356689e+03
7000 2.660190e-22 -4.092758e-18 -3.972477e-18 3.853535e+01
8000 1.662562e-21 -4.094081e-18 -3.972379e-18 2.408378e+02
9000 4.239547e-21 -4.105444e-18 -3.861204e-18 6.141383e+02
10000 3.451187e-22 -4.109032e-18 -3.868650e-18 4.999369e+01
11000 5.645616e-22 -4.107221e-18 -3.866657e-18 8.178206e+01
12000 2.173447e-21 -4.109755e-18 -3.867057e-18 3.148443e+02
13000 2.650914e-22 -4.104611e-18 -3.864346e-18 3.840099e+01
14000 1.010334e-21 -4.108975e-18 -3.867934e-18 1.463564e+02
15000 4.214130e-22 -4.108567e-18 -3.596725e-18 6.104564e+01
16000 1.482732e-21 -4.076281e-18 -3.594798e-18 2.147876e+02
17000 2.606005e-21 -4.092058e-18 -3.608090e-18 3.775043e+02
18000 6.879628e-22 -4.093833e-18 -3.609815e-18 9.965788e+01
19000 1.589999e-20 -4.055130e-18 -3.439230e-18 2.303263e+03
20000 9.153830e-22 -4.077330e-18 -3.473470e-18 1.326018e+02
21000 3.855706e-23 -4.084928e-18 -3.357751e-18 5.585353e+00
22000 5.871875e-22 -4.075831e-18 -3.355001e-18 8.505963e+01
23000 1.006078e-23 -4.069831e-18 -3.349804e-18 1.457398e+00
24000 1.623154e-21 -4.085766e-18 -3.354944e-18 2.351291e+02
25000 1.182842e-21 -4.073707e-18 -3.352428e-18 1.713457e+02
26000 4.793054e-22 -4.083605e-18 -3.358451e-18 6.943190e+01
27000 1.436822e-22 -4.078328e-18 -3.357505e-18 2.081373e+01
28000 6.372521e-23 -4.086752e-18 -3.354480e-18 9.231197e+00
29000 4.886037e-21 -4.024501e-18 -3.055234e-18 7.077884e+02
30000 4.402399e-23 -4.023476e-18 -3.059800e-18 6.377290e+00
31000 1.986451e-22 -4.039684e-18 -3.044093e-18 2.877561e+01
32000 4.407463e-20 -4.107222e-18 -3.044342e-18 6.384625e+03
33000 2.116549e-19 -4.068022e-18 -2.849355e-18 3.066020e+04
34000 7.450321e-21 -4.060449e-18 -3.087357e-18 1.079249e+03
35000 1.977964e-21 -4.087670e-18 -2.972840e-18 2.865267e+02
36000 7.253249e-20 -4.108765e-18 -2.921903e-18 1.050701e+04
37000 5.597766e-21 -4.032449e-18 -2.945366e-18 8.108891e+02
38000 2.172789e-21 -4.024862e-18 -2.942521e-18 3.147489e+02
39000 1.756969e-23 -4.002175e-18 -2.801048e-18 2.545135e+00
40000 4.049930e-21 -4.021913e-18 -2.786169e-18 5.866704e+02
41000 1.225152e-21 -4.008203e-18 -2.802947e-18 1.774748e+02
42000 9.908651e-23 -4.026721e-18 -2.779152e-18 1.435361e+01
43000 1.721490e-21 -4.016938e-18 -2.694243e-18 2.493741e+02
44000 2.623745e-22 -4.018175e-18 -2.696644e-18 3.800741e+01
45000 4.955926e-23 -4.030445e-18 -2.698736e-18 7.179125e+00
46000 3.561991e-21 -4.017733e-18 -2.693015e-18 5.159878e+02
47000 1.741069e-20 -4.088566e-18 -2.717986e-18 2.522103e+03
48000 7.609605e-23 -4.002326e-18 -2.562223e-18 1.102323e+01
49000 1.538171e-22 -4.023328e-18 -2.579641e-18 2.228185e+01
50000 4.799424e-21 -4.034458e-18 -2.569492e-18 6.952418e+02
51000 3.973046e-20 -4.077605e-18 -2.411619e-18 5.755331e+03
52000 4.370295e-21 -4.098988e-18 -2.486231e-18 6.330783e+02
53000 4.743552e-21 -4.053440e-18 -2.428782e-18 6.871482e+02
54000 2.566476e-20 -4.109873e-18 -2.478400e-18 3.717782e+03
55000 1.729853e-20 -4.107390e-18 -2.500330e-18 2.505854e+03
56000 4.082045e-20 -4.109108e-18 -2.466779e-18 5.913226e+03
57000 1.099519e-21 -4.101188e-18 -2.379932e-18 1.592757e+02
58000 5.706231e-20 -4.091778e-18 -2.290088e-18 8.266012e+03
59000 4.324454e-21 -3.853724e-18 -2.164618e-18 6.264379e+02
60000 5.756969e-22 -3.861087e-18 -2.169320e-18 8.339511e+01
61000 3.252198e-22 -3.845934e-18 -2.163975e-18 4.711115e+01
62000 2.854713e-22 -4.025920e-18 -2.176224e-18 4.135320e+01
63000 1.661710e-21 -4.092525e-18 -2.226495e-18 2.407144e+02
64000 5.072384e-20 -4.038551e-18 -2.126888e-18 7.347826e+03
65000 2.620369e-21 -3.988300e-18 -2.183786e-18 3.795852e+02
66000 7.566688e-22 -3.997460e-18 -2.188870e-18 1.096106e+02
67000 4.250476e-21 -3.986759e-18 -2.181061e-18 6.157214e+02
68000 8.823193e-23 -4.001623e-18 -2.188123e-18 1.278123e+01
69000 8.511182e-21 -4.105916e-18 -2.131495e-18 1.232925e+03
70000 2.554679e-19 -4.104320e-18 -1.895340e-18 3.700693e+04
71000 5.430418e-21 -3.961811e-18 -2.031631e-18 7.866471e+02
72000 1.552964e-21 -3.970211e-18 -2.035672e-18 2.249614e+02
73000 8.231758e-22 -3.960340e-18 -2.035621e-18 1.192448e+02
74000 3.751478e-25 -4.095259e-18 -2.116986e-18 5.434368e-02
75000 1.362835e-19 -4.063544e-18 -1.824775e-18 1.974195e+04
76000 4.854881e-20 -3.907679e-18 -1.819130e-18 7.032751e+03
77000 9.338758e-21 -4.102000e-18 -1.963202e-18 1.352807e+03
78000 3.258354e-20 -4.108232e-18 -2.006017e-18 4.720033e+03
79000 1.650452e-22 -3.976212e-18 -1.924304e-18 2.390835e+01
80000 3.041088e-21 -3.969001e-18 -1.922049e-18 4.405302e+02
81000 2.398019e-21 -3.967281e-18 -1.921984e-18 3.473756e+02
82000 4.240391e-21 -3.743434e-18 -1.674792e-18 6.142606e+02
83000 1.232792e-19 -4.097074e-18 -1.882835e-18 1.785815e+04
84000 1.887556e-21 -3.925928e-18 -1.877323e-18 2.734302e+02
85000 2.270799e-19 -4.045382e-18 -1.725085e-18 3.289466e+04
86000 6.099340e-20 -4.022941e-18 -1.878865e-18 8.835468e+03
87000 2.112106e-21 -4.085011e-18 -2.004196e-18 3.059585e+02
88000 1.530916e-20 -4.100081e-18 -1.994291e-18 2.217676e+03
89000 5.173444e-19 -4.088380e-18 -1.471268e-18 7.494221e+04
90000 3.908934e-21 -4.047617e-18 -1.950727e-18 5.662459e+02
91000 7.289125e-20 -4.090987e-18 -1.793917e-18 1.055898e+04
92000 9.649326e-20 -3.712908e-18 -1.453113e-18 1.397796e+04
93000 4.890514e-20 -4.030455e-18 -1.752366e-18 7.084369e+03
94000 8.497711e-21 -4.105183e-18 -1.882922e-18 1.230973e+03
95000 4.000221e-20 -3.928332e-18 -1.728317e-18 5.794697e+03
96000 4.763843e-21 -4.028637e-18 -1.687208e-18 6.900875e+02
97000 4.989903e-22 -3.862959e-18 -1.568928e-18 7.228344e+01
98000 4.155257e-21 -3.818120e-18 -1.410115e-18 6.019281e+02
99000 2.258116e-22 -3.836012e-18 -1.412262e-18 3.271094e+01
100000 1.188265e-21 -3.830698e-18 -1.414463e-18 1.721314e+02
101000 2.576346e-21 -3.826685e-18 -1.413906e-18 3.732080e+02
102000 8.655758e-22 -3.816308e-18 -1.412387e-18 1.253868e+02
103000 1.829968e-25 -3.827139e-18 -1.416454e-18 2.650881e-02
104000 7.955688e-22 -3.822624e-18 -1.415241e-18 1.152456e+02
105000 5.508787e-19 -4.039757e-18 -1.024580e-18 7.979996e+04
106000 2.796741e-19 -4.063234e-18 -1.278149e-18 4.051342e+04
107000 1.313989e-19 -4.103065e-18 -1.510042e-18 1.903436e+04
108000 8.560807e-22 -3.970044e-18 -1.556431e-18 1.240114e+02
109000 1.011942e-21 -3.973055e-18 -1.554684e-18 1.465893e+02
110000 4.292554e-21 -3.975722e-18 -1.549185e-18 6.218168e+02
111000 3.566959e-21 -3.967582e-18 -1.554311e-18 5.167076e+02
112000 1.436610e-22 -3.962565e-18 -1.557177e-18 2.081065e+01
113000 8.427256e-22 -3.975110e-18 -1.553209e-18 1.220767e+02
114000 4.289140e-22 -4.099703e-18 -1.529816e-18 6.213222e+01
115000 2.140106e-22 -4.090609e-18 -1.523197e-18 3.100146e+01
116000 7.087296e-19 -3.764193e-18 -5.354633e-19 1.026662e+05
117000 2.216814e-21 -4.064357e-18 -1.377899e-18 3.211264e+02
118000 1.051597e-21 -3.969141e-18 -1.324085e-18 1.523337e+02
119000 1.123822e-21 -3.971893e-18 -1.324502e-18 1.627961e+02
120000 4.447848e-19 -4.107483e-18 -8.732080e-19 6.443127e+04
121000 1.021268e-21 -3.946215e-18 -1.044910e-18 1.479403e+02
122000 1.484676e-20 -4.105807e-18 -9.684245e-19 2.150693e+03
123000 2.656058e-19 -3.971666e-18 -6.484791e-19 3.847550e+04
124000 1.527539e-21 -4.009452e-18 -8.084180e-19 2.212784e+02
125000 9.648255e-22 -4.009707e-18 -8.091579e-19 1.397641e+02
126000 1.015605e-18 -3.844117e-18 4.516681e-19 1.471199e+05
127000 1.159417e-20 -4.033824e-18 -5.954039e-19 1.679525e+03
128000 3.101720e-22 -4.015922e-18 -6.174414e-19 4.493133e+01
129000 5.576046e-22 -4.042345e-18 -6.054529e-19 8.077427e+01
130000 2.697201e-22 -4.108252e-18 -7.182006e-19 3.907149e+01
131000 2.570535e-21 -3.896547e-18 -5.097526e-19 3.723662e+02
132000 5.721556e-21 -3.949983e-18 -5.351661e-19 8.288212e+02
133000 4.791198e-22 -4.061614e-18 -6.492396e-19 6.940501e+01
134000 9.753301e-20 -3.912397e-18 -4.260363e-19 1.412857e+04
135000 1.889615e-19 -4.109998e-18 -4.598734e-19 2.737286e+04
136000 1.366432e-20 -3.913423e-18 -4.869045e-19 1.979405e+03
137000 1.227917e-20 -3.184266e-18 3.080128e-19 1.778753e+03
138000 2.262213e-19 -4.109931e-18 -1.776499e-19 3.277028e+04
139000 7.386063e-21 -2.461792e-18 1.145594e-18 1.069941e+03
140000 3.237508e-19 -4.034214e-18 -4.310774e-20 4.689835e+04
141000 1.180597e-20 -4.101664e-18 -4.328864e-19 1.710206e+03
142000 2.472808e-21 -4.086365e-18 -4.477486e-19 3.582096e+02
143000 7.980771e-23 -3.744974e-18 -1.186604e-19 1.156090e+01
144000 1.224675e-24 -3.828194e-18 -2.148656e-19 1.774057e-01
145000 1.904647e-21 -3.831090e-18 -2.126538e-19 2.759060e+02
146000 1.698994e-21 -3.830463e-18 -2.130022e-19 2.461153e+02
147000 2.895799e-19 -4.081793e-18 -2.239789e-20 4.194837e+04
148000 4.676482e-20 -4.024774e-18 -2.107722e-19 6.774325e+03
149000 6.784628e-19 -3.782228e-18 6.777438e-19 9.828171e+04
150000 1.371393e-20 -4.041724e-18 -2.327043e-19 1.986591e+03
151000 6.095982e-21 -4.026255e-18 -2.493676e-19 8.830604e+02
152000 6.615358e-20 -3.939869e-18 -9.728667e-20 9.582969e+03
153000 1.218940e-23 -3.988249e-18 -2.160515e-19 1.765749e+00
154000 3.027143e-21 -4.108204e-18 -3.557439e-19 4.385102e+02
155000 4.807503e-21 -4.024780e-18 -2.527207e-19 6.964121e+02
156000 1.634148e-20 -3.891367e-18 -8.206496e-20 2.367217e+03
157000 1.301238e-23 -4.027707e-18 -2.533013e-19 1.884966e+00
158000 1.528814e-19 -3.830364e-18 1.163760e-19 2.214631e+04
159000 1.149907e-18 -3.405119e-18 1.464788e-18 1.665749e+05
