step K U E temp
0 7.849402e-21 -3.985848e-20 -3.200907e-20 1.137060e+03
1000 3.546374e-21 -3.794937e-20 2.559701e-20 5.137257e+02
2000 5.090940e-21 -3.295867e-20 9.226800e-20 7.374706e+02
3000 8.472386e-22 -3.602474e-20 1.648246e-19 1.227305e+02
4000 4.067777e-22 -3.630123e-20 1.641528e-19 5.892558e+01
5000 2.441757e-22 -2.937072e-20 2.508735e-19 3.537114e+01
6000 8.793507e-21 -4.001383e-20 2.487797e-19 1.273822e+03
7000 4.371034e-21 -3.707943e-20 2.872916e-19 6.331854e+02
8000 4.542601e-21 -3.944112e-20 3.251015e-19 6.580385e+02
9000 2.959300e-21 -3.958341e-20 3.636942e-19 4.286824e+02
10000 1.634222e-22 -3.868163e-20 4.416572e-19 2.367324e+01
11000 2.013463e-22 -3.828797e-20 4.935116e-19 2.916690e+01
12000 7.109967e-23 -3.796576e-20 4.851558e-19 1.029946e+01
13000 9.783350e-21 -4.038822e-20 5.693951e-19 1.417210e+03
14000 4.502817e-24 -3.918322e-20 5.608213e-19 6.522754e-01
15000 2.087928e-24 -4.099216e-20 5.990123e-19 3.024560e-01
16000 1.069158e-21 -3.131349e-20 6.497557e-19 1.548776e+02
17000 3.358062e-21 -2.658000e-20 6.967781e-19 4.864469e+02
18000 4.476982e-21 -3.871572e-20 7.741853e-19 6.485330e+02
19000 2.399318e-22 -3.889396e-20 7.662183e-19 3.475638e+01
20000 1.868981e-21 -3.693243e-20 8.127883e-19 2.707395e+02
21000 1.062859e-21 -3.580576e-20 8.052889e-19 1.539652e+02
22000 3.909428e-23 -3.474655e-20 8.060382e-19 5.663174e+00
23000 1.814009e-21 -3.716465e-20 8.886508e-19 2.627763e+02
24000 3.154113e-21 -3.100341e-20 9.725376e-19 4.569030e+02
25000 1.415372e-22 -3.074805e-20 9.694157e-19 2.050300e+01
26000 1.092983e-21 -3.521278e-20 1.005935e-18 1.583288e+02
27000 1.187015e-21 -3.462064e-20 1.049029e-18 1.719502e+02
28000 3.938707e-21 -3.265746e-20 1.092726e-18 5.705588e+02
29000 2.779556e-22 -3.271327e-20 1.089641e-18 4.026449e+01
30000 5.983332e-22 -3.297119e-20 1.267307e-18 8.667420e+01
31000 1.033231e-21 -4.093147e-20 1.280611e-18 1.496733e+02
32000 7.320658e-22 -4.094677e-20 1.279999e-18 1.060466e+02
33000 2.044545e-25 -4.091950e-20 1.326470e-18 2.961716e-02
34000 1.022451e-21 -4.059725e-20 1.403757e-18 1.481116e+02
35000 1.190431e-21 -4.061169e-20 1.404257e-18 1.724451e+02
36000 1.475914e-21 -3.956632e-20 1.442995e-18 2.138000e+02
37000 1.688914e-24 -3.870846e-20 1.501275e-18 2.446551e-01
38000 1.136966e-22 -3.766491e-20 1.502901e-18 1.647003e+01
39000 5.566176e-23 -4.105742e-20 1.491610e-18 8.063130e+00
40000 2.816270e-21 -3.595381e-20 1.657188e-18 4.079633e+02
41000 1.748315e-22 -3.500263e-20 1.648630e-18 2.532599e+01
42000 1.009584e-21 -3.603205e-20 1.658105e-18 1.462477e+02
43000 5.199125e-21 -3.996803e-20 1.725231e-18 7.531421e+02
44000 3.649194e-21 -4.033032e-20 1.763319e-18 5.286201e+02
45000 1.223375e-22 -4.048907e-20 1.759633e-18 1.772174e+01
46000 7.064417e-21 -3.868432e-20 1.808575e-18 1.023347e+03
47000 3.688241e-24 -4.055650e-20 1.799453e-18 5.342764e-01
48000 5.702508e-23 -4.055093e-20 1.879525e-18 8.260619e+00
49000 1.521246e-22 -4.076953e-20 1.884580e-18 2.203668e+01
50000 2.545030e-21 -4.064769e-20 1.882063e-18 3.686715e+02
