step K U E temp
0 5.459434e-22 -3.716975e-20 -3.662380e-20 7.908503e+01
1000 5.786572e-21 -4.109985e-20 2.468672e-20 8.382394e+02
2000 1.051228e-20 -4.049918e-20 7.001310e-20 1.522803e+03
3000 2.393506e-22 -4.017723e-20 1.005633e-19 3.467219e+01
4000 5.257777e-21 -3.345536e-20 1.518024e-19 7.616384e+02
5000 6.205673e-22 -3.573850e-20 1.848821e-19 8.989502e+01
6000 1.738253e-21 -3.549238e-20 2.418834e-19 2.518023e+02
7000 1.715325e-21 -2.608050e-20 2.756348e-19 2.484810e+02
8000 1.457075e-21 -3.098973e-20 3.104674e-19 2.110710e+02
9000 7.756004e-21 -2.842320e-20 3.593426e-19 1.123530e+03
10000 1.275298e-21 -3.235409e-20 3.901510e-19 1.847390e+02
11000 9.921028e-22 -3.424089e-20 4.300667e-19 1.437154e+02
12000 1.350542e-20 -2.428218e-20 4.896652e-19 1.956388e+03
13000 3.956166e-23 -3.928481e-20 5.007548e-19 5.730878e+00
14000 6.946362e-22 -3.871419e-20 5.423997e-19 1.006246e+02
15000 4.359485e-21 -3.426423e-20 5.900953e-19 6.315125e+02
16000 7.986246e-22 -3.736441e-20 6.234343e-19 1.156883e+02
17000 2.526331e-22 -3.999656e-20 6.602561e-19 3.659628e+01
18000 1.429793e-22 -3.634509e-20 7.037979e-19 2.071190e+01
19000 1.771168e-22 -3.697512e-20 7.435489e-19 2.565704e+01
20000 2.936733e-22 -4.086718e-20 7.794265e-19 4.254134e+01
21000 7.045944e-23 -4.102684e-20 8.190451e-19 1.020671e+01
22000 1.076639e-21 -4.109041e-20 8.651818e-19 1.559613e+02
23000 7.631893e-22 -4.085354e-20 8.999703e-19 1.105552e+02
24000 3.093231e-21 -4.066707e-20 9.479691e-19 4.480836e+02
25000 3.735548e-22 -4.089913e-20 9.955063e-19 5.411293e+01
26000 2.844325e-21 -4.062024e-20 1.022278e-18 4.120272e+02
27000 1.490427e-21 -4.104551e-20 1.060498e-18 2.159024e+02
28000 1.959523e-21 -4.097946e-20 1.106672e-18 2.838554e+02
29000 5.493487e-23 -3.800154e-20 1.142053e-18 7.957833e+00
30000 6.639590e-21 -3.729229e-20 1.195917e-18 9.618071e+02
31000 9.352112e-21 -3.912567e-20 1.230226e-18 1.354741e+03
32000 2.302510e-21 -4.037736e-20 1.262639e-18 3.335402e+02
33000 9.052262e-21 -3.969936e-20 1.310838e-18 1.311305e+03
34000 5.738798e-22 -4.109723e-20 1.357498e-18 8.313188e+01
