pX pY pZ 
1.847314e-14 0.000000e+00 0.000000e+00
1.133922e-13 0.000000e+00 0.000000e+00
8.844101e-14 0.000000e+00 0.000000e+00
-4.296105e-14 0.000000e+00 0.000000e+00
1.320884e-13 0.000000e+00 0.000000e+00
-3.028847e-13 0.000000e+00 0.000000e+00
-3.050205e-14 0.000000e+00 0.000000e+00
-2.316638e-13 0.000000e+00 0.000000e+00
-6.191458e-14 0.000000e+00 0.000000e+00
-2.590556e-13 0.000000e+00 0.000000e+00
-1.726430e-13 0.000000e+00 0.000000e+00
6.086254e-14 0.000000e+00 0.000000e+00
1.485639e-13 0.000000e+00 0.000000e+00
3.071087e-13 0.000000e+00 0.000000e+00
-3.874742e-13 0.000000e+00 0.000000e+00
1.284536e-13 0.000000e+00 0.000000e+00
3.488489e-13 0.000000e+00 0.000000e+00
8.227817e-14 0.000000e+00 0.000000e+00
2.895164e-13 0.000000e+00 0.000000e+00
1.243976e-13 0.000000e+00 0.000000e+00
-1.853800e-13 0.000000e+00 0.000000e+00
7.647510e-14 0.000000e+00 0.000000e+00
5.867052e-14 0.000000e+00 0.000000e+00
2.968809e-13 0.000000e+00 0.000000e+00
1.586770e-13 0.000000e+00 0.000000e+00
4.618576e-14 0.000000e+00 0.000000e+00
-8.732759e-14 0.000000e+00 0.000000e+00
-3.546964e-13 0.000000e+00 0.000000e+00
-1.114006e-13 0.000000e+00 0.000000e+00
-4.743955e-14 0.000000e+00 0.000000e+00
1.619543e-13 0.000000e+00 0.000000e+00
8.687903e-14 0.000000e+00 0.000000e+00
-8.342606e-14 0.000000e+00 0.000000e+00
4.402570e-14 0.000000e+00 0.000000e+00
-2.189328e-13 0.000000e+00 0.000000e+00
-1.526116e-14 0.000000e+00 0.000000e+00
2.475958e-13 0.000000e+00 0.000000e+00
1.404882e-13 0.000000e+00 0.000000e+00
-3.250456e-14 0.000000e+00 0.000000e+00
-1.982800e-13 0.000000e+00 0.000000e+00
2.985456e-13 0.000000e+00 0.000000e+00
-2.131459e-13 0.000000e+00 0.000000e+00
-5.248437e-14 0.000000e+00 0.000000e+00
-5.557679e-14 0.000000e+00 0.000000e+00
3.815538e-13 0.000000e+00 0.000000e+00
-1.550109e-14 0.000000e+00 0.000000e+00
1.941097e-14 0.000000e+00 0.000000e+00
2.430055e-13 0.000000e+00 0.000000e+00
8.395945e-14 0.000000e+00 0.000000e+00
-8.616120e-14 0.000000e+00 0.000000e+00
6.722151e-14 0.000000e+00 0.000000e+00
1.419492e-13 0.000000e+00 0.000000e+00
-8.563764e-14 0.000000e+00 0.000000e+00
-1.233390e-13 0.000000e+00 0.000000e+00
-1.752023e-13 0.000000e+00 0.000000e+00
5.526564e-14 0.000000e+00 0.000000e+00
1.258690e-13 0.000000e+00 0.000000e+00
-2.265879e-13 0.000000e+00 0.000000e+00
1.832860e-13 0.000000e+00 0.000000e+00
1.441336e-13 0.000000e+00 0.000000e+00
-3.743934e-13 0.000000e+00 0.000000e+00
-2.676373e-13 0.000000e+00 0.000000e+00
2.963897e-13 0.000000e+00 0.000000e+00
-2.343348e-13 0.000000e+00 0.000000e+00
8.168085e-14 0.000000e+00 0.000000e+00
9.073246e-14 0.000000e+00 0.000000e+00
-1.284127e-13 0.000000e+00 0.000000e+00
-3.726216e-14 0.000000e+00 0.000000e+00
-4.485114e-13 0.000000e+00 0.000000e+00
-1.389865e-13 0.000000e+00 0.000000e+00
-1.373139e-13 0.000000e+00 0.000000e+00
2.927863e-14 0.000000e+00 0.000000e+00
1.312787e-13 0.000000e+00 0.000000e+00
-1.999635e-13 0.000000e+00 0.000000e+00
2.735132e-13 0.000000e+00 0.000000e+00
-1.931166e-13 0.000000e+00 0.000000e+00
1.934341e-13 0.000000e+00 0.000000e+00
1.314033e-13 0.000000e+00 0.000000e+00
-3.921237e-14 0.000000e+00 0.000000e+00
-1.316670e-13 0.000000e+00 0.000000e+00
2.138165e-13 0.000000e+00 0.000000e+00
-2.345187e-14 0.000000e+00 0.000000e+00
-1.780070e-13 0.000000e+00 0.000000e+00
4.029197e-14 0.000000e+00 0.000000e+00
7.043218e-14 0.000000e+00 0.000000e+00
1.053530e-13 0.000000e+00 0.000000e+00
1.446348e-13 0.000000e+00 0.000000e+00
2.073488e-13 0.000000e+00 0.000000e+00
-1.671638e-13 0.000000e+00 0.000000e+00
-2.661274e-14 0.000000e+00 0.000000e+00
1.166232e-13 0.000000e+00 0.000000e+00
-2.664901e-13 0.000000e+00 0.000000e+00
3.559043e-14 0.000000e+00 0.000000e+00
-1.812667e-13 0.000000e+00 0.000000e+00
1.360809e-13 0.000000e+00 0.000000e+00
2.150916e-13 0.000000e+00 0.000000e+00
-4.794796e-16 0.000000e+00 0.000000e+00
-8.676794e-14 0.000000e+00 0.000000e+00
2.253628e-13 0.000000e+00 0.000000e+00
-2.656732e-13 0.000000e+00 0.000000e+00
1.827735e-13 0.000000e+00 0.000000e+00
1.956200e-13 0.000000e+00 0.000000e+00
1.743077e-14 0.000000e+00 0.000000e+00
-2.103893e-13 0.000000e+00 0.000000e+00
6.658046e-14 0.000000e+00 0.000000e+00
1.722943e-13 0.000000e+00 0.000000e+00
-3.662019e-13 0.000000e+00 0.000000e+00
-2.178573e-13 0.000000e+00 0.000000e+00
1.479830e-13 0.000000e+00 0.000000e+00
-7.518894e-14 0.000000e+00 0.000000e+00
5.329932e-15 0.000000e+00 0.000000e+00
-1.012015e-13 0.000000e+00 0.000000e+00
-1.862218e-13 0.000000e+00 0.000000e+00
-3.548933e-14 0.000000e+00 0.000000e+00
1.639597e-13 0.000000e+00 0.000000e+00
1.445511e-13 0.000000e+00 0.000000e+00
-5.213174e-14 0.000000e+00 0.000000e+00
-2.359229e-13 0.000000e+00 0.000000e+00
-1.673580e-13 0.000000e+00 0.000000e+00
2.324243e-13 0.000000e+00 0.000000e+00
-7.398223e-15 0.000000e+00 0.000000e+00
