pX pY pZ 
2.031524e-14 0.000000e+00 0.000000e+00
3.237010e-14 0.000000e+00 0.000000e+00
-3.333047e-13 0.000000e+00 0.000000e+00
-4.976363e-14 0.000000e+00 0.000000e+00
-3.535521e-13 0.000000e+00 0.000000e+00
-1.157598e-13 0.000000e+00 0.000000e+00
-1.037950e-13 0.000000e+00 0.000000e+00
1.593274e-13 0.000000e+00 0.000000e+00
-1.614216e-13 0.000000e+00 0.000000e+00
-3.090642e-13 0.000000e+00 0.000000e+00
-1.348033e-14 0.000000e+00 0.000000e+00
7.438745e-14 0.000000e+00 0.000000e+00
-1.234746e-13 0.000000e+00 0.000000e+00
1.618056e-14 0.000000e+00 0.000000e+00
-1.602531e-13 0.000000e+00 0.000000e+00
-3.190829e-15 0.000000e+00 0.000000e+00
1.066572e-13 0.000000e+00 0.000000e+00
-3.144322e-13 0.000000e+00 0.000000e+00
3.009708e-14 0.000000e+00 0.000000e+00
5.767307e-15 0.000000e+00 0.000000e+00
-7.444980e-14 0.000000e+00 0.000000e+00
-7.225758e-14 0.000000e+00 0.000000e+00
1.642253e-13 0.000000e+00 0.000000e+00
-3.065674e-14 0.000000e+00 0.000000e+00
9.808019e-14 0.000000e+00 0.000000e+00
1.459446e-13 0.000000e+00 0.000000e+00
2.449795e-13 0.000000e+00 0.000000e+00
2.143440e-13 0.000000e+00 0.000000e+00
2.652712e-13 0.000000e+00 0.000000e+00
1.486950e-13 0.000000e+00 0.000000e+00
2.741578e-13 0.000000e+00 0.000000e+00
-1.458087e-13 0.000000e+00 0.000000e+00
-6.583547e-13 0.000000e+00 0.000000e+00
-1.074574e-13 0.000000e+00 0.000000e+00
-1.058827e-13 0.000000e+00 0.000000e+00
3.560441e-13 0.000000e+00 0.000000e+00
2.132606e-13 0.000000e+00 0.000000e+00
9.893218e-14 0.000000e+00 0.000000e+00
-1.891708e-14 0.000000e+00 0.000000e+00
4.636504e-14 0.000000e+00 0.000000e+00
-1.878851e-13 0.000000e+00 0.000000e+00
1.155696e-12 0.000000e+00 0.000000e+00
-3.211155e-13 0.000000e+00 0.000000e+00
2.135874e-13 0.000000e+00 0.000000e+00
-2.006609e-13 0.000000e+00 0.000000e+00
-1.117701e-13 0.000000e+00 0.000000e+00
1.669995e-13 0.000000e+00 0.000000e+00
-2.758457e-13 0.000000e+00 0.000000e+00
1.878714e-13 0.000000e+00 0.000000e+00
-2.223063e-13 0.000000e+00 0.000000e+00
-1.563648e-13 0.000000e+00 0.000000e+00
-2.494897e-13 0.000000e+00 0.000000e+00
1.156649e-13 0.000000e+00 0.000000e+00
-1.433289e-13 0.000000e+00 0.000000e+00
5.088068e-15 0.000000e+00 0.000000e+00
1.699268e-13 0.000000e+00 0.000000e+00
-3.780563e-13 0.000000e+00 0.000000e+00
-5.562058e-14 0.000000e+00 0.000000e+00
-6.408759e-13 0.000000e+00 0.000000e+00
4.773807e-15 0.000000e+00 0.000000e+00
-1.470039e-13 0.000000e+00 0.000000e+00
2.509172e-12 0.000000e+00 0.000000e+00
2.237586e-13 0.000000e+00 0.000000e+00
-1.326150e-13 0.000000e+00 0.000000e+00
-3.400492e-13 0.000000e+00 0.000000e+00
5.850423e-14 0.000000e+00 0.000000e+00
5.926368e-14 0.000000e+00 0.000000e+00
8.013282e-14 0.000000e+00 0.000000e+00
-4.106379e-13 0.000000e+00 0.000000e+00
2.827965e-14 0.000000e+00 0.000000e+00
3.137514e-13 0.000000e+00 0.000000e+00
5.914023e-14 0.000000e+00 0.000000e+00
-2.315721e-13 0.000000e+00 0.000000e+00
2.204103e-13 0.000000e+00 0.000000e+00
5.156467e-13 0.000000e+00 0.000000e+00
1.184690e-12 0.000000e+00 0.000000e+00
-2.560013e-13 0.000000e+00 0.000000e+00
-2.294313e-13 0.000000e+00 0.000000e+00
7.094571e-13 0.000000e+00 0.000000e+00
1.595998e-13 0.000000e+00 0.000000e+00
1.874200e-14 0.000000e+00 0.000000e+00
1.153967e-13 0.000000e+00 0.000000e+00
7.672115e-13 0.000000e+00 0.000000e+00
-5.547351e-14 0.000000e+00 0.000000e+00
-1.723202e-12 0.000000e+00 0.000000e+00
2.250015e-13 0.000000e+00 0.000000e+00
-5.102576e-13 0.000000e+00 0.000000e+00
-5.051213e-14 0.000000e+00 0.000000e+00
-3.224058e-14 0.000000e+00 0.000000e+00
-2.144326e-13 0.000000e+00 0.000000e+00
-1.685921e-13 0.000000e+00 0.000000e+00
8.721361e-14 0.000000e+00 0.000000e+00
-2.044107e-13 0.000000e+00 0.000000e+00
-6.705108e-14 0.000000e+00 0.000000e+00
-1.165103e-13 0.000000e+00 0.000000e+00
1.511257e-13 0.000000e+00 0.000000e+00
-2.408169e-12 0.000000e+00 0.000000e+00
1.008417e-12 0.000000e+00 0.000000e+00
-5.706993e-14 0.000000e+00 0.000000e+00
2.743289e-13 0.000000e+00 0.000000e+00
3.352167e-13 0.000000e+00 0.000000e+00
5.801764e-13 0.000000e+00 0.000000e+00
9.537477e-15 0.000000e+00 0.000000e+00
-5.808182e-13 0.000000e+00 0.000000e+00
1.624019e-12 0.000000e+00 0.000000e+00
-1.078531e-12 0.000000e+00 0.000000e+00
2.329020e-12 0.000000e+00 0.000000e+00
2.898298e-13 0.000000e+00 0.000000e+00
-2.004967e-12 0.000000e+00 0.000000e+00
-1.023171e-12 0.000000e+00 0.000000e+00
-3.870355e-13 0.000000e+00 0.000000e+00
1.800872e-12 0.000000e+00 0.000000e+00
3.056515e-14 0.000000e+00 0.000000e+00
3.380018e-13 0.000000e+00 0.000000e+00
-1.096946e-13 0.000000e+00 0.000000e+00
4.491658e-16 0.000000e+00 0.000000e+00
7.134150e-14 0.000000e+00 0.000000e+00
8.913587e-13 0.000000e+00 0.000000e+00
1.662977e-13 0.000000e+00 0.000000e+00
-1.779845e-13 0.000000e+00 0.000000e+00
8.121785e-14 0.000000e+00 0.000000e+00
-3.857769e-15 0.000000e+00 0.000000e+00
1.150171e-12 0.000000e+00 0.000000e+00
-3.132307e-13 0.000000e+00 0.000000e+00
-2.784611e-13 0.000000e+00 0.000000e+00
-9.791904e-13 0.000000e+00 0.000000e+00
1.131684e-13 0.000000e+00 0.000000e+00
-9.771017e-13 0.000000e+00 0.000000e+00
1.436604e-12 0.000000e+00 0.000000e+00
-4.345214e-14 0.000000e+00 0.000000e+00
3.229032e-14 0.000000e+00 0.000000e+00
-1.612564e-12 0.000000e+00 0.000000e+00
1.185169e-12 0.000000e+00 0.000000e+00
5.815855e-14 0.000000e+00 0.000000e+00
8.346811e-14 0.000000e+00 0.000000e+00
2.137099e-13 0.000000e+00 0.000000e+00
2.368434e-13 0.000000e+00 0.000000e+00
3.030312e-13 0.000000e+00 0.000000e+00
2.465036e-15 0.000000e+00 0.000000e+00
1.596529e-13 0.000000e+00 0.000000e+00
-8.828761e-13 0.000000e+00 0.000000e+00
3.557245e-14 0.000000e+00 0.000000e+00
1.277185e-12 0.000000e+00 0.000000e+00
-7.635171e-13 0.000000e+00 0.000000e+00
-5.858373e-13 0.000000e+00 0.000000e+00
-1.049517e-12 0.000000e+00 0.000000e+00
-1.898231e-13 0.000000e+00 0.000000e+00
-1.517496e-15 0.000000e+00 0.000000e+00
-2.825771e-14 0.000000e+00 0.000000e+00
6.823873e-13 0.000000e+00 0.000000e+00
2.709938e-12 0.000000e+00 0.000000e+00
1.249049e-13 0.000000e+00 0.000000e+00
-1.640425e-12 0.000000e+00 0.000000e+00
2.546544e-12 0.000000e+00 0.000000e+00
1.376965e-12 0.000000e+00 0.000000e+00
-1.267196e-12 0.000000e+00 0.000000e+00
-4.943719e-13 0.000000e+00 0.000000e+00
2.500256e-13 0.000000e+00 0.000000e+00
1.499941e-12 0.000000e+00 0.000000e+00
6.201158e-13 0.000000e+00 0.000000e+00
-2.849228e-12 0.000000e+00 0.000000e+00
2.587698e-13 0.000000e+00 0.000000e+00
1.542181e-14 0.000000e+00 0.000000e+00
-3.155423e-13 0.000000e+00 0.000000e+00
2.917772e-12 0.000000e+00 0.000000e+00
3.078875e-12 0.000000e+00 0.000000e+00
6.203947e-13 0.000000e+00 0.000000e+00
-1.686995e-12 0.000000e+00 0.000000e+00
1.079808e-12 0.000000e+00 0.000000e+00
4.160984e-13 0.000000e+00 0.000000e+00
1.228503e-13 0.000000e+00 0.000000e+00
3.779043e-12 0.000000e+00 0.000000e+00
1.585457e-12 0.000000e+00 0.000000e+00
6.847823e-13 0.000000e+00 0.000000e+00
1.163946e-14 0.000000e+00 0.000000e+00
4.411446e-13 0.000000e+00 0.000000e+00
-1.291502e-13 0.000000e+00 0.000000e+00
1.806302e-14 0.000000e+00 0.000000e+00
-1.052966e-13 0.000000e+00 0.000000e+00
2.808391e-13 0.000000e+00 0.000000e+00
8.448177e-13 0.000000e+00 0.000000e+00
2.056685e-13 0.000000e+00 0.000000e+00
-1.001195e-12 0.000000e+00 0.000000e+00
-2.774310e-12 0.000000e+00 0.000000e+00
8.365368e-13 0.000000e+00 0.000000e+00
-3.220301e-12 0.000000e+00 0.000000e+00
6.802935e-13 0.000000e+00 0.000000e+00
3.638252e-14 0.000000e+00 0.000000e+00
9.663186e-13 0.000000e+00 0.000000e+00
3.121720e-13 0.000000e+00 0.000000e+00
-1.584971e-13 0.000000e+00 0.000000e+00
-3.115252e-13 0.000000e+00 0.000000e+00
-5.434152e-13 0.000000e+00 0.000000e+00
