pX pY pZ 
-1.453269e-13 0.000000e+00 0.000000e+00
1.330425e-13 0.000000e+00 0.000000e+00
-1.235048e-13 0.000000e+00 0.000000e+00
-3.109581e-15 0.000000e+00 0.000000e+00
9.317704e-14 0.000000e+00 0.000000e+00
-2.565858e-13 0.000000e+00 0.000000e+00
-5.052729e-14 0.000000e+00 0.000000e+00
-1.526107e-13 0.000000e+00 0.000000e+00
1.391540e-14 0.000000e+00 0.000000e+00
-1.150716e-15 0.000000e+00 0.000000e+00
4.546625e-13 0.000000e+00 0.000000e+00
1.152895e-13 0.000000e+00 0.000000e+00
1.155457e-14 0.000000e+00 0.000000e+00
2.865475e-13 0.000000e+00 0.000000e+00
-1.801741e-13 0.000000e+00 0.000000e+00
1.056083e-13 0.000000e+00 0.000000e+00
-9.832555e-14 0.000000e+00 0.000000e+00
6.370936e-14 0.000000e+00 0.000000e+00
-6.398279e-14 0.000000e+00 0.000000e+00
1.665392e-13 0.000000e+00 0.000000e+00
-7.621457e-14 0.000000e+00 0.000000e+00
1.303178e-13 0.000000e+00 0.000000e+00
1.530776e-13 0.000000e+00 0.000000e+00
-9.418712e-14 0.000000e+00 0.000000e+00
-1.679157e-13 0.000000e+00 0.000000e+00
9.673117e-14 0.000000e+00 0.000000e+00
2.510380e-13 0.000000e+00 0.000000e+00
-3.411608e-13 0.000000e+00 0.000000e+00
-9.013828e-14 0.000000e+00 0.000000e+00
1.752201e-13 0.000000e+00 0.000000e+00
-4.003945e-13 0.000000e+00 0.000000e+00
-1.918687e-13 0.000000e+00 0.000000e+00
-2.149314e-13 0.000000e+00 0.000000e+00
-7.068319e-14 0.000000e+00 0.000000e+00
-2.632715e-14 0.000000e+00 0.000000e+00
-1.123699e-14 0.000000e+00 0.000000e+00
2.608553e-14 0.000000e+00 0.000000e+00
-4.234861e-14 0.000000e+00 0.000000e+00
5.801674e-14 0.000000e+00 0.000000e+00
-9.757063e-14 0.000000e+00 0.000000e+00
-2.466973e-13 0.000000e+00 0.000000e+00
-5.323515e-14 0.000000e+00 0.000000e+00
3.961626e-13 0.000000e+00 0.000000e+00
-6.959568e-14 0.000000e+00 0.000000e+00
-1.972248e-13 0.000000e+00 0.000000e+00
-3.673418e-13 0.000000e+00 0.000000e+00
1.404356e-13 0.000000e+00 0.000000e+00
9.696275e-14 0.000000e+00 0.000000e+00
-1.343679e-13 0.000000e+00 0.000000e+00
-2.987818e-13 0.000000e+00 0.000000e+00
3.724776e-13 0.000000e+00 0.000000e+00
2.249811e-13 0.000000e+00 0.000000e+00
-1.652383e-13 0.000000e+00 0.000000e+00
-2.291976e-13 0.000000e+00 0.000000e+00
-3.483962e-14 0.000000e+00 0.000000e+00
-2.112675e-13 0.000000e+00 0.000000e+00
2.911344e-13 0.000000e+00 0.000000e+00
8.273252e-14 0.000000e+00 0.000000e+00
3.961426e-14 0.000000e+00 0.000000e+00
2.127162e-13 0.000000e+00 0.000000e+00
1.767548e-13 0.000000e+00 0.000000e+00
6.773721e-14 0.000000e+00 0.000000e+00
-5.366824e-14 0.000000e+00 0.000000e+00
-4.189431e-14 0.000000e+00 0.000000e+00
-5.805546e-13 0.000000e+00 0.000000e+00
2.575071e-13 0.000000e+00 0.000000e+00
4.950748e-14 0.000000e+00 0.000000e+00
7.836825e-14 0.000000e+00 0.000000e+00
-8.988491e-14 0.000000e+00 0.000000e+00
2.430021e-13 0.000000e+00 0.000000e+00
-1.114034e-13 0.000000e+00 0.000000e+00
-2.061903e-13 0.000000e+00 0.000000e+00
-3.609942e-14 0.000000e+00 0.000000e+00
1.492477e-13 0.000000e+00 0.000000e+00
1.707929e-13 0.000000e+00 0.000000e+00
3.715726e-14 0.000000e+00 0.000000e+00
-5.978971e-14 0.000000e+00 0.000000e+00
-2.501000e-13 0.000000e+00 0.000000e+00
1.559203e-13 0.000000e+00 0.000000e+00
-2.993346e-14 0.000000e+00 0.000000e+00
4.829099e-14 0.000000e+00 0.000000e+00
2.488309e-14 0.000000e+00 0.000000e+00
1.825877e-13 0.000000e+00 0.000000e+00
-2.581072e-13 0.000000e+00 0.000000e+00
6.460423e-14 0.000000e+00 0.000000e+00
-1.182999e-13 0.000000e+00 0.000000e+00
-1.680820e-13 0.000000e+00 0.000000e+00
-1.798178e-13 0.000000e+00 0.000000e+00
-7.646937e-14 0.000000e+00 0.000000e+00
-6.266907e-14 0.000000e+00 0.000000e+00
7.179372e-15 0.000000e+00 0.000000e+00
-1.810702e-14 0.000000e+00 0.000000e+00
-1.310142e-13 0.000000e+00 0.000000e+00
7.106495e-14 0.000000e+00 0.000000e+00
-5.111411e-14 0.000000e+00 0.000000e+00
1.109466e-13 0.000000e+00 0.000000e+00
3.806160e-14 0.000000e+00 0.000000e+00
-2.027306e-13 0.000000e+00 0.000000e+00
2.036841e-13 0.000000e+00 0.000000e+00
-7.833931e-14 0.000000e+00 0.000000e+00
2.089505e-13 0.000000e+00 0.000000e+00
1.739698e-13 0.000000e+00 0.000000e+00
-8.847642e-14 0.000000e+00 0.000000e+00
-8.050866e-14 0.000000e+00 0.000000e+00
-6.466726e-14 0.000000e+00 0.000000e+00
3.646121e-13 0.000000e+00 0.000000e+00
2.582701e-13 0.000000e+00 0.000000e+00
3.878034e-13 0.000000e+00 0.000000e+00
4.463096e-13 0.000000e+00 0.000000e+00
7.439750e-14 0.000000e+00 0.000000e+00
3.002179e-14 0.000000e+00 0.000000e+00
-3.571257e-14 0.000000e+00 0.000000e+00
3.489907e-13 0.000000e+00 0.000000e+00
-1.165232e-13 0.000000e+00 0.000000e+00
-3.132811e-13 0.000000e+00 0.000000e+00
-2.498839e-14 0.000000e+00 0.000000e+00
-2.541460e-13 0.000000e+00 0.000000e+00
-1.098990e-13 0.000000e+00 0.000000e+00
2.631093e-13 0.000000e+00 0.000000e+00
2.232796e-14 0.000000e+00 0.000000e+00
-9.282534e-14 0.000000e+00 0.000000e+00
-1.020391e-13 0.000000e+00 0.000000e+00
3.853525e-14 0.000000e+00 0.000000e+00
4.036193e-13 0.000000e+00 0.000000e+00
-4.547430e-14 0.000000e+00 0.000000e+00
7.032479e-14 0.000000e+00 0.000000e+00
1.996123e-14 0.000000e+00 0.000000e+00
-2.172930e-14 0.000000e+00 0.000000e+00
1.090815e-13 0.000000e+00 0.000000e+00
7.549809e-14 0.000000e+00 0.000000e+00
5.331633e-16 0.000000e+00 0.000000e+00
1.509336e-13 0.000000e+00 0.000000e+00
1.698385e-13 0.000000e+00 0.000000e+00
6.487925e-14 0.000000e+00 0.000000e+00
-4.759050e-13 0.000000e+00 0.000000e+00
-1.234866e-13 0.000000e+00 0.000000e+00
-5.287950e-15 0.000000e+00 0.000000e+00
1.703414e-14 0.000000e+00 0.000000e+00
-1.037250e-14 0.000000e+00 0.000000e+00
-1.753212e-13 0.000000e+00 0.000000e+00
4.806398e-14 0.000000e+00 0.000000e+00
1.120619e-13 0.000000e+00 0.000000e+00
-9.497610e-14 0.000000e+00 0.000000e+00
1.820724e-13 0.000000e+00 0.000000e+00
5.615170e-14 0.000000e+00 0.000000e+00
-1.660349e-13 0.000000e+00 0.000000e+00
-7.558362e-14 0.000000e+00 0.000000e+00
9.156589e-14 0.000000e+00 0.000000e+00
1.989460e-13 0.000000e+00 0.000000e+00
-1.966746e-13 0.000000e+00 0.000000e+00
3.104917e-14 0.000000e+00 0.000000e+00
-1.789166e-13 0.000000e+00 0.000000e+00
1.487489e-14 0.000000e+00 0.000000e+00
-2.973422e-13 0.000000e+00 0.000000e+00
1.620273e-13 0.000000e+00 0.000000e+00
-1.668013e-14 0.000000e+00 0.000000e+00
1.969924e-13 0.000000e+00 0.000000e+00
4.387694e-13 0.000000e+00 0.000000e+00
4.488647e-14 0.000000e+00 0.000000e+00
-9.757697e-14 0.000000e+00 0.000000e+00
6.679061e-14 0.000000e+00 0.000000e+00
-1.379790e-13 0.000000e+00 0.000000e+00
1.605104e-13 0.000000e+00 0.000000e+00
-5.293348e-14 0.000000e+00 0.000000e+00
-1.947315e-14 0.000000e+00 0.000000e+00
1.617563e-13 0.000000e+00 0.000000e+00
7.208173e-14 0.000000e+00 0.000000e+00
4.335667e-15 0.000000e+00 0.000000e+00
1.074510e-15 0.000000e+00 0.000000e+00
3.839100e-13 0.000000e+00 0.000000e+00
3.009383e-13 0.000000e+00 0.000000e+00
3.107374e-13 0.000000e+00 0.000000e+00
-9.363757e-14 0.000000e+00 0.000000e+00
6.300683e-14 0.000000e+00 0.000000e+00
-2.430130e-13 0.000000e+00 0.000000e+00
1.774020e-13 0.000000e+00 0.000000e+00
-8.652708e-13 0.000000e+00 0.000000e+00
-4.145937e-13 0.000000e+00 0.000000e+00
1.082811e-14 0.000000e+00 0.000000e+00
