pX pY pZ 
1.621273e-13 0.000000e+00 0.000000e+00
3.229202e-13 0.000000e+00 0.000000e+00
5.362903e-14 0.000000e+00 0.000000e+00
-2.551975e-13 0.000000e+00 0.000000e+00
-3.238063e-14 0.000000e+00 0.000000e+00
-3.693924e-14 0.000000e+00 0.000000e+00
-8.715269e-14 0.000000e+00 0.000000e+00
-1.122039e-13 0.000000e+00 0.000000e+00
-1.715017e-13 0.000000e+00 0.000000e+00
3.558750e-14 0.000000e+00 0.000000e+00
-3.163844e-14 0.000000e+00 0.000000e+00
-1.883455e-13 0.000000e+00 0.000000e+00
-1.961197e-13 0.000000e+00 0.000000e+00
1.958479e-13 0.000000e+00 0.000000e+00
8.838465e-14 0.000000e+00 0.000000e+00
-4.661171e-14 0.000000e+00 0.000000e+00
-2.320086e-13 0.000000e+00 0.000000e+00
4.584220e-14 0.000000e+00 0.000000e+00
-1.678130e-14 0.000000e+00 0.000000e+00
-1.764442e-13 0.000000e+00 0.000000e+00
1.417491e-13 0.000000e+00 0.000000e+00
2.251257e-13 0.000000e+00 0.000000e+00
-1.411271e-13 0.000000e+00 0.000000e+00
1.285056e-13 0.000000e+00 0.000000e+00
-2.609970e-14 0.000000e+00 0.000000e+00
-3.447933e-13 0.000000e+00 0.000000e+00
1.082870e-13 0.000000e+00 0.000000e+00
9.930869e-14 0.000000e+00 0.000000e+00
-1.103860e-13 0.000000e+00 0.000000e+00
1.301836e-13 0.000000e+00 0.000000e+00
-1.513419e-13 0.000000e+00 0.000000e+00
1.715466e-13 0.000000e+00 0.000000e+00
6.492226e-13 0.000000e+00 0.000000e+00
-1.628234e-13 0.000000e+00 0.000000e+00
-1.859219e-13 0.000000e+00 0.000000e+00
-1.860983e-13 0.000000e+00 0.000000e+00
6.553464e-14 0.000000e+00 0.000000e+00
4.966426e-14 0.000000e+00 0.000000e+00
-2.049691e-13 0.000000e+00 0.000000e+00
-1.974718e-12 0.000000e+00 0.000000e+00
1.896687e-12 0.000000e+00 0.000000e+00
-2.681791e-14 0.000000e+00 0.000000e+00
-2.270743e-14 0.000000e+00 0.000000e+00
-1.167694e-13 0.000000e+00 0.000000e+00
-1.321872e-13 0.000000e+00 0.000000e+00
4.855394e-13 0.000000e+00 0.000000e+00
-7.438638e-13 0.000000e+00 0.000000e+00
1.638632e-12 0.000000e+00 0.000000e+00
-6.471232e-14 0.000000e+00 0.000000e+00
-6.537488e-13 0.000000e+00 0.000000e+00
8.302431e-14 0.000000e+00 0.000000e+00
-7.688779e-14 0.000000e+00 0.000000e+00
-4.338823e-14 0.000000e+00 0.000000e+00
9.803615e-14 0.000000e+00 0.000000e+00
1.276372e-13 0.000000e+00 0.000000e+00
-1.363928e-13 0.000000e+00 0.000000e+00
-1.567708e-13 0.000000e+00 0.000000e+00
-5.126948e-14 0.000000e+00 0.000000e+00
-7.310505e-13 0.000000e+00 0.000000e+00
-1.073053e-13 0.000000e+00 0.000000e+00
-8.667021e-13 0.000000e+00 0.000000e+00
1.662861e-14 0.000000e+00 0.000000e+00
-1.813550e-12 0.000000e+00 0.000000e+00
1.478032e-12 0.000000e+00 0.000000e+00
-1.966708e-12 0.000000e+00 0.000000e+00
-2.031135e-13 0.000000e+00 0.000000e+00
2.142896e-13 0.000000e+00 0.000000e+00
-2.008984e-12 0.000000e+00 0.000000e+00
-3.696620e-13 0.000000e+00 0.000000e+00
-7.743320e-14 0.000000e+00 0.000000e+00
-2.209550e-13 0.000000e+00 0.000000e+00
4.171580e-13 0.000000e+00 0.000000e+00
-1.550992e-13 0.000000e+00 0.000000e+00
-4.160891e-14 0.000000e+00 0.000000e+00
1.777605e-14 0.000000e+00 0.000000e+00
9.286551e-14 0.000000e+00 0.000000e+00
9.822813e-14 0.000000e+00 0.000000e+00
-2.719139e-13 0.000000e+00 0.000000e+00
-9.158019e-14 0.000000e+00 0.000000e+00
1.537600e-13 0.000000e+00 0.000000e+00
-1.321965e-13 0.000000e+00 0.000000e+00
-1.049971e-12 0.000000e+00 0.000000e+00
-4.425512e-14 0.000000e+00 0.000000e+00
2.110708e-12 0.000000e+00 0.000000e+00
2.920700e-15 0.000000e+00 0.000000e+00
-6.859929e-13 0.000000e+00 0.000000e+00
-1.605297e-13 0.000000e+00 0.000000e+00
1.929121e-13 0.000000e+00 0.000000e+00
-8.695025e-13 0.000000e+00 0.000000e+00
-7.012120e-13 0.000000e+00 0.000000e+00
-1.094382e-12 0.000000e+00 0.000000e+00
-1.445886e-12 0.000000e+00 0.000000e+00
-8.611692e-13 0.000000e+00 0.000000e+00
-1.328357e-13 0.000000e+00 0.000000e+00
1.839878e-12 0.000000e+00 0.000000e+00
1.579263e-13 0.000000e+00 0.000000e+00
-9.848939e-14 0.000000e+00 0.000000e+00
-7.730997e-14 0.000000e+00 0.000000e+00
-5.410012e-14 0.000000e+00 0.000000e+00
-4.245420e-13 0.000000e+00 0.000000e+00
-1.223472e-13 0.000000e+00 0.000000e+00
-1.548062e-13 0.000000e+00 0.000000e+00
1.118405e-13 0.000000e+00 0.000000e+00
1.469763e-13 0.000000e+00 0.000000e+00
-1.226182e-13 0.000000e+00 0.000000e+00
-1.042365e-12 0.000000e+00 0.000000e+00
1.191829e-13 0.000000e+00 0.000000e+00
1.276943e-12 0.000000e+00 0.000000e+00
5.156090e-15 0.000000e+00 0.000000e+00
3.283202e-12 0.000000e+00 0.000000e+00
-2.065597e-13 0.000000e+00 0.000000e+00
-1.572381e-12 0.000000e+00 0.000000e+00
1.157002e-12 0.000000e+00 0.000000e+00
-2.496815e-14 0.000000e+00 0.000000e+00
1.362298e-13 0.000000e+00 0.000000e+00
-1.027758e-14 0.000000e+00 0.000000e+00
1.682597e-13 0.000000e+00 0.000000e+00
9.512170e-14 0.000000e+00 0.000000e+00
-9.744313e-14 0.000000e+00 0.000000e+00
-8.819382e-14 0.000000e+00 0.000000e+00
-3.276918e-13 0.000000e+00 0.000000e+00
2.861649e-14 0.000000e+00 0.000000e+00
3.101932e-14 0.000000e+00 0.000000e+00
-1.587580e-13 0.000000e+00 0.000000e+00
9.400693e-14 0.000000e+00 0.000000e+00
1.233008e-13 0.000000e+00 0.000000e+00
-1.503556e-13 0.000000e+00 0.000000e+00
1.002729e-12 0.000000e+00 0.000000e+00
1.864944e-12 0.000000e+00 0.000000e+00
2.237688e-12 0.000000e+00 0.000000e+00
6.807728e-13 0.000000e+00 0.000000e+00
1.091595e-13 0.000000e+00 0.000000e+00
1.609821e-13 0.000000e+00 0.000000e+00
-4.174138e-13 0.000000e+00 0.000000e+00
-1.385545e-12 0.000000e+00 0.000000e+00
3.750104e-14 0.000000e+00 0.000000e+00
-2.188344e-12 0.000000e+00 0.000000e+00
1.632766e-13 0.000000e+00 0.000000e+00
-1.229937e-13 0.000000e+00 0.000000e+00
2.866714e-13 0.000000e+00 0.000000e+00
-1.321120e-13 0.000000e+00 0.000000e+00
-1.677329e-13 0.000000e+00 0.000000e+00
1.141166e-12 0.000000e+00 0.000000e+00
2.418792e-13 0.000000e+00 0.000000e+00
-6.942718e-14 0.000000e+00 0.000000e+00
2.136153e-12 0.000000e+00 0.000000e+00
-2.299446e-12 0.000000e+00 0.000000e+00
2.755089e-12 0.000000e+00 0.000000e+00
7.812684e-14 0.000000e+00 0.000000e+00
2.382405e-12 0.000000e+00 0.000000e+00
-2.339663e-12 0.000000e+00 0.000000e+00
4.172986e-13 0.000000e+00 0.000000e+00
-2.508382e-12 0.000000e+00 0.000000e+00
-1.229030e-12 0.000000e+00 0.000000e+00
-2.437777e-13 0.000000e+00 0.000000e+00
4.367838e-13 0.000000e+00 0.000000e+00
5.043723e-13 0.000000e+00 0.000000e+00
1.116969e-12 0.000000e+00 0.000000e+00
4.717775e-13 0.000000e+00 0.000000e+00
-2.810057e-14 0.000000e+00 0.000000e+00
2.027068e-14 0.000000e+00 0.000000e+00
3.090331e-13 0.000000e+00 0.000000e+00
7.219334e-13 0.000000e+00 0.000000e+00
-4.791654e-12 0.000000e+00 0.000000e+00
-1.155596e-12 0.000000e+00 0.000000e+00
2.611337e-12 0.000000e+00 0.000000e+00
-3.361356e-12 0.000000e+00 0.000000e+00
1.636917e-12 0.000000e+00 0.000000e+00
2.483720e-13 0.000000e+00 0.000000e+00
1.952527e-13 0.000000e+00 0.000000e+00
-3.521805e-12 0.000000e+00 0.000000e+00
-2.785524e-12 0.000000e+00 0.000000e+00
9.250751e-13 0.000000e+00 0.000000e+00
2.171775e-12 0.000000e+00 0.000000e+00
9.083629e-13 0.000000e+00 0.000000e+00
3.007127e-12 0.000000e+00 0.000000e+00
2.125634e-12 0.000000e+00 0.000000e+00
-1.696206e-12 0.000000e+00 0.000000e+00
2.023096e-13 0.000000e+00 0.000000e+00
-4.043385e-14 0.000000e+00 0.000000e+00
-1.296373e-13 0.000000e+00 0.000000e+00
1.218551e-13 0.000000e+00 0.000000e+00
-2.403120e-12 0.000000e+00 0.000000e+00
2.626758e-12 0.000000e+00 0.000000e+00
2.484398e-13 0.000000e+00 0.000000e+00
1.760067e-12 0.000000e+00 0.000000e+00
-1.599514e-13 0.000000e+00 0.000000e+00
-1.247622e-12 0.000000e+00 0.000000e+00
-2.182990e-13 0.000000e+00 0.000000e+00
2.680784e-13 0.000000e+00 0.000000e+00
2.443214e-12 0.000000e+00 0.000000e+00
3.773348e-15 0.000000e+00 0.000000e+00
7.161730e-14 0.000000e+00 0.000000e+00
5.336679e-14 0.000000e+00 0.000000e+00
-1.806549e-13 0.000000e+00 0.000000e+00
-5.265124e-13 0.000000e+00 0.000000e+00
1.404000e-13 0.000000e+00 0.000000e+00
-1.640235e-13 0.000000e+00 0.000000e+00
-8.676764e-14 0.000000e+00 0.000000e+00
-1.611092e-13 0.000000e+00 0.000000e+00
2.367070e-13 0.000000e+00 0.000000e+00
1.971192e-13 0.000000e+00 0.000000e+00
5.973778e-14 0.000000e+00 0.000000e+00
-2.195954e-13 0.000000e+00 0.000000e+00
3.289759e-13 0.000000e+00 0.000000e+00
1.956722e-13 0.000000e+00 0.000000e+00
2.465516e-13 0.000000e+00 0.000000e+00
3.382903e-13 0.000000e+00 0.000000e+00
-7.553971e-14 0.000000e+00 0.000000e+00
3.956171e-13 0.000000e+00 0.000000e+00
-6.120952e-14 0.000000e+00 0.000000e+00
9.180945e-14 0.000000e+00 0.000000e+00
5.556506e-14 0.000000e+00 0.000000e+00
-1.721286e-13 0.000000e+00 0.000000e+00
7.785184e-14 0.000000e+00 0.000000e+00
2.394895e-13 0.000000e+00 0.000000e+00
1.200235e-13 0.000000e+00 0.000000e+00
3.142093e-14 0.000000e+00 0.000000e+00
-2.164022e-13 0.000000e+00 0.000000e+00
1.043615e-13 0.000000e+00 0.000000e+00
-1.957782e-13 0.000000e+00 0.000000e+00
-1.816871e-13 0.000000e+00 0.000000e+00
8.476162e-14 0.000000e+00 0.000000e+00
1.099353e-13 0.000000e+00 0.000000e+00
6.120476e-14 0.000000e+00 0.000000e+00
8.315805e-15 0.000000e+00 0.000000e+00
-6.171854e-15 0.000000e+00 0.000000e+00
1.563406e-13 0.000000e+00 0.000000e+00
8.934761e-14 0.000000e+00 0.000000e+00
5.022861e-14 0.000000e+00 0.000000e+00
1.811116e-13 0.000000e+00 0.000000e+00
6.168511e-14 0.000000e+00 0.000000e+00
2.481006e-14 0.000000e+00 0.000000e+00
1.322320e-14 0.000000e+00 0.000000e+00
9.484005e-14 0.000000e+00 0.000000e+00
-1.422605e-12 0.000000e+00 0.000000e+00
2.615853e-14 0.000000e+00 0.000000e+00
