pX pY pZ 
-8.510279e-14 0.000000e+00 0.000000e+00
2.770644e-13 0.000000e+00 0.000000e+00
3.734380e-13 0.000000e+00 0.000000e+00
-6.504989e-14 0.000000e+00 0.000000e+00
-1.221314e-13 0.000000e+00 0.000000e+00
-3.365662e-13 0.000000e+00 0.000000e+00
4.049484e-14 0.000000e+00 0.000000e+00
-2.061041e-13 0.000000e+00 0.000000e+00
-1.850469e-13 0.000000e+00 0.000000e+00
-8.604022e-14 0.000000e+00 0.000000e+00
-1.797948e-13 0.000000e+00 0.000000e+00
7.836055e-14 0.000000e+00 0.000000e+00
3.398221e-14 0.000000e+00 0.000000e+00
-2.030477e-13 0.000000e+00 0.000000e+00
-2.452008e-13 0.000000e+00 0.000000e+00
2.727455e-13 0.000000e+00 0.000000e+00
1.578685e-13 0.000000e+00 0.000000e+00
3.843422e-14 0.000000e+00 0.000000e+00
-6.400380e-14 0.000000e+00 0.000000e+00
-1.362424e-13 0.000000e+00 0.000000e+00
-1.909373e-14 0.000000e+00 0.000000e+00
-5.176424e-14 0.000000e+00 0.000000e+00
1.584200e-14 0.000000e+00 0.000000e+00
7.610576e-14 0.000000e+00 0.000000e+00
1.477063e-13 0.000000e+00 0.000000e+00
3.157035e-13 0.000000e+00 0.000000e+00
-4.921798e-14 0.000000e+00 0.000000e+00
-2.202798e-13 0.000000e+00 0.000000e+00
4.700436e-14 0.000000e+00 0.000000e+00
-1.273010e-13 0.000000e+00 0.000000e+00
1.379315e-13 0.000000e+00 0.000000e+00
1.941929e-13 0.000000e+00 0.000000e+00
-2.647162e-13 0.000000e+00 0.000000e+00
1.906366e-13 0.000000e+00 0.000000e+00
-1.269434e-13 0.000000e+00 0.000000e+00
5.124892e-16 0.000000e+00 0.000000e+00
4.042141e-13 0.000000e+00 0.000000e+00
-4.073776e-14 0.000000e+00 0.000000e+00
-2.329820e-13 0.000000e+00 0.000000e+00
-1.499241e-14 0.000000e+00 0.000000e+00
-6.337126e-14 0.000000e+00 0.000000e+00
-2.244546e-13 0.000000e+00 0.000000e+00
-3.714463e-13 0.000000e+00 0.000000e+00
-1.167501e-13 0.000000e+00 0.000000e+00
9.134005e-14 0.000000e+00 0.000000e+00
-1.509487e-13 0.000000e+00 0.000000e+00
-2.730257e-14 0.000000e+00 0.000000e+00
5.368612e-14 0.000000e+00 0.000000e+00
-1.193369e-13 0.000000e+00 0.000000e+00
-1.330399e-14 0.000000e+00 0.000000e+00
2.467123e-13 0.000000e+00 0.000000e+00
-5.345893e-14 0.000000e+00 0.000000e+00
1.895519e-13 0.000000e+00 0.000000e+00
-2.376349e-13 0.000000e+00 0.000000e+00
6.860370e-14 0.000000e+00 0.000000e+00
2.896543e-13 0.000000e+00 0.000000e+00
1.337190e-13 0.000000e+00 0.000000e+00
4.509790e-14 0.000000e+00 0.000000e+00
1.697674e-13 0.000000e+00 0.000000e+00
-2.049230e-13 0.000000e+00 0.000000e+00
1.833372e-13 0.000000e+00 0.000000e+00
-6.885823e-14 0.000000e+00 0.000000e+00
-5.479361e-14 0.000000e+00 0.000000e+00
1.334551e-13 0.000000e+00 0.000000e+00
-5.236636e-14 0.000000e+00 0.000000e+00
-4.479045e-13 0.000000e+00 0.000000e+00
2.590486e-13 0.000000e+00 0.000000e+00
-6.439788e-14 0.000000e+00 0.000000e+00
-8.951065e-15 0.000000e+00 0.000000e+00
-8.135934e-14 0.000000e+00 0.000000e+00
2.269598e-13 0.000000e+00 0.000000e+00
5.517177e-14 0.000000e+00 0.000000e+00
-1.992669e-13 0.000000e+00 0.000000e+00
-4.187615e-14 0.000000e+00 0.000000e+00
