pX pY pZ 
-1.664600e-13 0.000000e+00 0.000000e+00
-4.992772e-14 0.000000e+00 0.000000e+00
-1.561174e-13 0.000000e+00 0.000000e+00
2.759939e-13 0.000000e+00 0.000000e+00
-4.498353e-14 0.000000e+00 0.000000e+00
-1.172407e-13 0.000000e+00 0.000000e+00
5.069324e-14 0.000000e+00 0.000000e+00
-2.980457e-13 0.000000e+00 0.000000e+00
-6.895187e-14 0.000000e+00 0.000000e+00
-3.997251e-13 0.000000e+00 0.000000e+00
-2.850451e-15 0.000000e+00 0.000000e+00
1.680082e-13 0.000000e+00 0.000000e+00
1.994404e-14 0.000000e+00 0.000000e+00
2.189384e-13 0.000000e+00 0.000000e+00
-7.895531e-14 0.000000e+00 0.000000e+00
3.293152e-13 0.000000e+00 0.000000e+00
-5.199774e-14 0.000000e+00 0.000000e+00
-1.139496e-14 0.000000e+00 0.000000e+00
-1.574968e-13 0.000000e+00 0.000000e+00
-6.815649e-14 0.000000e+00 0.000000e+00
4.817843e-14 0.000000e+00 0.000000e+00
-1.601121e-14 0.000000e+00 0.000000e+00
-2.601298e-13 0.000000e+00 0.000000e+00
2.318987e-13 0.000000e+00 0.000000e+00
-1.510221e-13 0.000000e+00 0.000000e+00
-2.224142e-13 0.000000e+00 0.000000e+00
3.787968e-14 0.000000e+00 0.000000e+00
-1.560526e-14 0.000000e+00 0.000000e+00
1.349720e-13 0.000000e+00 0.000000e+00
-1.476085e-13 0.000000e+00 0.000000e+00
-8.036755e-15 0.000000e+00 0.000000e+00
-3.121635e-13 0.000000e+00 0.000000e+00
2.203143e-13 0.000000e+00 0.000000e+00
9.863258e-14 0.000000e+00 0.000000e+00
-2.825530e-13 0.000000e+00 0.000000e+00
-4.358050e-13 0.000000e+00 0.000000e+00
2.594341e-13 0.000000e+00 0.000000e+00
-3.364567e-14 0.000000e+00 0.000000e+00
3.487791e-13 0.000000e+00 0.000000e+00
-1.703636e-13 0.000000e+00 0.000000e+00
-1.349213e-13 0.000000e+00 0.000000e+00
3.217852e-13 0.000000e+00 0.000000e+00
-2.007601e-13 0.000000e+00 0.000000e+00
-1.703637e-13 0.000000e+00 0.000000e+00
2.039972e-14 0.000000e+00 0.000000e+00
1.068842e-13 0.000000e+00 0.000000e+00
4.874462e-14 0.000000e+00 0.000000e+00
4.411629e-14 0.000000e+00 0.000000e+00
-1.535968e-14 0.000000e+00 0.000000e+00
-2.464392e-13 0.000000e+00 0.000000e+00
-2.442757e-14 0.000000e+00 0.000000e+00
-1.469652e-13 0.000000e+00 0.000000e+00
2.307850e-13 0.000000e+00 0.000000e+00
3.325697e-14 0.000000e+00 0.000000e+00
8.491552e-14 0.000000e+00 0.000000e+00
1.563524e-13 0.000000e+00 0.000000e+00
8.397965e-14 0.000000e+00 0.000000e+00
-3.919346e-14 0.000000e+00 0.000000e+00
-1.257533e-13 0.000000e+00 0.000000e+00
2.357619e-14 0.000000e+00 0.000000e+00
-1.726052e-13 0.000000e+00 0.000000e+00
-6.742319e-14 0.000000e+00 0.000000e+00
8.554309e-14 0.000000e+00 0.000000e+00
-8.448673e-14 0.000000e+00 0.000000e+00
1.825209e-13 0.000000e+00 0.000000e+00
9.086598e-14 0.000000e+00 0.000000e+00
-3.025137e-13 0.000000e+00 0.000000e+00
9.617722e-14 0.000000e+00 0.000000e+00
7.453140e-14 0.000000e+00 0.000000e+00
1.513601e-13 0.000000e+00 0.000000e+00
-2.925399e-13 0.000000e+00 0.000000e+00
7.194152e-15 0.000000e+00 0.000000e+00
1.804589e-13 0.000000e+00 0.000000e+00
8.945458e-14 0.000000e+00 0.000000e+00
1.664591e-13 0.000000e+00 0.000000e+00
-1.729187e-13 0.000000e+00 0.000000e+00
1.317371e-13 0.000000e+00 0.000000e+00
1.773081e-13 0.000000e+00 0.000000e+00
1.046702e-13 0.000000e+00 0.000000e+00
1.947374e-14 0.000000e+00 0.000000e+00
2.032532e-13 0.000000e+00 0.000000e+00
-1.063816e-13 0.000000e+00 0.000000e+00
5.354039e-14 0.000000e+00 0.000000e+00
-2.570632e-13 0.000000e+00 0.000000e+00
-4.396033e-14 0.000000e+00 0.000000e+00
-8.231450e-14 0.000000e+00 0.000000e+00
3.285608e-14 0.000000e+00 0.000000e+00
-9.013370e-14 0.000000e+00 0.000000e+00
-1.461822e-13 0.000000e+00 0.000000e+00
-1.577859e-13 0.000000e+00 0.000000e+00
-1.940817e-13 0.000000e+00 0.000000e+00
1.471534e-14 0.000000e+00 0.000000e+00
3.213621e-14 0.000000e+00 0.000000e+00
-4.398438e-14 0.000000e+00 0.000000e+00
-2.498141e-14 0.000000e+00 0.000000e+00
-2.628203e-13 0.000000e+00 0.000000e+00
3.651464e-13 0.000000e+00 0.000000e+00
-2.474390e-14 0.000000e+00 0.000000e+00
1.539985e-13 0.000000e+00 0.000000e+00
-1.329524e-13 0.000000e+00 0.000000e+00
2.609210e-13 0.000000e+00 0.000000e+00
-6.566025e-14 0.000000e+00 0.000000e+00
2.125769e-13 0.000000e+00 0.000000e+00
3.209571e-13 0.000000e+00 0.000000e+00
-1.711292e-13 0.000000e+00 0.000000e+00
-1.992215e-13 0.000000e+00 0.000000e+00
-1.158864e-13 0.000000e+00 0.000000e+00
9.977558e-14 0.000000e+00 0.000000e+00
-5.138747e-14 0.000000e+00 0.000000e+00
3.997138e-13 0.000000e+00 0.000000e+00
-2.729433e-13 0.000000e+00 0.000000e+00
-1.453605e-13 0.000000e+00 0.000000e+00
-1.741626e-13 0.000000e+00 0.000000e+00
9.098692e-14 0.000000e+00 0.000000e+00
2.495497e-14 0.000000e+00 0.000000e+00
2.109722e-13 0.000000e+00 0.000000e+00
-1.058251e-13 0.000000e+00 0.000000e+00
1.091301e-13 0.000000e+00 0.000000e+00
-3.274091e-15 0.000000e+00 0.000000e+00
1.427629e-13 0.000000e+00 0.000000e+00
-8.818493e-14 0.000000e+00 0.000000e+00
-1.957073e-13 0.000000e+00 0.000000e+00
7.380079e-14 0.000000e+00 0.000000e+00
-6.637239e-14 0.000000e+00 0.000000e+00
-1.609489e-14 0.000000e+00 0.000000e+00
6.723401e-14 0.000000e+00 0.000000e+00
-7.637482e-14 0.000000e+00 0.000000e+00
-6.964714e-14 0.000000e+00 0.000000e+00
-8.844264e-14 0.000000e+00 0.000000e+00
-4.762813e-14 0.000000e+00 0.000000e+00
2.738432e-14 0.000000e+00 0.000000e+00
-2.636564e-13 0.000000e+00 0.000000e+00
1.768002e-13 0.000000e+00 0.000000e+00
2.355755e-13 0.000000e+00 0.000000e+00
-2.540005e-14 0.000000e+00 0.000000e+00
-1.193905e-13 0.000000e+00 0.000000e+00
2.029956e-13 0.000000e+00 0.000000e+00
-1.146133e-13 0.000000e+00 0.000000e+00
4.786397e-14 0.000000e+00 0.000000e+00
-6.202992e-14 0.000000e+00 0.000000e+00
1.642655e-13 0.000000e+00 0.000000e+00
-8.155073e-14 0.000000e+00 0.000000e+00
3.704290e-13 0.000000e+00 0.000000e+00
5.107275e-14 0.000000e+00 0.000000e+00
1.015432e-13 0.000000e+00 0.000000e+00
-2.424609e-13 0.000000e+00 0.000000e+00
-3.151247e-14 0.000000e+00 0.000000e+00
1.116355e-13 0.000000e+00 0.000000e+00
-2.053593e-13 0.000000e+00 0.000000e+00
-1.757673e-14 0.000000e+00 0.000000e+00
-1.133213e-13 0.000000e+00 0.000000e+00
-1.887957e-13 0.000000e+00 0.000000e+00
4.009789e-15 0.000000e+00 0.000000e+00
1.413589e-13 0.000000e+00 0.000000e+00
2.055084e-14 0.000000e+00 0.000000e+00
-1.770123e-13 0.000000e+00 0.000000e+00
1.758171e-13 0.000000e+00 0.000000e+00
1.672101e-13 0.000000e+00 0.000000e+00
9.580002e-14 0.000000e+00 0.000000e+00
-3.681469e-13 0.000000e+00 0.000000e+00
-2.227740e-13 0.000000e+00 0.000000e+00
2.699057e-13 0.000000e+00 0.000000e+00
-1.643484e-13 0.000000e+00 0.000000e+00
-1.363834e-13 0.000000e+00 0.000000e+00
-1.118872e-14 0.000000e+00 0.000000e+00
-4.145615e-13 0.000000e+00 0.000000e+00
-4.559686e-14 0.000000e+00 0.000000e+00
1.703876e-13 0.000000e+00 0.000000e+00
1.337939e-13 0.000000e+00 0.000000e+00
-2.337651e-13 0.000000e+00 0.000000e+00
-1.003339e-13 0.000000e+00 0.000000e+00
1.052315e-13 0.000000e+00 0.000000e+00
1.731105e-13 0.000000e+00 0.000000e+00
1.958985e-13 0.000000e+00 0.000000e+00
9.051049e-14 0.000000e+00 0.000000e+00
9.289650e-14 0.000000e+00 0.000000e+00
-2.195306e-13 0.000000e+00 0.000000e+00
-4.238593e-14 0.000000e+00 0.000000e+00
3.322329e-14 0.000000e+00 0.000000e+00
-1.542506e-13 0.000000e+00 0.000000e+00
-1.080666e-13 0.000000e+00 0.000000e+00
7.924226e-14 0.000000e+00 0.000000e+00
6.467715e-14 0.000000e+00 0.000000e+00
-4.661610e-14 0.000000e+00 0.000000e+00
1.495898e-13 0.000000e+00 0.000000e+00
-4.482844e-13 0.000000e+00 0.000000e+00
1.144341e-14 0.000000e+00 0.000000e+00
-1.040997e-13 0.000000e+00 0.000000e+00
1.194357e-13 0.000000e+00 0.000000e+00
-4.850601e-13 0.000000e+00 0.000000e+00
-8.497894e-14 0.000000e+00 0.000000e+00
8.429334e-14 0.000000e+00 0.000000e+00
4.339721e-14 0.000000e+00 0.000000e+00
7.197460e-14 0.000000e+00 0.000000e+00
1.844087e-13 0.000000e+00 0.000000e+00
-1.861329e-13 0.000000e+00 0.000000e+00
-8.407265e-14 0.000000e+00 0.000000e+00
7.583492e-14 0.000000e+00 0.000000e+00
-1.384034e-13 0.000000e+00 0.000000e+00
7.247087e-14 0.000000e+00 0.000000e+00
1.723281e-13 0.000000e+00 0.000000e+00
-3.594726e-13 0.000000e+00 0.000000e+00
-3.079451e-13 0.000000e+00 0.000000e+00
-1.143127e-13 0.000000e+00 0.000000e+00
-1.906842e-13 0.000000e+00 0.000000e+00
1.710979e-13 0.000000e+00 0.000000e+00
3.300919e-16 0.000000e+00 0.000000e+00
-2.608562e-13 0.000000e+00 0.000000e+00
4.161889e-14 0.000000e+00 0.000000e+00
-2.994333e-14 0.000000e+00 0.000000e+00
3.835349e-14 0.000000e+00 0.000000e+00
1.855931e-13 0.000000e+00 0.000000e+00
4.800235e-13 0.000000e+00 0.000000e+00
-4.023994e-13 0.000000e+00 0.000000e+00
1.234118e-14 0.000000e+00 0.000000e+00
1.724661e-13 0.000000e+00 0.000000e+00
2.018889e-13 0.000000e+00 0.000000e+00
3.043331e-13 0.000000e+00 0.000000e+00
-9.286801e-14 0.000000e+00 0.000000e+00
-1.524519e-13 0.000000e+00 0.000000e+00
8.713712e-15 0.000000e+00 0.000000e+00
-3.904218e-14 0.000000e+00 0.000000e+00
1.873576e-13 0.000000e+00 0.000000e+00
3.663901e-14 0.000000e+00 0.000000e+00
-1.688358e-14 0.000000e+00 0.000000e+00
-1.479204e-13 0.000000e+00 0.000000e+00
2.999538e-13 0.000000e+00 0.000000e+00
-8.839892e-14 0.000000e+00 0.000000e+00
-1.561420e-13 0.000000e+00 0.000000e+00
1.459328e-13 0.000000e+00 0.000000e+00
-1.340166e-13 0.000000e+00 0.000000e+00
-4.599499e-13 0.000000e+00 0.000000e+00
3.003468e-15 0.000000e+00 0.000000e+00
-2.459227e-13 0.000000e+00 0.000000e+00
1.044660e-13 0.000000e+00 0.000000e+00
-4.463349e-14 0.000000e+00 0.000000e+00
-6.143171e-15 0.000000e+00 0.000000e+00
-2.085111e-13 0.000000e+00 0.000000e+00
-3.503040e-15 0.000000e+00 0.000000e+00
1.985178e-13 0.000000e+00 0.000000e+00
-1.409661e-13 0.000000e+00 0.000000e+00
-3.918139e-13 0.000000e+00 0.000000e+00
-4.101580e-13 0.000000e+00 0.000000e+00
-2.950879e-13 0.000000e+00 0.000000e+00
9.984736e-14 0.000000e+00 0.000000e+00
2.141222e-13 0.000000e+00 0.000000e+00
-4.700486e-14 0.000000e+00 0.000000e+00
-8.905942e-14 0.000000e+00 0.000000e+00
-2.771650e-13 0.000000e+00 0.000000e+00
-1.641891e-13 0.000000e+00 0.000000e+00
4.136940e-14 0.000000e+00 0.000000e+00
-4.722325e-15 0.000000e+00 0.000000e+00
1.201986e-13 0.000000e+00 0.000000e+00
-1.001291e-13 0.000000e+00 0.000000e+00
-2.120027e-13 0.000000e+00 0.000000e+00
2.097636e-13 0.000000e+00 0.000000e+00
-9.068965e-14 0.000000e+00 0.000000e+00
-5.020525e-14 0.000000e+00 0.000000e+00
-1.294687e-13 0.000000e+00 0.000000e+00
-7.725540e-14 0.000000e+00 0.000000e+00
-2.515642e-13 0.000000e+00 0.000000e+00
-3.886287e-14 0.000000e+00 0.000000e+00
-1.728933e-13 0.000000e+00 0.000000e+00
-1.890435e-14 0.000000e+00 0.000000e+00
-7.894335e-14 0.000000e+00 0.000000e+00
-3.045680e-13 0.000000e+00 0.000000e+00
3.533070e-13 0.000000e+00 0.000000e+00
-3.248083e-13 0.000000e+00 0.000000e+00
-2.135360e-13 0.000000e+00 0.000000e+00
-7.551179e-14 0.000000e+00 0.000000e+00
1.025237e-14 0.000000e+00 0.000000e+00
1.856226e-13 0.000000e+00 0.000000e+00
9.946253e-14 0.000000e+00 0.000000e+00
1.172708e-15 0.000000e+00 0.000000e+00
3.575306e-16 0.000000e+00 0.000000e+00
-1.860678e-14 0.000000e+00 0.000000e+00
-5.385403e-13 0.000000e+00 0.000000e+00
-1.670392e-13 0.000000e+00 0.000000e+00
1.731225e-13 0.000000e+00 0.000000e+00
-4.617939e-14 0.000000e+00 0.000000e+00
2.696549e-13 0.000000e+00 0.000000e+00
7.529253e-14 0.000000e+00 0.000000e+00
1.382215e-13 0.000000e+00 0.000000e+00
-2.441540e-13 0.000000e+00 0.000000e+00
8.840440e-15 0.000000e+00 0.000000e+00
-1.658240e-14 0.000000e+00 0.000000e+00
1.481132e-13 0.000000e+00 0.000000e+00
-1.963766e-13 0.000000e+00 0.000000e+00
-3.137852e-14 0.000000e+00 0.000000e+00
6.477159e-14 0.000000e+00 0.000000e+00
1.258457e-13 0.000000e+00 0.000000e+00
3.406191e-13 0.000000e+00 0.000000e+00
-1.589784e-13 0.000000e+00 0.000000e+00
1.967250e-13 0.000000e+00 0.000000e+00
-2.433912e-13 0.000000e+00 0.000000e+00
-2.194910e-13 0.000000e+00 0.000000e+00
7.506511e-14 0.000000e+00 0.000000e+00
-8.969877e-14 0.000000e+00 0.000000e+00
-1.036815e-13 0.000000e+00 0.000000e+00
2.463958e-13 0.000000e+00 0.000000e+00
-1.598032e-13 0.000000e+00 0.000000e+00
4.050498e-14 0.000000e+00 0.000000e+00
-9.151351e-14 0.000000e+00 0.000000e+00
1.273418e-13 0.000000e+00 0.000000e+00
-3.935465e-14 0.000000e+00 0.000000e+00
-2.975172e-13 0.000000e+00 0.000000e+00
-4.816610e-14 0.000000e+00 0.000000e+00
-1.343076e-13 0.000000e+00 0.000000e+00
-2.184908e-13 0.000000e+00 0.000000e+00
-1.327894e-13 0.000000e+00 0.000000e+00
2.660070e-13 0.000000e+00 0.000000e+00
-2.179524e-13 0.000000e+00 0.000000e+00
-1.066362e-13 0.000000e+00 0.000000e+00
-9.063516e-14 0.000000e+00 0.000000e+00
2.624725e-13 0.000000e+00 0.000000e+00
-1.093930e-14 0.000000e+00 0.000000e+00
-2.116065e-14 0.000000e+00 0.000000e+00
4.120269e-14 0.000000e+00 0.000000e+00
-6.618234e-14 0.000000e+00 0.000000e+00
1.542720e-13 0.000000e+00 0.000000e+00
