pX pY pZ 
-1.592018e-12 0.000000e+00 0.000000e+00
-1.189284e-11 0.000000e+00 0.000000e+00
-1.908841e-11 0.000000e+00 0.000000e+00
-2.194561e-11 0.000000e+00 0.000000e+00
-2.037125e-11 0.000000e+00 0.000000e+00
-1.489339e-11 0.000000e+00 0.000000e+00
-6.973255e-12 0.000000e+00 0.000000e+00
1.733353e-12 0.000000e+00 0.000000e+00
9.431582e-12 0.000000e+00 0.000000e+00
1.464914e-11 0.000000e+00 0.000000e+00
1.658668e-11 0.000000e+00 0.000000e+00
1.516126e-11 0.000000e+00 0.000000e+00
1.090219e-11 0.000000e+00 0.000000e+00
4.902129e-12 0.000000e+00 0.000000e+00
-1.664549e-12 0.000000e+00 0.000000e+00
-7.492177e-12 0.000000e+00 0.000000e+00
-1.129611e-11 0.000000e+00 0.000000e+00
-1.258998e-11 0.000000e+00 0.000000e+00
-1.127232e-11 0.000000e+00 0.000000e+00
-7.850457e-12 0.000000e+00 0.000000e+00
-3.203055e-12 0.000000e+00 0.000000e+00
1.680442e-12 0.000000e+00 0.000000e+00
5.844764e-12 0.000000e+00 0.000000e+00
8.541746e-12 0.000000e+00 0.000000e+00
9.321993e-12 0.000000e+00 0.000000e+00
8.252530e-12 0.000000e+00 0.000000e+00
5.666677e-12 0.000000e+00 0.000000e+00
2.165776e-12 0.000000e+00 0.000000e+00
-1.523963e-12 0.000000e+00 0.000000e+00
-4.671565e-12 0.000000e+00 0.000000e+00
-6.529873e-12 0.000000e+00 0.000000e+00
-6.994875e-12 0.000000e+00 0.000000e+00
-6.031098e-12 0.000000e+00 0.000000e+00
-3.990916e-12 0.000000e+00 0.000000e+00
-1.359605e-12 0.000000e+00 0.000000e+00
1.261846e-12 0.000000e+00 0.000000e+00
3.535158e-12 0.000000e+00 0.000000e+00
4.956504e-12 0.000000e+00 0.000000e+00
5.186233e-12 0.000000e+00 0.000000e+00
4.438795e-12 0.000000e+00 0.000000e+00
2.836456e-12 0.000000e+00 0.000000e+00
8.378173e-13 0.000000e+00 0.000000e+00
-1.167618e-12 0.000000e+00 0.000000e+00
-2.781579e-12 0.000000e+00 0.000000e+00
-3.755573e-12 0.000000e+00 0.000000e+00
-3.859396e-12 0.000000e+00 0.000000e+00
-3.241752e-12 0.000000e+00 0.000000e+00
-1.995691e-12 0.000000e+00 0.000000e+00
-4.661717e-13 0.000000e+00 0.000000e+00
1.016202e-12 0.000000e+00 0.000000e+00
2.110261e-12 0.000000e+00 0.000000e+00
2.676011e-12 0.000000e+00 0.000000e+00
2.684866e-12 0.000000e+00 0.000000e+00
2.202762e-12 0.000000e+00 0.000000e+00
1.383148e-12 0.000000e+00 0.000000e+00
3.428343e-13 0.000000e+00 0.000000e+00
-6.365847e-13 0.000000e+00 0.000000e+00
-1.441216e-12 0.000000e+00 0.000000e+00
-1.783576e-12 0.000000e+00 0.000000e+00
-1.833732e-12 0.000000e+00 0.000000e+00
-1.400465e-12 0.000000e+00 0.000000e+00
-8.025910e-13 0.000000e+00 0.000000e+00
-2.121755e-13 0.000000e+00 0.000000e+00
4.170058e-13 0.000000e+00 0.000000e+00
9.837210e-13 0.000000e+00 0.000000e+00
1.313450e-12 0.000000e+00 0.000000e+00
1.258260e-12 0.000000e+00 0.000000e+00
1.050917e-12 0.000000e+00 0.000000e+00
5.693299e-13 0.000000e+00 0.000000e+00
1.576877e-13 0.000000e+00 0.000000e+00
-2.789656e-13 0.000000e+00 0.000000e+00
-5.997488e-13 0.000000e+00 0.000000e+00
-8.152683e-13 0.000000e+00 0.000000e+00
-8.898822e-13 0.000000e+00 0.000000e+00
-7.622062e-13 0.000000e+00 0.000000e+00
-4.781641e-13 0.000000e+00 0.000000e+00
-8.870261e-14 0.000000e+00 0.000000e+00
2.900883e-13 0.000000e+00 0.000000e+00
5.707878e-13 0.000000e+00 0.000000e+00
6.581787e-13 0.000000e+00 0.000000e+00
6.859144e-13 0.000000e+00 0.000000e+00
5.380874e-13 0.000000e+00 0.000000e+00
3.519218e-13 0.000000e+00 0.000000e+00
1.839135e-13 0.000000e+00 0.000000e+00
-8.778795e-14 0.000000e+00 0.000000e+00
-4.197960e-13 0.000000e+00 0.000000e+00
-6.290828e-13 0.000000e+00 0.000000e+00
-7.504274e-13 0.000000e+00 0.000000e+00
-6.449073e-13 0.000000e+00 0.000000e+00
-4.086018e-13 0.000000e+00 0.000000e+00
-1.641487e-13 0.000000e+00 0.000000e+00
5.328031e-14 0.000000e+00 0.000000e+00
2.488906e-13 0.000000e+00 0.000000e+00
3.130834e-13 0.000000e+00 0.000000e+00
3.915445e-13 0.000000e+00 0.000000e+00
3.922843e-13 0.000000e+00 0.000000e+00
2.726369e-13 0.000000e+00 0.000000e+00
1.813128e-13 0.000000e+00 0.000000e+00
1.068372e-13 0.000000e+00 0.000000e+00
-7.093580e-15 0.000000e+00 0.000000e+00
-1.432247e-13 0.000000e+00 0.000000e+00
-1.768735e-13 0.000000e+00 0.000000e+00
-1.960548e-13 0.000000e+00 0.000000e+00
-1.737582e-13 0.000000e+00 0.000000e+00
-1.070468e-13 0.000000e+00 0.000000e+00
7.590477e-14 0.000000e+00 0.000000e+00
1.105931e-13 0.000000e+00 0.000000e+00
9.964808e-14 0.000000e+00 0.000000e+00
2.016146e-13 0.000000e+00 0.000000e+00
2.100291e-13 0.000000e+00 0.000000e+00
2.588053e-13 0.000000e+00 0.000000e+00
1.966504e-13 0.000000e+00 0.000000e+00
1.072169e-13 0.000000e+00 0.000000e+00
2.685593e-14 0.000000e+00 0.000000e+00
-2.948291e-14 0.000000e+00 0.000000e+00
9.790287e-15 0.000000e+00 0.000000e+00
-3.470380e-14 0.000000e+00 0.000000e+00
-5.145675e-14 0.000000e+00 0.000000e+00
-3.666066e-14 0.000000e+00 0.000000e+00
-8.018235e-14 0.000000e+00 0.000000e+00
-8.607715e-14 0.000000e+00 0.000000e+00
-1.818793e-14 0.000000e+00 0.000000e+00
-8.960972e-15 0.000000e+00 0.000000e+00
9.061713e-15 0.000000e+00 0.000000e+00
1.476978e-13 0.000000e+00 0.000000e+00
1.449951e-13 0.000000e+00 0.000000e+00
1.104222e-13 0.000000e+00 0.000000e+00
7.825746e-14 0.000000e+00 0.000000e+00
-2.767868e-14 0.000000e+00 0.000000e+00
6.920294e-14 0.000000e+00 0.000000e+00
4.610404e-15 0.000000e+00 0.000000e+00
-3.455524e-14 0.000000e+00 0.000000e+00
-6.569143e-14 0.000000e+00 0.000000e+00
-7.888986e-14 0.000000e+00 0.000000e+00
-1.430804e-13 0.000000e+00 0.000000e+00
-1.237632e-13 0.000000e+00 0.000000e+00
-1.115341e-13 0.000000e+00 0.000000e+00
-1.054715e-13 0.000000e+00 0.000000e+00
-8.254908e-14 0.000000e+00 0.000000e+00
-6.645920e-14 0.000000e+00 0.000000e+00
-1.186929e-14 0.000000e+00 0.000000e+00
2.370726e-14 0.000000e+00 0.000000e+00
7.448694e-14 0.000000e+00 0.000000e+00
1.901735e-13 0.000000e+00 0.000000e+00
2.220616e-13 0.000000e+00 0.000000e+00
1.834799e-13 0.000000e+00 0.000000e+00
5.572105e-14 0.000000e+00 0.000000e+00
-1.609162e-14 0.000000e+00 0.000000e+00
-8.020590e-14 0.000000e+00 0.000000e+00
-1.521254e-13 0.000000e+00 0.000000e+00
-1.854035e-13 0.000000e+00 0.000000e+00
-2.611896e-14 0.000000e+00 0.000000e+00
1.022339e-13 0.000000e+00 0.000000e+00
8.362056e-14 0.000000e+00 0.000000e+00
1.057342e-13 0.000000e+00 0.000000e+00
1.037006e-13 0.000000e+00 0.000000e+00
9.816661e-14 0.000000e+00 0.000000e+00
-5.012272e-14 0.000000e+00 0.000000e+00
-9.732398e-14 0.000000e+00 0.000000e+00
-8.030619e-14 0.000000e+00 0.000000e+00
-3.442158e-15 0.000000e+00 0.000000e+00
5.014428e-14 0.000000e+00 0.000000e+00
5.028233e-14 0.000000e+00 0.000000e+00
5.937203e-14 0.000000e+00 0.000000e+00
7.357978e-14 0.000000e+00 0.000000e+00
1.124108e-13 0.000000e+00 0.000000e+00
1.436303e-13 0.000000e+00 0.000000e+00
2.076776e-13 0.000000e+00 0.000000e+00
2.018852e-13 0.000000e+00 0.000000e+00
2.256771e-13 0.000000e+00 0.000000e+00
1.230942e-13 0.000000e+00 0.000000e+00
3.700377e-16 0.000000e+00 0.000000e+00
-3.530876e-14 0.000000e+00 0.000000e+00
-6.847901e-14 0.000000e+00 0.000000e+00
-5.546135e-14 0.000000e+00 0.000000e+00
-2.749268e-14 0.000000e+00 0.000000e+00
8.696031e-15 0.000000e+00 0.000000e+00
-5.961587e-14 0.000000e+00 0.000000e+00
-8.024849e-14 0.000000e+00 0.000000e+00
-7.371932e-14 0.000000e+00 0.000000e+00
-1.428842e-13 0.000000e+00 0.000000e+00
-4.545156e-14 0.000000e+00 0.000000e+00
3.378988e-14 0.000000e+00 0.000000e+00
7.253490e-14 0.000000e+00 0.000000e+00
1.318547e-13 0.000000e+00 0.000000e+00
1.399283e-13 0.000000e+00 0.000000e+00
1.155300e-13 0.000000e+00 0.000000e+00
8.033181e-14 0.000000e+00 0.000000e+00
9.219340e-14 0.000000e+00 0.000000e+00
8.299410e-14 0.000000e+00 0.000000e+00
3.589592e-14 0.000000e+00 0.000000e+00
-1.110424e-13 0.000000e+00 0.000000e+00
-2.069904e-13 0.000000e+00 0.000000e+00
-2.372051e-13 0.000000e+00 0.000000e+00
-2.171201e-13 0.000000e+00 0.000000e+00
-1.309951e-13 0.000000e+00 0.000000e+00
-8.393733e-14 0.000000e+00 0.000000e+00
7.117752e-14 0.000000e+00 0.000000e+00
1.517835e-13 0.000000e+00 0.000000e+00
2.276836e-13 0.000000e+00 0.000000e+00
1.704224e-13 0.000000e+00 0.000000e+00
2.126632e-13 0.000000e+00 0.000000e+00
1.389882e-13 0.000000e+00 0.000000e+00
1.042965e-13 0.000000e+00 0.000000e+00
8.908816e-14 0.000000e+00 0.000000e+00
5.881469e-15 0.000000e+00 0.000000e+00
-1.199883e-13 0.000000e+00 0.000000e+00
-1.737245e-13 0.000000e+00 0.000000e+00
-8.589257e-14 0.000000e+00 0.000000e+00
-2.724419e-14 0.000000e+00 0.000000e+00
7.779213e-14 0.000000e+00 0.000000e+00
9.192159e-14 0.000000e+00 0.000000e+00
3.309344e-15 0.000000e+00 0.000000e+00
-2.172528e-14 0.000000e+00 0.000000e+00
-4.607107e-14 0.000000e+00 0.000000e+00
-9.839160e-14 0.000000e+00 0.000000e+00
-8.971243e-14 0.000000e+00 0.000000e+00
-2.771525e-14 0.000000e+00 0.000000e+00
1.193350e-13 0.000000e+00 0.000000e+00
1.846993e-13 0.000000e+00 0.000000e+00
8.954856e-14 0.000000e+00 0.000000e+00
1.354716e-14 0.000000e+00 0.000000e+00
-4.208318e-14 0.000000e+00 0.000000e+00
-1.250503e-13 0.000000e+00 0.000000e+00
-1.365135e-13 0.000000e+00 0.000000e+00
-1.971635e-13 0.000000e+00 0.000000e+00
-9.018480e-14 0.000000e+00 0.000000e+00
-1.064669e-14 0.000000e+00 0.000000e+00
1.433961e-13 0.000000e+00 0.000000e+00
1.385572e-13 0.000000e+00 0.000000e+00
5.304973e-14 0.000000e+00 0.000000e+00
1.047122e-14 0.000000e+00 0.000000e+00
3.275283e-15 0.000000e+00 0.000000e+00
-3.642386e-14 0.000000e+00 0.000000e+00
-9.985459e-14 0.000000e+00 0.000000e+00
-7.353183e-14 0.000000e+00 0.000000e+00
3.316543e-14 0.000000e+00 0.000000e+00
2.408479e-14 0.000000e+00 0.000000e+00
8.741614e-14 0.000000e+00 0.000000e+00
-1.172775e-14 0.000000e+00 0.000000e+00
4.563040e-16 0.000000e+00 0.000000e+00
-4.816647e-14 0.000000e+00 0.000000e+00
-8.358775e-14 0.000000e+00 0.000000e+00
-1.106246e-13 0.000000e+00 0.000000e+00
-6.534971e-14 0.000000e+00 0.000000e+00
-2.376786e-14 0.000000e+00 0.000000e+00
8.203611e-14 0.000000e+00 0.000000e+00
8.623669e-14 0.000000e+00 0.000000e+00
1.119453e-13 0.000000e+00 0.000000e+00
2.227170e-13 0.000000e+00 0.000000e+00
2.508609e-13 0.000000e+00 0.000000e+00
1.705929e-13 0.000000e+00 0.000000e+00
1.481970e-13 0.000000e+00 0.000000e+00
1.207003e-13 0.000000e+00 0.000000e+00
5.745502e-14 0.000000e+00 0.000000e+00
-4.780977e-14 0.000000e+00 0.000000e+00
-9.534937e-14 0.000000e+00 0.000000e+00
-9.970122e-14 0.000000e+00 0.000000e+00
-5.461061e-14 0.000000e+00 0.000000e+00
-7.632203e-14 0.000000e+00 0.000000e+00
-9.848844e-14 0.000000e+00 0.000000e+00
-1.562059e-13 0.000000e+00 0.000000e+00
-1.675089e-13 0.000000e+00 0.000000e+00
-1.049488e-13 0.000000e+00 0.000000e+00
-1.438942e-13 0.000000e+00 0.000000e+00
-1.003837e-13 0.000000e+00 0.000000e+00
-2.141017e-14 0.000000e+00 0.000000e+00
1.751446e-15 0.000000e+00 0.000000e+00
-5.169060e-14 0.000000e+00 0.000000e+00
1.210008e-14 0.000000e+00 0.000000e+00
8.480847e-15 0.000000e+00 0.000000e+00
1.689502e-13 0.000000e+00 0.000000e+00
2.957151e-13 0.000000e+00 0.000000e+00
2.628062e-13 0.000000e+00 0.000000e+00
