step K U E temp
0 1.911968e-19 4.764847e-17 4.783967e-17 2.769666e+04
1000 1.166278e-17 3.616540e-17 4.782818e-17 1.689463e+06
2000 3.252239e-17 1.528489e-17 4.780728e-17 4.711174e+06
3000 4.676191e-17 1.031096e-18 4.779301e-17 6.773903e+06
4000 4.345364e-17 4.342689e-18 4.779633e-17 6.294668e+06
5000 2.513640e-17 2.267828e-17 4.781468e-17 3.641244e+06
6000 5.867243e-18 4.196674e-17 4.783398e-17 8.499253e+05
7000 4.337369e-19 4.740569e-17 4.783943e-17 6.283088e+04
8000 1.300567e-17 3.482116e-17 4.782683e-17 1.883994e+06
9000 3.393507e-17 1.387079e-17 4.780586e-17 4.915814e+06
10000 4.716026e-17 6.323498e-19 4.779261e-17 6.831608e+06
11000 4.253195e-17 5.265299e-18 4.779725e-17 6.161153e+06
12000 2.360200e-17 2.421422e-17 4.781622e-17 3.418972e+06
13000 4.897663e-18 4.293729e-17 4.783496e-17 7.094726e+05
14000 7.730529e-19 4.706604e-17 4.783909e-17 1.119840e+05
15000 1.439348e-17 3.343196e-17 4.782544e-17 2.085032e+06
16000 3.530634e-17 1.249815e-17 4.780449e-17 5.114456e+06
17000 4.746265e-17 3.296588e-19 4.779231e-17 6.875411e+06
18000 4.153339e-17 6.264856e-18 4.779825e-17 6.016503e+06
19000 2.206881e-17 2.574894e-17 4.781775e-17 3.196875e+06
20000 4.006446e-18 4.382940e-17 4.783585e-17 5.803715e+05
21000 1.207745e-18 4.663091e-17 4.783865e-17 1.749532e+05
22000 1.582049e-17 3.200352e-17 4.782401e-17 2.291747e+06
23000 3.663055e-17 1.117261e-17 4.780316e-17 5.306280e+06
24000 4.766783e-17 1.242718e-19 4.779210e-17 6.905134e+06
25000 4.046209e-17 7.337235e-18 4.779932e-17 5.861314e+06
26000 2.054316e-17 2.727612e-17 4.781928e-17 2.975870e+06
27000 3.197269e-18 4.463939e-17 4.783666e-17 4.631545e+05
28000 1.736020e-18 4.610210e-17 4.783812e-17 2.514789e+05
29000 1.728081e-17 3.054174e-17 4.782255e-17 2.503288e+06
30000 3.790223e-17 9.899656e-18 4.780189e-17 5.490495e+06
31000 4.777496e-17 1.703579e-20 4.779200e-17 6.920653e+06
32000 3.932245e-17 8.478014e-18 4.780046e-17 5.696227e+06
33000 1.903134e-17 2.878945e-17 4.782079e-17 2.756869e+06
34000 2.473469e-18 4.536392e-17 4.783738e-17 3.583052e+05
35000 2.355700e-18 4.548180e-17 4.783750e-17 3.412453e+05
36000 1.876841e-17 2.905264e-17 4.782106e-17 2.718781e+06
37000 3.911614e-17 8.684531e-18 4.780067e-17 5.666341e+06
38000 4.778359e-17 8.393162e-21 4.779199e-17 6.921903e+06
39000 3.811918e-17 9.682486e-18 4.780167e-17 5.521922e+06
40000 1.753959e-17 3.028270e-17 4.782229e-17 2.540774e+06
41000 1.838031e-18 4.599999e-17 4.783802e-17 2.662561e+05
42000 3.064228e-18 4.477256e-17 4.783679e-17 4.438823e+05
43000 2.027717e-17 2.754238e-17 4.781955e-17 2.937339e+06
44000 4.026727e-17 7.532248e-18 4.779952e-17 5.833093e+06
45000 4.769370e-17 9.837955e-20 4.779208e-17 6.908881e+06
