step K U E temp
0 7.184423e-23 1.156063e-22 1.874505e-22 1.040731e+01
1000 6.265737e-22 7.610839e-22 1.387658e-21 9.076510e+01
2000 8.341123e-22 1.342349e-21 2.176462e-21 1.208290e+02
3000 2.067008e-22 1.130165e-22 3.197174e-22 2.994256e+01
4000 6.862639e-22 2.131626e-21 2.817890e-21 9.941178e+01
5000 1.031627e-21 4.512914e-21 5.544541e-21 1.494409e+02
6000 1.887586e-21 2.895782e-21 4.783368e-21 2.734346e+02
7000 5.015842e-21 3.676626e-21 8.692468e-21 7.265919e+02
8000 9.666939e-22 1.302566e-21 2.269260e-21 1.400347e+02
9000 6.560870e-23 1.576319e-20 1.582880e-20 9.504038e+00
10000 6.910773e-22 1.295772e-21 1.986850e-21 1.001090e+02
11000 5.424741e-21 2.669409e-23 5.451435e-21 7.858248e+02
12000 1.272317e-21 3.322586e-21 4.594903e-21 1.843070e+02
13000 1.312847e-21 4.640044e-21 5.952891e-21 1.901783e+02
14000 1.245992e-21 5.236443e-21 6.482434e-21 1.804936e+02
15000 4.087009e-22 3.346120e-21 3.754821e-21 5.920417e+01
16000 1.188028e-21 2.742244e-21 3.930271e-21 1.720970e+02
17000 7.812747e-22 3.388119e-21 4.169394e-21 1.131750e+02
18000 3.981639e-21 4.614195e-23 4.027781e-21 5.767779e+02
19000 1.482480e-21 1.703554e-21 3.186034e-21 2.147512e+02
20000 5.727242e-22 7.143760e-21 7.716484e-21 8.296449e+01
21000 1.147442e-21 8.598489e-22 2.007290e-21 1.662177e+02
22000 7.444689e-22 7.295239e-22 1.473993e-21 1.078433e+02
23000 9.485729e-24 9.530702e-21 9.540188e-21 1.374097e+00
24000 5.870236e-21 9.564948e-25 5.871192e-21 8.503589e+02
25000 2.925092e-21 2.229911e-22 3.148083e-21 4.237271e+02
26000 1.058975e-21 3.270229e-21 4.329205e-21 1.534025e+02
27000 1.975587e-21 3.907095e-21 5.882682e-21 2.861824e+02
28000 1.137512e-22 1.908447e-22 3.045959e-22 1.647794e+01
29000 6.822964e-22 8.267403e-22 1.509037e-21 9.883705e+01
30000 9.590731e-22 1.842094e-22 1.143283e-21 1.389308e+02
31000 8.775319e-22 1.339925e-22 1.011524e-21 1.271187e+02
32000 3.058441e-22 5.676461e-21 5.982305e-21 4.430439e+01
33000 4.503686e-22 4.751280e-22 9.254967e-22 6.524014e+01
34000 6.913974e-24 7.438962e-22 7.508102e-22 1.001554e+00
35000 2.156117e-22 6.447507e-21 6.663118e-21 3.123339e+01
36000 1.342171e-21 1.130027e-20 1.264245e-20 1.944262e+02
37000 1.593319e-21 3.332475e-23 1.626643e-21 2.308072e+02
38000 1.095703e-21 4.901050e-21 5.996753e-21 1.587229e+02
39000 7.742179e-24 3.011144e-21 3.018886e-21 1.121528e+00
40000 3.550061e-21 6.695549e-25 3.550730e-21 5.142597e+02
41000 3.779449e-23 4.157353e-23 7.936802e-23 5.474887e+00
42000 4.320632e-22 4.834706e-22 9.155337e-22 6.258842e+01
43000 1.591658e-22 9.927441e-21 1.008661e-20 2.305667e+01
44000 9.290200e-22 6.376158e-22 1.566636e-21 1.345773e+02
45000 3.228363e-23 6.620139e-22 6.942976e-22 4.676587e+00
46000 8.249648e-24 1.325055e-21 1.333304e-21 1.195039e+00
47000 1.469431e-21 4.554336e-21 6.023766e-21 2.128609e+02
48000 6.785869e-23 4.622210e-21 4.690069e-21 9.829970e+00
49000 4.595763e-23 1.149427e-21 1.195385e-21 6.657395e+00
50000 1.810330e-21 3.546653e-21 5.356983e-21 2.622434e+02
51000 1.437632e-21 2.224694e-24 1.439856e-21 2.082545e+02
52000 3.973963e-21 1.076636e-21 5.050598e-21 5.756659e+02
53000 3.213726e-21 2.325835e-22 3.446310e-21 4.655385e+02
54000 1.143656e-21 5.346830e-22 1.678339e-21 1.656694e+02
55000 2.454376e-22 1.493863e-21 1.739301e-21 3.555395e+01
56000 8.506317e-22 2.514708e-21 3.365339e-21 1.232220e+02
57000 6.813018e-22 1.394773e-22 8.207791e-22 9.869298e+01
58000 1.283445e-22 3.499414e-21 3.627758e-21 1.859190e+01
59000 1.078388e-22 2.417125e-21 2.524964e-21 1.562146e+01
60000 2.027116e-22 4.324779e-22 6.351895e-22 2.936469e+01
61000 4.299072e-21 2.217357e-22 4.520807e-21 6.227610e+02
62000 1.397864e-20 3.113229e-21 1.709187e-20 2.024938e+03
63000 5.243225e-21 5.078729e-22 5.751098e-21 7.595305e+02
64000 2.632321e-21 4.578416e-21 7.210737e-21 3.813165e+02
65000 1.547101e-21 1.370673e-22 1.684168e-21 2.241121e+02
66000 9.465480e-21 1.399459e-20 2.346007e-20 1.371164e+03
67000 1.229870e-21 3.342496e-23 1.263295e-21 1.781582e+02
68000 1.929426e-21 1.257817e-22 2.055207e-21 2.794954e+02
69000 3.474271e-22 1.644900e-22 5.119171e-22 5.032809e+01
70000 5.970487e-21 6.761449e-23 6.038102e-21 8.648813e+02
71000 2.426366e-21 1.490867e-22 2.575452e-21 3.514819e+02
72000 3.109323e-21 1.246766e-21 4.356089e-21 4.504146e+02
73000 3.600735e-23 3.369194e-23 6.969928e-23 5.216003e+00
74000 2.507779e-21 9.726962e-21 1.223474e-20 3.632754e+02
75000 1.346463e-22 7.961465e-21 8.096111e-21 1.950478e+01
76000 1.821602e-22 3.108276e-22 4.929878e-22 2.638762e+01
77000 1.115143e-21 4.177014e-22 1.532845e-21 1.615390e+02
78000 7.793950e-21 8.969975e-23 7.883650e-21 1.129027e+03
79000 1.676266e-21 9.447186e-22 2.620984e-21 2.428229e+02
80000 7.293281e-24 3.787220e-21 3.794513e-21 1.056500e+00
81000 5.419984e-22 5.137158e-21 5.679157e-21 7.851356e+01
82000 7.988349e-22 1.509013e-22 9.497362e-22 1.157188e+02
83000 4.102697e-23 2.390403e-21 2.431430e-21 5.943143e+00
84000 1.132298e-23 9.005677e-25 1.222355e-23 1.640241e+00
85000 4.873391e-23 9.941608e-22 1.042895e-21 7.059565e+00
86000 4.710033e-26 8.039594e-22 8.040065e-22 6.822925e-03
87000 9.251703e-22 5.821931e-21 6.747101e-21 1.340196e+02
88000 3.257964e-21 9.426592e-22 4.200623e-21 4.719467e+02
89000 5.539023e-22 4.589748e-22 1.012877e-21 8.023797e+01
90000 5.051466e-23 1.800242e-21 1.850757e-21 7.317523e+00
91000 1.131965e-22 1.021128e-20 1.032447e-20 1.639758e+01
92000 2.127763e-21 4.229508e-21 6.357272e-21 3.082265e+02
93000 3.629271e-22 7.298406e-23 4.359112e-22 5.257341e+01
94000 7.722502e-22 2.786700e-21 3.558950e-21 1.118677e+02
95000 2.363418e-22 3.072953e-21 3.309295e-21 3.423633e+01
96000 6.101638e-21 1.108565e-21 7.210203e-21 8.838797e+02
97000 4.092905e-22 3.781201e-21 4.190491e-21 5.928958e+01
98000 7.330846e-22 8.705513e-22 1.603636e-21 1.061942e+02
99000 1.542370e-21 1.817121e-21 3.359491e-21 2.234269e+02
100000 7.542519e-21 1.907393e-21 9.449912e-21 1.092605e+03
101000 1.541460e-21 5.092507e-21 6.633967e-21 2.232950e+02
102000 7.307138e-21 1.491752e-20 2.222466e-20 1.058508e+03
103000 3.697352e-23 4.796621e-21 4.833595e-21 5.355962e+00
104000 2.766669e-21 3.750598e-21 6.517267e-21 4.007780e+02
105000 2.014797e-21 2.150562e-21 4.165359e-21 2.918623e+02
106000 3.013895e-21 4.624757e-22 3.476371e-21 4.365911e+02
107000 1.307477e-21 9.629835e-23 1.403775e-21 1.894003e+02
108000 1.226614e-21 3.145355e-26 1.226645e-21 1.776865e+02
109000 6.029962e-22 4.135475e-22 1.016544e-21 8.734967e+01
110000 4.544627e-21 3.183429e-21 7.728056e-21 6.583320e+02
111000 3.194834e-22 1.746271e-21 2.065754e-21 4.628017e+01
112000 7.822123e-21 9.470262e-22 8.769149e-21 1.133108e+03
113000 1.818493e-21 6.366464e-22 2.455140e-21 2.634258e+02
114000 4.128068e-23 5.418759e-22 5.831565e-22 5.979894e+00
115000 1.561134e-21 2.488167e-21 4.049301e-21 2.261450e+02
116000 2.619935e-21 3.906644e-21 6.526579e-21 3.795222e+02
117000 4.706798e-21 1.063804e-20 1.534484e-20 6.818239e+02
118000 1.588361e-20 4.618183e-22 1.634543e-20 2.300890e+03
119000 7.875262e-22 3.412659e-22 1.128792e-21 1.140806e+02
