pX pY pZ 
-3.807309e-14 0.000000e+00 0.000000e+00
1.262492e-13 0.000000e+00 0.000000e+00
1.918374e-13 0.000000e+00 0.000000e+00
2.403490e-14 0.000000e+00 0.000000e+00
2.749234e-13 0.000000e+00 0.000000e+00
5.207363e-15 0.000000e+00 0.000000e+00
3.621811e-14 0.000000e+00 0.000000e+00
-2.174475e-14 0.000000e+00 0.000000e+00
-4.168418e-13 0.000000e+00 0.000000e+00
1.512347e-13 0.000000e+00 0.000000e+00
-6.808942e-14 0.000000e+00 0.000000e+00
1.132625e-13 0.000000e+00 0.000000e+00
-1.465868e-14 0.000000e+00 0.000000e+00
-1.426563e-13 0.000000e+00 0.000000e+00
3.008275e-14 0.000000e+00 0.000000e+00
1.336172e-13 0.000000e+00 0.000000e+00
-5.138482e-14 0.000000e+00 0.000000e+00
8.193047e-15 0.000000e+00 0.000000e+00
1.912402e-13 0.000000e+00 0.000000e+00
-8.650612e-14 0.000000e+00 0.000000e+00
6.346484e-14 0.000000e+00 0.000000e+00
-1.005816e-13 0.000000e+00 0.000000e+00
1.250940e-13 0.000000e+00 0.000000e+00
3.707243e-13 0.000000e+00 0.000000e+00
6.996888e-14 0.000000e+00 0.000000e+00
4.444038e-13 0.000000e+00 0.000000e+00
-2.230192e-14 0.000000e+00 0.000000e+00
2.344718e-13 0.000000e+00 0.000000e+00
9.100746e-14 0.000000e+00 0.000000e+00
-9.252803e-14 0.000000e+00 0.000000e+00
-2.927053e-13 0.000000e+00 0.000000e+00
3.886418e-13 0.000000e+00 0.000000e+00
1.094179e-13 0.000000e+00 0.000000e+00
-1.146730e-13 0.000000e+00 0.000000e+00
-6.657700e-14 0.000000e+00 0.000000e+00
-1.108996e-13 0.000000e+00 0.000000e+00
7.003429e-14 0.000000e+00 0.000000e+00
-4.706286e-13 0.000000e+00 0.000000e+00
-7.821343e-14 0.000000e+00 0.000000e+00
8.005984e-14 0.000000e+00 0.000000e+00
2.079095e-13 0.000000e+00 0.000000e+00
7.808829e-14 0.000000e+00 0.000000e+00
-1.268982e-13 0.000000e+00 0.000000e+00
-2.957307e-14 0.000000e+00 0.000000e+00
-6.283284e-14 0.000000e+00 0.000000e+00
-1.748095e-14 0.000000e+00 0.000000e+00
7.967876e-14 0.000000e+00 0.000000e+00
6.972274e-14 0.000000e+00 0.000000e+00
-1.873872e-13 0.000000e+00 0.000000e+00
-2.234515e-14 0.000000e+00 0.000000e+00
-1.057475e-13 0.000000e+00 0.000000e+00
-2.702974e-13 0.000000e+00 0.000000e+00
1.234037e-13 0.000000e+00 0.000000e+00
-8.822177e-16 0.000000e+00 0.000000e+00
2.949017e-13 0.000000e+00 0.000000e+00
1.306249e-13 0.000000e+00 0.000000e+00
1.970887e-13 0.000000e+00 0.000000e+00
-7.504758e-14 0.000000e+00 0.000000e+00
1.952841e-13 0.000000e+00 0.000000e+00
1.962865e-14 0.000000e+00 0.000000e+00
-1.608378e-13 0.000000e+00 0.000000e+00
3.874858e-14 0.000000e+00 0.000000e+00
2.015421e-14 0.000000e+00 0.000000e+00
1.347141e-13 0.000000e+00 0.000000e+00
1.443370e-13 0.000000e+00 0.000000e+00
4.248712e-14 0.000000e+00 0.000000e+00
9.814299e-14 0.000000e+00 0.000000e+00
1.576452e-14 0.000000e+00 0.000000e+00
1.013924e-13 0.000000e+00 0.000000e+00
2.507714e-13 0.000000e+00 0.000000e+00
3.495603e-14 0.000000e+00 0.000000e+00
