step K U E temp
0 4.156905e-23 3.316546e-22 3.732236e-22 6.021668e+00
1000 8.389434e-25 8.782578e-21 8.783417e-21 1.215288e-01
2000 1.663805e-21 1.332724e-21 2.996528e-21 2.410178e+02
3000 2.576655e-22 4.601409e-21 4.859074e-21 3.732527e+01
4000 2.107541e-21 1.175710e-20 1.386464e-20 3.052971e+02
5000 1.849087e-21 5.170195e-22 2.366107e-21 2.678577e+02
6000 1.514443e-21 1.174738e-22 1.631917e-21 2.193814e+02
7000 2.419686e-21 1.904153e-23 2.438727e-21 3.505143e+02
8000 3.497810e-22 3.018954e-21 3.368734e-21 5.066906e+01
9000 2.608210e-22 2.943301e-21 3.204122e-21 3.778238e+01
10000 2.548973e-21 4.670460e-21 7.219434e-21 3.692428e+02
11000 1.057359e-21 1.629664e-22 1.220325e-21 1.531684e+02
12000 5.370340e-21 4.685083e-23 5.417191e-21 7.779443e+02
13000 2.677302e-22 4.846749e-25 2.682148e-22 3.878323e+01
14000 1.113017e-22 3.388933e-22 4.501951e-22 1.612310e+01
15000 4.412511e-22 1.565289e-21 2.006540e-21 6.391937e+01
16000 3.847930e-21 6.216369e-22 4.469567e-21 5.574089e+02
17000 1.300992e-21 6.805691e-22 1.981561e-21 1.884609e+02
18000 1.047049e-21 3.799858e-21 4.846908e-21 1.516750e+02
19000 3.120564e-21 4.551292e-22 3.575693e-21 4.520431e+02
20000 1.004674e-23 4.754795e-22 4.855262e-22 1.455365e+00
21000 6.746249e-22 5.019659e-22 1.176591e-21 9.772576e+01
22000 3.616990e-21 1.451959e-22 3.762185e-21 5.239550e+02
23000 7.464307e-21 1.501029e-23 7.479318e-21 1.081275e+03
24000 2.673450e-23 3.084046e-21 3.110780e-21 3.872744e+00
25000 1.128430e-20 1.245591e-21 1.252989e-20 1.634637e+03
26000 2.959344e-21 4.315267e-24 2.963659e-21 4.286888e+02
27000 2.998394e-22 1.240415e-22 4.238809e-22 4.343456e+01
28000 2.751338e-23 1.752568e-22 2.027702e-22 3.985571e+00
29000 5.328625e-22 1.114604e-24 5.339771e-22 7.719015e+01
30000 6.862930e-23 3.789340e-21 3.857969e-21 9.941600e+00
31000 9.859249e-23 2.167302e-21 2.265894e-21 1.428205e+01
32000 2.241450e-21 3.824301e-21 6.065750e-21 3.246951e+02
33000 5.570037e-22 2.247645e-22 7.817682e-22 8.068723e+01
34000 6.398968e-22 1.735038e-24 6.416319e-22 9.269508e+01
35000 4.268527e-21 4.114447e-21 8.382973e-21 6.183362e+02
