FX FY FZ 
1.118795e-10 0.000000e+00 0.000000e+00
-5.186531e-10 0.000000e+00 0.000000e+00
-5.871726e-10 0.000000e+00 0.000000e+00
-7.679508e-11 0.000000e+00 0.000000e+00
-6.242105e-10 0.000000e+00 0.000000e+00
2.229888e-11 0.000000e+00 0.000000e+00
3.059836e-10 0.000000e+00 0.000000e+00
2.368486e-10 0.000000e+00 0.000000e+00
4.044177e-10 0.000000e+00 0.000000e+00
8.730800e-11 0.000000e+00 0.000000e+00
2.405788e-10 0.000000e+00 0.000000e+00
2.169505e-10 0.000000e+00 0.000000e+00
1.924471e-10 0.000000e+00 0.000000e+00
7.394021e-11 0.000000e+00 0.000000e+00
1.861343e-10 0.000000e+00 0.000000e+00
7.859782e-11 0.000000e+00 0.000000e+00
-6.589897e-11 0.000000e+00 0.000000e+00
-2.446890e-10 0.000000e+00 0.000000e+00
-1.316420e-10 0.000000e+00 0.000000e+00
-1.959698e-10 0.000000e+00 0.000000e+00
-7.382333e-10 0.000000e+00 0.000000e+00
3.561233e-10 0.000000e+00 0.000000e+00
5.427287e-10 0.000000e+00 0.000000e+00
5.541430e-10 0.000000e+00 0.000000e+00
5.890554e-10 0.000000e+00 0.000000e+00
4.782072e-10 0.000000e+00 0.000000e+00
2.779133e-10 0.000000e+00 0.000000e+00
3.832180e-10 0.000000e+00 0.000000e+00
4.556838e-10 0.000000e+00 0.000000e+00
3.359555e-10 0.000000e+00 0.000000e+00
3.357087e-10 0.000000e+00 0.000000e+00
3.797859e-10 0.000000e+00 0.000000e+00
4.185167e-10 0.000000e+00 0.000000e+00
-4.598576e-10 0.000000e+00 0.000000e+00
-4.327171e-10 0.000000e+00 0.000000e+00
-1.963717e-10 0.000000e+00 0.000000e+00
-3.805698e-10 0.000000e+00 0.000000e+00
-5.371159e-10 0.000000e+00 0.000000e+00
-5.256286e-10 0.000000e+00 0.000000e+00
-3.870175e-10 0.000000e+00 0.000000e+00
-2.449324e-10 0.000000e+00 0.000000e+00
-3.398026e-10 0.000000e+00 0.000000e+00
-2.870155e-10 0.000000e+00 0.000000e+00
-3.477258e-10 0.000000e+00 0.000000e+00
-4.351493e-10 0.000000e+00 0.000000e+00
-5.342321e-10 0.000000e+00 0.000000e+00
-6.617374e-10 0.000000e+00 0.000000e+00
-6.254365e-10 0.000000e+00 0.000000e+00
-6.969864e-10 0.000000e+00 0.000000e+00
-6.539295e-10 0.000000e+00 0.000000e+00
-6.211382e-10 0.000000e+00 0.000000e+00
