FX FY FZ 
5.366065e-10 0.000000e+00 0.000000e+00
-3.802286e-10 0.000000e+00 0.000000e+00
-1.006480e-10 0.000000e+00 0.000000e+00
-5.128248e-10 0.000000e+00 0.000000e+00
1.905113e-11 0.000000e+00 0.000000e+00
-2.820588e-10 0.000000e+00 0.000000e+00
2.440284e-10 0.000000e+00 0.000000e+00
5.525313e-10 0.000000e+00 0.000000e+00
2.018940e-10 0.000000e+00 0.000000e+00
2.196401e-10 0.000000e+00 0.000000e+00
1.381984e-10 0.000000e+00 0.000000e+00
2.339205e-10 0.000000e+00 0.000000e+00
1.874570e-10 0.000000e+00 0.000000e+00
2.627162e-10 0.000000e+00 0.000000e+00
6.306542e-10 0.000000e+00 0.000000e+00
3.958610e-10 0.000000e+00 0.000000e+00
4.607291e-10 0.000000e+00 0.000000e+00
4.191490e-10 0.000000e+00 0.000000e+00
4.708458e-10 0.000000e+00 0.000000e+00
6.252187e-10 0.000000e+00 0.000000e+00
3.604698e-10 0.000000e+00 0.000000e+00
3.617001e-10 0.000000e+00 0.000000e+00
4.100105e-10 0.000000e+00 0.000000e+00
5.775081e-10 0.000000e+00 0.000000e+00
4.788284e-10 0.000000e+00 0.000000e+00
5.185240e-10 0.000000e+00 0.000000e+00
4.526890e-10 0.000000e+00 0.000000e+00
4.277872e-10 0.000000e+00 0.000000e+00
4.945206e-10 0.000000e+00 0.000000e+00
5.324986e-10 0.000000e+00 0.000000e+00
4.615378e-10 0.000000e+00 0.000000e+00
4.281039e-10 0.000000e+00 0.000000e+00
5.090870e-10 0.000000e+00 0.000000e+00
5.360145e-10 0.000000e+00 0.000000e+00
4.913967e-10 0.000000e+00 0.000000e+00
5.035646e-10 0.000000e+00 0.000000e+00
4.630644e-10 0.000000e+00 0.000000e+00
4.410070e-10 0.000000e+00 0.000000e+00
4.177549e-10 0.000000e+00 0.000000e+00
4.470372e-10 0.000000e+00 0.000000e+00
4.466840e-10 0.000000e+00 0.000000e+00
4.419688e-10 0.000000e+00 0.000000e+00
4.333943e-10 0.000000e+00 0.000000e+00
4.190274e-10 0.000000e+00 0.000000e+00
5.417636e-10 0.000000e+00 0.000000e+00
5.597022e-10 0.000000e+00 0.000000e+00
2.957091e-10 0.000000e+00 0.000000e+00
3.685469e-10 0.000000e+00 0.000000e+00
3.503304e-10 0.000000e+00 0.000000e+00
3.711347e-10 0.000000e+00 0.000000e+00
3.543466e-10 0.000000e+00 0.000000e+00
3.569256e-10 0.000000e+00 0.000000e+00
6.312552e-10 0.000000e+00 0.000000e+00
6.149611e-10 0.000000e+00 0.000000e+00
5.939970e-10 0.000000e+00 0.000000e+00
6.102278e-10 0.000000e+00 0.000000e+00
5.909478e-10 0.000000e+00 0.000000e+00
6.221277e-10 0.000000e+00 0.000000e+00
5.937827e-10 0.000000e+00 0.000000e+00
6.004311e-10 0.000000e+00 0.000000e+00
5.941042e-10 0.000000e+00 0.000000e+00
6.093979e-10 0.000000e+00 0.000000e+00
6.201788e-10 0.000000e+00 0.000000e+00
6.155820e-10 0.000000e+00 0.000000e+00
6.181987e-10 0.000000e+00 0.000000e+00
6.174988e-10 0.000000e+00 0.000000e+00
6.180255e-10 0.000000e+00 0.000000e+00
6.214499e-10 0.000000e+00 0.000000e+00
6.108711e-10 0.000000e+00 0.000000e+00
6.221229e-10 0.000000e+00 0.000000e+00
6.218990e-10 0.000000e+00 0.000000e+00
6.186047e-10 0.000000e+00 0.000000e+00
6.218708e-10 0.000000e+00 0.000000e+00
6.220331e-10 0.000000e+00 0.000000e+00
6.201173e-10 0.000000e+00 0.000000e+00
6.227309e-10 0.000000e+00 0.000000e+00
6.216126e-10 0.000000e+00 0.000000e+00
6.212647e-10 0.000000e+00 0.000000e+00
6.205719e-10 0.000000e+00 0.000000e+00
6.072035e-10 0.000000e+00 0.000000e+00
6.326954e-10 0.000000e+00 0.000000e+00
6.295803e-10 0.000000e+00 0.000000e+00
6.298497e-10 0.000000e+00 0.000000e+00
5.791476e-10 0.000000e+00 0.000000e+00
6.326817e-10 0.000000e+00 0.000000e+00
6.327191e-10 0.000000e+00 0.000000e+00
5.125274e-10 0.000000e+00 0.000000e+00
6.259135e-10 0.000000e+00 0.000000e+00
6.152787e-10 0.000000e+00 0.000000e+00
6.270027e-10 0.000000e+00 0.000000e+00
6.162682e-10 0.000000e+00 0.000000e+00
6.234010e-10 0.000000e+00 0.000000e+00
6.155424e-10 0.000000e+00 0.000000e+00
6.142300e-10 0.000000e+00 0.000000e+00
6.166276e-10 0.000000e+00 0.000000e+00
6.211030e-10 0.000000e+00 0.000000e+00
6.190492e-10 0.000000e+00 0.000000e+00
6.285150e-10 0.000000e+00 0.000000e+00
6.285089e-10 0.000000e+00 0.000000e+00
6.284025e-10 0.000000e+00 0.000000e+00
6.286924e-10 0.000000e+00 0.000000e+00
6.281735e-10 0.000000e+00 0.000000e+00
6.294005e-10 0.000000e+00 0.000000e+00
6.287764e-10 0.000000e+00 0.000000e+00
6.291270e-10 0.000000e+00 0.000000e+00
6.285176e-10 0.000000e+00 0.000000e+00
6.284086e-10 0.000000e+00 0.000000e+00
6.289788e-10 0.000000e+00 0.000000e+00
6.290614e-10 0.000000e+00 0.000000e+00
6.291490e-10 0.000000e+00 0.000000e+00
6.293844e-10 0.000000e+00 0.000000e+00
6.286259e-10 0.000000e+00 0.000000e+00
-4.287224e-10 0.000000e+00 0.000000e+00
2.039477e-10 0.000000e+00 0.000000e+00
5.339386e-10 0.000000e+00 0.000000e+00
3.883416e-10 0.000000e+00 0.000000e+00
2.887454e-10 0.000000e+00 0.000000e+00
2.319157e-10 0.000000e+00 0.000000e+00
2.815395e-10 0.000000e+00 0.000000e+00
4.152278e-10 0.000000e+00 0.000000e+00
3.025218e-10 0.000000e+00 0.000000e+00
3.524507e-10 0.000000e+00 0.000000e+00
3.027909e-10 0.000000e+00 0.000000e+00
3.199118e-10 0.000000e+00 0.000000e+00
3.406110e-10 0.000000e+00 0.000000e+00
3.755643e-10 0.000000e+00 0.000000e+00
4.205893e-10 0.000000e+00 0.000000e+00
5.973753e-10 0.000000e+00 0.000000e+00
6.980714e-10 0.000000e+00 0.000000e+00
1.489624e-09 0.000000e+00 0.000000e+00
6.798395e-10 0.000000e+00 0.000000e+00
7.239051e-10 0.000000e+00 0.000000e+00
5.261138e-10 0.000000e+00 0.000000e+00
5.422770e-10 0.000000e+00 0.000000e+00
5.221148e-10 0.000000e+00 0.000000e+00
5.220356e-10 0.000000e+00 0.000000e+00
-2.949165e-10 0.000000e+00 0.000000e+00
-1.088713e-10 0.000000e+00 0.000000e+00
-4.324778e-10 0.000000e+00 0.000000e+00
-1.495710e-10 0.000000e+00 0.000000e+00
-5.369260e-10 0.000000e+00 0.000000e+00
-4.642957e-10 0.000000e+00 0.000000e+00
-3.656422e-10 0.000000e+00 0.000000e+00
-2.103452e-11 0.000000e+00 0.000000e+00
-4.164080e-10 0.000000e+00 0.000000e+00
-2.880775e-10 0.000000e+00 0.000000e+00
-4.641279e-10 0.000000e+00 0.000000e+00
-5.399516e-10 0.000000e+00 0.000000e+00
-5.152220e-10 0.000000e+00 0.000000e+00
-4.948388e-10 0.000000e+00 0.000000e+00
-4.775752e-10 0.000000e+00 0.000000e+00
-4.888997e-10 0.000000e+00 0.000000e+00
-3.650475e-10 0.000000e+00 0.000000e+00
4.280387e-11 0.000000e+00 0.000000e+00
-1.295078e-10 0.000000e+00 0.000000e+00
-1.419011e-10 0.000000e+00 0.000000e+00
-4.127627e-11 0.000000e+00 0.000000e+00
-3.749837e-11 0.000000e+00 0.000000e+00
9.643457e-12 0.000000e+00 0.000000e+00
-5.199718e-11 0.000000e+00 0.000000e+00
-1.185922e-10 0.000000e+00 0.000000e+00
-2.564254e-10 0.000000e+00 0.000000e+00
-3.544971e-11 0.000000e+00 0.000000e+00
1.362580e-10 0.000000e+00 0.000000e+00
1.301826e-10 0.000000e+00 0.000000e+00
-6.959625e-11 0.000000e+00 0.000000e+00
-2.977849e-10 0.000000e+00 0.000000e+00
-2.725929e-10 0.000000e+00 0.000000e+00
-1.271130e-10 0.000000e+00 0.000000e+00
-1.763916e-10 0.000000e+00 0.000000e+00
-3.510972e-10 0.000000e+00 0.000000e+00
-7.455233e-11 0.000000e+00 0.000000e+00
-1.959524e-11 0.000000e+00 0.000000e+00
-3.574519e-10 0.000000e+00 0.000000e+00
-1.794665e-10 0.000000e+00 0.000000e+00
-2.509308e-10 0.000000e+00 0.000000e+00
-3.649318e-10 0.000000e+00 0.000000e+00
-3.709551e-10 0.000000e+00 0.000000e+00
-3.638072e-10 0.000000e+00 0.000000e+00
-3.652879e-10 0.000000e+00 0.000000e+00
-3.737670e-10 0.000000e+00 0.000000e+00
-6.017988e-10 0.000000e+00 0.000000e+00
-6.029948e-10 0.000000e+00 0.000000e+00
-6.174557e-10 0.000000e+00 0.000000e+00
-5.752350e-10 0.000000e+00 0.000000e+00
-6.066712e-10 0.000000e+00 0.000000e+00
-6.271408e-10 0.000000e+00 0.000000e+00
-5.643973e-10 0.000000e+00 0.000000e+00
-5.768441e-10 0.000000e+00 0.000000e+00
-5.995852e-10 0.000000e+00 0.000000e+00
-5.840205e-10 0.000000e+00 0.000000e+00
-5.983367e-10 0.000000e+00 0.000000e+00
-5.644814e-10 0.000000e+00 0.000000e+00
-5.685327e-10 0.000000e+00 0.000000e+00
-5.796087e-10 0.000000e+00 0.000000e+00
-5.747582e-10 0.000000e+00 0.000000e+00
-5.996661e-10 0.000000e+00 0.000000e+00
-6.215414e-10 0.000000e+00 0.000000e+00
5.896077e-10 0.000000e+00 0.000000e+00
5.973333e-10 0.000000e+00 0.000000e+00
-6.327210e-10 0.000000e+00 0.000000e+00
-5.920110e-10 0.000000e+00 0.000000e+00
-6.313331e-10 0.000000e+00 0.000000e+00
-6.302815e-10 0.000000e+00 0.000000e+00
-6.313290e-10 0.000000e+00 0.000000e+00
-6.244399e-10 0.000000e+00 0.000000e+00
-5.690530e-10 0.000000e+00 0.000000e+00
-6.268896e-10 0.000000e+00 0.000000e+00
-6.293634e-10 0.000000e+00 0.000000e+00
-6.304512e-10 0.000000e+00 0.000000e+00
-5.600456e-10 0.000000e+00 0.000000e+00
-5.709598e-10 0.000000e+00 0.000000e+00
-5.781525e-10 0.000000e+00 0.000000e+00
-5.319347e-10 0.000000e+00 0.000000e+00
-5.507820e-10 0.000000e+00 0.000000e+00
-5.720546e-10 0.000000e+00 0.000000e+00
-5.120143e-10 0.000000e+00 0.000000e+00
-5.522895e-10 0.000000e+00 0.000000e+00
-5.224839e-10 0.000000e+00 0.000000e+00
-5.249819e-10 0.000000e+00 0.000000e+00
-5.114273e-10 0.000000e+00 0.000000e+00
-5.557198e-10 0.000000e+00 0.000000e+00
-5.359985e-10 0.000000e+00 0.000000e+00
-5.579826e-10 0.000000e+00 0.000000e+00
-5.202958e-10 0.000000e+00 0.000000e+00
-5.560412e-10 0.000000e+00 0.000000e+00
-5.397323e-10 0.000000e+00 0.000000e+00
-5.461456e-10 0.000000e+00 0.000000e+00
5.614304e-10 0.000000e+00 0.000000e+00
5.608813e-10 0.000000e+00 0.000000e+00
4.971802e-10 0.000000e+00 0.000000e+00
5.478489e-10 0.000000e+00 0.000000e+00
5.489527e-10 0.000000e+00 0.000000e+00
4.650802e-10 0.000000e+00 0.000000e+00
5.091152e-10 0.000000e+00 0.000000e+00
3.934668e-10 0.000000e+00 0.000000e+00
5.674037e-10 0.000000e+00 0.000000e+00
6.069462e-10 0.000000e+00 0.000000e+00
6.226209e-10 0.000000e+00 0.000000e+00
6.236590e-10 0.000000e+00 0.000000e+00
6.191506e-10 0.000000e+00 0.000000e+00
6.214437e-10 0.000000e+00 0.000000e+00
6.177054e-10 0.000000e+00 0.000000e+00
6.177561e-10 0.000000e+00 0.000000e+00
6.175750e-10 0.000000e+00 0.000000e+00
6.225290e-10 0.000000e+00 0.000000e+00
6.201379e-10 0.000000e+00 0.000000e+00
6.201197e-10 0.000000e+00 0.000000e+00
6.177732e-10 0.000000e+00 0.000000e+00
6.180215e-10 0.000000e+00 0.000000e+00
6.187512e-10 0.000000e+00 0.000000e+00
6.275140e-10 0.000000e+00 0.000000e+00
4.391750e-10 0.000000e+00 0.000000e+00
-1.652674e-10 0.000000e+00 0.000000e+00
-2.055838e-10 0.000000e+00 0.000000e+00
-4.603245e-10 0.000000e+00 0.000000e+00
-4.617354e-10 0.000000e+00 0.000000e+00
-4.636628e-10 0.000000e+00 0.000000e+00
-4.507226e-10 0.000000e+00 0.000000e+00
-4.629132e-10 0.000000e+00 0.000000e+00
-4.641216e-10 0.000000e+00 0.000000e+00
-4.390499e-10 0.000000e+00 0.000000e+00
-6.269760e-10 0.000000e+00 0.000000e+00
-6.324244e-10 0.000000e+00 0.000000e+00
-6.276220e-10 0.000000e+00 0.000000e+00
4.787866e-12 0.000000e+00 0.000000e+00
-8.802113e-11 0.000000e+00 0.000000e+00
-2.233547e-10 0.000000e+00 0.000000e+00
-2.844788e-10 0.000000e+00 0.000000e+00
-1.118320e-10 0.000000e+00 0.000000e+00
-1.291086e-10 0.000000e+00 0.000000e+00
-1.054353e-10 0.000000e+00 0.000000e+00
-1.992977e-10 0.000000e+00 0.000000e+00
-2.589672e-10 0.000000e+00 0.000000e+00
-3.170959e-10 0.000000e+00 0.000000e+00
-3.123730e-10 0.000000e+00 0.000000e+00
-1.785859e-10 0.000000e+00 0.000000e+00
-2.728240e-10 0.000000e+00 0.000000e+00
-1.945665e-10 0.000000e+00 0.000000e+00
-1.965552e-10 0.000000e+00 0.000000e+00
-1.973760e-10 0.000000e+00 0.000000e+00
-2.332651e-10 0.000000e+00 0.000000e+00
-2.056917e-10 0.000000e+00 0.000000e+00
-1.612616e-10 0.000000e+00 0.000000e+00
-2.855895e-10 0.000000e+00 0.000000e+00
-3.414091e-12 0.000000e+00 0.000000e+00
-6.904625e-11 0.000000e+00 0.000000e+00
-4.730665e-12 0.000000e+00 0.000000e+00
7.113665e-11 0.000000e+00 0.000000e+00
-9.582771e-11 0.000000e+00 0.000000e+00
-1.008029e-10 0.000000e+00 0.000000e+00
-9.885068e-11 0.000000e+00 0.000000e+00
-1.111425e-10 0.000000e+00 0.000000e+00
-1.003337e-10 0.000000e+00 0.000000e+00
-8.206156e-11 0.000000e+00 0.000000e+00
-9.857045e-11 0.000000e+00 0.000000e+00
-9.158385e-11 0.000000e+00 0.000000e+00
-8.858909e-11 0.000000e+00 0.000000e+00
-9.147275e-11 0.000000e+00 0.000000e+00
-9.537737e-11 0.000000e+00 0.000000e+00
-8.919966e-11 0.000000e+00 0.000000e+00
-9.321873e-11 0.000000e+00 0.000000e+00
-8.397676e-11 0.000000e+00 0.000000e+00
-9.284584e-11 0.000000e+00 0.000000e+00
-9.850080e-11 0.000000e+00 0.000000e+00
-9.149982e-11 0.000000e+00 0.000000e+00
-9.253211e-11 0.000000e+00 0.000000e+00
-8.283411e-11 0.000000e+00 0.000000e+00
-9.432685e-11 0.000000e+00 0.000000e+00
-9.079673e-11 0.000000e+00 0.000000e+00
-9.965495e-11 0.000000e+00 0.000000e+00
-9.921219e-11 0.000000e+00 0.000000e+00
-8.610705e-11 0.000000e+00 0.000000e+00
-8.827631e-11 0.000000e+00 0.000000e+00
