FX FY FZ 
6.176869e-09 0.000000e+00 0.000000e+00
1.392643e-09 0.000000e+00 0.000000e+00
1.439251e-09 0.000000e+00 0.000000e+00
5.740280e-09 0.000000e+00 0.000000e+00
-9.036300e-10 0.000000e+00 0.000000e+00
-2.213457e-10 0.000000e+00 0.000000e+00
-5.570278e-09 0.000000e+00 0.000000e+00
-3.610586e-09 0.000000e+00 0.000000e+00
-3.408681e-09 0.000000e+00 0.000000e+00
-6.823795e-09 0.000000e+00 0.000000e+00
5.632032e-09 0.000000e+00 0.000000e+00
3.238649e-09 0.000000e+00 0.000000e+00
2.140186e-09 0.000000e+00 0.000000e+00
9.906052e-09 0.000000e+00 0.000000e+00
5.698737e-09 0.000000e+00 0.000000e+00
-1.056357e-08 0.000000e+00 0.000000e+00
-1.079566e-08 0.000000e+00 0.000000e+00
-1.043399e-08 0.000000e+00 0.000000e+00
-1.096339e-08 0.000000e+00 0.000000e+00
-1.076818e-08 0.000000e+00 0.000000e+00
1.428406e-08 0.000000e+00 0.000000e+00
1.339238e-08 0.000000e+00 0.000000e+00
1.430376e-08 0.000000e+00 0.000000e+00
1.546182e-08 0.000000e+00 0.000000e+00
-2.918706e-09 0.000000e+00 0.000000e+00
-4.300997e-09 0.000000e+00 0.000000e+00
-1.490965e-08 0.000000e+00 0.000000e+00
-1.492339e-08 0.000000e+00 0.000000e+00
2.909349e-09 0.000000e+00 0.000000e+00
-3.092905e-09 0.000000e+00 0.000000e+00
-2.964733e-09 0.000000e+00 0.000000e+00
-1.410567e-09 0.000000e+00 0.000000e+00
-4.028341e-09 0.000000e+00 0.000000e+00
-2.705332e-09 0.000000e+00 0.000000e+00
-3.716108e-09 0.000000e+00 0.000000e+00
-1.990361e-09 0.000000e+00 0.000000e+00
-2.463088e-09 0.000000e+00 0.000000e+00
-4.257883e-09 0.000000e+00 0.000000e+00
-1.056718e-09 0.000000e+00 0.000000e+00
5.159111e-09 0.000000e+00 0.000000e+00
5.140535e-09 0.000000e+00 0.000000e+00
-2.221365e-08 0.000000e+00 0.000000e+00
-1.852764e-09 0.000000e+00 0.000000e+00
4.561168e-09 0.000000e+00 0.000000e+00
3.923963e-09 0.000000e+00 0.000000e+00
-3.645419e-10 0.000000e+00 0.000000e+00
-9.052038e-09 0.000000e+00 0.000000e+00
-2.747134e-09 0.000000e+00 0.000000e+00
-9.038346e-09 0.000000e+00 0.000000e+00
8.546386e-09 0.000000e+00 0.000000e+00
4.229851e-09 0.000000e+00 0.000000e+00
-3.629823e-09 0.000000e+00 0.000000e+00
-1.524341e-08 0.000000e+00 0.000000e+00
2.232217e-08 0.000000e+00 0.000000e+00
1.879821e-08 0.000000e+00 0.000000e+00
1.757315e-08 0.000000e+00 0.000000e+00
2.057746e-08 0.000000e+00 0.000000e+00
2.298079e-08 0.000000e+00 0.000000e+00
2.187564e-08 0.000000e+00 0.000000e+00
1.754921e-08 0.000000e+00 0.000000e+00
1.662943e-08 0.000000e+00 0.000000e+00
-2.022674e-08 0.000000e+00 0.000000e+00
-1.472798e-08 0.000000e+00 0.000000e+00
-2.017421e-08 0.000000e+00 0.000000e+00
-1.311870e-09 0.000000e+00 0.000000e+00
5.060025e-09 0.000000e+00 0.000000e+00
3.061365e-09 0.000000e+00 0.000000e+00
1.510367e-10 0.000000e+00 0.000000e+00
4.873409e-09 0.000000e+00 0.000000e+00
2.091394e-09 0.000000e+00 0.000000e+00
7.872949e-10 0.000000e+00 0.000000e+00
6.670397e-09 0.000000e+00 0.000000e+00
-2.124069e-09 0.000000e+00 0.000000e+00
2.611831e-09 0.000000e+00 0.000000e+00
1.595217e-08 0.000000e+00 0.000000e+00
-2.048042e-08 0.000000e+00 0.000000e+00
3.981189e-09 0.000000e+00 0.000000e+00
3.954577e-09 0.000000e+00 0.000000e+00
3.227119e-09 0.000000e+00 0.000000e+00
4.041971e-09 0.000000e+00 0.000000e+00
4.251347e-09 0.000000e+00 0.000000e+00
3.990621e-09 0.000000e+00 0.000000e+00
3.727380e-09 0.000000e+00 0.000000e+00
5.472323e-09 0.000000e+00 0.000000e+00
5.183667e-09 0.000000e+00 0.000000e+00
5.980646e-09 0.000000e+00 0.000000e+00
5.342024e-09 0.000000e+00 0.000000e+00
4.985211e-09 0.000000e+00 0.000000e+00
-2.964390e-08 0.000000e+00 0.000000e+00
-2.736428e-08 0.000000e+00 0.000000e+00
-2.763862e-08 0.000000e+00 0.000000e+00
4.115854e-08 0.000000e+00 0.000000e+00
-7.933679e-09 0.000000e+00 0.000000e+00
-7.413948e-09 0.000000e+00 0.000000e+00
-6.424109e-09 0.000000e+00 0.000000e+00
-6.272531e-09 0.000000e+00 0.000000e+00
-5.740458e-09 0.000000e+00 0.000000e+00
-5.172824e-09 0.000000e+00 0.000000e+00
5.341951e-08 0.000000e+00 0.000000e+00
-3.027033e-08 0.000000e+00 0.000000e+00
-2.775509e-08 0.000000e+00 0.000000e+00
-2.980374e-08 0.000000e+00 0.000000e+00
7.695233e-09 0.000000e+00 0.000000e+00
1.769112e-09 0.000000e+00 0.000000e+00
1.013969e-08 0.000000e+00 0.000000e+00
-3.161045e-08 0.000000e+00 0.000000e+00
-4.516249e-08 0.000000e+00 0.000000e+00
-1.516761e-08 0.000000e+00 0.000000e+00
-1.274033e-08 0.000000e+00 0.000000e+00
-1.435276e-08 0.000000e+00 0.000000e+00
-1.362319e-08 0.000000e+00 0.000000e+00
-1.589202e-08 0.000000e+00 0.000000e+00
7.030766e-09 0.000000e+00 0.000000e+00
6.167583e-09 0.000000e+00 0.000000e+00
7.002429e-09 0.000000e+00 0.000000e+00
6.844441e-09 0.000000e+00 0.000000e+00
7.401766e-09 0.000000e+00 0.000000e+00
6.416301e-09 0.000000e+00 0.000000e+00
-1.739032e-08 0.000000e+00 0.000000e+00
-1.174264e-08 0.000000e+00 0.000000e+00
-2.891715e-09 0.000000e+00 0.000000e+00
-1.871786e-08 0.000000e+00 0.000000e+00
-1.543097e-08 0.000000e+00 0.000000e+00
-1.813269e-08 0.000000e+00 0.000000e+00
-1.819968e-08 0.000000e+00 0.000000e+00
-1.727033e-08 0.000000e+00 0.000000e+00
-3.471591e-08 0.000000e+00 0.000000e+00
-2.993329e-08 0.000000e+00 0.000000e+00
-3.721849e-08 0.000000e+00 0.000000e+00
-4.081666e-08 0.000000e+00 0.000000e+00
-4.699587e-08 0.000000e+00 0.000000e+00
-2.640997e-08 0.000000e+00 0.000000e+00
-2.792058e-08 0.000000e+00 0.000000e+00
1.882659e-08 0.000000e+00 0.000000e+00
-3.800991e-08 0.000000e+00 0.000000e+00
2.714328e-08 0.000000e+00 0.000000e+00
2.640145e-08 0.000000e+00 0.000000e+00
-1.888851e-08 0.000000e+00 0.000000e+00
-2.869861e-08 0.000000e+00 0.000000e+00
-4.944387e-08 0.000000e+00 0.000000e+00
-4.238280e-08 0.000000e+00 0.000000e+00
-3.266131e-08 0.000000e+00 0.000000e+00
6.917277e-09 0.000000e+00 0.000000e+00
3.012645e-08 0.000000e+00 0.000000e+00
2.990067e-08 0.000000e+00 0.000000e+00
2.969499e-08 0.000000e+00 0.000000e+00
3.095745e-08 0.000000e+00 0.000000e+00
2.954503e-08 0.000000e+00 0.000000e+00
3.035573e-08 0.000000e+00 0.000000e+00
3.072630e-08 0.000000e+00 0.000000e+00
2.819302e-08 0.000000e+00 0.000000e+00
-2.511335e-08 0.000000e+00 0.000000e+00
2.742625e-08 0.000000e+00 0.000000e+00
2.686152e-08 0.000000e+00 0.000000e+00
2.718515e-08 0.000000e+00 0.000000e+00
2.808668e-08 0.000000e+00 0.000000e+00
3.171877e-08 0.000000e+00 0.000000e+00
3.243118e-08 0.000000e+00 0.000000e+00
1.350539e-08 0.000000e+00 0.000000e+00
1.232047e-10 0.000000e+00 0.000000e+00
1.582253e-09 0.000000e+00 0.000000e+00
3.366182e-08 0.000000e+00 0.000000e+00
-3.340576e-08 0.000000e+00 0.000000e+00
3.630702e-08 0.000000e+00 0.000000e+00
3.582898e-08 0.000000e+00 0.000000e+00
3.564050e-08 0.000000e+00 0.000000e+00
3.519946e-08 0.000000e+00 0.000000e+00
-1.900487e-08 0.000000e+00 0.000000e+00
-5.151771e-09 0.000000e+00 0.000000e+00
6.421978e-09 0.000000e+00 0.000000e+00
3.493835e-08 0.000000e+00 0.000000e+00
-3.949899e-08 0.000000e+00 0.000000e+00
4.649438e-08 0.000000e+00 0.000000e+00
-2.280412e-09 0.000000e+00 0.000000e+00
-1.844565e-09 0.000000e+00 0.000000e+00
5.928496e-09 0.000000e+00 0.000000e+00
3.024384e-08 0.000000e+00 0.000000e+00
2.345930e-08 0.000000e+00 0.000000e+00
5.715638e-09 0.000000e+00 0.000000e+00
1.692650e-08 0.000000e+00 0.000000e+00
-3.735244e-08 0.000000e+00 0.000000e+00
2.605008e-08 0.000000e+00 0.000000e+00
3.846569e-08 0.000000e+00 0.000000e+00
-1.250182e-08 0.000000e+00 0.000000e+00
-3.398642e-08 0.000000e+00 0.000000e+00
1.834166e-09 0.000000e+00 0.000000e+00
-1.240702e-08 0.000000e+00 0.000000e+00
-9.598355e-09 0.000000e+00 0.000000e+00
-9.339685e-09 0.000000e+00 0.000000e+00
-9.817488e-09 0.000000e+00 0.000000e+00
4.429613e-08 0.000000e+00 0.000000e+00
4.586161e-09 0.000000e+00 0.000000e+00
3.029343e-08 0.000000e+00 0.000000e+00
-1.535395e-08 0.000000e+00 0.000000e+00
-1.685988e-08 0.000000e+00 0.000000e+00
-2.129729e-08 0.000000e+00 0.000000e+00
-1.432756e-08 0.000000e+00 0.000000e+00
-1.744979e-08 0.000000e+00 0.000000e+00
2.268876e-08 0.000000e+00 0.000000e+00
2.041923e-08 0.000000e+00 0.000000e+00
2.218264e-08 0.000000e+00 0.000000e+00
2.210332e-08 0.000000e+00 0.000000e+00
2.228390e-08 0.000000e+00 0.000000e+00
4.574486e-08 0.000000e+00 0.000000e+00
3.918926e-08 0.000000e+00 0.000000e+00
-3.182660e-08 0.000000e+00 0.000000e+00
1.974780e-08 0.000000e+00 0.000000e+00
-2.136645e-08 0.000000e+00 0.000000e+00
-1.734508e-08 0.000000e+00 0.000000e+00
-3.023322e-09 0.000000e+00 0.000000e+00
2.699587e-08 0.000000e+00 0.000000e+00
2.140852e-08 0.000000e+00 0.000000e+00
8.029453e-09 0.000000e+00 0.000000e+00
-2.778038e-08 0.000000e+00 0.000000e+00
2.150141e-08 0.000000e+00 0.000000e+00
2.032130e-08 0.000000e+00 0.000000e+00
-4.004907e-08 0.000000e+00 0.000000e+00
1.233384e-08 0.000000e+00 0.000000e+00
2.170540e-08 0.000000e+00 0.000000e+00
1.327678e-08 0.000000e+00 0.000000e+00
6.827775e-09 0.000000e+00 0.000000e+00
-2.754308e-08 0.000000e+00 0.000000e+00
-2.871630e-08 0.000000e+00 0.000000e+00
-2.916466e-08 0.000000e+00 0.000000e+00
-2.997231e-08 0.000000e+00 0.000000e+00
3.112376e-08 0.000000e+00 0.000000e+00
-1.199458e-07 0.000000e+00 0.000000e+00
-1.362677e-08 0.000000e+00 0.000000e+00
5.364194e-08 0.000000e+00 0.000000e+00
2.938096e-08 0.000000e+00 0.000000e+00
-1.137076e-08 0.000000e+00 0.000000e+00
2.506936e-08 0.000000e+00 0.000000e+00
2.229328e-08 0.000000e+00 0.000000e+00
-3.074031e-08 0.000000e+00 0.000000e+00
-3.650518e-08 0.000000e+00 0.000000e+00
-5.376527e-08 0.000000e+00 0.000000e+00
-3.828069e-08 0.000000e+00 0.000000e+00
-1.906508e-08 0.000000e+00 0.000000e+00
5.279400e-08 0.000000e+00 0.000000e+00
5.468887e-08 0.000000e+00 0.000000e+00
2.009665e-08 0.000000e+00 0.000000e+00
-5.519424e-08 0.000000e+00 0.000000e+00
1.601640e-08 0.000000e+00 0.000000e+00
-1.187311e-08 0.000000e+00 0.000000e+00
2.079541e-08 0.000000e+00 0.000000e+00
6.022857e-09 0.000000e+00 0.000000e+00
1.747101e-08 0.000000e+00 0.000000e+00
4.272444e-08 0.000000e+00 0.000000e+00
2.282600e-08 0.000000e+00 0.000000e+00
-6.786614e-08 0.000000e+00 0.000000e+00
-2.648365e-08 0.000000e+00 0.000000e+00
4.689311e-08 0.000000e+00 0.000000e+00
