FX FY FZ 
4.880059e-10 0.000000e+00 0.000000e+00
-1.156932e-09 0.000000e+00 0.000000e+00
6.326215e-10 0.000000e+00 0.000000e+00
1.931873e-10 0.000000e+00 0.000000e+00
1.606736e-10 0.000000e+00 0.000000e+00
4.476349e-10 0.000000e+00 0.000000e+00
1.156002e-10 0.000000e+00 0.000000e+00
-1.742689e-10 0.000000e+00 0.000000e+00
-3.678714e-10 0.000000e+00 0.000000e+00
4.768588e-10 0.000000e+00 0.000000e+00
5.972256e-10 0.000000e+00 0.000000e+00
-2.501643e-10 0.000000e+00 0.000000e+00
-3.369175e-10 0.000000e+00 0.000000e+00
-3.024440e-10 0.000000e+00 0.000000e+00
-1.944225e-11 0.000000e+00 0.000000e+00
-1.517976e-09 0.000000e+00 0.000000e+00
-1.388813e-09 0.000000e+00 0.000000e+00
-1.290946e-09 0.000000e+00 0.000000e+00
-1.232328e-09 0.000000e+00 0.000000e+00
-1.346141e-09 0.000000e+00 0.000000e+00
-8.615187e-10 0.000000e+00 0.000000e+00
-8.469724e-10 0.000000e+00 0.000000e+00
9.265420e-11 0.000000e+00 0.000000e+00
3.030921e-10 0.000000e+00 0.000000e+00
4.334216e-10 0.000000e+00 0.000000e+00
4.462253e-10 0.000000e+00 0.000000e+00
5.552935e-10 0.000000e+00 0.000000e+00
5.642014e-10 0.000000e+00 0.000000e+00
6.265245e-10 0.000000e+00 0.000000e+00
6.258067e-10 0.000000e+00 0.000000e+00
6.327741e-10 0.000000e+00 0.000000e+00
6.325103e-10 0.000000e+00 0.000000e+00
6.130763e-10 0.000000e+00 0.000000e+00
6.297119e-10 0.000000e+00 0.000000e+00
6.216850e-10 0.000000e+00 0.000000e+00
6.199398e-10 0.000000e+00 0.000000e+00
5.515622e-10 0.000000e+00 0.000000e+00
5.742934e-10 0.000000e+00 0.000000e+00
6.014906e-10 0.000000e+00 0.000000e+00
6.189363e-10 0.000000e+00 0.000000e+00
5.963542e-10 0.000000e+00 0.000000e+00
6.312659e-10 0.000000e+00 0.000000e+00
6.314662e-10 0.000000e+00 0.000000e+00
4.996176e-10 0.000000e+00 0.000000e+00
2.904997e-10 0.000000e+00 0.000000e+00
2.678044e-10 0.000000e+00 0.000000e+00
2.858916e-10 0.000000e+00 0.000000e+00
1.535042e-10 0.000000e+00 0.000000e+00
-1.501625e-10 0.000000e+00 0.000000e+00
-1.409852e-10 0.000000e+00 0.000000e+00
1.119270e-10 0.000000e+00 0.000000e+00
2.174442e-10 0.000000e+00 0.000000e+00
7.594576e-11 0.000000e+00 0.000000e+00
-1.601764e-09 0.000000e+00 0.000000e+00
-1.017217e-09 0.000000e+00 0.000000e+00
-1.079238e-09 0.000000e+00 0.000000e+00
-8.358707e-10 0.000000e+00 0.000000e+00
-5.548676e-10 0.000000e+00 0.000000e+00
5.423876e-10 0.000000e+00 0.000000e+00
-7.078793e-11 0.000000e+00 0.000000e+00
5.942137e-10 0.000000e+00 0.000000e+00
5.411207e-10 0.000000e+00 0.000000e+00
5.352712e-10 0.000000e+00 0.000000e+00
5.864646e-10 0.000000e+00 0.000000e+00
4.233829e-10 0.000000e+00 0.000000e+00
3.586783e-10 0.000000e+00 0.000000e+00
3.284711e-10 0.000000e+00 0.000000e+00
3.256989e-10 0.000000e+00 0.000000e+00
-6.108151e-10 0.000000e+00 0.000000e+00
-6.547216e-10 0.000000e+00 0.000000e+00
5.872207e-10 0.000000e+00 0.000000e+00
5.248593e-10 0.000000e+00 0.000000e+00
6.285597e-10 0.000000e+00 0.000000e+00
5.166499e-10 0.000000e+00 0.000000e+00
2.288230e-10 0.000000e+00 0.000000e+00
2.193795e-10 0.000000e+00 0.000000e+00
1.738994e-10 0.000000e+00 0.000000e+00
3.650450e-10 0.000000e+00 0.000000e+00
3.332773e-10 0.000000e+00 0.000000e+00
3.318104e-10 0.000000e+00 0.000000e+00
3.427169e-10 0.000000e+00 0.000000e+00
3.452256e-10 0.000000e+00 0.000000e+00
3.685576e-10 0.000000e+00 0.000000e+00
-3.026880e-10 0.000000e+00 0.000000e+00
-3.284931e-10 0.000000e+00 0.000000e+00
-3.173112e-10 0.000000e+00 0.000000e+00
-3.241623e-10 0.000000e+00 0.000000e+00
-3.746171e-10 0.000000e+00 0.000000e+00
-4.134196e-10 0.000000e+00 0.000000e+00
-4.563028e-10 0.000000e+00 0.000000e+00
-5.422692e-10 0.000000e+00 0.000000e+00
-5.296969e-10 0.000000e+00 0.000000e+00
-1.829797e-09 0.000000e+00 0.000000e+00
-1.850632e-09 0.000000e+00 0.000000e+00
-1.027780e-09 0.000000e+00 0.000000e+00
-1.037267e-09 0.000000e+00 0.000000e+00
-1.037411e-09 0.000000e+00 0.000000e+00
-7.035021e-10 0.000000e+00 0.000000e+00
-6.695566e-10 0.000000e+00 0.000000e+00
-7.119002e-10 0.000000e+00 0.000000e+00
-3.589260e-10 0.000000e+00 0.000000e+00
-4.742826e-10 0.000000e+00 0.000000e+00
-4.638072e-10 0.000000e+00 0.000000e+00
-5.593768e-10 0.000000e+00 0.000000e+00
-6.511071e-10 0.000000e+00 0.000000e+00
-1.249499e-09 0.000000e+00 0.000000e+00
-1.238149e-09 0.000000e+00 0.000000e+00
-1.589412e-09 0.000000e+00 0.000000e+00
1.321607e-10 0.000000e+00 0.000000e+00
1.342931e-10 0.000000e+00 0.000000e+00
1.439764e-10 0.000000e+00 0.000000e+00
2.027072e-10 0.000000e+00 0.000000e+00
2.176455e-10 0.000000e+00 0.000000e+00
2.323397e-10 0.000000e+00 0.000000e+00
7.590742e-11 0.000000e+00 0.000000e+00
-1.061445e-10 0.000000e+00 0.000000e+00
6.742259e-13 0.000000e+00 0.000000e+00
-2.045817e-11 0.000000e+00 0.000000e+00
-1.946408e-10 0.000000e+00 0.000000e+00
-1.512040e-10 0.000000e+00 0.000000e+00
-1.333320e-10 0.000000e+00 0.000000e+00
6.327748e-10 0.000000e+00 0.000000e+00
5.974691e-10 0.000000e+00 0.000000e+00
5.837883e-10 0.000000e+00 0.000000e+00
6.313999e-10 0.000000e+00 0.000000e+00
6.101165e-10 0.000000e+00 0.000000e+00
5.803773e-10 0.000000e+00 0.000000e+00
6.209418e-10 0.000000e+00 0.000000e+00
5.609075e-10 0.000000e+00 0.000000e+00
6.322710e-10 0.000000e+00 0.000000e+00
6.279091e-10 0.000000e+00 0.000000e+00
5.974503e-10 0.000000e+00 0.000000e+00
1.978034e-10 0.000000e+00 0.000000e+00
1.268261e-10 0.000000e+00 0.000000e+00
1.367250e-10 0.000000e+00 0.000000e+00
2.516091e-10 0.000000e+00 0.000000e+00
1.242473e-10 0.000000e+00 0.000000e+00
-1.442011e-12 0.000000e+00 0.000000e+00
-1.952184e-11 0.000000e+00 0.000000e+00
6.028436e-10 0.000000e+00 0.000000e+00
6.207888e-10 0.000000e+00 0.000000e+00
6.209082e-10 0.000000e+00 0.000000e+00
6.203506e-10 0.000000e+00 0.000000e+00
6.125722e-10 0.000000e+00 0.000000e+00
4.760669e-10 0.000000e+00 0.000000e+00
7.001818e-11 0.000000e+00 0.000000e+00
5.929854e-10 0.000000e+00 0.000000e+00
