FX FY FZ 
3.295727e-10 0.000000e+00 0.000000e+00
3.275887e-10 0.000000e+00 0.000000e+00
4.573012e-10 0.000000e+00 0.000000e+00
5.570601e-10 0.000000e+00 0.000000e+00
3.647771e-10 0.000000e+00 0.000000e+00
-2.235315e-10 0.000000e+00 0.000000e+00
-3.258036e-10 0.000000e+00 0.000000e+00
1.039417e-10 0.000000e+00 0.000000e+00
-1.177997e-10 0.000000e+00 0.000000e+00
-5.068035e-10 0.000000e+00 0.000000e+00
4.783232e-10 0.000000e+00 0.000000e+00
5.440201e-10 0.000000e+00 0.000000e+00
5.259782e-10 0.000000e+00 0.000000e+00
3.125425e-11 0.000000e+00 0.000000e+00
2.547905e-10 0.000000e+00 0.000000e+00
3.966833e-10 0.000000e+00 0.000000e+00
-6.775754e-10 0.000000e+00 0.000000e+00
-8.491720e-10 0.000000e+00 0.000000e+00
-1.063476e-09 0.000000e+00 0.000000e+00
-1.208806e-09 0.000000e+00 0.000000e+00
-7.991538e-10 0.000000e+00 0.000000e+00
-7.337453e-10 0.000000e+00 0.000000e+00
-1.575008e-10 0.000000e+00 0.000000e+00
4.254798e-10 0.000000e+00 0.000000e+00
5.905560e-10 0.000000e+00 0.000000e+00
5.016295e-10 0.000000e+00 0.000000e+00
1.997682e-10 0.000000e+00 0.000000e+00
5.696158e-11 0.000000e+00 0.000000e+00
2.901059e-10 0.000000e+00 0.000000e+00
-3.342811e-11 0.000000e+00 0.000000e+00
-7.177819e-11 0.000000e+00 0.000000e+00
-2.602525e-10 0.000000e+00 0.000000e+00
-4.337868e-10 0.000000e+00 0.000000e+00
4.430728e-10 0.000000e+00 0.000000e+00
1.543151e-10 0.000000e+00 0.000000e+00
-2.003015e-10 0.000000e+00 0.000000e+00
1.286341e-10 0.000000e+00 0.000000e+00
1.844343e-10 0.000000e+00 0.000000e+00
3.699349e-10 0.000000e+00 0.000000e+00
6.240306e-10 0.000000e+00 0.000000e+00
6.110577e-10 0.000000e+00 0.000000e+00
6.185120e-10 0.000000e+00 0.000000e+00
5.769642e-10 0.000000e+00 0.000000e+00
