step K U E temp
0 3.625093e-22 -4.106075e-20 -4.069824e-20 5.251288e+01
1000 3.243989e-22 -4.082055e-20 -4.049615e-20 4.699223e+01
2000 5.369845e-25 -3.593689e-20 -3.593635e-20 7.778726e-02
3000 2.892047e-23 -3.497130e-20 -3.494238e-20 4.189402e+00
4000 8.064022e-21 -3.870094e-20 -3.063692e-20 1.168149e+03
5000 3.495314e-21 -3.956497e-20 1.139303e-19 5.063292e+02
6000 2.444681e-21 -4.065862e-20 6.178606e-20 3.541350e+02
7000 2.003219e-22 -4.049914e-20 5.970118e-20 2.901852e+01
8000 1.113303e-21 -4.106536e-20 6.004794e-20 1.612724e+02
9000 2.234060e-22 -3.476776e-20 6.545565e-20 3.236246e+01
10000 1.071692e-21 -4.081406e-20 2.102576e-19 1.552447e+02
11000 2.536294e-21 -3.874292e-20 1.637934e-19 3.674061e+02
12000 8.232545e-24 -4.101904e-20 1.589892e-19 1.192562e+00
13000 1.024030e-21 -4.105518e-20 1.599688e-19 1.483404e+02
14000 1.442128e-22 -3.913244e-20 1.610118e-19 2.089058e+01
15000 8.857979e-22 -4.090463e-20 3.099812e-19 1.283162e+02
16000 2.977416e-21 -4.109402e-20 2.618834e-19 4.313067e+02
17000 7.239241e-22 -4.108253e-20 2.596421e-19 1.048672e+02
18000 6.021115e-22 -4.109332e-20 2.595088e-19 8.722151e+01
19000 6.975252e-22 -4.103784e-20 2.596610e-19 1.010431e+02
20000 1.500547e-21 -4.108693e-20 4.104138e-19 2.173684e+02
21000 6.587202e-22 -4.105476e-20 3.596041e-19 9.542182e+01
22000 4.802713e-22 -4.109960e-20 3.650460e-19 6.957181e+01
23000 1.306570e-22 -4.093453e-20 3.650212e-19 1.892689e+01
24000 3.328518e-23 -4.102235e-20 3.590209e-19 4.821672e+00
25000 2.612861e-21 -4.105930e-20 5.115538e-19 3.784975e+02
26000 3.097133e-23 -4.101107e-20 4.645846e-19 4.486488e+00
27000 1.229107e-21 -4.101334e-20 4.653832e-19 1.780478e+02
28000 2.648046e-21 -4.104930e-20 4.734678e-19 3.835944e+02
29000 1.185872e-21 -4.105501e-20 4.763183e-19 1.717847e+02
30000 4.461239e-22 -4.101799e-20 6.140250e-19 6.462525e+01
31000 2.480611e-21 -4.109956e-20 5.677505e-19 3.593399e+02
32000 2.763285e-21 -4.109971e-20 5.686458e-19 4.002878e+02
33000 2.230698e-21 -4.109359e-20 5.695696e-19 3.231376e+02
34000 5.458887e-23 -4.109994e-20 5.676687e-19 7.907712e+00
35000 3.440791e-21 -4.109829e-20 7.170679e-19 4.984310e+02
