step K U E temp
0 2.115054e-21 -3.769027e-20 -3.557521e-20 3.063855e+02
1000 2.147460e-21 -4.106011e-20 -3.891265e-20 3.110798e+02
2000 9.978063e-22 -3.568426e-20 -3.468645e-20 1.445416e+02
3000 7.935979e-22 -3.070426e-20 -2.991066e-20 1.149601e+02
4000 7.521142e-23 -3.333491e-20 -3.325969e-20 1.089508e+01
5000 2.471614e-21 -3.821304e-20 2.425857e-20 3.580366e+02
6000 1.292678e-20 -3.682007e-20 1.610676e-20 1.872566e+03
7000 1.238484e-20 -3.148113e-20 2.090372e-20 1.794061e+03
8000 9.293948e-26 -4.093051e-20 -9.304148e-22 1.346316e-02
9000 3.737636e-24 -4.034439e-20 -3.406521e-22 5.414317e-01
10000 2.975645e-21 -3.867001e-20 6.430564e-20 4.310502e+02
11000 2.040926e-24 -4.108377e-20 3.891827e-20 2.956473e-01
12000 4.585998e-22 -4.095528e-20 3.950332e-20 6.643250e+01
13000 1.070667e-21 -4.070598e-20 4.036469e-20 1.550962e+02
14000 1.081252e-20 -4.110000e-20 4.971252e-20 1.566295e+03
15000 1.158620e-22 -4.067626e-20 9.943961e-20 1.678370e+01
16000 8.769358e-22 -3.899180e-20 8.193648e-20 1.270324e+02
17000 4.914762e-21 -4.036349e-20 8.473777e-20 7.119495e+02
18000 9.233847e-22 -4.011030e-20 8.081315e-20 1.337610e+02
19000 1.433944e-22 -3.920537e-20 8.093876e-20 2.077202e+01
20000 6.062328e-21 -4.027968e-20 1.458001e-19 8.781853e+02
21000 5.602557e-21 -3.923464e-20 1.264241e-19 8.115830e+02
22000 7.756320e-22 -3.978454e-20 1.209911e-19 1.123576e+02
23000 1.445309e-21 -4.105782e-20 1.203875e-19 2.093666e+02
24000 1.859091e-22 -4.090313e-20 1.192828e-19 2.693069e+01
25000 1.977528e-21 -4.098480e-20 1.809927e-19 2.864636e+02
26000 2.196846e-21 -4.096237e-20 1.612374e-19 3.182338e+02
27000 3.523675e-22 -4.092876e-20 1.594597e-19 5.104375e+01
28000 3.474596e-21 -4.108577e-20 1.624330e-19 5.033279e+02
29000 3.131775e-21 -4.101505e-20 1.621167e-19 4.536671e+02
30000 6.743257e-25 -4.014808e-20 2.198526e-19 9.768242e-02
31000 1.817038e-21 -3.366759e-20 2.081495e-19 2.632151e+02
32000 1.275028e-20 -3.811443e-20 2.148224e-19 1.846997e+03
33000 3.311940e-21 -3.716835e-20 2.061436e-19 4.797657e+02
34000 4.854783e-21 -3.364203e-20 2.112128e-19 7.032610e+02
35000 2.503085e-24 -3.619506e-20 2.638074e-19 3.625955e-01
36000 5.818898e-21 -4.086643e-20 2.458165e-19 8.429222e+02
37000 1.379209e-21 -4.109189e-20 2.402873e-19 1.997915e+02
38000 2.444130e-21 -4.109923e-20 2.413450e-19 3.540553e+02
39000 1.618943e-21 -4.108545e-20 2.405335e-19 2.345191e+02
40000 1.174559e-20 -4.104313e-20 3.107025e-19 1.701459e+03
41000 2.741727e-21 -4.076193e-20 2.819891e-19 3.971649e+02
42000 9.277894e-21 -4.067955e-20 2.885984e-19 1.343990e+03
43000 5.068778e-21 -4.068305e-20 2.843858e-19 7.342602e+02
44000 2.290220e-22 -3.943925e-20 2.807900e-19 3.317599e+01
45000 2.076343e-21 -3.786242e-20 3.442154e-19 3.007778e+02
46000 1.619885e-25 -3.738802e-20 3.238528e-19 2.346556e-02
47000 5.885224e-22 -3.720116e-20 3.234885e-19 8.525301e+01
48000 3.823403e-21 -3.711754e-20 3.267349e-19 5.538560e+02
49000 4.456090e-21 -3.685412e-20 3.278635e-19 6.455066e+02
50000 5.582351e-22 -4.058209e-20 3.799782e-19 8.086560e+01
51000 1.344696e-20 -4.109787e-20 3.725945e-19 1.947919e+03
52000 6.602003e-22 -4.109840e-20 3.595639e-19 9.563622e+01
53000 6.585750e-22 -4.108761e-20 3.625162e-19 9.540079e+01
54000 1.975667e-21 -4.109647e-20 3.613207e-19 2.861939e+02
55000 3.900977e-22 -4.108513e-20 4.193562e-19 5.650933e+01
56000 3.805926e-22 -4.109465e-20 4.002563e-19 5.513242e+01
57000 6.681095e-21 -3.807366e-20 4.196924e-19 9.678194e+02
58000 3.619966e-22 -3.822975e-20 4.062906e-19 5.243861e+01
59000 1.412693e-22 -3.936338e-20 4.007801e-19 2.046418e+01
60000 3.966501e-22 -3.982750e-20 4.612503e-19 5.745850e+01
61000 5.020216e-23 -4.077492e-20 4.402668e-19 7.272255e+00
62000 9.490516e-23 -4.079485e-20 4.398103e-19 1.374790e+01
63000 1.959093e-21 -4.079281e-20 4.417106e-19 2.837931e+02
64000 7.506080e-22 -3.933755e-20 4.414676e-19 1.087326e+02
65000 3.580306e-22 -3.959011e-20 5.051777e-19 5.186411e+01
66000 5.782725e-23 -3.705201e-20 4.830253e-19 8.376821e+00
67000 1.288405e-21 -3.693536e-20 4.844347e-19 1.866375e+02
68000 1.329219e-21 -3.705713e-20 4.842913e-19 1.925499e+02
69000 3.542633e-23 -3.647703e-20 4.928211e-19 5.131838e+00
70000 1.694082e-22 -3.820902e-20 5.465998e-19 2.454037e+01
71000 2.492899e-22 -3.918376e-20 5.217260e-19 3.611198e+01
72000 1.536805e-23 -3.922545e-20 5.218513e-19 2.226206e+00
73000 1.099919e-21 -3.905570e-20 5.235091e-19 1.593336e+02
74000 9.632422e-21 -3.925349e-20 5.319386e-19 1.395347e+03
75000 1.165091e-20 -3.925555e-20 5.940001e-19 1.687744e+03
76000 4.583100e-21 -2.488380e-20 5.796993e-19 6.639051e+02
77000 6.671301e-22 -3.361204e-20 5.670551e-19 9.664007e+01
78000 8.768690e-21 -3.689097e-20 5.720344e-19 1.270227e+03
79000 7.036835e-21 -3.475296e-20 5.722839e-19 1.019352e+03
80000 1.169569e-22 -3.321719e-20 6.268998e-19 1.694230e+01
81000 1.079405e-22 -3.684293e-20 6.035688e-19 1.563620e+01
82000 4.809596e-22 -3.684267e-20 6.039431e-19 6.967153e+01
83000 3.994998e-21 -3.698056e-20 6.070559e-19 5.787130e+02
84000 1.534650e-20 -3.729994e-20 6.184640e-19 2.223085e+03
85000 1.451387e-21 -3.728319e-20 6.645010e-19 2.102470e+02
86000 2.732326e-22 -3.457838e-20 6.456949e-19 3.958031e+01
