step K U E temp
0 1.327289e-22 -4.109120e-18 -4.108987e-18 1.922704e+01
1000 1.888724e-23 -4.105995e-18 -4.105976e-18 2.735995e+00
2000 1.410065e-21 -4.090157e-18 -4.088747e-18 2.042612e+02
3000 1.005109e-21 -4.109543e-18 -4.108537e-18 1.455995e+02
4000 1.552973e-23 -4.108661e-18 -4.108646e-18 2.249628e+00
5000 2.486247e-22 -4.109988e-18 -3.929740e-18 3.601563e+01
6000 3.896331e-21 -4.107741e-18 -3.981376e-18 5.644202e+02
7000 2.203710e-21 -4.105219e-18 -3.982926e-18 3.192281e+02
8000 3.441448e-21 -4.104495e-18 -3.981019e-18 4.985262e+02
9000 4.295584e-21 -4.105756e-18 -3.981280e-18 6.222558e+02
10000 1.577297e-22 -4.108719e-18 -3.799441e-18 2.284863e+01
11000 8.443180e-23 -4.103372e-18 -3.858858e-18 1.223074e+01
12000 1.131925e-23 -4.101062e-18 -3.860267e-18 1.639700e+00
13000 8.338905e-21 -4.103618e-18 -3.850014e-18 1.207969e+03
14000 7.519024e-21 -4.102099e-18 -3.852836e-18 1.089201e+03
15000 3.348422e-21 -4.097528e-18 -3.674138e-18 4.850504e+02
16000 1.636346e-23 -4.105148e-18 -3.744816e-18 2.370402e+00
17000 1.764431e-21 -4.105208e-18 -3.743105e-18 2.555945e+02
18000 8.072029e-22 -4.108239e-18 -3.737359e-18 1.169309e+02
19000 1.599084e-22 -4.105101e-18 -3.744641e-18 2.316424e+01
20000 8.689022e-22 -4.105463e-18 -3.564143e-18 1.258687e+02
21000 6.611470e-22 -4.095049e-18 -3.612585e-18 9.577337e+01
22000 1.199805e-21 -4.096425e-18 -3.611619e-18 1.738030e+02
23000 6.406739e-21 -4.082831e-18 -3.596423e-18 9.280764e+02
24000 5.298767e-21 -4.084913e-18 -3.599610e-18 7.675763e+02
25000 1.862878e-22 -4.096172e-18 -3.432801e-18 2.698554e+01
26000 5.060541e-21 -4.082362e-18 -3.473233e-18 7.330669e+02
27000 2.887411e-22 -4.081248e-18 -3.478169e-18 4.182686e+01
