step K U E temp
0 3.314076e-22 -4.089520e-20 -4.056379e-20 4.800751e+01
1000 1.890557e-23 -3.790159e-20 -3.788268e-20 2.738650e+00
2000 1.751026e-22 -3.710340e-20 -3.692830e-20 2.536526e+01
3000 6.746811e-21 -4.101424e-20 -3.426742e-20 9.773391e+02
4000 2.680071e-21 -3.664270e-20 -3.396263e-20 3.882336e+02
5000 4.610570e-21 -4.109233e-20 2.351824e-20 6.678844e+02
6000 1.146067e-21 -3.929935e-20 1.846717e-21 1.660186e+02
7000 6.646011e-21 -4.008818e-20 6.557828e-21 9.627373e+02
8000 2.442037e-22 -4.019036e-20 4.005384e-20 3.537520e+01
9000 1.093231e-21 -2.917787e-20 5.191536e-20 1.583648e+02
10000 9.891125e-22 -4.109998e-20 8.870975e-20 1.432823e+02
11000 1.229624e-22 -3.858475e-20 1.215382e-19 1.781226e+01
12000 1.808835e-22 -4.080392e-20 1.193770e-19 2.620268e+01
13000 8.992140e-22 -4.071121e-20 1.201880e-19 1.302596e+02
14000 1.047034e-24 -3.035876e-20 1.746365e-19 1.516727e-01
15000 3.231772e-22 -2.404185e-20 1.762813e-19 4.681525e+01
16000 3.951857e-23 -4.102478e-20 1.681535e-19 5.724637e+00
17000 1.476171e-21 -4.079405e-20 1.606821e-19 2.138373e+02
18000 9.456948e-21 -4.014492e-20 1.693120e-19 1.369928e+03
19000 4.383466e-21 -4.051953e-20 1.638639e-19 6.349863e+02
20000 1.216640e-21 -4.008587e-20 1.611308e-19 1.762418e+02
21000 2.273398e-21 -3.412266e-20 1.681507e-19 3.293231e+02
22000 1.521524e-21 -4.078271e-20 1.607388e-19 2.204070e+02
23000 3.332147e-22 -3.734046e-20 1.629928e-19 4.826929e+01
24000 4.431253e-22 -3.894080e-20 1.615023e-19 6.419087e+01
25000 1.262631e-21 -3.856897e-20 2.026938e-19 1.829039e+02
26000 2.915703e-23 -3.461421e-20 2.054150e-19 4.223670e+00
27000 1.920035e-21 -3.789623e-20 2.040238e-19 2.781352e+02
28000 7.167171e-22 -4.068032e-20 2.000364e-19 1.038232e+02
29000 3.116583e-23 -4.043525e-20 1.995959e-19 4.514664e+00
30000 1.245668e-23 -4.043893e-20 1.995735e-19 1.804467e+00
31000 4.255302e-21 -4.082510e-20 2.034303e-19 6.164206e+02
32000 2.311675e-21 -3.852864e-20 2.437830e-19 3.348679e+02
33000 3.073594e-21 -3.958022e-20 2.434934e-19 4.452391e+02
34000 1.882086e-21 -3.922225e-20 2.426598e-19 2.726379e+02
35000 4.390882e-21 -4.011818e-20 2.444015e-19 6.360606e+02
36000 9.836193e-21 -4.104662e-20 2.903266e-19 1.424865e+03
37000 1.401791e-23 -4.070007e-20 2.797028e-19 2.030626e+00
38000 7.296000e-21 -4.099374e-20 2.863180e-19 1.056894e+03
39000 7.049170e-22 -4.089354e-20 2.798114e-19 1.021139e+02
40000 2.174917e-22 -3.879454e-20 2.814285e-19 3.150572e+01
41000 1.841499e-23 -3.955668e-20 2.804617e-19 2.667585e+00
42000 3.273340e-22 -3.934070e-20 2.809866e-19 4.741741e+01
43000 1.504406e-22 -4.006607e-20 2.801132e-19 2.179274e+01
44000 9.789061e-21 -4.009186e-20 2.897589e-19 1.418038e+03
45000 1.900106e-21 -4.009931e-20 2.818771e-19 2.752483e+02
46000 1.932688e-21 -3.905477e-20 2.828779e-19 2.799681e+02
47000 6.530436e-25 -3.967956e-20 2.803211e-19 9.459951e-02
48000 3.477803e-21 -4.023013e-20 2.850581e-19 5.037925e+02
49000 1.234521e-21 -4.008488e-20 2.812000e-19 1.788320e+02
50000 3.434520e-24 -3.896317e-20 2.810403e-19 4.975226e-01
51000 3.686209e-23 -4.001432e-20 3.200281e-19 5.339820e+00
52000 8.545881e-22 -4.007482e-20 3.208172e-19 1.237951e+02
53000 1.288722e-23 -4.000461e-20 3.200123e-19 1.866835e+00
54000 4.603959e-22 -4.006979e-20 3.204228e-19 6.669268e+01
55000 3.097308e-23 -4.064185e-20 4.017110e-19 4.486742e+00
56000 1.033232e-20 -4.075260e-20 4.097004e-19 1.496734e+03
57000 6.885782e-21 -4.100326e-20 4.497437e-19 9.974703e+02
58000 3.703143e-22 -4.087133e-20 4.395006e-19 5.364351e+01
59000 4.232931e-23 -4.076994e-20 4.392724e-19 6.131799e+00
60000 5.571492e-21 -4.019945e-20 4.453750e-19 8.070830e+02
61000 2.641572e-21 -4.082800e-20 4.418136e-19 3.826566e+02
62000 3.729074e-23 -4.096285e-20 4.395757e-19 5.401915e+00
63000 6.510631e-21 -3.827211e-20 4.882385e-19 9.431261e+02
64000 2.109015e-22 -3.747257e-20 4.827383e-19 3.055107e+01
65000 6.500095e-21 -3.972949e-20 4.995320e-19 9.415999e+02
66000 1.894512e-21 -3.812432e-20 5.427850e-19 2.744379e+02
67000 1.259742e-21 -3.887911e-20 5.235849e-19 1.824855e+02
68000 5.928946e-23 -3.879100e-20 5.215790e-19 8.588636e+00
69000 9.073488e-21 -3.869867e-20 5.304759e-19 1.314380e+03
70000 2.975555e-21 -2.662576e-20 5.363498e-19 4.310371e+02
71000 9.495835e-21 -3.395153e-20 5.355443e-19 1.375561e+03
72000 2.366132e-21 -3.066023e-20 5.317059e-19 3.427565e+02
73000 3.093137e-22 -3.332623e-20 5.269831e-19 4.480700e+01
74000 1.234935e-22 -3.674316e-20 5.674263e-19 1.788920e+01
75000 5.906997e-21 -3.492238e-20 6.109846e-19 8.556841e+02
76000 8.810308e-22 -3.427746e-20 6.066036e-19 1.276256e+02
77000 8.205655e-21 -3.497546e-20 6.132302e-19 1.188666e+03
78000 2.278639e-21 -2.835197e-20 6.139267e-19 3.300823e+02
79000 1.411643e-23 -3.281156e-20 6.072026e-19 2.044898e+00
80000 2.052633e-21 -3.424103e-20 6.078116e-19 2.973432e+02
81000 4.694959e-25 -3.093592e-20 6.890682e-19 6.801090e-02
82000 6.586671e-22 -3.105248e-20 6.896240e-19 9.541413e+01
83000 2.115717e-21 -2.731403e-20 6.948017e-19 3.064815e+02
84000 3.119403e-22 -1.957291e-20 7.407390e-19 4.518749e+01
