step K U E temp
0 3.111029e-23 -4.109930e-18 -4.109899e-18 4.506619e+00
1000 7.898565e-23 -4.106849e-18 -4.106770e-18 1.144181e+01
2000 8.374192e-21 -4.106599e-18 -4.098225e-18 1.213081e+03
3000 1.866742e-22 -4.108034e-18 -4.107847e-18 2.704151e+01
4000 9.422514e-21 -4.108463e-18 -4.099041e-18 1.364940e+03
5000 1.010127e-21 -4.101453e-18 -3.950443e-18 1.463264e+02
6000 1.018204e-21 -4.109750e-18 -4.008685e-18 1.474964e+02
7000 2.021503e-22 -4.109698e-18 -4.009495e-18 2.928338e+01
8000 2.169398e-21 -4.109763e-18 -4.007549e-18 3.142578e+02
9000 7.941825e-21 -4.108368e-18 -4.000426e-18 1.150448e+03
10000 1.047703e-22 -4.107699e-18 -3.878988e-18 1.517697e+01
11000 1.213472e-21 -4.107083e-18 -3.905835e-18 1.757829e+02
12000 5.179651e-21 -4.107298e-18 -3.902068e-18 7.503212e+02
13000 1.181691e-21 -4.104836e-18 -3.903653e-18 1.711790e+02
14000 1.222906e-22 -4.108867e-18 -3.907749e-18 1.771494e+01
15000 5.296479e-22 -4.106796e-18 -3.906245e-18 7.672448e+01
16000 4.205034e-22 -4.107045e-18 -3.906592e-18 6.091388e+01
17000 4.335553e-22 -4.094714e-18 -3.794147e-18 6.280456e+01
18000 1.341089e-21 -4.095251e-18 -3.793715e-18 1.942694e+02
19000 9.575796e-22 -4.107339e-18 -3.680515e-18 1.387144e+02
20000 7.116360e-22 -4.087934e-18 -3.685095e-18 1.030872e+02
21000 4.949532e-24 -4.090647e-18 -3.684270e-18 7.169864e-01
22000 7.965220e-23 -4.094498e-18 -3.568726e-18 1.153837e+01
23000 2.992604e-21 -4.061309e-18 -3.456920e-18 4.335069e+02
24000 5.670669e-23 -4.050426e-18 -3.345581e-18 8.214498e+00
25000 6.152096e-21 -4.045670e-18 -3.338106e-18 8.911890e+02
26000 8.559996e-22 -4.050636e-18 -3.344750e-18 1.239996e+02
27000 1.785042e-21 -4.051580e-18 -3.343558e-18 2.585801e+02
28000 5.537574e-22 -4.045518e-18 -3.343611e-18 8.021697e+01
29000 1.544981e-22 -4.016768e-18 -3.215583e-18 2.238051e+01
30000 2.990346e-24 -4.084824e-18 -3.284492e-18 4.331797e-01
31000 1.515791e-21 -4.109275e-18 -3.187026e-18 2.195765e+02
32000 2.795338e-20 -4.095566e-18 -2.986781e-18 4.049311e+03
33000 1.201969e-22 -4.030984e-18 -3.014462e-18 1.741166e+01
34000 3.349512e-22 -4.073047e-18 -2.963887e-18 4.852083e+01
35000 3.338530e-21 -4.056400e-18 -2.846222e-18 4.836175e+02
36000 8.170286e-23 -4.047980e-18 -2.846947e-18 1.183543e+01
37000 6.609947e-22 -4.109153e-18 -2.767229e-18 9.575130e+01
38000 7.057837e-22 -4.109352e-18 -2.766184e-18 1.022394e+02
39000 4.600770e-22 -4.105923e-18 -2.779067e-18 6.664648e+01
40000 1.571833e-20 -4.104272e-18 -2.750598e-18 2.276948e+03
41000 1.622103e-22 -4.093771e-18 -2.723915e-18 2.349768e+01
42000 9.406653e-22 -4.108172e-18 -2.759619e-18 1.362642e+02
43000 9.596176e-22 -4.091497e-18 -2.634071e-18 1.390096e+02
44000 3.356564e-20 -4.106061e-18 -2.615274e-18 4.862298e+03
45000 7.669663e-25 -4.109464e-18 -2.665453e-18 1.111023e-01
46000 2.583893e-20 -4.094248e-18 -2.586021e-18 3.743013e+03
47000 3.937257e-19 -4.090997e-18 -2.120240e-18 5.703487e+04
48000 5.345507e-23 -4.109754e-18 -2.556953e-18 7.743470e+00
49000 5.085651e-21 -4.107066e-18 -2.429325e-18 7.367045e+02
50000 6.086701e-21 -4.094318e-18 -2.314986e-18 8.817159e+02
51000 7.869070e-21 -4.013368e-18 -2.305253e-18 1.139909e+03
52000 2.088664e-21 -4.031706e-18 -2.317074e-18 3.025626e+02
53000 1.665103e-21 -4.039283e-18 -2.299827e-18 2.412058e+02
54000 5.734822e-23 -4.013499e-18 -2.313187e-18 8.307429e+00
55000 3.801104e-22 -3.977867e-18 -2.176923e-18 5.506257e+01
56000 3.035158e-19 -3.947491e-18 -1.843975e-18 4.396713e+04
57000 2.049741e-19 -3.937582e-18 -1.932608e-18 2.969243e+04
58000 1.002482e-20 -3.903165e-18 -2.093140e-18 1.452189e+03
59000 7.307301e-22 -3.986950e-18 -2.182210e-18 1.058531e+02
60000 3.762584e-21 -3.985448e-18 -2.178615e-18 5.450457e+02
61000 1.471738e-20 -4.078316e-18 -2.195782e-18 2.131950e+03
62000 3.232855e-22 -4.105569e-18 -2.242214e-18 4.683094e+01
63000 1.517140e-21 -4.101402e-18 -2.224420e-18 2.197720e+02
64000 3.002017e-22 -4.038677e-18 -2.085352e-18 4.348705e+01
65000 2.303837e-20 -4.099189e-18 -2.088917e-18 3.337324e+03
66000 5.440193e-21 -4.109882e-18 -2.104708e-18 7.880631e+02
67000 1.398612e-20 -4.106317e-18 -2.125093e-18 2.026021e+03
68000 2.939981e-20 -4.108448e-18 -2.029167e-18 4.258839e+03
69000 1.325353e-19 -3.910823e-18 -1.778287e-18 1.919899e+04
70000 8.617456e-19 -4.074294e-18 -1.042454e-18 1.248320e+05
71000 7.663205e-23 -3.967670e-18 -1.859548e-18 1.110087e+01
72000 1.674650e-22 -3.977094e-18 -1.856066e-18 2.425889e+01
73000 5.079654e-23 -4.037055e-18 -1.898076e-18 7.358356e+00
74000 1.699771e-21 -3.994033e-18 -1.636346e-18 2.462279e+02
75000 1.192971e-21 -4.048116e-18 -1.658369e-18 1.728131e+02
76000 1.375749e-22 -3.968455e-18 -1.659513e-18 1.992902e+01
77000 6.481413e-24 -3.944390e-18 -1.644135e-18 9.388937e-01
78000 5.091610e-21 -3.961958e-18 -1.652916e-18 7.375677e+02
79000 4.180255e-22 -3.966956e-18 -1.659137e-18 6.055493e+01
80000 3.537776e-19 -4.000278e-18 -1.221851e-18 5.124802e+04
81000 5.513762e-19 -4.002797e-18 -9.786160e-19 7.987204e+04
82000 4.595431e-20 -3.895075e-18 -1.449120e-18 6.656914e+03
83000 9.620921e-22 -3.924593e-18 -1.521869e-18 1.393681e+02
84000 6.075103e-21 -4.109999e-18 -1.503202e-18 8.800359e+02
85000 1.218400e-23 -4.040613e-18 -1.482267e-18 1.764967e+00
86000 1.012198e-24 -3.990817e-18 -1.483280e-18 1.466264e-01
87000 4.638085e-20 -3.728500e-18 -1.182119e-18 6.718703e+03
88000 1.736392e-19 -4.103743e-18 -1.331486e-18 2.515327e+04
89000 1.590973e-20 -3.724249e-18 -1.208339e-18 2.304675e+03
90000 1.322430e-21 -4.102933e-18 -1.534855e-18 1.915665e+02
91000 2.577620e-22 -4.104890e-18 -1.543488e-18 3.733926e+01
92000 4.990180e-23 -4.106559e-18 -1.537591e-18 7.228745e+00
93000 8.080712e-21 -3.868550e-18 -1.360470e-18 1.170567e+03
94000 4.382288e-20 -4.080825e-18 -1.379037e-18 6.348156e+03
95000 5.260804e-22 -4.090798e-18 -1.486928e-18 7.620770e+01
96000 3.706104e-21 -4.081255e-18 -1.497988e-18 5.368640e+02
97000 8.900510e-21 -4.013035e-18 -1.254110e-18 1.289323e+03
98000 1.939005e-22 -3.987980e-18 -1.283005e-18 2.808831e+01
99000 5.016282e-22 -4.038510e-18 -1.295430e-18 7.266556e+01
100000 4.450703e-21 -4.036672e-18 -1.293446e-18 6.447262e+02
101000 1.621111e-19 -4.071392e-18 -1.079604e-18 2.348332e+04
102000 4.622937e-22 -4.105254e-18 -1.342829e-18 6.696760e+01
103000 6.274254e-22 -4.102178e-18 -1.329005e-18 9.088847e+01
104000 2.151444e-21 -4.104373e-18 -1.341209e-18 3.116570e+02
105000 3.658682e-23 -4.106925e-18 -1.335297e-18 5.299946e+00
106000 1.403829e-21 -4.021124e-18 -1.066649e-18 2.033579e+02
107000 7.901488e-22 -3.976934e-18 -1.075601e-18 1.144605e+02
108000 6.290164e-23 -3.997400e-18 -1.079132e-18 9.111895e+00
109000 6.807033e-21 -3.992434e-18 -1.076047e-18 9.860628e+02
110000 3.941456e-21 -3.981337e-18 -1.076003e-18 5.709569e+02
111000 7.590077e-21 -3.984299e-18 -1.074226e-18 1.099494e+03
112000 1.592156e-21 -3.990380e-18 -1.081739e-18 2.306388e+02
113000 4.494213e-23 -3.984871e-18 -1.082064e-18 6.510290e+00
114000 3.343505e-21 -3.979443e-18 -1.075159e-18 4.843381e+02
115000 3.338235e-21 -3.987478e-18 -1.079748e-18 4.835747e+02
116000 7.861686e-21 -3.985162e-18 -1.074386e-18 1.138839e+03
117000 1.796148e-21 -4.000672e-18 -1.073214e-18 2.601890e+02
118000 9.110500e-21 -3.988476e-18 -1.074171e-18 1.319742e+03
119000 2.953219e-23 -3.992116e-18 -1.082937e-18 4.278016e+00
120000 3.895400e-21 -3.980532e-18 -1.075456e-18 5.642853e+02
121000 2.461474e-24 -3.995851e-18 -1.080716e-18 3.565677e-01
122000 5.440649e-23 -3.991279e-18 -1.083140e-18 7.881293e+00
123000 1.471771e-21 -3.990112e-18 -1.081880e-18 2.131998e+02
124000 5.555418e-22 -3.994144e-18 -1.081445e-18 8.047546e+01
125000 1.540718e-19 -4.033179e-18 -9.085596e-19 2.231876e+04
126000 5.190262e-19 -3.512135e-18 6.891190e-21 7.518582e+04
127000 1.076963e-19 -4.081395e-18 -8.473443e-19 1.560082e+04
128000 4.083358e-22 -4.097340e-18 -9.832683e-19 5.915128e+01
129000 4.161625e-19 -4.013104e-18 -5.441363e-19 6.028505e+04
130000 3.278225e-21 -4.026920e-18 -9.686555e-19 4.748817e+02
131000 5.080575e-21 -4.109972e-18 -8.831617e-19 7.359691e+02
132000 5.887538e-21 -3.882421e-18 -7.747728e-19 8.528653e+02
133000 7.929770e-22 -4.102221e-18 -8.834104e-19 1.148702e+02
134000 9.051827e-20 -3.934358e-18 -7.434267e-19 1.311242e+04
135000 6.148469e-20 -3.137573e-18 2.391171e-20 8.906637e+03
136000 7.679060e-22 -4.028407e-18 -8.704088e-19 1.112384e+02
137000 6.646187e-21 -3.968865e-18 -8.232744e-19 9.627628e+02
138000 3.463519e-21 -3.520412e-18 -4.169480e-19 5.017233e+02
139000 3.815300e-21 -3.983218e-18 -7.041572e-19 5.526820e+02
140000 5.386772e-19 -3.866420e-18 -7.981951e-20 7.803247e+04
141000 4.442060e-21 -4.108251e-18 -7.572143e-19 6.434742e+02
142000 1.205583e-21 -3.947100e-18 -6.415132e-19 1.746400e+02
143000 1.829603e-21 -3.944785e-18 -6.396037e-19 2.650352e+02
144000 1.450351e-22 -3.439877e-18 -3.973195e-20 2.100969e+01
145000 2.359939e-19 -2.731141e-18 1.104853e-18 3.418593e+04
146000 1.168146e-20 -3.582549e-18 2.913246e-20 1.692170e+03
147000 3.550693e-20 -3.559843e-18 7.566416e-20 5.143512e+03
148000 1.190056e-19 -3.998002e-18 -2.057386e-19 1.723908e+04
149000 1.577534e-20 -3.985219e-18 -3.169007e-19 2.285206e+03
150000 6.063150e-22 -4.001003e-18 -3.631354e-19 8.783043e+01
151000 4.982332e-20 -4.097209e-18 -3.353258e-19 7.217376e+03
152000 1.766122e-20 -4.085884e-18 -3.556763e-19 2.558393e+03
153000 2.720325e-19 -4.005939e-18 -9.027179e-20 3.940647e+04
154000 1.055141e-19 -2.772993e-18 9.325210e-19 1.528471e+04
155000 4.410286e-22 -3.829980e-18 -2.205073e-19 6.388715e+01
156000 1.396056e-21 -3.852200e-18 -2.135342e-19 2.022318e+02
157000 6.900542e-22 -3.839237e-18 -2.207404e-19 9.996085e+01
158000 6.665035e-22 -3.835929e-18 -2.210884e-19 9.654930e+01
159000 4.501726e-22 -3.851963e-18 -2.146619e-19 6.521173e+01
160000 1.436972e-20 -3.821402e-18 -2.027235e-19 2.081589e+03
161000 2.394478e-21 -3.810934e-18 -2.070226e-19 3.468626e+02
162000 3.121808e-21 -3.838478e-18 -2.184338e-19 4.522232e+02
163000 2.776755e-21 -3.825223e-18 -2.163764e-19 4.022391e+02
164000 1.634224e-22 -3.795096e-18 -8.950311e-20 2.367327e+01
