step K U E temp
0 1.423775e-21 -4.104397e-20 -3.962020e-20 2.062471e+02
1000 1.484929e-21 -3.562354e-20 2.586139e-20 2.151059e+02
2000 1.979357e-21 -2.983206e-20 5.260730e-20 2.867285e+02
3000 2.696674e-23 -2.851796e-20 1.315090e-19 3.906386e+00
4000 1.672795e-22 -2.753195e-20 1.726353e-19 2.423201e+01
5000 3.168714e-25 -3.955621e-20 2.404441e-19 4.590181e-02
6000 1.311394e-20 -4.045530e-20 2.926586e-19 1.899678e+03
7000 2.042724e-21 -3.640866e-20 4.456341e-19 2.959078e+02
8000 1.713751e-21 -4.068125e-20 4.810325e-19 2.482530e+02
9000 1.707935e-20 -3.941941e-20 5.376599e-19 2.474104e+03
10000 1.457776e-21 -3.993650e-20 6.030320e-19 2.111726e+02
11000 9.708982e-25 -3.996446e-20 6.009259e-19 1.406437e-01
12000 6.190915e-22 -3.974516e-20 7.208739e-19 8.968123e+01
13000 1.480150e-24 -4.082499e-20 7.591766e-19 2.144136e-01
14000 3.069361e-22 -4.014760e-20 7.601593e-19 4.446258e+01
15000 1.816869e-21 -4.067181e-20 7.611451e-19 2.631906e+02
16000 5.379274e-22 -4.064225e-20 7.999026e-19 7.792385e+01
17000 5.255612e-22 -4.050081e-20 9.280190e-19 7.613249e+01
18000 2.446699e-21 -3.747339e-20 1.045698e-18 3.544273e+02
19000 2.583553e-21 -3.187710e-20 1.090707e-18 3.742520e+02
20000 4.857531e-22 -2.608586e-20 1.174400e-18 7.036591e+01
21000 1.492887e-20 -2.818653e-20 1.226742e-18 2.162588e+03
22000 2.823948e-23 -3.447677e-20 1.292802e-18 4.090754e+00
23000 9.610854e-22 -4.019859e-20 1.333400e-18 1.392223e+02
24000 4.543359e-22 -4.101841e-20 1.411723e-18 6.581483e+01
25000 8.257027e-21 -4.100593e-20 1.459083e-18 1.196108e+03
26000 5.891252e-21 -4.105960e-20 1.471040e-18 8.534033e+02
27000 8.136911e-22 -4.049744e-20 1.494135e-18 1.178708e+02
28000 1.299934e-21 -3.927768e-20 1.522679e-18 1.883077e+02
29000 6.525690e-21 -3.885931e-20 1.580091e-18 9.453076e+02
30000 6.460359e-22 -3.897682e-20 1.700717e-18 9.358438e+01
31000 7.158091e-22 -4.095027e-20 1.725354e-18 1.036917e+02
32000 3.448394e-23 -3.293320e-20 1.767101e-18 4.995323e+00
33000 1.056032e-20 -3.433667e-20 1.776224e-18 1.529761e+03
34000 4.684629e-22 -3.874877e-20 1.842432e-18 6.786125e+01
35000 1.514054e-23 -3.704268e-20 1.851209e-18 2.193249e+00
36000 6.915044e-21 -3.343798e-20 1.893477e-18 1.001709e+03
37000 3.886443e-22 -3.476914e-20 1.885666e-18 5.629878e+01
38000 7.184002e-21 -2.796046e-20 1.939231e-18 1.040670e+03
39000 9.891008e-22 -2.769932e-20 1.974952e-18 1.432806e+02
40000 1.058248e-21 -2.588197e-20 2.016065e-18 1.532971e+02
41000 1.676532e-22 -2.977168e-20 2.059288e-18 2.428615e+01
42000 4.124912e-24 -2.399726e-20 2.096210e-18 5.975324e-01
43000 5.981621e-22 -7.083748e-21 2.153514e-18 8.664941e+01
44000 8.333519e-22 -3.732986e-21 2.157100e-18 1.207189e+02
45000 4.512535e-21 -5.202535e-21 2.159310e-18 6.536831e+02
46000 5.013827e-22 -1.729780e-20 2.148285e-18 7.263001e+01
47000 3.738528e-20 -1.323735e-20 2.304148e-18 5.415610e+03
48000 1.222166e-21 -2.339630e-20 2.265695e-18 1.770422e+02
49000 3.063789e-21 -3.895061e-20 2.371220e-18 4.438186e+02
50000 3.716070e-21 -2.953948e-20 2.436417e-18 5.383078e+02
51000 2.217427e-21 -3.227715e-20 2.529955e-18 3.212152e+02
52000 5.515125e-21 -3.486201e-20 2.570885e-18 7.989178e+02
53000 1.618270e-22 -3.210838e-20 2.657173e-18 2.344217e+01
54000 2.141048e-21 -3.435197e-20 2.696123e-18 3.101510e+02
55000 2.644965e-22 -3.471710e-20 2.689798e-18 3.831480e+01
56000 8.372130e-21 -3.391127e-20 2.755773e-18 1.212782e+03
57000 3.889502e-21 -3.660539e-20 2.738713e-18 5.634309e+02
58000 6.912305e-22 -3.608684e-20 2.830215e-18 1.001312e+02
59000 5.238567e-23 -1.723103e-20 2.946400e-18 7.588558e+00
60000 2.251755e-21 -7.481691e-21 2.994770e-18 3.261879e+02
61000 1.977292e-23 -8.626686e-21 3.039575e-18 2.864293e+00
62000 2.671300e-23 -1.480750e-20 3.065219e-18 3.869630e+00
63000 1.571945e-21 -1.208770e-20 3.069484e-18 2.277111e+02
64000 3.440152e-23 -1.164495e-20 3.068389e-18 4.983384e+00
65000 6.151104e-22 -1.453889e-20 3.066076e-18 8.910453e+01
66000 6.091509e-21 -1.146803e-20 3.197100e-18 8.824124e+02
67000 2.407172e-21 -1.503731e-20 3.187374e-18 3.487015e+02
68000 8.584346e-21 -6.507289e-21 3.334008e-18 1.243523e+03
69000 3.617436e-21 -7.763959e-21 3.317981e-18 5.240196e+02
70000 2.990807e-21 -1.212149e-20 3.390870e-18 4.332466e+02
71000 3.420635e-21 -1.248819e-20 3.390955e-18 4.955112e+02
72000 2.014097e-21 -2.001287e-20 3.462001e-18 2.917609e+02
73000 1.121816e-21 -1.998203e-20 3.461140e-18 1.625057e+02
74000 4.586844e-21 -2.065747e-20 3.543958e-18 6.644475e+02
75000 1.161972e-22 -2.074831e-20 3.579378e-18 1.683226e+01
76000 5.627879e-23 -2.981622e-20 3.672166e-18 8.152512e+00
77000 1.032899e-21 -3.304926e-20 3.661001e-18 1.496252e+02
