step K U E temp
0 9.427189e-22 -3.908493e-20 -3.814221e-20 1.365617e+02
1000 4.943812e-22 -4.100192e-20 1.949246e-20 7.161576e+01
2000 3.971887e-21 -3.744669e-20 6.652519e-20 5.753652e+02
3000 2.790299e-21 -4.109598e-20 1.017023e-19 4.042010e+02
4000 2.177198e-21 -3.876416e-20 1.434131e-19 3.153876e+02
5000 8.966831e-22 -4.105750e-20 1.798424e-19 1.298930e+02
6000 2.159364e-21 -4.052933e-20 2.216300e-19 3.128041e+02
7000 8.361071e-21 -2.733387e-20 2.810272e-19 1.211180e+03
8000 1.996738e-21 -4.065130e-20 3.013454e-19 2.892463e+02
9000 3.090170e-23 -3.947855e-20 3.405524e-19 4.476402e+00
10000 5.374099e-22 -4.037718e-20 3.803849e-19 7.784888e+01
11000 3.699904e-23 -3.786636e-20 4.221706e-19 5.359659e+00
12000 1.272421e-21 -3.520116e-20 4.660713e-19 1.843222e+02
13000 2.908410e-24 -2.973640e-20 5.102665e-19 4.213106e-01
14000 5.784582e-22 -3.451908e-20 5.465454e-19 8.379511e+01
15000 1.789455e-20 -4.014464e-20 5.997614e-19 2.592193e+03
16000 6.315974e-22 -3.391767e-20 6.280491e-19 9.149283e+01
17000 6.785368e-22 -3.325976e-20 6.683544e-19 9.829244e+01
18000 3.079601e-21 -3.291729e-20 7.191919e-19 4.461092e+02
19000 9.496095e-22 -3.251670e-20 7.558447e-19 1.375599e+02
20000 4.565022e-24 -2.898500e-20 7.918831e-19 6.612865e-01
21000 7.972375e-22 -3.132522e-20 8.294747e-19 1.154873e+02
22000 2.562356e-22 -3.180003e-20 8.742138e-19 3.711813e+01
23000 7.253998e-22 -2.660894e-20 9.154145e-19 1.050810e+02
24000 3.005216e-23 -1.967894e-20 9.603511e-19 4.353338e+00
25000 5.839356e-22 -2.524703e-20 9.953384e-19 8.458856e+01
26000 2.038375e-22 -2.826944e-20 1.033367e-18 2.952778e+01
27000 9.136624e-24 -2.608334e-20 1.079331e-18 1.323526e+00
28000 7.559379e-24 -2.443199e-20 1.116278e-18 1.095047e+00
29000 4.814106e-21 -2.075230e-20 1.164120e-18 6.973685e+02
30000 1.945778e-23 -2.315866e-20 1.196867e-18 2.818643e+00
31000 4.074479e-22 -1.622967e-20 1.244178e-18 5.902266e+01
32000 4.636401e-23 -1.801386e-20 1.282033e-18 6.716263e+00
33000 3.366604e-21 -1.304788e-21 1.342062e-18 4.876843e+02
34000 1.140732e-21 -3.354101e-20 1.347600e-18 1.652458e+02
35000 2.343017e-21 -3.849099e-20 1.383852e-18 3.394081e+02
36000 1.001935e-20 -4.108008e-20 1.428939e-18 1.451398e+03
37000 4.883339e-23 -4.085174e-20 1.459197e-18 7.073976e+00
38000 6.658123e-24 -3.865981e-20 1.501347e-18 9.644918e-01
39000 7.854548e-23 -4.066391e-20 1.539415e-18 1.137805e+01
40000 1.736565e-21 -4.020921e-20 1.581531e-18 2.515577e+02
41000 2.015738e-21 -4.072296e-20 1.624646e-18 2.919986e+02
42000 4.757331e-21 -4.045117e-20 1.664439e-18 6.891442e+02
43000 8.735282e-22 -3.568933e-20 1.705184e-18 1.265388e+02
44000 2.709812e-24 -3.929728e-20 1.740718e-18 3.925418e-01
45000 1.745508e-21 -4.098186e-20 1.781657e-18 2.528533e+02
46000 8.218960e-22 -3.637364e-20 1.826941e-18 1.190594e+02
47000 1.357128e-21 -3.885015e-20 1.869654e-18 1.965927e+02
48000 3.134314e-21 -2.932593e-20 1.913808e-18 4.540349e+02
49000 4.648335e-21 -2.346844e-20 1.961180e-18 6.733551e+02
50000 4.321654e-21 -2.668256e-20 1.997639e-18 6.260323e+02
51000 3.040309e-23 -3.802113e-20 2.022055e-18 4.404174e+00
52000 3.082921e-21 -3.117200e-20 2.071911e-18 4.465902e+02
53000 5.403905e-21 -3.676457e-20 2.108639e-18 7.828064e+02
54000 1.269411e-21 -4.090604e-20 2.140452e-18 1.838861e+02
55000 1.076663e-21 -4.101540e-20 2.183015e-18 1.559647e+02
56000 6.034345e-22 -4.051957e-20 2.227130e-18 8.741317e+01
57000 9.068471e-22 -3.913537e-20 2.262112e-18 1.313653e+02
