pX pY pZ 
-2.314791e-13 0.000000e+00 0.000000e+00
4.752061e-15 0.000000e+00 0.000000e+00
1.332694e-13 0.000000e+00 0.000000e+00
-1.929248e-13 0.000000e+00 0.000000e+00
-1.146578e-13 0.000000e+00 0.000000e+00
7.092468e-14 0.000000e+00 0.000000e+00
2.773288e-13 0.000000e+00 0.000000e+00
6.658733e-14 0.000000e+00 0.000000e+00
2.475581e-13 0.000000e+00 0.000000e+00
-1.969625e-13 0.000000e+00 0.000000e+00
2.069004e-13 0.000000e+00 0.000000e+00
-1.042435e-13 0.000000e+00 0.000000e+00
8.167769e-14 0.000000e+00 0.000000e+00
-1.543693e-14 0.000000e+00 0.000000e+00
-1.275970e-13 0.000000e+00 0.000000e+00
-2.080986e-13 0.000000e+00 0.000000e+00
-4.472565e-14 0.000000e+00 0.000000e+00
-1.511800e-14 0.000000e+00 0.000000e+00
8.840259e-15 0.000000e+00 0.000000e+00
-1.657060e-13 0.000000e+00 0.000000e+00
-1.954187e-14 0.000000e+00 0.000000e+00
2.701484e-14 0.000000e+00 0.000000e+00
-1.768354e-13 0.000000e+00 0.000000e+00
9.187373e-14 0.000000e+00 0.000000e+00
1.704146e-13 0.000000e+00 0.000000e+00
4.718888e-14 0.000000e+00 0.000000e+00
-1.130487e-13 0.000000e+00 0.000000e+00
1.776999e-13 0.000000e+00 0.000000e+00
1.312004e-13 0.000000e+00 0.000000e+00
-2.084709e-13 0.000000e+00 0.000000e+00
-2.411655e-13 0.000000e+00 0.000000e+00
-9.606658e-14 0.000000e+00 0.000000e+00
1.080804e-13 0.000000e+00 0.000000e+00
-3.775028e-13 0.000000e+00 0.000000e+00
-1.870556e-13 0.000000e+00 0.000000e+00
7.874122e-14 0.000000e+00 0.000000e+00
-3.028753e-14 0.000000e+00 0.000000e+00
1.576982e-13 0.000000e+00 0.000000e+00
-1.275369e-13 0.000000e+00 0.000000e+00
-1.525866e-14 0.000000e+00 0.000000e+00
-1.355674e-13 0.000000e+00 0.000000e+00
2.842079e-13 0.000000e+00 0.000000e+00
5.259148e-14 0.000000e+00 0.000000e+00
2.298889e-13 0.000000e+00 0.000000e+00
-2.959161e-13 0.000000e+00 0.000000e+00
-3.881912e-14 0.000000e+00 0.000000e+00
-1.386695e-13 0.000000e+00 0.000000e+00
-9.072753e-14 0.000000e+00 0.000000e+00
1.959105e-13 0.000000e+00 0.000000e+00
-7.021798e-14 0.000000e+00 0.000000e+00
-4.510865e-14 0.000000e+00 0.000000e+00
5.926126e-14 0.000000e+00 0.000000e+00
-9.076882e-14 0.000000e+00 0.000000e+00
7.230086e-14 0.000000e+00 0.000000e+00
-3.044607e-13 0.000000e+00 0.000000e+00
-1.948299e-13 0.000000e+00 0.000000e+00
-4.794547e-13 0.000000e+00 0.000000e+00
-4.375142e-14 0.000000e+00 0.000000e+00
-1.838632e-14 0.000000e+00 0.000000e+00
-7.381177e-14 0.000000e+00 0.000000e+00
1.437217e-13 0.000000e+00 0.000000e+00
-2.362179e-13 0.000000e+00 0.000000e+00
4.013454e-13 0.000000e+00 0.000000e+00
-6.249999e-14 0.000000e+00 0.000000e+00
3.123645e-14 0.000000e+00 0.000000e+00
-1.468755e-13 0.000000e+00 0.000000e+00
-5.405017e-13 0.000000e+00 0.000000e+00
-1.380157e-14 0.000000e+00 0.000000e+00
-2.683813e-13 0.000000e+00 0.000000e+00
-6.758533e-14 0.000000e+00 0.000000e+00
2.837768e-13 0.000000e+00 0.000000e+00
-6.498238e-14 0.000000e+00 0.000000e+00
6.564094e-15 0.000000e+00 0.000000e+00
-1.410848e-13 0.000000e+00 0.000000e+00
-1.866217e-13 0.000000e+00 0.000000e+00
1.436262e-13 0.000000e+00 0.000000e+00
1.504610e-13 0.000000e+00 0.000000e+00
-1.559947e-13 0.000000e+00 0.000000e+00
3.229171e-14 0.000000e+00 0.000000e+00
-5.506409e-14 0.000000e+00 0.000000e+00
1.420328e-13 0.000000e+00 0.000000e+00
9.495110e-14 0.000000e+00 0.000000e+00
-3.131670e-13 0.000000e+00 0.000000e+00
2.755325e-13 0.000000e+00 0.000000e+00
-6.891826e-14 0.000000e+00 0.000000e+00
3.320471e-14 0.000000e+00 0.000000e+00
-4.742052e-14 0.000000e+00 0.000000e+00
-9.978940e-14 0.000000e+00 0.000000e+00
5.851567e-14 0.000000e+00 0.000000e+00
-2.687749e-13 0.000000e+00 0.000000e+00
-2.182299e-14 0.000000e+00 0.000000e+00
3.991660e-14 0.000000e+00 0.000000e+00
-7.050275e-14 0.000000e+00 0.000000e+00
-2.824677e-13 0.000000e+00 0.000000e+00
1.999973e-13 0.000000e+00 0.000000e+00
-2.670199e-14 0.000000e+00 0.000000e+00
-1.611135e-13 0.000000e+00 0.000000e+00
1.636651e-13 0.000000e+00 0.000000e+00
-2.863082e-13 0.000000e+00 0.000000e+00
-6.983269e-15 0.000000e+00 0.000000e+00
1.436633e-13 0.000000e+00 0.000000e+00
4.547048e-13 0.000000e+00 0.000000e+00
-1.961290e-13 0.000000e+00 0.000000e+00
1.271870e-13 0.000000e+00 0.000000e+00
-6.863351e-14 0.000000e+00 0.000000e+00
2.425123e-13 0.000000e+00 0.000000e+00
-1.293789e-13 0.000000e+00 0.000000e+00
-1.472704e-13 0.000000e+00 0.000000e+00
