pX pY pZ 
-3.167287e-13 0.000000e+00 0.000000e+00
8.753244e-14 0.000000e+00 0.000000e+00
1.972494e-14 0.000000e+00 0.000000e+00
-2.152763e-13 0.000000e+00 0.000000e+00
-1.117821e-14 0.000000e+00 0.000000e+00
2.829407e-13 0.000000e+00 0.000000e+00
-7.718394e-14 0.000000e+00 0.000000e+00
1.734724e-13 0.000000e+00 0.000000e+00
-6.651681e-14 0.000000e+00 0.000000e+00
-2.253109e-13 0.000000e+00 0.000000e+00
3.601665e-14 0.000000e+00 0.000000e+00
-1.662789e-13 0.000000e+00 0.000000e+00
7.495969e-14 0.000000e+00 0.000000e+00
3.352351e-13 0.000000e+00 0.000000e+00
1.056080e-13 0.000000e+00 0.000000e+00
-7.711369e-14 0.000000e+00 0.000000e+00
8.704446e-14 0.000000e+00 0.000000e+00
2.308645e-13 0.000000e+00 0.000000e+00
-1.132689e-14 0.000000e+00 0.000000e+00
-2.226349e-13 0.000000e+00 0.000000e+00
2.138005e-13 0.000000e+00 0.000000e+00
-1.201165e-13 0.000000e+00 0.000000e+00
-2.470357e-14 0.000000e+00 0.000000e+00
2.780974e-13 0.000000e+00 0.000000e+00
-2.126587e-13 0.000000e+00 0.000000e+00
1.351489e-13 0.000000e+00 0.000000e+00
1.091148e-13 0.000000e+00 0.000000e+00
9.084696e-14 0.000000e+00 0.000000e+00
5.209012e-13 0.000000e+00 0.000000e+00
4.091172e-14 0.000000e+00 0.000000e+00
2.418308e-13 0.000000e+00 0.000000e+00
-9.817138e-14 0.000000e+00 0.000000e+00
1.796048e-13 0.000000e+00 0.000000e+00
6.998179e-14 0.000000e+00 0.000000e+00
7.118267e-14 0.000000e+00 0.000000e+00
-1.717186e-14 0.000000e+00 0.000000e+00
-1.269113e-13 0.000000e+00 0.000000e+00
2.688846e-13 0.000000e+00 0.000000e+00
-1.420485e-13 0.000000e+00 0.000000e+00
-3.803723e-13 0.000000e+00 0.000000e+00
3.389895e-14 0.000000e+00 0.000000e+00
9.677364e-15 0.000000e+00 0.000000e+00
-3.659971e-14 0.000000e+00 0.000000e+00
7.872057e-14 0.000000e+00 0.000000e+00
2.169856e-13 0.000000e+00 0.000000e+00
-9.566527e-14 0.000000e+00 0.000000e+00
9.074222e-14 0.000000e+00 0.000000e+00
-6.648735e-16 0.000000e+00 0.000000e+00
8.699134e-15 0.000000e+00 0.000000e+00
1.320245e-13 0.000000e+00 0.000000e+00
1.870164e-13 0.000000e+00 0.000000e+00
-1.661033e-13 0.000000e+00 0.000000e+00
-1.181060e-12 0.000000e+00 0.000000e+00
-2.088121e-13 0.000000e+00 0.000000e+00
3.984372e-13 0.000000e+00 0.000000e+00
1.936192e-12 0.000000e+00 0.000000e+00
1.645316e-13 0.000000e+00 0.000000e+00
7.784498e-14 0.000000e+00 0.000000e+00
-3.632386e-14 0.000000e+00 0.000000e+00
-3.847524e-13 0.000000e+00 0.000000e+00
-1.805317e-13 0.000000e+00 0.000000e+00
2.555170e-13 0.000000e+00 0.000000e+00
-1.696335e-13 0.000000e+00 0.000000e+00
1.325328e-13 0.000000e+00 0.000000e+00
-7.245120e-14 0.000000e+00 0.000000e+00
5.882204e-14 0.000000e+00 0.000000e+00
-3.822066e-13 0.000000e+00 0.000000e+00
1.151173e-13 0.000000e+00 0.000000e+00
-1.234496e-13 0.000000e+00 0.000000e+00
-2.961573e-13 0.000000e+00 0.000000e+00
1.855864e-13 0.000000e+00 0.000000e+00
-2.214686e-13 0.000000e+00 0.000000e+00
1.794601e-13 0.000000e+00 0.000000e+00
-4.326026e-14 0.000000e+00 0.000000e+00
-1.567539e-13 0.000000e+00 0.000000e+00
9.214641e-14 0.000000e+00 0.000000e+00
-6.334213e-14 0.000000e+00 0.000000e+00
-1.092844e-12 0.000000e+00 0.000000e+00
-1.228768e-13 0.000000e+00 0.000000e+00
-1.374856e-13 0.000000e+00 0.000000e+00
-4.027830e-14 0.000000e+00 0.000000e+00
-3.883295e-14 0.000000e+00 0.000000e+00
-1.002815e-13 0.000000e+00 0.000000e+00
-1.565123e-13 0.000000e+00 0.000000e+00
8.660725e-14 0.000000e+00 0.000000e+00
2.837029e-13 0.000000e+00 0.000000e+00
-4.926222e-14 0.000000e+00 0.000000e+00
3.485677e-14 0.000000e+00 0.000000e+00
9.880537e-14 0.000000e+00 0.000000e+00
8.716756e-14 0.000000e+00 0.000000e+00
2.366953e-13 0.000000e+00 0.000000e+00
-5.500515e-16 0.000000e+00 0.000000e+00
2.077918e-14 0.000000e+00 0.000000e+00
-4.023776e-13 0.000000e+00 0.000000e+00
2.877426e-14 0.000000e+00 0.000000e+00
-1.887372e-12 0.000000e+00 0.000000e+00
-3.453231e-13 0.000000e+00 0.000000e+00
-2.140300e-14 0.000000e+00 0.000000e+00
-1.703944e-14 0.000000e+00 0.000000e+00
5.991689e-14 0.000000e+00 0.000000e+00
-1.695062e-13 0.000000e+00 0.000000e+00
-1.591569e-14 0.000000e+00 0.000000e+00
2.619658e-13 0.000000e+00 0.000000e+00
-4.011030e-14 0.000000e+00 0.000000e+00
-1.267560e-13 0.000000e+00 0.000000e+00
1.362457e-13 0.000000e+00 0.000000e+00
2.248501e-13 0.000000e+00 0.000000e+00
-5.109909e-14 0.000000e+00 0.000000e+00
-3.044454e-13 0.000000e+00 0.000000e+00
-2.038798e-13 0.000000e+00 0.000000e+00
-6.400765e-14 0.000000e+00 0.000000e+00
1.966214e-12 0.000000e+00 0.000000e+00
-8.951371e-14 0.000000e+00 0.000000e+00
3.127776e-14 0.000000e+00 0.000000e+00
3.256660e-13 0.000000e+00 0.000000e+00
1.745867e-13 0.000000e+00 0.000000e+00
1.392601e-13 0.000000e+00 0.000000e+00
-2.907732e-13 0.000000e+00 0.000000e+00
3.153139e-12 0.000000e+00 0.000000e+00
-8.076913e-14 0.000000e+00 0.000000e+00
2.589286e-13 0.000000e+00 0.000000e+00
8.093482e-13 0.000000e+00 0.000000e+00
2.558930e-14 0.000000e+00 0.000000e+00
1.798119e-12 0.000000e+00 0.000000e+00
9.829319e-13 0.000000e+00 0.000000e+00
-6.389184e-13 0.000000e+00 0.000000e+00
-7.818518e-13 0.000000e+00 0.000000e+00
-1.250547e-12 0.000000e+00 0.000000e+00
1.450437e-12 0.000000e+00 0.000000e+00
-1.272042e-13 0.000000e+00 0.000000e+00
-2.825283e-13 0.000000e+00 0.000000e+00
-3.533662e-13 0.000000e+00 0.000000e+00
1.562514e-15 0.000000e+00 0.000000e+00
6.975815e-15 0.000000e+00 0.000000e+00
9.308087e-14 0.000000e+00 0.000000e+00
-1.160017e-13 0.000000e+00 0.000000e+00
-8.799052e-14 0.000000e+00 0.000000e+00
3.207242e-13 0.000000e+00 0.000000e+00
2.132804e-14 0.000000e+00 0.000000e+00
-7.246505e-14 0.000000e+00 0.000000e+00
