pX pY pZ 
-9.008553e-14 0.000000e+00 0.000000e+00
-1.450760e-13 0.000000e+00 0.000000e+00
4.033479e-14 0.000000e+00 0.000000e+00
-3.179850e-13 0.000000e+00 0.000000e+00
-2.383346e-13 0.000000e+00 0.000000e+00
1.044507e-13 0.000000e+00 0.000000e+00
-2.230141e-13 0.000000e+00 0.000000e+00
8.200964e-14 0.000000e+00 0.000000e+00
-2.741964e-13 0.000000e+00 0.000000e+00
2.675095e-14 0.000000e+00 0.000000e+00
-2.345783e-14 0.000000e+00 0.000000e+00
-1.116581e-13 0.000000e+00 0.000000e+00
-1.975953e-13 0.000000e+00 0.000000e+00
-1.460706e-13 0.000000e+00 0.000000e+00
-5.965103e-15 0.000000e+00 0.000000e+00
1.443496e-13 0.000000e+00 0.000000e+00
-1.840630e-13 0.000000e+00 0.000000e+00
-3.717148e-16 0.000000e+00 0.000000e+00
9.904396e-14 0.000000e+00 0.000000e+00
-2.885178e-14 0.000000e+00 0.000000e+00
-3.803780e-13 0.000000e+00 0.000000e+00
1.193302e-13 0.000000e+00 0.000000e+00
3.503705e-13 0.000000e+00 0.000000e+00
3.305943e-13 0.000000e+00 0.000000e+00
3.443243e-13 0.000000e+00 0.000000e+00
-1.340339e-13 0.000000e+00 0.000000e+00
-7.480443e-14 0.000000e+00 0.000000e+00
9.808031e-15 0.000000e+00 0.000000e+00
-1.964541e-13 0.000000e+00 0.000000e+00
-9.663732e-14 0.000000e+00 0.000000e+00
-1.540759e-13 0.000000e+00 0.000000e+00
-6.038472e-13 0.000000e+00 0.000000e+00
-1.108445e-14 0.000000e+00 0.000000e+00
2.308821e-13 0.000000e+00 0.000000e+00
9.585501e-14 0.000000e+00 0.000000e+00
9.224962e-14 0.000000e+00 0.000000e+00
-6.680141e-14 0.000000e+00 0.000000e+00
5.936384e-13 0.000000e+00 0.000000e+00
-3.474938e-14 0.000000e+00 0.000000e+00
1.597133e-13 0.000000e+00 0.000000e+00
1.717627e-13 0.000000e+00 0.000000e+00
3.240716e-14 0.000000e+00 0.000000e+00
-4.039614e-14 0.000000e+00 0.000000e+00
2.030531e-14 0.000000e+00 0.000000e+00
-9.546418e-14 0.000000e+00 0.000000e+00
9.825183e-14 0.000000e+00 0.000000e+00
-1.757299e-13 0.000000e+00 0.000000e+00
6.589941e-14 0.000000e+00 0.000000e+00
2.104606e-13 0.000000e+00 0.000000e+00
9.284783e-14 0.000000e+00 0.000000e+00
1.591364e-13 0.000000e+00 0.000000e+00
1.526248e-13 0.000000e+00 0.000000e+00
-1.285024e-13 0.000000e+00 0.000000e+00
-2.738062e-14 0.000000e+00 0.000000e+00
-1.231917e-13 0.000000e+00 0.000000e+00
-9.429213e-14 0.000000e+00 0.000000e+00
5.714056e-14 0.000000e+00 0.000000e+00
1.822904e-13 0.000000e+00 0.000000e+00
-2.118385e-13 0.000000e+00 0.000000e+00
-4.581206e-14 0.000000e+00 0.000000e+00
2.164280e-13 0.000000e+00 0.000000e+00
2.144331e-14 0.000000e+00 0.000000e+00
-2.550224e-13 0.000000e+00 0.000000e+00
-1.531742e-13 0.000000e+00 0.000000e+00
-2.380828e-13 0.000000e+00 0.000000e+00
9.760665e-14 0.000000e+00 0.000000e+00
-2.827484e-14 0.000000e+00 0.000000e+00
-1.171767e-13 0.000000e+00 0.000000e+00
-1.061947e-13 0.000000e+00 0.000000e+00
5.514718e-14 0.000000e+00 0.000000e+00
-7.666563e-14 0.000000e+00 0.000000e+00
-1.562812e-14 0.000000e+00 0.000000e+00
-2.440195e-13 0.000000e+00 0.000000e+00
2.189632e-13 0.000000e+00 0.000000e+00
-5.643169e-14 0.000000e+00 0.000000e+00
-3.682797e-15 0.000000e+00 0.000000e+00
1.626889e-14 0.000000e+00 0.000000e+00
-1.198418e-13 0.000000e+00 0.000000e+00
-2.589927e-14 0.000000e+00 0.000000e+00
2.740379e-13 0.000000e+00 0.000000e+00
-6.032814e-13 0.000000e+00 0.000000e+00
-7.175590e-14 0.000000e+00 0.000000e+00
-1.585859e-14 0.000000e+00 0.000000e+00
-2.556843e-13 0.000000e+00 0.000000e+00
1.686205e-13 0.000000e+00 0.000000e+00
9.071132e-14 0.000000e+00 0.000000e+00
