pX pY pZ 
-3.167287e-13 0.000000e+00 0.000000e+00
8.753244e-14 0.000000e+00 0.000000e+00
1.972494e-14 0.000000e+00 0.000000e+00
-2.152763e-13 0.000000e+00 0.000000e+00
-1.117821e-14 0.000000e+00 0.000000e+00
2.829407e-13 0.000000e+00 0.000000e+00
-5.400339e-14 0.000000e+00 0.000000e+00
9.959902e-14 0.000000e+00 0.000000e+00
-2.214566e-13 0.000000e+00 0.000000e+00
1.955390e-13 0.000000e+00 0.000000e+00
1.457984e-13 0.000000e+00 0.000000e+00
-6.975164e-14 0.000000e+00 0.000000e+00
-5.540249e-14 0.000000e+00 0.000000e+00
-1.976971e-13 0.000000e+00 0.000000e+00
-9.087626e-14 0.000000e+00 0.000000e+00
-4.393913e-14 0.000000e+00 0.000000e+00
-9.389015e-14 0.000000e+00 0.000000e+00
4.243246e-14 0.000000e+00 0.000000e+00
-1.177296e-13 0.000000e+00 0.000000e+00
-1.542133e-13 0.000000e+00 0.000000e+00
1.143494e-13 0.000000e+00 0.000000e+00
-1.097937e-13 0.000000e+00 0.000000e+00
-1.040757e-13 0.000000e+00 0.000000e+00
2.164188e-13 0.000000e+00 0.000000e+00
1.343616e-13 0.000000e+00 0.000000e+00
6.712687e-14 0.000000e+00 0.000000e+00
-5.620490e-14 0.000000e+00 0.000000e+00
2.282261e-13 0.000000e+00 0.000000e+00
-9.896007e-14 0.000000e+00 0.000000e+00
7.051068e-14 0.000000e+00 0.000000e+00
9.267001e-14 0.000000e+00 0.000000e+00
-3.318935e-13 0.000000e+00 0.000000e+00
-2.538478e-13 0.000000e+00 0.000000e+00
-2.429827e-12 0.000000e+00 0.000000e+00
1.582686e-13 0.000000e+00 0.000000e+00
4.572286e-14 0.000000e+00 0.000000e+00
-5.130664e-14 0.000000e+00 0.000000e+00
2.050795e-13 0.000000e+00 0.000000e+00
-7.871095e-14 0.000000e+00 0.000000e+00
-2.250343e-13 0.000000e+00 0.000000e+00
-1.119563e-12 0.000000e+00 0.000000e+00
-1.129009e-13 0.000000e+00 0.000000e+00
-2.668667e-13 0.000000e+00 0.000000e+00
1.485333e-13 0.000000e+00 0.000000e+00
-7.324029e-14 0.000000e+00 0.000000e+00
-1.287544e-13 0.000000e+00 0.000000e+00
2.680488e-13 0.000000e+00 0.000000e+00
4.242859e-15 0.000000e+00 0.000000e+00
7.946482e-14 0.000000e+00 0.000000e+00
-1.805886e-13 0.000000e+00 0.000000e+00
-1.827843e-13 0.000000e+00 0.000000e+00
-3.225940e-14 0.000000e+00 0.000000e+00
-7.313058e-13 0.000000e+00 0.000000e+00
-8.140314e-14 0.000000e+00 0.000000e+00
2.972175e-13 0.000000e+00 0.000000e+00
-9.121793e-14 0.000000e+00 0.000000e+00
2.515577e-13 0.000000e+00 0.000000e+00
-2.485142e-14 0.000000e+00 0.000000e+00
-6.716212e-14 0.000000e+00 0.000000e+00
-5.986382e-14 0.000000e+00 0.000000e+00
-2.248501e-13 0.000000e+00 0.000000e+00
3.614508e-13 0.000000e+00 0.000000e+00
2.875753e-13 0.000000e+00 0.000000e+00
9.717824e-13 0.000000e+00 0.000000e+00
-1.472057e-12 0.000000e+00 0.000000e+00
1.278098e-13 0.000000e+00 0.000000e+00
-3.157427e-13 0.000000e+00 0.000000e+00
-1.522029e-14 0.000000e+00 0.000000e+00
-1.763590e-13 0.000000e+00 0.000000e+00
2.454185e-13 0.000000e+00 0.000000e+00
-2.199920e-14 0.000000e+00 0.000000e+00
-1.752102e-12 0.000000e+00 0.000000e+00
-2.760415e-13 0.000000e+00 0.000000e+00
-6.479121e-13 0.000000e+00 0.000000e+00
1.271069e-13 0.000000e+00 0.000000e+00
-1.646224e-13 0.000000e+00 0.000000e+00
-5.279161e-14 0.000000e+00 0.000000e+00
-9.750954e-13 0.000000e+00 0.000000e+00
-1.636483e-12 0.000000e+00 0.000000e+00
-1.251634e-13 0.000000e+00 0.000000e+00
4.481148e-13 0.000000e+00 0.000000e+00
3.996367e-14 0.000000e+00 0.000000e+00
-4.944122e-13 0.000000e+00 0.000000e+00
-1.984208e-13 0.000000e+00 0.000000e+00
-1.260506e-13 0.000000e+00 0.000000e+00
2.250980e-14 0.000000e+00 0.000000e+00
3.487974e-13 0.000000e+00 0.000000e+00
1.376162e-12 0.000000e+00 0.000000e+00
-6.341038e-13 0.000000e+00 0.000000e+00
3.387645e-14 0.000000e+00 0.000000e+00
-1.153949e-13 0.000000e+00 0.000000e+00
-5.450830e-14 0.000000e+00 0.000000e+00
-1.642287e-12 0.000000e+00 0.000000e+00
-1.917064e-13 0.000000e+00 0.000000e+00
8.359277e-13 0.000000e+00 0.000000e+00
1.278105e-13 0.000000e+00 0.000000e+00
-9.790080e-15 0.000000e+00 0.000000e+00
-8.753573e-14 0.000000e+00 0.000000e+00
1.282681e-14 0.000000e+00 0.000000e+00
2.085654e-13 0.000000e+00 0.000000e+00
-3.362018e-13 0.000000e+00 0.000000e+00
1.399739e-13 0.000000e+00 0.000000e+00
1.434453e-13 0.000000e+00 0.000000e+00
-6.107463e-14 0.000000e+00 0.000000e+00
9.296360e-14 0.000000e+00 0.000000e+00
-2.366016e-13 0.000000e+00 0.000000e+00
1.704768e-13 0.000000e+00 0.000000e+00
6.704371e-13 0.000000e+00 0.000000e+00
1.363340e-12 0.000000e+00 0.000000e+00
1.121969e-12 0.000000e+00 0.000000e+00
7.228019e-13 0.000000e+00 0.000000e+00
5.792470e-13 0.000000e+00 0.000000e+00
-3.648272e-13 0.000000e+00 0.000000e+00
-1.494270e-13 0.000000e+00 0.000000e+00
1.854420e-13 0.000000e+00 0.000000e+00
-7.338690e-14 0.000000e+00 0.000000e+00
-1.109234e-12 0.000000e+00 0.000000e+00
4.132262e-13 0.000000e+00 0.000000e+00
8.637694e-14 0.000000e+00 0.000000e+00
8.680339e-15 0.000000e+00 0.000000e+00
-5.371840e-13 0.000000e+00 0.000000e+00
-2.317806e-12 0.000000e+00 0.000000e+00
-1.937840e-13 0.000000e+00 0.000000e+00
1.009335e-13 0.000000e+00 0.000000e+00
5.335438e-14 0.000000e+00 0.000000e+00
-1.563145e-13 0.000000e+00 0.000000e+00
-4.021098e-12 0.000000e+00 0.000000e+00
9.600820e-14 0.000000e+00 0.000000e+00
8.650762e-13 0.000000e+00 0.000000e+00
-3.753496e-12 0.000000e+00 0.000000e+00
-4.817436e-14 0.000000e+00 0.000000e+00
-1.524218e-13 0.000000e+00 0.000000e+00
4.548213e-14 0.000000e+00 0.000000e+00
1.167621e-13 0.000000e+00 0.000000e+00
-1.232994e-13 0.000000e+00 0.000000e+00
2.335438e-13 0.000000e+00 0.000000e+00
-1.384218e-13 0.000000e+00 0.000000e+00
1.275827e-13 0.000000e+00 0.000000e+00
-5.069016e-14 0.000000e+00 0.000000e+00
