pX pY pZ 
-2.953145e-14 0.000000e+00 0.000000e+00
-3.847598e-14 0.000000e+00 0.000000e+00
-2.327422e-13 0.000000e+00 0.000000e+00
1.552737e-13 0.000000e+00 0.000000e+00
2.916114e-13 0.000000e+00 0.000000e+00
7.720900e-15 0.000000e+00 0.000000e+00
3.426574e-14 0.000000e+00 0.000000e+00
1.003832e-13 0.000000e+00 0.000000e+00
6.126937e-14 0.000000e+00 0.000000e+00
-2.234350e-13 0.000000e+00 0.000000e+00
2.937617e-14 0.000000e+00 0.000000e+00
-1.596650e-13 0.000000e+00 0.000000e+00
-2.406732e-14 0.000000e+00 0.000000e+00
2.302399e-13 0.000000e+00 0.000000e+00
1.242393e-13 0.000000e+00 0.000000e+00
-1.362838e-13 0.000000e+00 0.000000e+00
2.113218e-13 0.000000e+00 0.000000e+00
-2.527479e-13 0.000000e+00 0.000000e+00
-2.064753e-13 0.000000e+00 0.000000e+00
4.924316e-14 0.000000e+00 0.000000e+00
-6.091084e-14 0.000000e+00 0.000000e+00
1.374796e-13 0.000000e+00 0.000000e+00
9.565126e-14 0.000000e+00 0.000000e+00
1.533893e-14 0.000000e+00 0.000000e+00
-1.361223e-13 0.000000e+00 0.000000e+00
-1.637724e-13 0.000000e+00 0.000000e+00
5.732817e-14 0.000000e+00 0.000000e+00
2.849171e-13 0.000000e+00 0.000000e+00
-8.887377e-15 0.000000e+00 0.000000e+00
1.657544e-13 0.000000e+00 0.000000e+00
2.275854e-13 0.000000e+00 0.000000e+00
3.211294e-14 0.000000e+00 0.000000e+00
-1.568092e-13 0.000000e+00 0.000000e+00
-8.948110e-14 0.000000e+00 0.000000e+00
5.223384e-14 0.000000e+00 0.000000e+00
-6.677163e-14 0.000000e+00 0.000000e+00
-2.352734e-13 0.000000e+00 0.000000e+00
3.012169e-13 0.000000e+00 0.000000e+00
2.452677e-13 0.000000e+00 0.000000e+00
-1.827137e-13 0.000000e+00 0.000000e+00
4.435381e-13 0.000000e+00 0.000000e+00
2.147045e-14 0.000000e+00 0.000000e+00
-2.738150e-13 0.000000e+00 0.000000e+00
-6.282711e-16 0.000000e+00 0.000000e+00
-1.665402e-13 0.000000e+00 0.000000e+00
-4.265053e-14 0.000000e+00 0.000000e+00
-2.157197e-14 0.000000e+00 0.000000e+00
-2.158851e-13 0.000000e+00 0.000000e+00
-4.344524e-13 0.000000e+00 0.000000e+00
1.953083e-13 0.000000e+00 0.000000e+00
-5.312187e-14 0.000000e+00 0.000000e+00
-1.079450e-14 0.000000e+00 0.000000e+00
1.168351e-13 0.000000e+00 0.000000e+00
2.260529e-13 0.000000e+00 0.000000e+00
2.923791e-13 0.000000e+00 0.000000e+00
7.482603e-15 0.000000e+00 0.000000e+00
1.409305e-13 0.000000e+00 0.000000e+00
7.140080e-14 0.000000e+00 0.000000e+00
-1.159689e-13 0.000000e+00 0.000000e+00
-2.232329e-13 0.000000e+00 0.000000e+00
-5.216813e-14 0.000000e+00 0.000000e+00
1.816881e-14 0.000000e+00 0.000000e+00
3.319158e-14 0.000000e+00 0.000000e+00
-7.560186e-14 0.000000e+00 0.000000e+00
-1.496978e-13 0.000000e+00 0.000000e+00
2.884070e-14 0.000000e+00 0.000000e+00
5.442754e-13 0.000000e+00 0.000000e+00
2.093909e-14 0.000000e+00 0.000000e+00
8.304946e-14 0.000000e+00 0.000000e+00
2.144986e-13 0.000000e+00 0.000000e+00
1.574079e-13 0.000000e+00 0.000000e+00
1.427964e-13 0.000000e+00 0.000000e+00
-2.729885e-14 0.000000e+00 0.000000e+00
-1.325121e-13 0.000000e+00 0.000000e+00
3.375901e-14 0.000000e+00 0.000000e+00
1.659234e-13 0.000000e+00 0.000000e+00
1.566005e-13 0.000000e+00 0.000000e+00
3.818314e-14 0.000000e+00 0.000000e+00
-1.195499e-13 0.000000e+00 0.000000e+00
2.180730e-13 0.000000e+00 0.000000e+00
-2.179698e-13 0.000000e+00 0.000000e+00
1.547483e-12 0.000000e+00 0.000000e+00
2.697258e-13 0.000000e+00 0.000000e+00
2.942572e-14 0.000000e+00 0.000000e+00
-2.233071e-13 0.000000e+00 0.000000e+00
1.159616e-13 0.000000e+00 0.000000e+00
-2.524248e-13 0.000000e+00 0.000000e+00
9.391038e-13 0.000000e+00 0.000000e+00
2.830989e-13 0.000000e+00 0.000000e+00
2.971519e-14 0.000000e+00 0.000000e+00
-2.340695e-13 0.000000e+00 0.000000e+00
1.356864e-14 0.000000e+00 0.000000e+00
1.350024e-13 0.000000e+00 0.000000e+00
-6.872257e-14 0.000000e+00 0.000000e+00
